"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"Comité Régional des Pêches Maritimes et des Elevages Marins des Pays de la Loire (COREPEM)","Réalisation et animation du DOCOB du site Natura 2000 en mer  FR 5202010 - Plateau du Four  ",112660.74,56330.37,"FEDER ","PAYS DE LA LOIRE",,"Programme opérationnel FEDER - 2007/2013","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Communauté d'agglomération de la presqu'île de Guérande Atlantique","Animation et mise en oeuvre document d'objectif Natura 2000 Guerande Mès Iles de la baie de La Baule",80936.56,40468.28,"FEDER ","PAYS DE LA LOIRE","Multilocalisation","Programme opérationnel FEDER - 2007/2013","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Communauté d'agglomération de la presqu'île de Guérande Atlantique","PEM de La Baule phase 2 : voiries de circulation, parkings y compris vélos",2481823,620455.75,"FEDER ","PAYS DE LA LOIRE","LOIRE-ATLANTIQUE / SAINT-NAZAIRE / BAULE-ESCOUBLAC / LA BAULE-ESCOUBLAC","Programme opérationnel FEDER - 2007/2013","26","Transport multimodal"
"COMMUNAUTE D'AGGLOMERATION DE LAVAL","Appui à la mis en oeuvre du PLIE",980000,456040,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE",,"Programme opérationnel national Fonds social européen","86","Evaluation et études; information et communication"
"COMMUNAUTE D'AGGLOMERATION DE LAVAL","FEDER - Etudes préalables à la réalisation du projet de parc logistique multimodal Laval-Mayenne",496945,124236.25,"FEDER ","PAYS DE LA LOIRE","Multilocalisation","Programme opérationnel FEDER - 2007/2013","26","Transport multimodal"
"communauté d'agglomération du Choletais","Appui à la mise en oeuvre du PLIE (subvention globale)",729648,364824,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE",,"Programme opérationnel national Fonds social européen","86","Evaluation et études; information et communication"
"communauté d'agglomération du Choletais","Centre social du Planty - Extension et réaménagement",778022.29,194505.57,"FEDER ","PAYS DE LA LOIRE","MAINE-ET-LOIRE / CHOLET / CHOLET / CHOLET","Programme opérationnel FEDER - 2007/2013","61","Projets intégrés de réhabilitation urbaine et rurale"
"communauté d'agglomération du Choletais","Pavillon du développement durable",126957.84,38087.35,"FEDER ","PAYS DE LA LOIRE","MAINE-ET-LOIRE / CHOLET / CHOLET / CHOLET","Programme opérationnel FEDER - 2007/2013","43","Efficacité énergétique, cogénération, gestion de l'énergie"
"communauté d'agglomération du Choletais","TIC & COM Système d'information voyageurs",77756,19439,"FEDER ","PAYS DE LA LOIRE","MAINE-ET-LOIRE / CHOLET / CHOLET / CHOLET","Programme opérationnel FEDER - 2007/2013","13","Services et applications pour les citoyens (santé, gouvernement, formation en ligne, participation de tous à la société de l'information, etc.)"
"Communauté de Communes d'Erve et Charnie","FEDER - Animation Docob du site Natura 2000  Vallée de l'Erve  2007-2009",30000,15000,"FEDER ","PAYS DE LA LOIRE","Multilocalisation","Programme opérationnel FEDER - 2007/2013","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Commune d'Artannes sur Thouet","travaux de confortement des cavités sous voirie, rue du Poitou, du Four, de la Prée et Lavalouette",205000,51250,"FEDER ","PAYS DE LA LOIRE","MAINE-ET-LOIRE / SAUMUR / SAUMUR-SUD / ARTANNES-SUR-THOUET","Programme opérationnel FEDER - 2007/2013","53","Prévention des risques (...)"
