"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"Préfecture de Haute-Normandie","Etude diagnostic stratégique télémédecine multirégionale","99,567 €","52,539 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"86","Evaluation et études; information et communication"
"Préfecture de Haute-Normandie","Parution dans le Journal des Entreprises à l'occasion de la journée du 9 mai 2010","17,119 €","17,119 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,,
"Préfecture de Haute-Normandie","Réalisation du rapport final d'éxécution du volet FEDER du Programme Objectif 2 2000/2006","29,063 €","29,063 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"86","Evaluation et études; information et communication"
"Préfecture de Haute-Normandie","Rémunérations ASTECH et Vacataires - Prévisionnel 2009","450,425 €","450,425 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,,
"Préfecture de Haute-Normandie","Supplément Europe pour le Paris-Normandie","42,000 €","42,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"86","Evaluation et études; information et communication"
"Réseau des Clubs CPN de Haute-Normandie","13èmes Rencontres Internationales des Clubs CPN","147,914 €","67,841 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"SAS AGRI-ENERGIE","Projet de construction d'une unité de méthanisation en Haute-Normandie","4,781,038 €","799,900 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"SCEA du Mont aux Roux","Projet de biométhanisation sur le site  du Mont aux Roux ","1,647,840 €","269,600 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Science action Haute Normandie","Développement de la diffusion de la culture scientifique, technique et industrielle en Haute-Normandie : convergences","2,526,506 €","1,197,185 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"SEINARI","FONCTIONNEMENT 2009","1,390,420 €","154,970 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"SEMEDI","Projet de valorisation énergétique dans l'usine de Sandouville à l'occasion de sa modernisation et de son extension","5,469,950 €","2,187,980 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"SICB","Faisabilité pour la construction d'une gamme de maisons constituées de panneaux ossature bois.","232,194 €","30,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"SNECMA","PROJET COLLABORATIF LAPLACE","4,284,480 €","1,285,792 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"1","Activités R&DT dans centres de recherche"
"Société ATHALYS","Projet ATHALYS : Centre de lavage, pré-traitement et Recyclage des eaux de lavage","1,602,686 €","244,078 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"Société des Matériaux Enrobés de l'Eure - S.M.E.E.","Economie d'énergie du poste d'enrobage SMEE, liée à la diminution du taux d'humidité dessables lors de l'élaboration d'enrobés","534,824 €","40,967 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"SOGET","E-Maritime CCS 2.0","4,766,200 €","1,191,550 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"1","Activités R&DT dans centres de recherche"
"SYNDICAT DES BASSINS VERSANTS SAANE, VIENNE ET SCIE","Travaux d'aménagements hydrauliques sur la Commune d'Auffay","575,000 €","172,500 €","FEDER ",,,,,
"Syndicat Intercommunal de l'Electricité eu du Gaz de l'Eure","Expérimentation d'une nouvelle technologie de luminaire d'éclairage public favorisant les économies d'énergie : l'éclairage public à LED (diodes électroluminescentes)","83,610 €","41,805 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Syndicat Intercommunal de l'Electricité eu du Gaz de l'Eure","Réduction des consommations de l'éclairage public des communes de l'Eure par la mise en place d'apparaillages économes dans les luminaires neufs (ballasts électroniques et ballasts ferromagnétiques bi puissance)","300,000 €","150,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"syndicat intercommunal du bassin versant de l'yères","Réalisation de sondages pédologiques pour l'identification de zones humides sur le lit majeur de l'Yères","5,203 €","1,657 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"SYNDICAT MIXTE DE GESTION DU PARC NATUREL REGIONAL DES BOUCLES DE LA SEINE NORMANDE","Création et mise en place d'une CATEM (Cellule d'Assistance Technique à l'Entretien et la restauration des zones humides) sur le territoire du Parc Naturel Régional des Boucles de la Seine Normande","1,635,200 €","391,776 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"SYNDICAT MIXTE DE GESTION DU PARC NATUREL REGIONAL DES BOUCLES DE LA SEINE NORMANDE","Développement de l'éducation à l'environnement pour une meilleure appropriation et protection du territoire","620,940 €","186,282 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"SYNDICAT MIXTE DE GESTION DU PARC NATUREL REGIONAL DES BOUCLES DE LA SEINE NORMANDE","Lutte contre le ruissellement en milieux rural et urbain dans le cadre d'une gestion globale de l'eau sur le territoire du contrat Global des Boucles de la Seine Normande","196,430 €","62,879 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"54","Autres mesures pour protéger l'environnement et prévenir les risques"
"SYNDICAT MIXTE DE GESTION DU PARC NATUREL REGIONAL DES BOUCLES DE LA SEINE NORMANDE","Reconquête écologique de la Boucle d'Anneville","135,024 €","58,750 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"SYNDICAT MIXTE DE GESTION DU PARC NATUREL REGIONAL DES BOUCLES DE LA SEINE NORMANDE","Révision de la Charte du Parc Naturel Régional des Boucles de la Seine Normande","1,549,943 €","769,971 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
