"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"Comité Régional du Tourisme de Franche-comté","Mise en oeuvre du Plan Qualité Tourisme Territoriale en Franche-Comté","139,900 €","69,950 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"57","Autres outils d'amélioration des services touristiques"
"Comité Régional du Tourisme de Franche-comté","Montagnes du Jura - Programme de communication 2009","577,500 €","205,000 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"57","Autres outils d'amélioration des services touristiques"
"COMMUNAUTE D'AGGLOMERATION BELFORTAINE  (CAB)","restauration de l'étang des forges - 2ème tranche","1,118,607 €","170,000 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"61","Projets intégrés de réhabilitation urbaine et rurale"
"COMMUNAUTE D'AGGLOMERATION DU GRAND BESANCON (CAGB)","Appel à projets FEDER - Volet urbain - Extension du dépôt GINKO","2,029,414 €","600,000 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"25","Transport urbain"
"COMMUNAUTE D'AGGLOMERATION DU GRAND BESANCON (CAGB)","CAGB - Nouveau Conservatoire à Rayonnement régional (CRR) du Grand Besançon, dans le cadre de la Cité des Arts et de la Culture (Volet urbain)","20,427,000 €","2,500,000 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"11","Technologies de l'information et la communication (...)"
"COMMUNAUTE D'AGGLOMERATION DU GRAND BESANCON (CAGB)","Etude de faisabilité et de programmation en vue de la relocalisation des locaux de l'association Julienne Javel (amorçage du réaménagement de la ZAC des Marnières)","30,415 €","9,125 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"61","Projets intégrés de réhabilitation urbaine et rurale"
"COMMUNAUTE D'AGGLOMERATION DU GRAND BESANCON (CAGB)","Etude de préservation et de valorisation des collines de la vallée du Doubs","167,172 €","66,869 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"COMMUNAUTE D'AGGLOMERATION DU GRAND BESANCON (CAGB)","Etudes préalables à l'aménagement de la zone des Portes de Vesoul (1ère phase avant travaux)","140,360 €","49,000 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"61","Projets intégrés de réhabilitation urbaine et rurale"
"COMMUNAUTE D'AGGLOMERATION DU GRAND BESANCON (CAGB)","Etudes préliminaires pour la création d'un Transport Collectif en Site Propre.","3,869,000 €","900,000 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"52","Promotion de transports urbains propres"
"COMMUNAUTE D'AGGLOMERATION DU GRAND BESANCON (CAGB)","Passerelle modes doux à la Malate","2,531,401 €","506,280 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"54","Autres mesures pour protéger l'environnement et prévenir les risques"
"COMMUNAUTE D'AGGLOMERATION DU PAYS DE MONTBELIARD (CAPM) ","Appel à projets FEDER - Volet urbain - Consolidation du réseau des correspondants emploi formation","153,226 €","42,468 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"COMMUNAUTE D'AGGLOMERATION DU PAYS DE MONTBELIARD (CAPM) ","AXONE: tranche deux :  réalisation de salles spécialisées et de bureaux destinés aux associations sportives","3,150,000 €","300,000 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"59","Développement d'infrastructures culturelles"
"COMMUNAUTE D'AGGLOMERATION DU PAYS DE MONTBELIARD (CAPM) ","Consolidation et maintient du réseau des correspondants emploi formation implanté dans les zones urbaines sensibles de la CAPM (Espace Jeunes Mission Locale du Pays de Montbéliard)","158,522 €","50,000 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"13","Services et applications pour les citoyens (santé, gouvernement, formation en ligne, participation de tous à la société de l'information, etc.)"
"COMMUNAUTE D'AGGLOMERATION DU PAYS DE MONTBELIARD (CAPM) ","Infrastructure verte et bleue du Pays de Montbéliard -programme 2009 d'aménagement de liaisons douces","669,700 €","100,455 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"61","Projets intégrés de réhabilitation urbaine et rurale"
"COMMUNAUTE D'AGGLOMERATION DU PAYS DE MONTBELIARD (CAPM) ","La Damassine : maison des vergers, du paysage et de l'énergie","3,461,682 €","300,000 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"56","Protection et valorisation du patrimoine naturel"
"COMMUNAUTE D'AGGLOMERATION DU PAYS DE MONTBELIARD (CAPM) ","Protection contre les inondations des lieux habités en basse vallée de l'Allan - tranche ferme","7,837,027 €","1,567,405 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"53","Prévention des risques (...)"
"COMMUNAUTE DE COMMUNES AMANCEY-LOUE-LISON","Réalisation d'une chaufferie bois et réseau chaleur","1,751,793 €","150,400 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"COMMUNAUTE DE COMMUNES DU PAYS DE ROUGEMONT","Construction d'un équipement sportif intercommunal multi-associatif et extra-scolaire","632,076 €","221,226 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"11","Technologies de l'information et la communication (...)"
"COMMUNAUTE DE COMMUNES DU PLATEAU D'HAUTEVILLE","Création d'un camping 3 étoiles","1,225,461 €","274,197 €","FEDER ","RHONE-ALPES","RHONE-ALPES",,"57","Autres outils d'amélioration des services touristiques"
"COMMUNAUTE DE COMMUNES DU VAL D'AMOUR","Réaménagement de La Morte des Fontaines à Chamblay","128,000 €","51,200 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"COMMUNAUTE DE COMMUNES DU VALLON DE SANCEY","Etablissement et maintenance d'un réseau de communications électroniques pour la couverture en haut débit des communes de Servin et Crosey-le-Petit","155,000 €","42,200 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"10","Infrastructures téléphoniques (y compris réseaux haut débit)"
"COMMUNE D'ARBOIS","Restructuration du camping municipal d'Arbois","677,600 €","135,520 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"57","Autres outils d'amélioration des services touristiques"
"COMMUNE D'AUDINCOURT","Appel à projets FEDER - Volet urbain - Aménagement centre d'Audincourt : Requalification des espaces","2,268,860 €","300,000 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"61","Projets intégrés de réhabilitation urbaine et rurale"
"COMMUNE DE BOIS D'AMONT","Extension du Centre de vacances Le Val d'Orbe à Bois d'Amont","2,125,100 €","467,522 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"57","Autres outils d'amélioration des services touristiques"
"COMMUNE DE CHAMPAGNEY","Déplacement et renaturation du bief de Nacey","227,187 €","68,156 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"53","Prévention des risques (...)"
"commune de CHAMPEY","chaufferie bois automatique de Champey et réseau de chaleur public","406,465 €","81,293 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"41","Energie renouvelable: biomasse"
"Commune de Dampierre les Bois","Aménagement des entrées et de la traversée de la commune de Dampierre les Bois","821,614 €","200,000 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,,
"COMMUNE DE FRAISANS","Mise en place d'une chaufferie automatique au bois et d'un silo de stockage.","118,800 €","11,880 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"41","Energie renouvelable: biomasse"
"Commune de GOUX-LES-USIERS","Chaufferie bois et réseau de chaleur pour 7 logements communaux","177,573 €","17,757 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"41","Energie renouvelable: biomasse"
