"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"DEFI EMPLOI","Accompagnement de personnes en difficulté d'insertion sociale et professionnelle",33900,16912,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","HAUTES-PYRENEES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"DEFI EMPLOI","Accompagnement de personnes en difficulté d'insertion sociale et professionnelle",30300,12618,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","HAUTES-PYRENEES / TARBES / TARBES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"DEFI EMPLOI","Prospection marché maché",13500,4800,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","HAUTES-PYRENEES / ARGELES-GAZOST / LOURDES / LOURDES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"DEFI EMPLOI","Prospection marché maché",38171,19171,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","HAUTES-PYRENEES / ARGELES-GAZOST / LOURDES / LOURDES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"DE FIL AIGUILLE","Accompagnement professionnel pour une meilleure insertion",69373,26000,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","TARN / CASTRES / CASTRES / CASTRES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"DESPERON GAILLARD","PLAN DE FORMATION 2007",15325.5,6896.48,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","HAUTE-GARONNE / TOULOUSE","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
" Domaine Le Quercy ","Modernisation camping  Domaine Le Quercy  à GOURDON (46)",250000,30000,"FEDER ","MIDI-PYRENEES","LOT / GOURDON / GOURDON","FEDER Compétitivité Régionale et Emploi","57","Autres outils d'amélioration des services touristiques"
"DONINI","INITIATION VOIRIE RESEAUX DIVERS",8989.64,4045.34,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","HAUTE-GARONNE / TOULOUSE","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"DR ANPE","Accompagnement des bénéficiaires du PLIE 2008",308500.3,154250.15,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","HAUTE-GARONNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"DR ANPE","Accompagnement des demandeurs d'emploi non indemnisés présentant un risque élevé de chômage de longu",2600000,1300000,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES",,"Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"DR ANPE","Accompagnement des demandeurs d'emploi non indemnisés présentant un risque élevé de chômage de longue durée",2600000,1300000,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","Multilocalisation","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"DR ANPE","Accompagnement des participants du PLIE vers l'emploi - ANPE",283065.5,141532.75,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","HAUTE-GARONNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"DR ANPE","FINANCEMENT D'EMPLOIS AFFECTES HORS AGENCE LOCALE POUR LA MISE EN OEUVRE DU RMI - ANNEE 2008",160179.44,72080.75,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","ARIEGE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"DR ANPE","Renforcement de l'accompagnement des bénéficiaires du RMI afin de sécuriser leur insertion professionnelle",167252.4,83626.2,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","TARN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"DR ANPE","Renforcement de l'accompagnement des bénéficiaires du RMI afin de sécuriser leur insertion professionnelle",178520.2,107112.12,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","TARN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"DSI","ADOBE ACROBAT",2316,926.4,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"DSI","ADOBE ILLUSTRATOR",1158,463.2,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"DSI","ADOBE PHOTOSHOP",1158,463.2,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"DSI","EXCEL GRAPHIQUES",655,262,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"DSI","EXCEL NIVEAU 1",3285,1314,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"DSI","EXCEL NIVEAU 2",3429,1371.6,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"DSI","outlook",604,241.6,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
