"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"Association Horizon Jeune","Encadrement technique et Accompagnement socioprofessionnel d'un chantier d'insertion",35379,17689,"FONDS SOCIAL EUROPEEN","LIMOUSIN","CREUSE / AUBUSSON","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association IDEE (Insertion Dordogne Entretien Environnement)","aide aux postes d'insertion IDEE",58086,38724,"FONDS SOCIAL EUROPEEN","LIMOUSIN","CORREZE / TULLE / ARGENTAT / ARGENTAT","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association IDEE (Insertion Dordogne Entretien Environnement)","Aide aux postes d'une entreprise d'insertion de Corrèze",77448,38724,"FONDS SOCIAL EUROPEEN","LIMOUSIN","CORREZE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association MAXIMUM","Accompagnement d'au moins 25 % des postes du chantier d'insertion la Pérelle dans le cadre du PLIE rural de Haute-Vienne ",31994.37,17571.31,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association MIGADO","Action pour les poissons migrateurs sur la Dordodogne",275002,82501,"FEDER ","LIMOUSIN","CORREZE","Compétitivité régionale - FEDER - Limousin","54","Autres mesures pour protéger l'environnement et prévenir les risques"
"Association MIGADO","Actions 2007 pour les poissons migrateurs sur la Dordogne",182948,36590,"FEDER ","LIMOUSIN",,"Compétitivité régionale - FEDER - Limousin",,
"Association MIGADO","Impact des éclusées sur les salmonidés sur le bassin de la Dordogne",107417,26854,"FEDER ","LIMOUSIN",,"Compétitivité régionale - FEDER - Limousin",,
"ASSOCIATION NATIONALE POUR LA FORMATION PROFESSIONNELLE DES ADULTES","Action de professionnalisation agent de propreté et d'hygiène - DEPROM 2nd semestre 2007",5500,5500,"FONDS SOCIAL EUROPEEN","LIMOUSIN","CORREZE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Nationale pour la Formation professionnelle des Adultes - Direction Régionale  Limousin (DR AFPA LIMOUSIN)","Plate-forme d'accompagnement global et individualisé Limousin  A.G.I.L. ",435611,213450,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"Association Nationale pour la Formation professionnelle des Adultes - Direction Régionale  Limousin (DR AFPA LIMOUSIN)","Projet d'orientaiton renforcée pour des demandeurs d'emploi en risque de chômage longue durée",669088,327857,"FONDS SOCIAL EUROPEEN","LIMOUSIN",,"Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
