"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"Association AABRAYSIE DEVELOPPEMENT","2008 Accompagnement social et professionnel pour un public en difficulté d'insertion professionnel",10485.8,3250,"FONDS SOCIAL EUROPEEN","CENTRE","LOIRET / ORLEANS / SAINT-JEAN-DE-BRAYE / SAINT-JEAN-DE-BRAYE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association AABRAYSIE DEVELOPPEMENT","Accompagnement social et professionnel pour un public en difficulté d'insertion professionnel",6489,2250,"FONDS SOCIAL EUROPEEN","CENTRE","LOIRET / ORLEANS / SAINT-JEAN-DE-BRAYE / SAINT-JEAN-DE-BRAYE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Acacias Construction Ecologique et Solidaire","Insertion socioprofesionnelle  2009 dans le domaine de l'éco-construction",42033.2,10000,"FONDS SOCIAL EUROPEEN","CENTRE","LOIRET / ORLEANS / ORLEANS / ORLEANS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Acacias Construction Ecologique et Solidaire","Insertion socioprofessionnelle  2008 dans le domaine de l'éco-construction",29308.75,10000,"FONDS SOCIAL EUROPEEN","CENTRE","LOIRET / ORLEANS / ORLEANS / ORLEANS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association ACM FORMATION","Chantier de formation second oeuvre Ville de Saint Jean de la Ruelle",21000,10500,"FONDS SOCIAL EUROPEEN","CENTRE","LOIRET / ORLEANS / SAINT-JEAN-DE-LA-RUELLE / SAINT-JEAN-DE-LA-RUELLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association AFTAM POIGNEE DE GAZ","Prêt de cyclomoteurs 2008",82548,17500,"FONDS SOCIAL EUROPEEN","CENTRE","LOIRET / ORLEANS / INGRE / SARAN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association AFTAM POIGNEE DE GAZ","Prêt de cyclomoteurs 2009",84444,17500,"FONDS SOCIAL EUROPEEN","CENTRE","LOIRET / ORLEANS / ORLEANS / ORLEANS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Agrée Interdépartementale des Pêcheurs Professionnels du Bassin de la Loire et des cours d'eau bretons","Echantillonnage des anguilles argentées du bassin de la Loire capturées au guideau, mesures (...)",38135,15254,"FEDER ","Multiregion","Multilocalisation","Programme opérationnel plurirégional Loire","54","Autres mesures pour protéger l'environnement et prévenir les risques"
"Association Agrée Interdépartementale des Pêcheurs Professionnels du Bassin de la Loire et des cours d'eau bretons","Suivi 2009 de la population d'aloses du bassin de la Loire en prévision de l'évaluation de l'impact des actions anthropiques et des changements climatiques régionnaux sur la dynamique de cette population",37286,18643,"FEDER ","Multiregion","Multilocalisation","Programme opérationnel plurirégional Loire","54","Autres mesures pour protéger l'environnement et prévenir les risques"
"Association Agrée Interdépartementale des Pêcheurs Professionnels du Bassin de la Loire et des cours d'eau bretons","Suivi de la population d'aloses du bassin de la Loire et évaluation de l'impact des actions anthropiques et des changements climatiques régionaux sur la dynamique de cette population",33327,13331,"FEDER ","Multiregion","Multilocalisation","Programme opérationnel plurirégional Loire","54","Autres mesures pour protéger l'environnement et prévenir les risques"
"Association AIDER","Accompagnement socioprofessionnel de salariés mis à disposition de particuliers, entreprises ou administrations",25000,12500,"FONDS SOCIAL EUROPEEN","CENTRE","LOIRET / ORLEANS / ORLEANS / ORLEANS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association AIDER","Atelier d'accompagnement social et professionnel 2009",25000,12500,"FONDS SOCIAL EUROPEEN","CENTRE","LOIRET / ORLEANS / ORLEANS / ORLEANS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association AMIDON 45","Insertion professionnelle des femmes par le métier de repassage 2009",41435,13000,"FONDS SOCIAL EUROPEEN","CENTRE","LOIRET / ORLEANS / ORLEANS / ORLEANS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association AMIDON 45","Insertion professionnelle des femmes par le métier de repassage professionnel 2008",38226,13000,"FONDS SOCIAL EUROPEEN","CENTRE","LOIRET / ORLEANS / ORLEANS / ORLEANS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association APPEL EMPLOI","Accompagnement socioprofessionnel de public mis à disposition 2009",40475.37,12500,"FONDS SOCIAL EUROPEEN","CENTRE","LOIRET / ORLEANS / ORLEANS / ORLEANS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association APPEL EMPLOI","Accompagnement socioprofessionnel des publics en insertion mis à disposition auprès de particuliers, entreprises ou administrations",36021,12500,"FONDS SOCIAL EUROPEEN","CENTRE","LOIRET / ORLEANS / ORLEANS / ORLEANS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association ARGONNE SERVICE PLUS","Accompagnement socioprofessionnel des salariés de la structure",87298,15000,"FONDS SOCIAL EUROPEEN","CENTRE","LOIRET / ORLEANS / ORLEANS / ORLEANS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
