"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"Ea-IMaGE","Programme 2009 d'animation et d'ingenierie de projet du PRIDES Eco entreprises et Développement Durable",509791,172500,"FEDER ","PROVENCE-ALPES-COTE D´AZUR",,"Programme Opérationnel FEDER","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Ea-IMaGE","Programmes d'animations et d'actions du PRIDES Eco Entreprises et Développement Durable",336359,134000,"FEDER ","PROVENCE-ALPES-COTE D´AZUR",,"Programme Opérationnel FEDER","3","Transfert de technologie et amélioration des réseaux de coopération..."
"Ecole Centrale Marseille (ECM)","ARPF 2008 - Projet DEBIDO",130000,52000,"FEDER ","PROVENCE-ALPES-COTE D´AZUR","BOUCHES-DU-RHONE / MARSEILLE","Programme Opérationnel FEDER","4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"Ecole Nationale Supérieure des Arts et Métiers","APRF 2008 - Projet ETHAVOL  Etude et validation de l'utilisation des biocarburants dans le vol ultra léger à moteur 2 temps ",30868,12347,"FEDER ","PROVENCE-ALPES-COTE D´AZUR",,"Programme Opérationnel FEDER",,
"EHPAD Notre Dame de la Ferrage","Chaudière bois 220 kW + réseau (4 bâtiments)",400900,20000,"FEDER ","PROVENCE-ALPES-COTE D´AZUR","VAUCLUSE / APT / PERTUIS / LA TOUR-D'AIGUES","Programme Opérationnel FEDER",,
"ENVIROBAT MEDITERRANEE","Centre de ressources ENVIROBAT MEDITERRANEE : Programme d'actions juillet 2009 - juin 2010",486838,194736,"FEDER ","PROVENCE-ALPES-COTE D´AZUR","BOUCHES-DU-RHONE / AIX-EN-PROVENCE / AIX-EN-PROVENCE / AIX-EN-PROVENCE","Programme Opérationnel FEDER",,
"ESCCOM","Mesure des potentiels et des motivations - approche psychologique",14000,11200,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","ALPES-MARITIMES / GRASSE / CANNES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ESCCOM","soutien psychlogique",9450,7560,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","ALPES-MARITIMES / GRASSE / CANNES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ESIA","DISPOSITIF LOCAL D'ACCOMPAGNEMENT DES BOUCHES DU RHONE 2008",300000,105000,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","BOUCHES-DU-RHONE / MARSEILLE / MARSEILLE","Programme opérationnel national Fonds social européen","12","Technologies de l'information et la communication (RTE-TIC)"
"ESIA","DISPOSITIF LOCAL D'ACCOMPAGNEMENT DES BOUCHES DU RHONE 2009",458066,149923,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","80","Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
"ESIA","dispositif local d'accompagnement de vaucluse 2008",300000,130000,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","VAUCLUSE","Programme opérationnel national Fonds social européen","80","Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
"ESIA","Dispositif local d'accompagnement de vaucluse 2009",379789,117909,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","80","Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
"ESIA","Expertise financière, mobilisation bancaire, financement et suivi de gestion des structures du champ",293470,100000,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"ESIA","financement et suivi de gestion des entreprises du champ de l'économie sociale et solidai",291221,99999,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"ESPACE CULTURE MULTIMEDIA BELLE DE MAI","DES FILMS DANS LA POCHE ",78597,22500,"FEDER ","PROVENCE-ALPES-COTE D´AZUR",,"Programme Opérationnel FEDER","11","Technologies de l'information et la communication (...)"
"ESPACE CULTURE MULTIMEDIA BELLE DE MAI","DES FILMS DANS LA POCHE ",78597,22500,"FEDER ","PROVENCE-ALPES-COTE D´AZUR",,"Programme Opérationnel FEDER","7","Investissements dans les entreprises directement liées à la recherche et l'innovation (...)"
"ESPACE FORMATION ","Formation Collective des salariés en SIAE",9491,9491,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","BOUCHES-DU-RHONE / ISTRES / ISTRES / ISTRES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ESPACE FORMATION ","IRILL Ateliers d'Apprentissage des Savoirs de Base",34917,13967,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ESPACE PEDAGOGIE FORMATION FRANCE","OBJECTIF MOBILISATION ET PLACEMENT",45000,22500,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","BOUCHES-DU-RHONE / MARSEILLE","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"ESPACE PEDAGOGIE FORMATION FRANCE","R.E.G.A.L.",246441,60000,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","BOUCHES-DU-RHONE / MARSEILLE / MARSEILLE / MARSEILLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ESTRELLA SARL","plateforme de découverte des métiers de la propreté et de l'hygiène",2273,945.73,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","ALPES-MARITIMES / GRASSE / CANNES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Etablissement public d'aménagement de la plaine du Var","Etude de programme du pôle multimodal Nice-Saint Augustin - Aéroport",199385,99692.5,"FEDER ","PROVENCE-ALPES-COTE D´AZUR","ALPES-MARITIMES / NICE / NICE / NICE","Programme Opérationnel FEDER",,
"EURL SERIGRAPHIE DE PROVENCE","Béatrice SEGUIN - Sérigraphie de Provence",30828,9150,"FEDER ","PROVENCE-ALPES-COTE D´AZUR","ALPES-DE-HAUTE-PROVENCE / DIGNE-LES-BAINS / DIGNE-LES-BAINS-OUEST / AIGLUN","Programme Opérationnel FEDER",,
"EURL Ubaye BOIS","Gilles POULET - Ubaye BOIS",29820,8946,"FEDER ","PROVENCE-ALPES-COTE D´AZUR","ALPES-DE-HAUTE-PROVENCE / BARCELONNETTE / BARCELONNETTE / BARCELONNETTE","Programme Opérationnel FEDER",,
"evolio","plateforme de formation et d'insertion autour de la petite maintenance navale et de la mécanique",202684,63595,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","BOUCHES-DU-RHONE / MARSEILLE / AUBAGNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"evolio","plateforme de formation et d'insertion autour de la petite maintenance navale et de la mécanique",198684,63595,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","BOUCHES-DU-RHONE / MARSEILLE / AUBAGNE / AUBAGNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"faf tt","FAF TT",2003000,901350,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"federation regionale de la relation client","federation regionale de la relation client ",285100,128324,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"FILS D'ARIANE","AIDE AUX POSTES",50825,25412.5,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","HAUTES-ALPES / GAP","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"FOGOLA Elisabeth","Mon coiffeur s'engage",48126,9150,"FEDER ","PROVENCE-ALPES-COTE D´AZUR","ALPES-MARITIMES / NICE / SAINT-ETIENNE-DE-TINEE / SAINT-ETIENNE-DE-TINEE","Programme Opérationnel FEDER",,
"FONDATION PATRONAGE SAINT PIERRE ACTES","prévention de la délinquance et resocialisation",94728,44312,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","ALPES-MARITIMES / NICE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Fondation Sophia Antipolis","PROGRAMME 2009 RESEAU REGIONAL DE L INNOVATION",383095,191547,"FEDER ","PROVENCE-ALPES-COTE D´AZUR","ALPES-MARITIMES","Programme Opérationnel FEDER",,
"Fondation Sophia Antipolis","REALISATION D'UN PROGRAMME POUR RENFORCER L'INNOVATION ET LA COMPETITIVITE  EN PACA - RRI 2008",314180,150000,"FEDER ","PROVENCE-ALPES-COTE D´AZUR",,"Programme Opérationnel FEDER","3","Transfert de technologie et amélioration des réseaux de coopération..."
"FONDATION TOUR DU VALAT (ex fondation SANSOUIRE)","Programme de maîtrise de l'énergie et développement des énergies renouvelables sur le site de la Tour du Valat",783820,188000,"FEDER ","PROVENCE-ALPES-COTE D´AZUR","BOUCHES-DU-RHONE / ARLES / ARLES / ARLES","Programme Opérationnel FEDER",,
"fonds national d'assurance formation des salaries des exploitations et entreprises agricoles","FAFSEA",4134254,1900416,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen",,
"fongecif paca","securicif et securicif seniors",22822223,10300000,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","86","Evaluation et études; information et communication"
"Foyer Rural CEPAGE","Plate-forme de médiation dans et vers l'emploi dans la vallée du Var",73320,30000,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","Multilocalisation","Programme opérationnel national Fonds social européen","80","Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
"Foyer Rural Cépage","RURAL'ERIC",65663,22500,"FEDER ","PROVENCE-ALPES-COTE D´AZUR","ALPES-MARITIMES / NICE / PUGET-THENIERS / PUGET-THENIERS","Programme Opérationnel FEDER","11","Technologies de l'information et la communication (...)"
"Foyer Rural Cépage","RURAL'ERIC",65663,22500,"FEDER ","PROVENCE-ALPES-COTE D´AZUR","ALPES-MARITIMES / NICE / PUGET-THENIERS / PUGET-THENIERS","Programme Opérationnel FEDER","7","Investissements dans les entreprises directement liées à la recherche et l'innovation (...)"
"Gc Formation","découverte des métiers de la logistique et de la grande distribution",54700,16425,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"GE Mission","actions de dev de l'emploi et des competences dans la filiere des CRC",337875,150000,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"GIP FIPAN","EGALITE RH 06 - Promotion et développement de l'égalité professionnelle hommes-femmes",44024,19810,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","ALPES-MARITIMES","Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"GIP FIPAN","EGALITE RH 83 2009",40036,6308,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"GIP FIPAN","PROMOTION ET DEVELOPPEMENT DE L'EGALITE PROFESSIONNELLE ET SALARIALE DANS LES ENTREPRISES DU DEPARTE",28078.49,14039.24,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","VAR","Programme opérationnel national Fonds social européen","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"GIP FIPAN","VAE RH 06 conseil et ingénierie",95009,31514,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","ALPES-MARITIMES","Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"GIP MISSION JEUNES 05","RELAIS ENTREPRISES - EMPLOI",75069,37500,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","HAUTES-ALPES","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"GIP MISSION JEUNES 05","RENFORCEMENT DE L'ACCOMPAGNEMENT DES JEUNES DE FAIBLE QUALIFICATION",160207,40000,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","HAUTES-ALPES","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
