"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"Conservatoire du Littoral et des Rivages Lacustres","Travaux et aménagements du site de Bois Jolan Sainte-Anne","321,356 €","141,397 €","FEDER ","GUADELOUPE","GUADELOUPE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"COUPE COLLE Via SNC EPSILON 37","Acquisition de matériels d'imprimerie","354,176 €","177,088 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"DAUPHIN TELECOM SAS","Modernisation du réseau d'accés DSL à Saint-Martin","717,561 €","430,536 €","FEDER ","GUADELOUPE","GUADELOUPE",,"11","Technologies de l'information et la communication (...)"
"DOUZ'H","Aménagement et Equipements d'un établissement de commerce de gros","250,082 €","125,041 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"DURIMEL Jean-Michel","Programme de constructions de gîtes touristique","301,417 €","138,652 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"EDEN VANILLA","Création d'un hôtel","107,718 €","49,550 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"EI JABES Marcellin","Equipement et aménagement d'une entreprise de fabrication de matériel médico-chirurgical et dentaire","293,774 €","146,887 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"ELECTROMETAL","Acquisition de matériels de production","115,198 €","57,599 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"Etablissement des eaux et de l'assainissement de Saint-Martin","Construction de deux réservoirs d'eau potable sur le Mont des accords","4,300,000 €","3,000,000 €","FEDER ","GUADELOUPE","GUADELOUPE",,"45","Gestion et distribution d'eau (eau potable)"
"Etablissement des eaux et de l'assainissement de Saint-Martin","Réhabilitation de deux réservoirs d'eau potable à Galisbay","4,500,000 €","2,000,000 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
