"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"CONSEIL GENERAL DE LA DORDOGNE","Accompagnement spécifique des publics API-RMI",38850,19425,"FONDS SOCIAL EUROPEEN","AQUITAINE","DORDOGNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CONSEIL GENERAL DE LA DORDOGNE","Construction du Centre d'Accueil du Pôle International de la Préhistoire",2237604,1118802,"FEDER ","AQUITAINE","DORDOGNE","Programme Opérationnel FEDER Aquitaine 2007-2013","2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"CONSEIL GENERAL DE LA DORDOGNE","Développement de l'insertion sociale par les marchés publics",17000,8500,"FONDS SOCIAL EUROPEEN","AQUITAINE","DORDOGNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CONSEIL GENERAL DE LA DORDOGNE","FSE 2008 Programme de professionnalisation des bibliothèques du réseau de la bibliothèque Départementale de prêt",111727,50277,"FONDS SOCIAL EUROPEEN","AQUITAINE","DORDOGNE","Programme opérationnel national Fonds social européen","72","Élaboration, introduction et mise en oeuvre de réformes dans les systèmes d'éducation et de formation..."
"CONSEIL GENERAL DE LA DORDOGNE","FSE - C.GENERAL 24 - SG 2008-2010 ",1851666,934966,"FONDS SOCIAL EUROPEEN",,,"Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CONSEIL GENERAL DE LA DORDOGNE"," Le numérique au service de la préhistoire ",1098800,439520,"FEDER ","AQUITAINE","DORDOGNE / SARLAT-LA-CANEDA / SAINT-CYPRIEN / LES EYZIES-DE-TAYAC-SIREUIL","Programme Opérationnel FEDER Aquitaine 2007-2013","13","Services et applications pour les citoyens (santé, gouvernement, formation en ligne, participation de tous à la société de l'information, etc.)"
"CONSEIL GENERAL DE LA DORDOGNE","Mise au point/optimisation de nouvelles méthodes de diagnostic de la tuberculose et autres zoonoses",742705,404352,"FEDER ","AQUITAINE",,"Programme Opérationnel FEDER Aquitaine 2007-2013","2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"CONSEIL GENERAL DE LA DORDOGNE","Résorption des zones d'ombre haut débit en Dordogne",6637961,1977512,"FEDER ","AQUITAINE","DORDOGNE","Programme Opérationnel FEDER Aquitaine 2007-2013","10","Infrastructures téléphoniques (y compris réseaux haut débit)"
"CONSEIL GENERAL DE LA DORDOGNE","SAS pour l'emploi 2008 -  AFAC 24 marché public",55942,27971,"FONDS SOCIAL EUROPEEN","AQUITAINE","DORDOGNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CONSEIL GENERAL DE LA DORDOGNE","SAS pour l'emploi 2008 - AFPA marché public ",200664,100332,"FONDS SOCIAL EUROPEEN","AQUITAINE","DORDOGNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CONSEIL GENERAL DE LA DORDOGNE","SAS pour l'emploi 2008 - CFPPA - marché public",44592,22296,"FONDS SOCIAL EUROPEEN","AQUITAINE","DORDOGNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CONSEIL GENERAL DE LA DORDOGNE"," SAS pour l'emploi 2008 - Ligue de l'enseignement -  marché public ",190800,95400,"FONDS SOCIAL EUROPEEN","AQUITAINE","DORDOGNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CONSEIL GENERAL DE LA DORDOGNE","SAS pour l'emploi 2008 - SECADE - marché public",58800,29400,"FONDS SOCIAL EUROPEEN","AQUITAINE","DORDOGNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CONSEIL GENERAL DE LA DORDOGNE","Sauvegarde de la biodiversité, protection et valorisation du site des étangs de La Jemaye -Dordogne",1334763.32,333690.83,"FEDER ","AQUITAINE","DORDOGNE / PERIGUEUX / SAINT-AULAYE / LA JEMAYE","Programme Opérationnel FEDER Aquitaine 2007-2013","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"CONSEIL GENERAL DE LA DORDOGNE","Suivi et accompagnement des travailleurs indépendants",60000,30000,"FONDS SOCIAL EUROPEEN","AQUITAINE","DORDOGNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CONSEIL GENERAL DE LA GIRONDE","ACCOMPAGNEMENT DANS L'EMPLOI  DE PERSONNE HANDICAPEES MENTALES (ADAPEI)",651021,220000,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CONSEIL GENERAL DE LA GIRONDE","Accompagnement des services prestataires d'aide à domicile",289284,144641,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CONSEIL GENERAL DE LA GIRONDE","ACCOMPAGNEMENT ECONOMIQUE DES JEUNES DIPLOMES",246000,123000,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CONSEIL GENERAL DE LA GIRONDE","ACCOMPAGNEMENT SOCIOPROFESSIONNEL DE PERSONNES EN SITUATION DE HANDICAP PSYCHIQUE EN GIRONDE (ARI)",117700,29425,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CONSEIL GENERAL DE LA GIRONDE","ASSISTANCE TECHNIQUE ",373759,119529,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE","Programme opérationnel national Fonds social européen","85","Préparation, mise en oeuvre, suivi et inspection "
"CONSEIL GENERAL DE LA GIRONDE","ASSURER LA PERENITE DES ENTREPRISES CONCHYLICOLES",284861,128187,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE / BORDEAUX / BORDEAUX","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CONSEIL GENERAL DE LA GIRONDE","CONSOLIDATION DU PARCOURS PROFESSIONNEL ARTISTIQUE ET CULTUREL/ CPPAC",465660,232830,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CONSEIL GENERAL DE LA GIRONDE","Dévelopement de la Coopérative d'activité et de l'emploi en Gironde /2008",308681,80000,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CONSEIL GENERAL DE LA GIRONDE","DEVELOPPEMENT DE LA COOPERATIVE D'ACTIVITES ET DE L'EMPLOI /COOP'ALPHA",170400,50000,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CONSEIL GENERAL DE LA GIRONDE","Développement des activités des GE de la Gironde",44000,21000,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CONSEIL GENERAL DE LA GIRONDE","DEVELOPPEMENT DU RAMA-GE. et OUVERTURE à L'ENSEMBLE DU CHAMP CULTUREL ",351983,15000,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CONSEIL GENERAL DE LA GIRONDE","Etude sur l'approvisionnement filière bois-énergie en Gironde",59692.36,17907.7,"FEDER ","AQUITAINE","GIRONDE","Programme Opérationnel FEDER Aquitaine 2007-2013","6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"CONSEIL GENERAL DE LA GIRONDE","Evaluation stratégique partagée de l'Agenda 21 de la Gironde",76248.59,22874,"FEDER ","AQUITAINE","GIRONDE","Programme Opérationnel FEDER Aquitaine 2007-2013","43","Efficacité énergétique, cogénération, gestion de l'énergie"
"CONSEIL GENERAL DE LA GIRONDE","FSE - C.GENERAL 33 - SG 2007-2010  Axe 3 et Axe 5 ",8093951.72,3596529,"FONDS SOCIAL EUROPEEN",,,"Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CONSEIL GENERAL DE LA GIRONDE","INSERTION PAR LES ENTREPRISES DE TRAVAIL TEMPORAIRE ",228316.4,107308.78,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CONSEIL GENERAL DE LA GIRONDE","installation de panneaux photovoltaïques sur le collège Chambrelent à Hourtin",475000,90000,"FEDER ","AQUITAINE","GIRONDE / LESPARRE-MEDOC / SAINT-LAURENT-MEDOC / HOURTIN","Programme Opérationnel FEDER Aquitaine 2007-2013","43","Efficacité énergétique, cogénération, gestion de l'énergie"
"CONSEIL GENERAL DE LA GIRONDE","Prévention à l'entrée du RMI- LIBOURNAIS",80000,40000,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
