"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"Conseil Régional de Guyane","Programme Régional de Formation Professionnelle des Jeunes (PRFPJ), à l'attention des Jeunes Demandeurs d'Emploi.","1,416,000 €","1,062,000 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"Conseil Régional de Guyane","REGION GUYANE - Bourses régionales de 3ème cycle 2007-2008","100,000 €","75,000 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","74","Développer le potentiel humain dans le domaine de la recherche et l'innovation, en particulier par des études de 3ème cycle"
"Conseil Régional de Guyane","Subvention Globale : Programme Régional de développement de la formation","53,717,000 €","40,000,000 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","81","Mécanismes pour améliorer la conception des politiques et des programmes, le suivi et l'évaluation ..."
"Direction du Travail de l'Emploi et de la Formation Professionnelle","Assistance technique FSE 2008-2009","282,233 €","211,000 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","85","Préparation, mise en oeuvre, suivi et inspection "
"EQUINOXE FORMATION","Sessions de préparation au passeport de compétences Informatiques Européen (PCIE START)sur le bassin de Cayenne (LOT 5).","32,376 €","24,282 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"EQUINOXE FORMATION","Sessions de préparation au passeport de compétences Informatiques Européen (PCIE START)sur le bassin de Kourou (LOT 6).","16,189 €","12,142 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"EQUINOXE FORMATION","Sessions de préparation au passeport de compétences Informatiques Européen (PCIE START)sur le bassin de Saint-Laurent (LOT 7).","17,209 €","12,907 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"GRETA centre-Est","Session de formation au Portugais - Brésilien commercial (LOT 8)","34,200 €","25,650 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"GRETA centre-Est","Session renforcée de préparation au concours d'entrée à la formation d'Auxiliaire de puériculture (LOT 3)","76,800 €","57,600 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"IRIG DEFIS","CARIF OREF GUYANE","474,686 €","356,000 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","81","Mécanismes pour améliorer la conception des politiques et des programmes, le suivi et l'évaluation ..."
