"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"Amicale des Maires et Adjoints du Canton de Saint-Blin","Accueil et accompagnement des bénéficiaires du R.M.I.",27860,13930,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","HAUTE-MARNE / CHAUMONT / SAINT-BLIN-SEMILLY / PREZ-SOUS-LAFAUCHE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Amicale des Maires et Adjoints du Canton de Saint-Blin","Brigade Rurale de Saint-Blin",32860,14787,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","HAUTE-MARNE / CHAUMONT / SAINT-BLIN-SEMILLY / SAINT-BLIN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ANQUETIL CLIMATISATION","Plan de formation de l'entreprise",3003.55,708.4,"FONDS SOCIAL EUROPEEN","Multiregion","Multilocalisation","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"APEI-ESAT","Formation accueil et service en salle restaurant La malterie",67603,26409,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","MARNE / VITRY-LE-FRANCOIS","Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"ARACT CHAMPAGNE ARDENNE","Anticipation des mutations économiques, sociales et démographiques - gestion des RH et qualité de l'",250000,100000,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"ARCAVI","Extension de la plate-forme de valorisaton bois",979770.41,201935,"FEDER ","CHAMPAGNE-ARDENNE","ARDENNES / CHARLEVILLE-MEZIERES / FLIZE / CHALANDRY-ELAIRE","PO FEDER 2007-2013 OBJECTIF 2 CHAMPAGNE-ARDENNE","41","Energie renouvelable: biomasse"
"ARD (Agro Industries Recherches et Développement)","Montage et exploitation d'une plate forme de démonstration industrielle en biotechnologie blanche",20900000,2500000,"FEDER ","CHAMPAGNE-ARDENNE","MARNE","PO FEDER 2007-2013 OBJECTIF 2 CHAMPAGNE-ARDENNE","1","Activités R&DT dans centres de recherche"
"ARDENNES INSERTION","EI 2007 : AIDES AUX POSTES EN ENTREPRISES D'INSERTION",174258,87129,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","ARDENNES / SEDAN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ARDENNES INSERTION","EI 2009 : Entreprise d'insertion pour l'activité économique Formation Production",174258,87129,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","ARDENNES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ARDENNES INSERTION","EI : AIDES AUX POSTES EN ENTREPRISES D'INSERTION / RENOUVELLEMENT",174258,87129,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","ARDENNES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AREF BTP ","AREF BTP 2007/2009",2009863,703452,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","86","Evaluation et études; information et communication"
"ASCOTT'S","Système Productif Territorial",201845,80738,"FEDER ","CHAMPAGNE-ARDENNE",,"PO FEDER 2007-2013 OBJECTIF 2 CHAMPAGNE-ARDENNE","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ASSOCIATION 10 DE COEUR","Valorisation du parcours d'insertion par la rédaction d'un journal et la distribution en boîtes aux ",231225,89163,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","AUBE / TROYES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ASSOCIATION D'ACTION EDUCATIVE DES ARDENNES (AAEA)","Action de socialisation Emergence Bilan Orientation",148070,52371,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","ARDENNES / CHARLEVILLE-MEZIERES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ASSOCIATION D'ANIMATION SOCIALE ET CULTURELLE D'ORZY","Dispositifs pour la mobilité et la mixité",134805,67402,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","ARDENNES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ASSOCIATION DES TECHNOLOGIES & DES HOMMES","organisation du Salon International du Non Alimentaire (SIÑAL) - année 2008",386200,100412,"FEDER ","CHAMPAGNE-ARDENNE",,"PO FEDER 2007-2013 OBJECTIF 2 CHAMPAGNE-ARDENNE","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Association du PLIE Nord Ardennes (APNA)","Chargee de Relation Entreprise",111268,63000,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","ARDENNES / CHARLEVILLE-MEZIERES / GIVET / VIREUX-MOLHAIN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association du PLIE Nord Ardennes (APNA)","Structure d'Animation et de Gestion",291120,103900,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","ARDENNES / CHARLEVILLE-MEZIERES / GIVET / VIREUX-MOLHAIN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association du PLIE Nord Ardennes (APNA)","SUBVENTION GLOBALE PLIE NORD ARDENNES 2007/2009",1286263.64,643131.82,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","ARDENNES","Programme opérationnel national Fonds social européen","86","Evaluation et études; information et communication"
"ASSOCIATION ENTREPRENDRE POUR APPRENDRE CHAMPAGNE-ARDENNE","ENTREPRENDRE POUR APPRENDRE",104500,41800,"FEDER ","CHAMPAGNE-ARDENNE",,"PO FEDER 2007-2013 OBJECTIF 2 CHAMPAGNE-ARDENNE","9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"ASSOCIATION GESTIONNAIRE DU CFAID DE CHAUMONT","Mesures du contrat qualité apprentissage Interpro 52",73950,29580,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","HAUTE-MARNE / CHAUMONT","Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"ASSOCIATION GESTIONNAIRE DU CFAID DE CHAUMONT","Mesures qualité apprentissage 2008 CFA Interpro 52",63970,23669,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","HAUTE-MARNE / CHAUMONT","Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
