"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"Comité Régional Guadeloupe de la FFESSM","4ème et 5èmes  journées de nettoyage des fonds sous marins",71600,31500,"FEDER ","GUADELOUPE",,"Programme Opérationnel FEDER 2007-2013","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"COMMUNAUTE DE COMMUNES DU SUD BASSE-TERRE","Reconstruction et extension de la station d'épuration de Baillif",8021588,4812953,"FEDER ","GUADELOUPE","GUADELOUPE / BASSE-TERRE / VIEUX-HABITANTS / BAILLIF","Programme Opérationnel FEDER 2007-2013","46","Traitement de l'eau (eaux usées)"
"COMMUNAUTE DE COMMUNES DU SUD BASSE-TERRE","Travaux de réhabilitation du réseau d'asainissement des eaux usées de Baillif",1468992,865456.6,"FEDER ","GUADELOUPE","GUADELOUPE / BASSE-TERRE / VIEUX-HABITANTS / BAILLIF","Programme Opérationnel FEDER 2007-2013",,
"COMMUNAUTE DES COMMUNES DE MARIE-GALANTE","Festival de Marie-Galante - Terre de Blues",360000,183600,"FEDER ","GUADELOUPE","GUADELOUPE","Programme Opérationnel FEDER 2007-2013",,
"COMMUNAUTE DES COMMUNES DE MARIE-GALANTE","PLIE DE MARIE GALANTE 2008",310670,175236.2,"FONDS SOCIAL EUROPEEN","GUADELOUPE",,"Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"COMMUNAUTE DES COMMUNES DE MARIE-GALANTE","Transatlantique Belle île en Mer-Marie-Galante - Participation et promotion du Pays MARIE-GALANTE - 5ème Edition du Trophée",600000,290000,"FEDER ","GUADELOUPE","GUADELOUPE","Programme Opérationnel FEDER 2007-2013",,
"Commune de Deshaies","Schéma Directeur d'Alimentation en eau potable",200000,120000,"FEDER ","GUADELOUPE","GUADELOUPE / BASSE-TERRE / SAINTE-ROSE 2E  CANTON / DESHAIES","Programme Opérationnel FEDER 2007-2013",,
"COMMUNE DE LA DESIRADE","Mise en place du compostage individuel pour 100 foyers de la commune",24348.7,7782.87,"FEDER ","GUADELOUPE","GUADELOUPE / POINTE-A-PITRE / LA DESIRADE / LA DESIRADE","Programme Opérationnel FEDER 2007-2013","44","Gestion des déchets ménagers et industriels"
"COMMUNE DE POINTE-A-PITRE","Etudes & Diagnostics pour la réhabilitation et la restructuration du Centre des Arts et de la Culture de POINTE à PITRE (1ére tranche)",890000,453900,"FEDER ","GUADELOUPE","GUADELOUPE / POINTE-A-PITRE / POINTE-A-PITRE","Programme Opérationnel FEDER 2007-2013","59","Développement d'infrastructures culturelles"
"COMMUNE DE SAINT-CLAUDE","Aménagement de la Maison DARRACQ ",604710,241843,"FEDER ","GUADELOUPE","GUADELOUPE / BASSE-TERRE / SAINT-CLAUDE","Programme Opérationnel FEDER 2007-2013",,
"COMMUNE DE SAINTE-ROSE","Etude de régularisation de captage d'eau potable",141900,85140,"FEDER ","GUADELOUPE","GUADELOUPE / BASSE-TERRE / BASSE-TERRE / SAINTE-ROSE","Programme Opérationnel FEDER 2007-2013",,
"COMMUNE DE SAINTE-ROSE","Réalisation d'un bassin de stockage d'eau brute à Cacao",640867.5,339020.5,"FEDER ","GUADELOUPE","GUADELOUPE / BASSE-TERRE / BASSE-TERRE / SAINTE-ROSE","Programme Opérationnel FEDER 2007-2013",,
"COMMUNE DE SAINTE-ROSE","Schéma Directeur d'Alimentation en Eau potable",184000,110400,"FEDER ","GUADELOUPE","GUADELOUPE / BASSE-TERRE / BASSE-TERRE / SAINTE-ROSE","Programme Opérationnel FEDER 2007-2013",,
"COMMUNE DE SAINT-FRANCOIS ","Réalisation d'une déchetterie à Saint-François",600000,236000,"FEDER ","GUADELOUPE","GUADELOUPE / POINTE-A-PITRE / SAINT-FRANCOIS / SAINT-FRANCOIS","Programme Opérationnel FEDER 2007-2013","44","Gestion des déchets ménagers et industriels"
"COMMUNE DE TROIS-RIVIERES","Etude sur la faisabilité et la mise en place du tri sélectif sur le territoire de la commune de Trois Rivières",82299,17884.63,"FEDER ","GUADELOUPE","GUADELOUPE / BASSE-TERRE / TROIS-RIVIERES / TROIS-RIVIERES","Programme Opérationnel FEDER 2007-2013","44","Gestion des déchets ménagers et industriels"
"COMMUNE DE VIEUX-FORT","Schéma Directeur d'Alimentation en au potable",172000,103200,"FEDER ","GUADELOUPE","GUADELOUPE / BASSE-TERRE / TROIS-RIVIERES / VIEUX-FORT","Programme Opérationnel FEDER 2007-2013",,
"COMMUNE DU GOSIER","Gosier Numérique",241500,131979.75,"FEDER ","GUADELOUPE","GUADELOUPE / POINTE-A-PITRE / POINTE-A-PITRE / LE GOSIER","Programme Opérationnel FEDER 2007-2013","10","Infrastructures téléphoniques (y compris réseaux haut débit)"
"COMMUNE DU LAMENTIN","Mise à jour du Schéma Directeur d'Assainissement ",35300,21180,"FEDER ","GUADELOUPE","GUADELOUPE / BASSE-TERRE / LAMENTIN / LAMENTIN","Programme Opérationnel FEDER 2007-2013",,
"COMMUNE DU LAMENTIN","Réalisation du Schéma Directeur d'alimentation en eau potable",203000,81200,"FEDER ","GUADELOUPE","GUADELOUPE / BASSE-TERRE / LAMENTIN / LAMENTIN","Programme Opérationnel FEDER 2007-2013",,
"CONSEIL GENERAL DE LA GUADELOUPE","Formation initiale des cadres et des techniciens : aide aux étudiants 2007-2008",700096,560096,"FONDS SOCIAL EUROPEEN","GUADELOUPE",,"Programme Opérationnel FSE 2007-2013","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"CONSEIL GENERAL DE LA GUADELOUPE","Programme de réorganisation des transports interurbains de voyageurs : mise en place de la billettique",1711430,1283572.5,"FEDER ","GUADELOUPE",,"Programme Opérationnel FEDER 2007-2013","27","Transport multimodal (RTE-T)"
"CONSEIL REGIONAL DE LA GUADELOUPE","Budget 01 AT FEDER - subvention globale Conseil Régional 2008 et 2009",1656049.01,750000,"FEDER ","GUADELOUPE",,"Programme Opérationnel FEDER 2007-2013",,
"CONSEILS DEVELOPPEMENTS CARAIBES","Plan de formation 2008",17169,13735.2,"FONDS SOCIAL EUROPEEN","GUADELOUPE",,"Programme Opérationnel FSE 2007-2013","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"Conservatoire du Littoral et des Rivages Lacustres","Aménagement de 3 sites naturels sur la Réserve Naturelle de Saint-Martin",306310,153155,"FEDER ","GUADELOUPE","GUADELOUPE / SAINT-MARTIN-SAINT-BARTHELEMY / SAINT-MARTIN-SAINT-BARTHELEMY / SAINT-MARTIN","Programme Opérationnel FEDER 2007-2013",,
"Conservatoire du Littoral et des Rivages Lacustres","Travaux et aménagements des sites du conservatoire du littoral en Guadeloupe",184690,81263,"FEDER ","GUADELOUPE","Multilocalisation","Programme Opérationnel FEDER 2007-2013","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Conservatoire du Littoral et des Rivages Lacustres","Travaux et aménagements du site de Bois Jolan Sainte-Anne",321356,141397,"FEDER ","GUADELOUPE","GUADELOUPE / POINTE-A-PITRE / POINTE-A-PITRE / SAINTE-ANNE","Programme Opérationnel FEDER 2007-2013","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"CREPS","Parcours de formation au brevet d'Etat d'éducateur sportif 1er degré (BEES A) option plongée subaquatique",159103,78096,"FONDS SOCIAL EUROPEEN","GUADELOUPE",,"Programme Opérationnel FSE 2007-2013","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"DAUPHIN TELECOM SAS","Modernisation du réseau d'accés DSL à Saint-Martin",703515.72,422109,"FEDER ","GUADELOUPE","GUADELOUPE / SAINT-MARTIN-SAINT-BARTHELEMY / SAINT-MARTIN-SAINT-BARTHELEMY / SAINT-MARTIN","Programme Opérationnel FEDER 2007-2013",,
"DEFIGEST","SENSIBILISATION A LA CREATION D'ENTREPRISE POUR LES DETENUS BAIE MAHAULT",48600,38880,"FONDS SOCIAL EUROPEEN","GUADELOUPE",,"Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"DEFIGEST","SENSIBILISATION A LA CREATION D'ENTREPRISE POUR LES DETENUS BT 2008",48600,38880,"FONDS SOCIAL EUROPEEN","GUADELOUPE",,"Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"DIRECTION DU TRAVAI, DE L'EMPLOI ET DE LA FOMATION PROFESSIONNELLE","BUDGET DE FONCTIONNEMENT 2008 DU SERVICE FSE DE LA DTEFP",279421.52,237508.3,"FONDS SOCIAL EUROPEEN","GUADELOUPE",,"Programme Opérationnel FSE 2007-2013",,
"DUBOIS IMAGERIES CARAIBES","PLAN DE FORMATION PROFESSIONNELLE 2008",53040,42432,"FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE / BASSE-TERRE / BAIE-MAHAULT / BAIE-MAHAULT","Programme Opérationnel FSE 2007-2013","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"DURIMEL Jean-Michel","Programme de constructions de gîtes touristique",301416.54,138651.61,"FEDER ","GUADELOUPE",,"Programme Opérationnel FEDER 2007-2013",,
"EDEN VANILLA","Création d'un hôtel",107718.01,49550.28,"FEDER ","GUADELOUPE",,"Programme Opérationnel FEDER 2007-2013",,
"EI JABES Marcellin","Equipement et aménagement d'une entreprise de fabrication de matériel médico-chirurgical et dentaire",251175.39,125587.7,"FEDER ","GUADELOUPE","GUADELOUPE / BASSE-TERRE / BAIE-MAHAULT / BAIE-MAHAULT","Programme Opérationnel FEDER 2007-2013",,
"EMERGENCE  INSTITUT","LUTTE CONTRE L'ILLETTRISME 2008-2009",82500,49500,"FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE / BASSE-TERRE","Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
