"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"COLLECTIVITE TERRITORIALE DE CORSE","Chambre de Métiers 2A 08/SFP/MA/017 Formation Ajusteur Stratifieur",193830,98853.3,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","Chambre de Métiers 2A 08/SFP/MA/032  CACES",38850,19813.5,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","Construction d'une infrastructure pour fibre optique sur la Balagne",3150000,1575000,"FEDER ","CORSE","CORSE-DU-SUD / AJACCIO","PO  FEDER Corse 2007-2013","11","Technologies de l'information et la communication (...)"
"COLLECTIVITE TERRITORIALE DE CORSE","CPS 08/SFP/MA/003   BP REA",130500,66555,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","CPS  08/SFP/MA/005   Brevet Professionnel Agricole option travaux de la production animale",69600,35496,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","CPS 08/SFP/MA/011 Conducteurs d'engins agricoles",13600,6936,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","CPS 08/SFP/MA/013 Maîtrise et technique de reproduction de l'élevage ovin",12000,6120,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","Création d'une ZAL en FT de bavella",202534.94,53469,"FEDER ","CORSE","CORSE-DU-SUD / SARTENE / TALLANO-SCOPAMENE / QUENZA","PO  FEDER Corse 2007-2013","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"COLLECTIVITE TERRITORIALE DE CORSE","Creation du portail Internet de la MiTIC",73600,,"FEDER ","CORSE","CORSE-DU-SUD / AJACCIO / AJACCIO / AJACCIO","PO  FEDER Corse 2007-2013","11","Technologies de l'information et la communication (...)"
"COLLECTIVITE TERRITORIALE DE CORSE","Etude de l'appropriation des TIC en Corse - Baromètre Numérique",211117,,"FEDER ","CORSE","CORSE-DU-SUD / AJACCIO","PO  FEDER Corse 2007-2013","11","Technologies de l'information et la communication (...)"
"COLLECTIVITE TERRITORIALE DE CORSE","GRETA 2A (Ajaccio) 08/SFP/MA/030  Métiers du tertiaire",84600,43146,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","GRETA 2A (Porto-Vecchio) 08/SFP/MA031 Métiers du tertiaire",84600,43146,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","GRETA 2B 08/SFP/MA/023  Module VAE Aide Soignant",4900,2499,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","GRETA 2B 08/SFP/MA/029  Métiers du tertiaire",115000,58650,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","ID FORMATION 08/SFP/MA/018 Diplôme d'etat d'aide médico psychologique (DEAMP°",53222,27143.22,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","ID FORMATION 08/SFP/MA/019 Diplôme d'état d'aide médico psycho pédagogique (Corté)",49905,25451.55,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","ID FORMATION 08/SFP/MA/021 Préparation au concours d'entrée à l'école d'aide soignant",29400,14994,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","ID FORMATION 08/SFP/MA/025  D E A V S",40178,20490.78,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","ID FORMATION Balagne 08/SFP/MA/022 Préparation concours entrée école aide-soignant",25980,13249.8,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","ID FORMATION Diplôme d'Etat d'ambulancier 08/SFP/MA/026",40800,20808,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","Ingénierie relative à l'étude de faisabilité d'un Espace Numérique de Travail (ENT) régional",150000,,"FEDER ","CORSE",,"PO  FEDER Corse 2007-2013","11","Technologies de l'information et la communication (...)"
"COLLECTIVITE TERRITORIALE DE CORSE","JSF08/SFP/MA/028 Préqualification aux métiers du sport",121122,61772.22,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","Mise aux normes DFCI de la route forestière de Ficaghjola en FT de TOVA",171281.68,45218.36,"FEDER ","CORSE","HAUTE-CORSE / BASTIA","PO  FEDER Corse 2007-2013","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"COLLECTIVITE TERRITORIALE DE CORSE","Mise en oeuvre de l'Espace Numérique de Travail (ENT) de Corse",2750000,857342.15,"FEDER ","CORSE",,"PO  FEDER Corse 2007-2013","11","Technologies de l'information et la communication (...)"
"COLLECTIVITE TERRITORIALE DE CORSE","Mise en oeuvre du Web2corsica - Corsica Terra Numerica 2.0",113675,56837.5,"FEDER ","CORSE","CORSE-DU-SUD / AJACCIO / AJACCIO / AJACCIO","PO  FEDER Corse 2007-2013","11","Technologies de l'information et la communication (...)"
"COLLECTIVITE TERRITORIALE DE CORSE","Mise en place d'une citerne DFCI",16830,4435,"FEDER ","CORSE","HAUTE-CORSE / BASTIA","PO  FEDER Corse 2007-2013","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"COLLECTIVITE TERRITORIALE DE CORSE","Remise à niveau de 3 points d'eau DFCI et pose de 8 barrières DFCI",31574,8335.54,"FEDER ","CORSE","CORSE-DU-SUD / AJACCIO","PO  FEDER Corse 2007-2013","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"COLLECTIVITE TERRITORIALE DE CORSE","SARL Centre éducation securité routière corse (CESR 20) 08/SFP/MA/033  FIMO Poids lourds",22234,11339.34,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
