"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"ORIGINAL PROCESS","QUALIVIVANT ",320990,,"FEDER ","BOURGOGNE","COTE-D´OR / DIJON / DIJON / DIJON","PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"OSEO garantie régions","Abondement du Fonds régional de garantie Bourgogne",4000000,1000000,"FEDER ","BOURGOGNE",,"PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"PARAY LE MONIAL","Campagne d'audit énergétique du patrimoine et du réseau d'éclairage",88210,,"FEDER ","BOURGOGNE","SAONE-ET-LOIRE / CHAROLLES / PARAY-LE-MONIAL / PARAY-LE-MONIAL","PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","43","Efficacité énergétique, cogénération, gestion de l'énergie"
"PARC NATUREL REGIONAL DU MORVAN","Collège en Morvan 2008",31065,12029.7,"FEDER ","BOURGOGNE",,"PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","63","Conception et diffusion de modes d'organisation du travail innovateurs et plus productifs"
"PARC NATUREL REGIONAL DU MORVAN","Création d'une Cellule Energies Renouvelables",178725,89362,"FEDER ","BOURGOGNE","NIEVRE / CHATEAU-CHINON(VILLE) / MONTSAUCHE-LES-SETTONS / SAINT-BRISSON","PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","41","Energie renouvelable: biomasse"
"PARC NATUREL REGIONAL DU MORVAN","Etude de marketing des grands lacs du Morvan",34339,3839,"FEDER ","BOURGOGNE",,"PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","57","Autres outils d'amélioration des services touristiques"
"PARC NATUREL REGIONAL DU MORVAN","Grande traversée du Morvan à VTT - 1ère phase",78369,31348,"FEDER ","BOURGOGNE",,"PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","57","Autres outils d'amélioration des services touristiques"
"PARC NATUREL REGIONAL DU MORVAN","Mise en place du contrat global Yonne Amont / Cure / Cousin Année 2009",40000,12000,"FEDER ","BOURGOGNE","Multilocalisation","PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"PARC NATUREL REGIONAL DU MORVAN","Mission d'animation Energies renouvelables - 2ième agent climat",35366,17683,"FEDER ","BOURGOGNE","NIEVRE / CHATEAU-CHINON(VILLE) / MONTSAUCHE-LES-SETTONS / SAINT-BRISSON","PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","41","Energie renouvelable: biomasse"
"PARC NATUREL REGIONAL DU MORVAN","Outils de gestion pour la ressource en eau",58247,13855,"FEDER ","BOURGOGNE",,"PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"PARC NATUREL REGIONAL DU MORVAN","Préserver la biodiversité en Morvan ",84500,33800,"FEDER ","BOURGOGNE",,"PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"PARC NATUREL REGIONAL DU MORVAN","tourisme durable",10528.04,4211.22,"FEDER ","BOURGOGNE",,"PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","63","Conception et diffusion de modes d'organisation du travail innovateurs et plus productifs"
"PARC NATUREL REGIONAL DU MORVAN","Valorisation Toubière de Champgazon",50000,18000,"FEDER ","BOURGOGNE","NIEVRE / CHATEAU-CHINON(VILLE) / MONTSAUCHE-LES-SETTONS","PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Pénélope Association B.A.R.R.E","Insertion par l'activité économique - Développer des actions d'entraide et de solidarité avec divers publics en difficulté et favoriser leur insertion - Atelier Boutique 2008",288391,4398,"FONDS SOCIAL EUROPEEN","BOURGOGNE","YONNE / SENS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Pénélope Association B.A.R.R.E","Insertion par l'activité économique - Développer des actions d'entraide et de solidarité avec divers publics en difficulté et favoriser leur insertion - Atelier Repassage 2008",248043,23450,"FONDS SOCIAL EUROPEEN","BOURGOGNE","YONNE / SENS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"PINETTE EMIDECAU INDUSTRIE","DEVELOPPEMENT D'UNE PRESSE D'EXTRUSION D'ORDURES MENAGERES",1020329,100000,"FEDER ","BOURGOGNE","SAONE-ET-LOIRE / CHALON-SUR-SAONE","PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","7","Investissements dans les entreprises directement liées à la recherche et l'innovation (...)"
"PLANCHEZ","Installation de chauffe-eau solaires pour le camping municipal",32309.14,,"FEDER ","BOURGOGNE","NIEVRE / CHATEAU-CHINON(VILLE) / MONTSAUCHE-LES-SETTONS / PLANCHEZ","PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","40","Energie renouvelable: én. solaire"
"PLASTO S.A.S","Mise en place de nouvelles technologies pour la réduction des émissions et amélioration du traitemen",952000,190400,"FEDER ","BOURGOGNE","COTE-D´OR / DIJON / CHENOVE / CHENOVE","PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"Plate-forme  Associative de Recherche d'emplois Interentreprises (P.A.R.I.)","Pari mobilité femmes",38083,18083,"FONDS SOCIAL EUROPEEN","BOURGOGNE","NIEVRE","Programme opérationnel national Fonds social européen","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"Plate-forme  Associative de Recherche d'emplois Interentreprises (P.A.R.I.)","Plate forme associative de recherche d'emploi interentreprises",33537,18083,"FONDS SOCIAL EUROPEEN","BOURGOGNE","NIEVRE","Programme opérationnel national Fonds social européen","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"Pôle Economie Solidaire de l'Agglomération Dijonnaise","Accompagner à la création d'activité",73506,23506,"FONDS SOCIAL EUROPEEN","BOURGOGNE","COTE-D´OR","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Pôle Economie Solidaire de l'Agglomération Dijonnaise","Dispositif Local d'Accompagnement de Côte-d'Or",104500,30000,"FONDS SOCIAL EUROPEEN","BOURGOGNE","COTE-D´OR","Programme opérationnel national Fonds social européen","80","Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
"Pôle Economie Solidaire de l'Agglomération Dijonnaise","Dispositif Local d'Accompagnement de Côte-d'Or",124000,45000,"FONDS SOCIAL EUROPEEN","BOURGOGNE",,"Programme opérationnel national Fonds social européen","80","Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
"POLE EMPLOI BOURGOGNE"," AGEPI - l'aide à la garde d'enfants pour parents isolés",61950,30975,"FONDS SOCIAL EUROPEEN","BOURGOGNE",,"Programme opérationnel national Fonds social européen","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"POLE EMPLOI BOURGOGNE","La semaine de l'emploi et de la formation professionnelle 2009",372000,100000,"FONDS SOCIAL EUROPEEN","BOURGOGNE",,"Programme opérationnel national Fonds social européen","72","Élaboration, introduction et mise en oeuvre de réformes dans les systèmes d'éducation et de formation..."
"POLE EMPLOI BOURGOGNE","Validation des Acquis de l'Expérience (VAE)",97060.41,48530.2,"FONDS SOCIAL EUROPEEN","BOURGOGNE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
