"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"Association Educative ROZO","Association ROZO - DISPO redynamisation individuelle 2008",141800,87410,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE / REMIRE-MONTJOLY / REMIRE-MONTJOLY","PO FSE GUYANE","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association GRAINE Guyane","Favoriser la communication sur l'éducation à l'environnement vers un développement durable, l'innovation et l'évaluation",52015,20806,"FEDER ","GUYANE","GUYANE","PO FEDER GUYANE 2007-2013",,
"ASSOCIATION GUYANAISE DE FORMATION EN TRAVAIL SOCIAL (AGFTS)","Classe préparatoire aux concours d'entrée aux écoles sociales",48297,31948,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"ASSOCIATION GUYANAISE DE FORMATION EN TRAVAIL SOCIAL (AGFTS)","Classes préparatoires aux concours d'entrée aux écoles sanitaires et sociales",68955,43166,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"ASSOCIATION GUYANAISE DE FORMATION EN TRAVAIL SOCIAL (AGFTS)","FILIERE SOCIALE",205623,147378,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"ASSOCIATION GUYANAISE DE FORMATION EN TRAVAIL SOCIAL (AGFTS)","FORMATION AIDE MEDICO-PSYCOLOGIQUE",61338,42869,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"ASSOCIATION GUYANAISE DE FORMATION EN TRAVAIL SOCIAL (AGFTS)","FORMATION ASSISTANT DE SERVICE SOCIAL Année1",146245,105694,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"ASSOCIATION GUYANAISE DE FORMATION EN TRAVAIL SOCIAL (AGFTS)","FORMATION EDUCATEUR DE JEUNES ENFANTS",74366,52640,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"ASSOCIATION GUYANAISE DE FORMATION EN TRAVAIL SOCIAL (AGFTS)","Formation en éducation spécialisée",256732,182859,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"ASSOCIATION GUYANAISE DE FORMATION EN TRAVAIL SOCIAL (AGFTS)","FORMATIONS EN EDUCATION SPECIALISEE",227170,159833,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"ASSOCIATION GUYANAISE DE FORMATION EN TRAVAIL SOCIAL (AGFTS)","Formations socio-éducatives aide medico-psychologique et auxiliaire de vie sociale. Niveau V.",156224,110328,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"ASSOCIATION KOUROUCIENNE  D'AIDE AUX TI'JEUNES (AKATI'J)","Préformation de jeunes filles formation alternée préqualifinate aux métiers de la personnes 2008-2009",111603,68000,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE / KOUROU / KOUROU","PO FSE GUYANE","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association pour le droit a l'Initiative Economique","Dotation aux prêts d'honneur 2008-2010 pour l' ADIE Guyane",335000,150750,"FEDER ","GUYANE","GUYANE","PO FEDER GUYANE 2007-2013",,
"AUTO HALL CENTER DISTRIBUTION GUYANE - SUD MOTORS","Plan de formation technique et administrative 2008 et 2009 secteur automobile ",304401,134681,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE / CAYENNE / CAYENNE","PO FSE GUYANE","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"BOUTIQUE DE GESTION","Dispositif de détermination du projet professionnel (lot9) Boutique de gestion.",18857,14142.75,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"BOUTIQUE DE GESTION","Session préparatoire au certificat à la gestion associative. Apatou (Lot 11).",9458,7094,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"BOUTIQUE DE GESTION","Session préparatoire au certificat à la gestion associative. Awala-Yalimapo (Lot 12).",10615,7961.25,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"BOUTIQUE DE GESTION","Session préparatoire au certificat à la gestion associative. Maripasoula (lot 10).",11155,8366.25,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"CAP DOM 2 / SCIERIE DE L'EST GUYANAIS","acquisition de matériels d'exploitation et transport de bois",297450,70000,"FEDER ","GUYANE","GUYANE / CAYENNE / ROURA / ROURA","PO FEDER GUYANE 2007-2013",,
"CAP DOM 2 / SCIERIE DE L'EST GUYANAIS","Mise en place d'une unité d'extraits aromatiques",570085,275000,"FEDER ","GUYANE","GUYANE","PO FEDER GUYANE 2007-2013","9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"CAP DOM 4","Acquisition d'une ligne de laminage",464600,212300,"FEDER ","GUYANE","GUYANE / CAYENNE / REMIRE-MONTJOLY / REMIRE-MONTJOLY","PO FEDER GUYANE 2007-2013",,
"Cellule Economique Régionale du BTP","Observatoire du marché de la construction en Guyane - Soutien aux entreprises du secteur",283825,120000,"FEDER ","GUYANE","GUYANE","PO FEDER GUYANE 2007-2013",,
