name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung,jahr_der_abschliessenden_restzahlung,gewahrte_betrage,gezahlte_gesamtbetrage
H & M Gebäudetechnik GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Elektroniker für Energie- und Gebäudetechnik",2008,,2500
Haarvita,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Friseurin",2008,,2500
Hans-Jürgen Gesterding GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Maler und Lackierer",2007,,2500
Harald Beck,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Steuerfachangestellten",2008,,2500
Hartmut Marwede Metallbau,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Metallbauer",2008,,2500
HEBO GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Bürokauffrau",2008,,2500
Heiko Witte GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Anlagenmechaniker",2008,,2500
Heinrich Heuer CNC-Fräs- und Bohrtechnik,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Zerspanungsmechaniker",2008,,2500
Heinz-Hermann Appiarius,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Mechaniker für Land- und Baumaschinen",2008,,2500
Herder & Jurk GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Elektroniker",2008,,2500
Hermut Hubert Landtechnik,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Mechaniker für Land- und Baumaschinentechnik",2008,,2500
HOL¿AB! Getränkemarkt,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kaufmann im EInzelhandel",2008,,2500
Hotel Deutsches Haus,Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -Restaurantfachmann,2008,,2500
"Hotel Landhaus Höpen Inh. HMS Hotel-u. Marketing-Service
GmbH","Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Koch",2008,,2500
Hotel Schäferhof GmbH & Co. KG,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Hotelfachfrau",2008,,2500
Hotel Schäferhof GmbH & Co. KG,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Köchin",2008,,2500
Hotel Wattenkieker,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Hotelfachfrau",2008,,2500
Huxol Fahrzeugteile KfZ-Meister-Fachbetrieb,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
KfZ-Mechatroniker",2008,,2500
Juhnke Elektrotechnik,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Elektroniker für Energie- und Gebäudetechnik",2008,,2500
Jürgen Dieter Roth,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Arzthelferin",2008,,2500
Kadani GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Mechatroniker",2008,,2500
Karl-Heinz Pfeiffer Bäckerei-Conditorei-Café,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Verkäuferin",2008,,2500
KFZ - Steinkopf GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kraftfahrzeugmechatroniker",2008,,2500
Klaus Bartels Malereibetrieb Color und Raum-Design,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Maler und Lackiererin",2008,,2500
Klaus-Dieter Winkler Steuerbevollmächtigter,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Steuerfachangestellten",2008,,2500
Kleintierpraxis Dr. Regensburger,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
tiermedizinische Fachangestellte",2007,,2500
Kluth & Sohn Haustechnik GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Bürokauffrau",2008,,2500
KVT-Klävertec GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Elektroniker für Betriebstechnik",2008,,2500
Landgasthof Karze,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Restaurantfachfrau",2007,,2500
Landschlachterei Bock & Schultze,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Fleischer",2008,,2500
LST Leit- und Sicherungstechnik GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Bürokauffrau",2008,,2500
Luhe-Apotheke,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Pharmazeutisch-Kaufmännischen  Angestellten",2008,,2500
Maler Schneider GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Bauten- und Objektbeschichter",2008,,2500
Marko Rebien,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kauffrau für Versicherungen und Finanzen",2007,,2500
Markus Bohm,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Steuerfachangestellten",2008,,2500
Meisterbäcker Neuber GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Bäckereifachverkäuferin",2008,,2500
Michael Huff,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Zimmerer",2007,,2500
Moneta Elektrotechnik,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Elektroniker für Energie- und Gebäudetechnik",2007,,2500
NAC GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kauffrau im Einzelhandel",2008,,2500
Nadine Klappauf Work of Art,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Friseurin",2008,,2500
OBI Dodenhof Heimwerkermarkt GmbH & Co. KG,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kauffrau im Einzelhandel",2008,,2500
Orthopädie Technik,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Orthopädiemechaniker",2008,,2500
Putenhof Belitz,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Pferdewirtin",2008,,2500
Raiffeisen Centralheide,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kaufmann im Groß- und Außenhandel",2008,,2500
Rainer Hullmann Zahnarzt,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
zahnärztlichen Fachangestellten",2008,,2500
Reinhardt Raumkonzept GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Tischler",2008,,2500
"Restaurant ""Armer Ritter""","Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Fachkraft im Gastgewerbe",2008,,2500
Ristorante L'Osteria,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Fachkraft im Gastgewerbe",2008,,2500
Ristorante Rossini's,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Fachkraft im Gastgewerbe",2008,,2500
Sabri Kuru,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Feinwerkmechaniker",2007,,2500
Salon Haar-lekin,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Friseurin",2008,,2500
Sanitätshaus Ostrowski,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kauffrau im Einzelhandel",2008,,2500
Schiller & Ismail Telemarketing GbR,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Servicefachkraft für Dialogmarketing",2008,,2500
Schlüter,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Verkäufer",2008,,2500
Schröder Autofit,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kfz-Mechatroniker",2007,,2500
Seyer-Carstens Metallbau,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Bürokaufmann",2008,,2500
Sky Lebensmittelverbrauchermarkt Rainer Dittmers,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Verkäufer",2008,,2500
Soltauer Elektrotechnik GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Elektroniker",2008,,2500
spohler direct zeitarbeit & personalentwicklung GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Personaldienstleistungskauffrau",2008,,2500
Sport Wichterich,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Einzelhandelskaufmann",2008,,2500
Steinbildhauerei Thomas Glink,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Steinmetz",2008,,2500
Tanja's Friseurstube Inh. Tanja Kruse,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Friseurin",2008,,2500
Tank- und Rastanlagen Langwedel Nord/Süd,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kaufmann im Einzelhandel",2008,,2500
Tank- und Rastanlagen Langwedel Nord/Süd,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kaufmann im Einzelhandel",2008,,2500
TEC Hünert GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Metallbauer",2007,,2500
Thiele Bohrunternehmen GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Bürokauffrau",2008,,2500
Thiele Metalltechnik GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Feinwerkmechaniker",2008,,2500
Thiele Metalltechnik GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Feinwerkmechaniker",2008,,2500
Thomas Treude GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Industriekauffrau",2008,,2500
Tischlerei & Zimmerei Martin Dienelt,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Tischler",2008,,2500
Tischlerei Adolf Indorf jun.,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Tischler",2008,,2500
Tischlerei Engelmann,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Tischler",2008,,2500
Toni's Maler-Design Jeton Gashi,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Maler und Lackiererin",2008,,2500
Torsten Lorenzen Gas-Wasser-Heizung,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Anlagenmechaniker, Gas- und Wasserinstallateur",2008,,2500
t+t Markt Christiansen Heimtex GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Maler und Lackierer",2008,,2500
"Tutas, Knust & Partner Steuerberatungsgesellschaft","Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kauffrau für Bürokommunikation",2008,,2500
Uhren Fachwerkstatt Kittelmann,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Uhrmacherin",2007,,2500
USP Umweltservice GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Servicefahrer",2007,,2500
VW-Audi Autohaus Dettmer,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
KfZ-Mechatronikerin",2008,,2500
Wassermann Möbel Werkstätte,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Tischler",2008,,2500
Wulf GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Mechatroniker für Kältetechnik",2008,,2500
Zahnartzpraxis Reinscher,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
zahnmedizinischen Fachangestellten",2008,,2500
Zahnartzpraxis Reinscher,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
zahnmedizinischen Fachangestellten",2008,,2500
Zahntechnik Hansmann GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Zahntechnikerin",2008,,2500
Zajons Logistik Entsorgungsgesellschaft mbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Elektroniker",2008,,2500
Zevener Brillenhaus,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Augenoptikerin",2008,,2500
Zimmerei & Sägerei H.+M. Specketer OHG,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Zimmerer",2008,,2500
Zimmerei Björn Schwabe,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Zimmerer",2008,," 2,500.00 "
Zimmerei Wolfgang Möck,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Zimmerer",2008,,2500
Autozubehör Plesse GmbH & Co. KG,"Förderung von Auszubildenden aus Insolvenzbetrieben - KfZ-
Mechatroniker",2008,,2589.66
Eden Raumausstatter,"Förderung von Auszubildenden aus Insolvenzbetrieben -
Raumausstatter",2009,,3151.26
Fotografin Sandra König,"Förderung von Auszubildenden aus Insolvenzbetrieben -
Fotografin",2008,,3231.92
Jan Tobias Wendelken,"Beratung zur Übernahme einer tätigen Beteiligung an einer Ingeni
eursgesellschaft für Statik und Brandschutz",2009,,3600
MTV Treubund Sportmarketing GmbH,"Förderung von Auszubildenden aus Insolvenzbetrieben - Sport-
und Fitnesskaufmann",2009,,3926.42
Kfz-Werkstatt Jan Wahl,"Förderung von Auszubildenden aus Insolvenzbetrieben -
Kraftfahrzeug-Mechatroniker, Pkw-Technik",2009,,3939.2
Restaurant Am Meer,"Förderung von Auszubildenden aus Insolvenzbetrieben -
Restaurantfachfrau",2008,,4174.86
Restaurant Am Meer,Förderung von Auszubildenden aus Insolvenzbetrieben - Koch,2008,,4180.14
Gerd Ostenfeld Hoch- und Tiefbau KG,Förderung von Auszubildenden aus Insolvenzbetrieben - Maurer,2009,,4284.67
S & P GmbH & Co. KG,"Förderung von Auszubildenden aus Insolvenzbetrieben -
Elektroniker",2008,,4398.48
GT Gebäudetechnik GmbH,"Förderung von Auszubildenden aus Insolvenzbetrieben -
Anlagenmechaniker für SHK",2008,,4477.06
Renke Redell,der Beratung zur Übernahme des Ingenieurbüros Redell,2009,,4650
Bürowelt Köhn GmbH & Co. KG,"Förderung von Auszubildenden aus Insolvenzbetrieben -
Informationstechniker, Bürosystemtechnik,",2009,,4841.89
Alte Jeetzel-Buchhandlung und Verlag GmbH,"Förderung von Auszubildenden aus Insolvenzbetrieben -
Einzelhandelskauffrau",2009,,4872.36
Ulrike Fritz e.K.,"Förderung von Auszubildenden aus Insolvenzbetrieben -
Reiseverkehrskauffrau",2009,,5217.25
Johannes Seufert + Sohn GmbH,"Förderung von Auszubildenden aus Insolvenzbetrieben -
Anlagenmechaniker SHK",2008,,5956.24
Spätemitschwalb GmbH,"Förderung von Auszubildenden aus Insolvenzbetrieben -
Mediengestalterin für Digital- und Printmedien",2008,,6578
AS Asphaltstraßensanierung GmbH,"Förderung von Auszubildenden aus Insolvenzbetrieben -
Kaufmann im Groß- und Außenhandel",2009,,7026.25
Autohaus Horst Pankotsch GmbH,"Förderung von Auszubildenden aus Insolvenzbetrieben -
Kraftfahrzeugmechatroniker",2009,,7237.55
Bäckerei Behrens e.K.,"Förderung von Auszubildenden aus Insolvenzbetrieben -
Bäckergeselle",2009,,7302.66
Fernseh-Nehrig GmbH,"Förderung von Auszubildenden aus Insolvenzbetrieben -
Kaufmann im Einzelhandel",2008,,7975.2
Posdziech Hausbau GmbH,"Förderung von Auszubildenden aus Insolvenzbetrieben -
Bürokauffrau",2009,,8238.83
Thomas Lieberenz,"Förderung von Auszubildenden aus Insolvenzbetrieben - SHK-
Anlagenmechaniker",2008,,8521.1
Elfers Metallbau,"Förderung von Auszubildenden aus Insolvenzbetrieben -
Metallbauer Konstruktionstechnik",2009,,8570.8
BECO Hoch- und Ingenieurbau GmbH & Co. KG,Förderung von Auszubildenden aus Insolvenzbetrieben - Maurer,2009,,9102.62
Lohr GmbH,"Förderung von Auszubildenden aus Insolvenzbetrieben -
Anlagenmechaniker für Sanitär-, Heizungs- und Klimatechnik",2009,,9112.34
Henning Panning,"Förderung von Auszubildenden aus Insolvenzbetrieben -
Kraftfahrzeugmechatroniker",2009,,9221.03
Maurer- und Zimmermeister Wilfried Klingenberg,Förderung von Auszubildenden aus Insolvenzbetrieben - Zimmerer,2009,,9317.65
Samtgemeinde Lüchow,"Erstellung eines Umsetzungs- und Maßnahmenkonzeptes zur
Erreichung einer sozialen und pädagogischen Inklusion",2008,,60325
Bildungswerk ver.di in Niedersachsen e.V.,"Markt- und Kundenorientierung als Erfolgsstrategie für das
Bäckerhandwerk",2008,,63415.79
"Bildungsvereinigung Arbeit und Leben Nord gemeinnützige
GmbH","Betriebsräte mischen sich ein - EU Projekte für die Region
Cuxhaven / Stade gestalten",2008,,63683.51
Kreisvolkshochschule Verden,Vertrieb ohne Grenzen,2008,,65441.15
Stadt Achim,Bildungserfolg durch Gestaltung von Vielfalt,2008,,69685
Bildungswerk der Niedersächsischen Wirtschaft gGmbH,"Career - Chancen Aktiv Realisieren und Ergreifen in der
Ernährungsbranche",2008,,69854.96
"Institut für Weiterbildung in der Kranken- und Altenpflege
gGmbH","Umgang und Betreuung von Demenzkranken im Rahmen des
demographischen Wandels",2008,,70754.83
target GmbH,Der Energieausweis für Gebäude,2008,,77486.84
Bildungswerk der Niedersächsischen Wirtschaft gGmbH,"LIFT - Langzeitarbeitslose - Integrieren - Fördern - Trainieren für
Kunden der ARGE (offene Altersgruppe)",2008,,78640.37
BUPNET GmbH,Fachtherapeut/in für betriebliche Gesundheitsprävention,2008,,84720
iabos organisationsentwicklung gmbh,Kundenorientierung im Mittelstand - KIM,2008,,95102.31
BUPNET GmbH,KVBF - Kompetenzforum Vereinbarkeit von Beruf und Familie,2008,,96069.94
BUPNET GmbH,Kompetenzforum Management im Sozial- und Gesundheitswesen,2008,,96619
BUPNET GmbH,Physio Ltd.,2008,,96619
Bildungswerk der Niedersächsischen Wirtschaft gGmbH,Führungskraft der niedersächsischen Wirtschaft,2008,,98338.13
BUPNET GmbH,Betriebliches Gesundheitsmanagement,2008,,99661
target GmbH,"Qualifizierungspass Energie- und Gebäudetechnik für Beschäftigte
(Gesellen und ältere Mitarbeiter) des SHK Handwerks",2007,,100254.29
target GmbH,Fachkraft für Qualitätssicherung,2009,,103797.27
BUPNET GmbH,HSM - Health and Social Service Management,2008,,104028
Volkshochschule Stade e.V.,Nachhaltige Kompetenzentwicklung durch Dialog und Vernetzung in der Region Stade,2008,,105764.91
Volkshochschule Heidekreis gGmbH,Ausbildungsverbund Heidekreis,2008,,108579.93
Weibsbildung e.V.,Jobkompetenz (weiter)entwickeln,2008,,114313.7
Albert-Schweitzer-Familienwerk e.V.,Jobwerk,2008,,116105
target GmbH,"Länderübergr. Modellprojekt zur inh. u. meth. Weiterentw. eines
Zertifikatslehrgangs Energie-Effizienz-Experten",2008,,118181.04
RubiCon GmbH,"Exporttraining für Beschäftigte in kleinen und mittleren
Unternehmen - Export als Chance",2008,,119377.5
Ländliche Erwachsenenbildung in Niedersachsen e. V.,"AQuA - Ausbildung-Qualifizierung-Arbeit für junge Leute unter 25
Jahren",2007,,120615.06
Bildungswerk der Niedersächsischen Wirtschaft gGmbH,"Trainieren, Aktivieren, Coachen und Kooperieren (Track-Junior)",2008,,122283.72
"Bildungsvereinigung Arbeit und Leben Nds. Mitte
gemeinnützige GmbH",Inklusive Menschenrechte,2008,,130377.4
Ev. Bildungszentrum Bad Bederkesa,OPTIMUM,2008,,134778.9
target GmbH,"Transnationales Modellprojekt zur inhaltlichen und methodischen
Weiterentwickl. des Zertifikatslehrgangs Passivhaus-Planer [...]",2008,,137776.31
AWL Akademie für Wirtschaft und Logistik,Qualifizierungsnetzwerk Logistik,2009,,140025.49
Stiftung niedersächsischer Gedenkstätten,"Entrechtung als Lebenserfahrung, Vertiefungsphase I",2008,,141857.15
BUPNET GmbH,IMPULS-K,2008,,141896
Bildungswerk der Niedersächsischen Wirtschaft gGmbH,"Solid-stabil, aktiv und qualifiziert",2008,,148286.82
ProArbeit kommunale Anstalt öffentlichen Rechts,Grüne Kompetenzentwicklung,2008,,148759.9
Bildungswerk der Niedersächsischen Wirtschaft gGmbH,Trainieren-Aktivieren-Coachen-Kooperieren ( TRACK),2008,,149584.1
Quotac Management GmbH,Kompetenzaktivierung durch innerbetriebliche Lernberatung,2008,,151253.03
Ländliche Erwachsenenbildung in Niedersachsen e. V.,"AQuA - Ausbildung, Qualifizierung und Arbeit für junge Leute unter
25 Jahren",2007,,152451.47
BUPNET GmbH,eMent,2008,,155838
inlingua Stade,Metropol,2008,,161713.87
ProArbeit kommunale Anstalt öffentlichen Rechts,Wettbewerbsvorteil familienbewusste Personalpolitik,2008,,161721.6
CMC Osterholz-Scharmbeck,WIR + Dynamik,2008,,162473
Kreisvolkshochschule Verden,"Chance 50plus - Wissen auffrischen, Defizite ausgleichen,
Erfahrungen nutzen für den erfolgreichen Wiedereinstieg",2008,,164337.33
Berufsbildungswerk Cadenberge Stade gGmbH,InterFlex,2008,,169102.62
Bildungswerk der Niedersächsischen Wirtschaft gGmbH,FRESH-Bremervörde,2008,,170409.2
BUPNET GmbH,ALP - Arbeitskreis ländliche Pflege,2008,,171341
Bildungswerk der Niedersächsischen Wirtschaft gGmbH,JobStream,2008,,171848.15
"Evangelische Erwachsenenbildung Niedersachsen - Region
Nord",Grenzen überwinden,2008,,173879.27
Berufsbildungswerk Cadenberge Stade gGmbH,G.P.S. - Gender.Potenziale.Stärken,2008,,174110.35
Ländliche Erwachsenenbildung in Niedersachsen e. V.,FiBeMi - Fit im Beruf für Migrantinnen,2008,,176179.81
Bildungswerk ver.di in Niedersachsen e.V.,"Fit for Change - Zukunftsorientierte Personalentwicklung im Sozial-
und Gesundheitswesen",2008,,177753.12
Landkreis Harburg,VisioN,2008,,177839.55
ComPers Niedersachsen GmbH,Berufsbegleitende Qualifizierung zum geprüften IT Projektleiter,2007,,178625.24
Bildungswerk der Niedersächsischen Wirtschaft gGmbH,"Food - Beschäftigung im Bereich der Ernährungswirtschaft
Konvergenzgebiet Region Lüneburg - Uelzen",2008,,179128.75
Kreisvolkshochschule Verden,Jobs - Stapelweise - Beschäftigungschancen im Lager,2008,,179777
IHK Lüneburg-Wolfsburg,Ausbildung Plus Niedersachsen,2007,,180001.74
Quotac Management GmbH,Qualifikation und Motivationsförderung in der stationären Pflege,2008,,180364.17
"Arbeitsgemeinschaft Berufsbildung und örtliche Entwicklung
e.V.",Oualifizierung und Arbeit für Zugewanderte (QUARZ),2008,,180399.55
Evangelisches Bildungswerk Elbe-Weser gGmbH,MoEWe - Motivation - Erfolg - Wertschätzung,2008,,181546.27
"Evangelische Erwachsenenbildung Niedersachsen - Region
Nord","MariTech - Personal- und Organisationsentwicklung in Betrieben
der maritimen Technologien",2008,,182673.83
"Industrie- und Handelskammer Stade für den Elbe-Weser-
Raum",Ausbildung Plus Niedersachsen,2007,,183881.97
Volkshochschule im Landkreis Cuxhaven e.V.,"""Febe.Net - Frauen und E-Business - erfolgreich im Netz""",2009,,185075.68
Volkshochschule im Landkreis Cuxhaven e.V.,Frauen ans Netz,2008,,185231.49
"Deutsche Angestellten Akademie GmbH Zweigst.
Nordostniedersachsen / Altmark","update - Förderung von Wirtschaftskompetenzen qualifizierter
Teilnehmer und Implementierung flexibler Arbeitszeitmodelle",2009,,186924.33
"LEB, Region Nord",Heavy Metal ROW 2008,2008,,189922.86
Bildungswerk der Niedersächsischen Wirtschaft gGmbH,Fresh-Frauen finden einen Einstieg - v. Service bis zum Handwerk,2008,,189989.13
inab Unternehmen für Bildung,"Laminieren im Flugzeug-, Schiff- und Windenergieanlagenbau",2008,,194608.35
Volkswagen Qualifizierungsgesellschaft mbH,"Quo Vadis - Qualifizierungsoffensive im Verbund: aktiv im
demographischen Wandel",2008,,195263.24
inlingua Stade,T? - Transport & Transfer,2008,,195437.6
Berufsbildungswerk für Handel und Dienstleistungen e.V.,Outsourcing@Dienstleistungen,2007,,196198.72
"Bildungsvereinigung Arbeit und Leben Nds. Mitte
gemeinnützige GmbH","Modellprojekt ""Beraterin in Entwicklungsprozessen von Non- Profit
Organisationen",2008,,196622.47
"Evangelische Erwachsenenbildung Niedersachsen - Region
Nord",Future Technologies,2008,,197193.23
Einzelhandelsverband Harz-Heide e.V.,Eventmanagement im Tourismussektor,2009,,197455.53
Volkshochschule im Landkreis Cuxhaven e.V.,F3Plus - Virtual Learning,2008,,200750.1
Evangelisches Bildungswerk Elbe-Weser gGmbH,Go Logistic,2008,,202403.67
Evangelisches Bildungswerk Elbe-Weser gGmbH,Führungsstärke ALTERnativ,2008,,202563.26
Grone Schulen Niedersachsen gGmbH, Ziel_U25,2007,,203166.84
Evangelisches Bildungswerk Elbe-Weser gGmbH,"IKARUS - Innovations- und Qualifikationsmanagement für soziale
Dienstleistungsunternehmen zur Bewältigung des Strukturwandels",2008,,205495.47
"Landesarbeitsgemeinschaft der Freien Wohlfahrtspflege in
Niedersachsen",Europa-Beratungsbüro der Freien Wohlfahrtspflege,2007,,207643.89
neue arbeit Lüneburg gGmbH,"neue arbeit - neue Chancen Qualifizierung von wohnungslosen
Menschen",2008,,207904.61
Bildungswerk der Niedersächsischen Wirtschaft gGmbH,"Balance - Beeinträchtigte Arbeitslose - Langfristig Aktivieren,
Nachhaltig Coachen und Eingliedern",2008,,208279.04
"Deutscher Gewerkschaftsbund Niedersachsen - Bremen -
Sachsen-Anhalt",EU-Beratungsstelle der Gewerkschaften im Konvergenzgebiet,2007,,208741.39
Berufsbildungswerk Cadenberge Stade gGmbH,"MigraMare - Ein innovatives Projekt zur nachhaltigen Stärkung des
Maritimen Clusters in der Region Cuxhaven",2007,,209730.22
Bildungswerk der Niedersächsischen Wirtschaft gGmbH,Berufliche Integration gewichtiger Menschen - BIG -,2008,,210550.25
Grone Schulen Niedersachsen gGmbH,"""Sprache-Plus-Praxis""",2009,,213108.63
Grone Schulen Niedersachsen gGmbH,"Job Future - Integrationsprojekt für geringqualifizierte junge
Erwachsene",2008,,213366.78
Volkswagen Qualifizierungsgesellschaft mbH,HELP Car,2008,,214481.15
Arbeitgeberverband Lüneburg-Nordostniedersachsen e.V.,Arbeitgeberberatung für Personal- und Organisationsentwicklung,2007,,220106.41
Grone Schulen Niedersachsen gGmbH,"in-work - Integrationsprojekt für geringqualifizierte junge
Erwachsene in ausgewählten Berufsfeldern",2008,,220780.72
"Bildungsvereinigung Arbeit und Leben Nds. Ost
gemeinnützige GmbH","Zukunftsperspektiven in der Pflege - Innovative
Kompetenzentwicklung",2008,,221469.7
Bildungswerk der Niedersächsischen Wirtschaft gGmbH,"Balance-Beeinträchtigte Arbeitslose-Langfristig Aktivieren,
Nachhaltig Coachen und Eingliedern",2008,,224767.29
Johann Daniel Lawaetz-Stiftung c/o DGB,Fit für die Zukunft durch innovative Kompetenzentwicklung,2008,,225241.51
"LEB, Region Nord",Heavy Metal CUX 2008,2008,,227072.69
"AKÖH.NDS Arbeitskreis ökologischer Holzbau
Regionalzentrum Niedersachsen e.V.",innoBau,2008,,230454.48
rkn GmbH,HELP Hermannsburg,2008,,231693.82
"LEB, Region Nord",Heavy Metal BRV 2008,2008,,234548.22
Ev.Familienbildungsstätte,Alltagsassistenz für Senioren und Menschen mit Behinderungen,2008,,235718.49
Grone Schulen Niedersachsen gGmbH,TRUCK - Training und Chancen für Kraftfahrer,2008,,244512.92
Landkreis Uelzen,Gründungswerkstatt Uelzen,2008,,245526
Berufsbildungswerk Cadenberge Stade gGmbH,"rotation - Personalgewinnung durch ein rotierendes
Qualifizierungssystem",2009,,248343.78
Bildungswerk der Niedersächsischen Wirtschaft gGmbH,TRACK junior,2008,,249305.88
Kreisvolkshochschule Verden,"Vielfalt zeigen: Berufliche Qualifizierung für Migrantinnen und
Aussiedlerinnen im Bereich Gesundheit und Pflege",2008,,249908
Berufsbildungswerk Cadenberge Stade gGmbH,"PRIMUS-Ein innovatives und praxisorientiertes Projekt zur
Integration Jugendlicher in den ersten Arbeitsmarkt",2008,,251474.46
neue arbeit Lüneburg gGmbH,neue wege zum job - life/work planning & medien,2008,,254662.74
Kreisvolkshochschule Verden,"TZA: Betriebliche TeilZeitAusbildung für Mütter, als Start ins
Berufsleben",2008,,255083
