aktion,zuwendungsempfanger,projekt,beginn,ende,projektvolumen,fund_type,uri
A 3,Koordinierungsstelle Weiterbildung und Beschäftigung e.V. (e.V.),Logistik fit für den demografischen Wandel,09.03.09,08.03.11,213.306,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 3,Koordinierungsstelle Weiterbildung und Beschäftigung e.V. (e.V.),Netzwerkstelle Lebenslanges Lernen - Region HH,09.03.09,08.03.11,207.842,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 2,Koordinierungsstelle Weiterbildung und Beschäftigung e.V. (e.V.),Service Digitale Arbeit,01.01.08,31.12.10,889.226,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 1,Koordinierungsstelle Weiterbildung und Beschäftigung e.V. (e.V.),Worklife - Koordinierungsstellen Familie und Beruf,01.01.08,31.12.10,1.536.847,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 1,Koordinierungsstelle Weiterbildung und Beschäftigung e.V. (e.V.),Zukunftspilot,09.03.09,31.12.10,385.411,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 6,Lawaetz-Service GmbH (GmbH),Integration v. Obdachlosen,01.02.08,31.01.11,864.361,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 2,ma-co maritimes competenzzentrum e.V. (e.V.),Kompetenzbasierte Qualifizierung in der Logistik,01.11.08,15.07.09,29.250,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 2,ma-co maritimes competenzzentrum e.V. (e.V.),ma-co berät: Track & Trace für Ihr Personal,01.08.08,30.09.10,189.667,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 3,Mook Wat - Verein zur Förderung der Selbsthilfe e.V. (e.V.),Agentur für regionale Bildungskooperation Dulsberg,01.01.10,31.12.12,299.668,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 2,Passage gemeinnützige Gesellschaft für Arbeit und Integration mbH (GmbH),MiA - Ausbildung zur Gesundheits- u. Krankenpflege,01.01.08,30.09.12,1.479.309,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 1,Passage gemeinnützige Gesellschaft für Arbeit und Integration mbH (GmbH),MiKe - Kenntnisprüfung migriertes Pflegepersonal,01.01.08,28.02.09,237.375,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 1,Passage gemeinnützige Gesellschaft für Arbeit und Integration mbH (GmbH),SchülerInnen aktiv in den Beruf,01.01.08,31.12.10,957.039,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 2,Plus Punkt GmbH (GmbH),GOAL - Wir vermitteln in Ausbildung,01.01.08,31.12.10,1.117.620,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 3,"Quadriga gemeinnützige Gesellschaft für Beratung, Jugend, Kultur und Arbeit mbH (gGmbH)",Regionale Bildungsagentur-Wandsbek,01.01.10,31.12.12,449.437,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 1,quatra-Vorsprung durch Qualifizierung GmbH (GmbH),Quick Quali,01.01.08,31.03.09,103.456,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 2,SBB Kompetenz gGmbH (gGmbH),Fit für Umschulung,01.03.08,28.02.11,904.735,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 2,SBB Kompetenz gGmbH (gGmbH),LOG ein Bergedorf,01.03.08,30.09.09,142.140,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 1,SBB Kompetenz gGmbH (gGmbH),MiMi Mitarbeiterquali f. Migranten/innen,01.02.08,31.01.11,374.685,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 1,SBB Kompetenz gGmbH (gGmbH),Modulquali für Gesundheits- u. Pflegeassistenz,01.04.08,31.03.10,521.303,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 3,SBB Kompetenz gGmbH (gGmbH),Qualitätsprofil Hamburger Hauswart/in,07.02.08,31.01.10,549.839,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 5,SBB Kompetenz gGmbH (gGmbH),Spurwechsel,07.02.08,31.01.10,534.166,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 1,SBB Kompetenz gGmbH (gGmbH),Vom Rand in die Mitte - jg. Sinti/Roma- HH-Mitte,01.03.09,28.02.11,193.996,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 2,Sprungbrett Dienstleistungen gGmbH (gGmbH),Bergedorfer Ausbildungsverbund,01.08.08,31.07.10,134.339,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 2,Stiftung Freie evangelische Gemeinde in Norddeutschland (Stiftung),AQUABA für Flüchtlinge,01.01.08,31.12.10,907.646,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 5,Therapiehilfe e.V. (e.V.),Die Werkstatt!,01.01.10,31.12.11,506.911,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 3,Tu Tech Innovation GmbH (GmbH),Best Ager Biotech,01.01.10,31.12.11,488.352,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 4,Tu Tech Innovation GmbH (GmbH),Fine,01.03.09,28.02.11,422.773,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 4,Tu Tech Innovation GmbH (GmbH),Hamburg LIVING LAB für Medizintechnik,01.01.10,31.12.11,1.445.921,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 2,Türkische Gemeinde in Hamburg und Umgebung e.V. (e.V.),Regenbogen,01.01.08,31.12.10,1.346.358,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 4,Universität Hamburg (Öffentlich-rechtliche Körperschaft),Entwicklung eines Studiengangs Disability Studies,01.03.09,28.02.11,961.173,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 1,Unternehmer ohne Grenzen e.V. (e.V.),Eltern aktiv,01.01.08,31.12.10,470.436,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 4,Unternehmer ohne Grenzen e.V. (e.V.),Interkulturelles Frauenwirtschaftszentrum,01.01.10,31.12.12,719.317,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 2,Unternehmer ohne Grenzen e.V. (e.V.),Migranten im Gastgewerbe,01.01.08,31.12.10,682.524,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 6,Unternehmer ohne Grenzen e.V. (e.V.),Ökonomie im Quartier,01.01.08,31.12.10,481.603,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 6,Unternehmer ohne Grenzen e.V. (e.V.),Stärkung von Nahversorgungszentren- Lohbrügge,01.01.10,31.12.11,294.286,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 5,Unternehmer ohne Grenzen e.V. (e.V.),StartChance,01.01.08,31.12.10,1.155.592,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 2,Upgrade Gesellschaft für Medien Beratung Training mbH (GmbH),Ausbildungsagentur Fit in die Zukunft,01.02.08,30.04.09,397.486,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 2,Verein zur Förderung des Einzelhandels mit Nahrungs- und Genußmitteln Hamburg e.V. (e.V.),Qualifizierung der Marktbeschicker,01.03.09,28.02.11,400.892,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 2,Verein zur Förderung des Einzelhandels mit Nahrungs- und Genußmitteln Hamburg e.V. (e.V.),Qualifizierung von KMU der Ernährungswirtschaft,01.03.08,28.02.11,348.672,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 2,Verikom - Verbund für Interkulturelle Kommunikation und Bildung e.V. (e.V.),Active Citizenship,01.01.08,31.12.10,449.915,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 1,Verikom - Verbund für Interkulturelle Kommunikation und Bildung e.V. (e.V.),Eltern ins Boot,01.01.08,31.12.10,456.967,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 2,Verikom - Verbund für Interkulturelle Kommunikation und Bildung e.V. (e.V.),Quinta,01.01.08,31.12.10,1.086.385,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 2,Weiterbildung Hamburg e.V. (e.V.),Netzwerk berufl. Integration von Migranten,01.01.08,31.12.08,152.045,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 1,zwei P Personalagentur private business service GmbH (GmbH),Weiterbildungsbonus,01.11.09,31.10.11,1.588.253,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
