name_der_begunstigten,vorhaben,zeitraum_der_bewilligung,amount,fund_type,uri
"GSE des ASB mbH Gemeinnützige Gesellschaft für Sozialeinrichtungen des ASB mbH, Rathausstr. 2, 66557 Illingen",Kleider- und Haushaltswarenbörse Schmelz,15.03.2008 - 14.03.2009,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Neue Arbeit Saar gGmbH, Bertha-von-Suttner-Straße 1, 66123 Saarbrücken",Hilfe zur Arbeit Neunkirchen Soziale Stadt Spiesen- Elversberg,01.07.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"GSE Gemeinnützige Gesellschaft für Sozialeinrichtungen des ASB mbH, Rathausstr. 2, 66557 Illingen",AGH flex Saarbrücken,01.01.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Arbeitsmarktinitiative Stadt St. Wendel e.V., Weimarer Str. 13, 66606 St Wendel",Umwelt- und Sozialdienste Stadt St. Wendel - Erwachsene LzA,01.01.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Katholische Erwachsenenbildung gGmbH - Arbeit, Bildung, Zukunft, Friedrich-Ebert- Straße 14, 66763 Dillingen/Saar",Beschäftigungs- und Qualifizierungsprojekt Lebach für Jugendliche U25,01.01.2008 - 30.09.2009,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Arbeitsmarktinitiative Stadt St. Wendel e.V., Weimarer Str. 13, 66606 St Wendel",Perspektive Qualifizierung für junge Erwachsene U 25,01.01.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Neue Arbeit Saar gGmbH, Bertha-von-Suttner-Straße 1, 66123 Saarbrücken",Hilfe zur Arbeit Qualifizierung Beschäftigung Schiffweiler,01.03.2008 - 28.02.2009,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Arbeiterwohlfahrt Landesverband Saarland e.V., Hohenzollernstraße 45, 66117 Saarbrücken",Beschäftigung und Qualifizierung Grüntrupp Rehlingen-Siersburg,01.01.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Arbeiterwohlfahrt Landesverband Saarland e.V., Hohenzollernstraße 45, 66117 Saarbrücken",Sprachprojekt Landschaftsbau Rehlingen-Siersburg,01.01.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Caritas-Zentrum Saarpfalz, Bexbacher Straße 4, 66424 Homburg",Berufliche Integration von Zugewanderten - BIZ Saarpfalz,01.01.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
