begunstigter,projekt,datum_erstbewilligung,bewilligung_offentlicher_mittel,gesamtauszahlungsbetrag_abgeschlossener_projekte,fund_type,currency,uri
DW Berlin-Brandenburg-schlesische Oberlausitz e.V.,IH-GUT ZU TUN,01.05.2008,"91.465,61",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
DW Berlin-Brandenburg-schlesische Oberlausitz e.V.,IH - Kontakt- und Beratungsangebote für Familien in Kreuzberg,01.06.2008,"95.880,74",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
DW Berlin-Brandenburg-schlesische Oberlausitz e.V.,IH-Sozial-Coaching,01.08.2008,"137.048,72",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
DW Berlin-Brandenburg-schlesische Oberlausitz e.V.,IH-Top4Job,01.06.2008,"107.999,19",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Economista e.V.,Frauenbetriebe selber schaffen,01.01.2008,"117.600,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Eingliederungshilfe e.V.,Praxis Transfer,15.05.2008,"89.310,46","89.310,46",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Eingliederungshilfe e.V.,Connection 6,01.08.2008,"110.160,90","110.160,90",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Eingliederungshilfe e.V.,MAE Qualifizierung 2,01.10.2008,"8.541,05","8.541,05",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Eingliederungshilfe e.V.,JOB-START Qualifizierung 2,01.10.2008,"25.443,77","25.443,77",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
EJF-Lazarus gAG,EJF-Lazarus gAG - MüLe - Mütter lernen,01.01.2008,"113.520,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Elisi Evi e.V.- Interkulturelle Beratungs- u. Bildungsangebote für Frauen und Mädchen,Meslek Evi - Maßnahme zur Verhinderung von Schulabbrüchen und Schulversagen,01.01.2008,"152.760,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
