"Prioritätsachse","Begünstigte","Maßnahmebezeichnung","Jahr der Bewilligung","Gewahrte Betrage","Bei Abschluss des Vorhabens gezahlte Gesamtbetrage"
"A","Physiotherapie Praxis Beate Popp ","Qualifizierung in kleinen und mittleren Unternehmen - Applied Kinesiologie Modul, MCKenzie A, PNF-Aufbau, Skoliosetherapie nach K. Schroth, McKenzie A-B, MTC 1,2, Triggerpunkttherapie 1,2,3, Triggerpunkttherapie 2, RFZ Kombi,-Different.-Kurs",2008,7545.65,
"A","Physiotherapie Roland Stoll","Qualifizierung in kleinen und mittleren Unternehmen - Manuelle Therapie Qualifikation 1-3 KGG Qualifikation 4 Verkaufstraining",2008,2368.80,
"A","Physiotherapie Volker Will","Qualifizierung in kleinen und mittleren Unternehmen - Mauelle Therapie Schulter, Ellenbogen, Hand, Hüfte und Beckenring, Knie, Fuß, Schulter Klinischer Kurs",2008,2848.30,
"A","Poschmann Design GmbH ","Qualifizierung in kleinen und mittleren Unternehmen - Softwareschulung Sage, VectorWorks, Artlantis, MS Office",2008,7463.41,
"A","Preuss Forstmaschinen GmbH ","Qualifizierung in kleinen und mittleren Unternehmen - Hydraulik Aus- und Weiterbildung",2008,16128.00,
"A","Prignitz Mikrosystemtechnik GmbH ","Qualifizierung in kleinen und mittleren Unternehmen - CAD, DTP",2008,10570.00,
"A","Privatbäckerei Wiese ","Qualifizierung in kleinen und mittleren Unternehmen - Workshops Führungskräftetraining Konditorei, selbstbewusstes Auftreten, Ernährungslehre",2008,22159.20,
"A","Privatbrauerei Mücke-Vertriebsgesellschaft","Qualifizierung in kleinen und mittleren Unternehmen - Firmenpräsentation im Internet",2008,1722.00,
"A","R. Micknaß Handel & Transport GmbH ","Qualifizierung in kleinen und mittleren Unternehmen - Schweißen, Schulung MS-Office (Word, Excel), Bau/Pflege Website, Business-English, FKN Entsorgungsfachbetrieb",2008,10458.00,
"A","Ralf Zimmer ","Qualifizierung in KMU - Lehrgang Sachverständiger für Energieeffizienz",2008,1830.50,
"A","Reserv GmbH ","Qualifizierung in kleinen und mittleren Unternehmen - Schulung für die integrierte branchenspezifische Software Microsoft Dynamics NAV für Gebäudedienstleister",2008,26292.00,
"A","REUTER GmbH Präzisionsteile ","Qualifizierung in kleinen und mittleren Unternehmen - CNC-Schulungen",2008,5978.00,
"A","RKW Brandenburg GmbH Rationalisierungs- u. Innovationszentrum","Qualifizierung in kleinen und mittleren Unternehmen - ENGA-1 Elektronische Nachweisführung für gefährliche Abfälle",2008,100440.00,
"A","RKW Brandenburg GmbH Rationalisierungs- u. Innovationszentrum","Qualifizierung in kleinen und mittleren Unternehmen - Controller Factory",2008,117600.00,
"A","S/A/M Steps&More GmbH","Qualifizierung in kleinen und mittleren Unternehmen - Einführung Qualitätsmanagement und Zeitmanagement",2008,6475.00,
"A","Schlacht- und Lohnbetrieb Johann Nesges ","Qualifizierung in kleinen und mittleren Unternehmen - Schulung MS-Office (Word, Excel), PowerPoint, Schweißen",2008,4139.10,
"A","Schlaubereha Müllrose Carsten Daun","Qualifizierung in kleinen und mittleren Unternehmen - MT, KGG, Kinesio Taping, Radiologiekurs, Klinischer Schulterkurs, Tape-Kurs",2008,5160.40,
"A","Schorisch Magis GmbH","Qualifizierung in kleinen und mittleren Unternehmen - Schweißen - verschiedene Verfahren",2008,3628.80,
