"Prioritätsachse","Begünstigte","Maßnahmebezeichnung","Jahr der Bewilligung","Gewahrte Betrage","Bei Abschluss des Vorhabens gezahlte Gesamtbetrage"
"B","UPM-Kymmene Papier GmbH & Co. KG Werk Schwedt","Ausbildung Verfahrenstechnik, Werkstoffbearbeitung, Messtechnik, Mess- und Regeltechnik",2008,2520.00,
"B","VERBIO Diesel Schwedt GmbH & Co. KG ","Durchführung von Lehrgängen der Grund- und Fachausbildung",2008,13650.00,
"B","Verkehrsbetriebe Brandenburg an der Havel GmbH","Verbundausbildung. Speicherprogrammierbare Steuerung, programmieren, realisieren, Antriebssysteme auswählen und integrieren",2008,1100.00,
"B","VHS-Bildungswerk für Brandenburg und Berlin GmbH","Berufliche Grundbildung Metall und Elektro",2008,7200.00,
"B","VHS-Bildungswerk für Brandenburg und Berlin GmbH","Berufliche Grundbildung Metall",2008,2000.00,
"B","VHS-Bildungswerk für Brandenburg und Berlin GmbH","Berufliche Grundbildung Metall und Elektro",2008,2400.00,
"B","VHS-Bildungswerk für Brandenburg und Berlin GmbH","Berufliche Grundbildung Metall und Elektro",2008,2400.00,
"B","VHS-Bildungswerk für Brandenburg und Berlin GmbH","Berufliche Grundbildung Metall und Elektro",2008,4800.00,
"B","VHS-Bildungswerk für Brandenburg und Berlin GmbH","Berufliche Grundbildung Metall",2008,7200.00,
"B","VHS-Bildungswerk für Brandenburg und Berlin GmbH","Berufliche Grundbildung Metall und Elektro",2008,2400.00,
"B","VHS-Bildungswerk für Brandenburg und Berlin GmbH","Berufliche Grundbildung Metall",2008,4800.00,
"B","VHS-Bildungswerk für Brandenburg und Berlin GmbH","Ausbildungsverbund, Grundlagen Zeichnen, Grundlagen Metallbearbeitung",2008,1740.00,
"B","VHS-Bildungswerk für Brandenburg und Berlin GmbH","Verbundausbildung Grundlagen Zeichnen und CAD, Vorbereitung auf die Zwischenprüfung",2008,1460.00,
"B","VHS-Bildungswerk für Brandenburg und Berlin GmbH","Verbundausbildung Montage von Baugruppen und Bauteilen, Anwenden, Erstellen und Lesen von technischen Unterlagen",2008,,400.00
"B","VHS-Bildungswerk für Brandenburg und Berlin GmbH","Verbundausbildung WIG-, E-Schweißen, Umformen, Rohrverbindungen, Versorgungsanlagen, Vorbereitung auf ZP",2008,2440.00,
"B","VHS-Bildungswerk für Brandenburg und Berlin GmbH","Verbundausbildung Technische Kommunikation, Gasschweißen Rohr, Arbeitsplanung, Vorbereitung auf GP",2008,800.00,
"B","VHS-Bildungswerk für Brandenburg und Berlin GmbH","Verbundausbildung, berufliche Grundbildung Metall und Elektro",2008,2200.00,
"B","VHS-Bildungswerk für Brandenburg und Berlin GmbH","Verbundausbildung, E-, MAG-, Gas-, und Fülldrahtschweißen, Brennschneiden",2008,1800.00,
"B","VHS-Bildungswerk für Brandenburg und Berlin GmbH","Verbundausbildung, Drehen, Fräsen, CNC, Pneumatik, Hydraulik, SPS, CAD, EDV, Automatisierungstechnik, Vorbereitung ZP",2008,2200.00,
"B","VHS-Bildungswerk für Brandenburg und Berlin GmbH","Verbundausbildung, Drehen, Fräsen, CNC, Pneumatik, Hydraulik, SPS,CAD, EDV, Elektronik",2008,4400.00,
"B","VHS-Bildungswerk für Brandenburg und Berlin GmbH","Verbundausbildung, Drehen, Fräsen, CNC, Pneumatik, Hydraulik, SPS, CAD, EDV, Elektronik, Vorbereitung ZP",2008,6600.00,
"B","VHS-Bildungswerk für Brandenburg und Berlin GmbH","Verbundausbildung, Aufbaukurs SPS S7, CAD, Vorbereitung auf die Abschlussprüfung",2008,3600.00,
"B","VHS-Bildungswerk für Brandenburg und Berlin GmbH","Verbundausbildung, Aufbaukurs SPS S7, CAD, Vorbereitung auf die Abschlussprüfung",2008,1800.00,
"B","VHS-Bildungswerk für Brandenburg und Berlin GmbH","Verbundausbildung, Brennschneiden, MAG-Schweißen",2008,1500.00,
"B","VHS-Bildungswerk für Brandenburg und Berlin GmbH","Verbundausbildung, Gasschweißen, Hartlöten, Brennschneiden, MAG-Schweißen (Aufbauprüfung), Vorbereitung auf die Zwischenprüfung",2008,900.00,
"B","VHS-Bildungswerk für Brandenburg und Berlin GmbH","Verbundausbildung, Basisqualifikation MAG- und Gas-Schweißen",2008,1200.00,
"B","VHS-Bildungswerk für Brandenburg und Berlin GmbH","Verbundausbildung, Servieren von Speisen und Getränken, Richtiger Umgang mit dem Gast",2008,2475.00,
"B","VHS-Bildungswerk für Brandenburg und Berlin GmbH","Verbundausbildung, Prüfen, Anreißen, Kennzeichnen, manuelles und maschinelles Spanen, Trennen, Umformen, Fügen, Hart- und Weichlöten",2008,500.00,
"B","VHS-Bildungswerk für Brandenburg und Berlin GmbH","Verbundausbildung, Rohrbearbeitung und Einziehungen, Vorbereitung auf die Abschlussprüfung",2008,2120.00,
"B","voestalpine BWG GmbH & Co. KG ","Verbundausbildung Einführung in die Elektronik, Steuerungen Einbau Elektronik, Bedienung und Umgang mit Kommunikationsmitteln",2008,3000.00,
"B","voestalpine BWG GmbH & Co. KG ","Verbundausbildung Spanen, Montieren, Trennen, Umformen, Fügen, Aufbauen, Prüfen von Pneumatikschaltungen",2008,15000.00,
"B","voestalpine BWG GmbH & Co. KG ","Verbundausbildung Thermisches Trennen, Prüfen, Einstellen von Funktionen an Baugruppen",2008,5960.00,
"B","voestalpine BWG GmbH & Co. KG ","Verbundausbildung Thermisches Trennen, Aufbauen, Prüfen von Steuerungstechnik, Maschinen, Baugruppen u. a.",2008,5560.00,
"B","voestalpine BWG GmbH & Co. KG ","Verbundausbildung, Einführung Werkstoffbearbeitung, Steuerung, Einbau Elektronik, Arbeiten unter Spannung u.a.",2008,5000.00,
"B","voestalpine BWG GmbH & Co. KG ","Verbundausbildung, Pneumatik, CNC-Technik II",2008,400.00,
"B","websimplex GbR","Verbundausbildung, Mediengestalter",2008,1900.00,
"B","WiB e.V. Weiterqualifizierung im Bildungsbereich","Berufliche Bildung - Fortbildung an beruflichen Schulen",2008,77248.00,
"B","WiB e.V. Weiterqualifizierung im Bildungsbereich","Berufliche Bildung - Fortbildung an beruflichen Schulen",2008,58752.00,
"B","WiB e.V. Weiterqualifizierung im Bildungsbereich","Fortbildung von Berufsschullehrern im Land Brandenburg",2008,46668.17,
"B","WiB e.V. Weiterqualifizierung im Bildungsbereich","Fortbildung der Berufsschullehrer im Land Brandenburg",2008,31818.49,
"B","WiB e.V. Weiterqualifizierung im Bildungsbereich","Fortbildung von Lehrerinnen und Lehrern im Bereich Berufliche Bildung (für Lehrer/innen die in den technischen Ausbildungsberufen unterrichten)",2008,19668.00,
"B","WiB e.V. Weiterqualifizierung im Bildungsbereich","Fortbildung von Lehrerinnen und Lehrern im Bereich Berufliche Bildung; Für Lehrerinnen und Lehrer, die in den technischen Ausbildungsberufen unterrichten.",2008,13332.00,
"B","WIBB gGmbH ","Berufsgruppenübergreifende Tandem-Qualifizierung - Schule und Hort kooperieren im Ganztag",2008,7261.72,
"B","WIBB gGmbH ","Berufsgruppenübergreifende Tandem-Qualifizierung - Schule und Hort kooperieren im Ganztag",2008,5360.30,
"B","WIBB gGmbH ","Berufsgruppenübergreifende Tandem-Qualifizierung ""Bildungsarbeit mit Schulverweigerern""",2008,10041.26,
"B","WIBB gGmbH ","Berufsgruppenübergreifende Tandem-Qualifizierung ""Bildungsarbeit mit Schulverweigerern""",2008,7859.62,
"B","Wirtschafts- und Sprachenschule R. Welling Cottbus GmbH","Verbundausbildung, Vorbereitung auf die Abschlussprüfung",2008,5325.00,
"B","Wirtschafts- und Sprachenschule R. Welling Cottbus GmbH","Vermittlung von kaufmännischen Grundkenntnissen und Fertigkeiten",2008,3975.00,
"B","Wohnraumbeschaffung, Instandsetzung, Beschäftigung, Betreuung gGmbH","Die Einführung des Praxislernens an Oberschulen soll dem zukünftigen Fachkräftemangel entgegenwirken und den Übergang von Schülern in das Berufs- und Arbeitsleben erleichtern.",2008,527861.34,
"B","Wohnraumbeschaffung, Instandsetzung, Beschäftigung, Betreuung gGmbH","Die Einführung des Praxislernens an Oberschulen soll dem zukünftigen Fachkräftemangel entgegenwirken und den Übergang von Schülern in das Berufs- und Arbeitsleben erleichtern.",2008,401472.00,
"B","Wohnraumbeschaffung, Instandsetzung, Beschäftigung, Betreuung gGmbH","Durch einen ganzheitlichen Bildungs- und Erziehungsprozess sollen die individuellen Stärken und Begabungen der Schüler/innen gefördert werden, um ihnen eine erfolgreiche Berufsausbildung zu ermöglichen.",2008,946666.66,
"B","Wohnraumbeschaffung, Instandsetzung, Beschäftigung, Betreuung gGmbH","Durch einen ganzheitlichen Bildungs- und Erziehungsprozess sollen die individuellen Stärken und Begabungen der Schüler/innen gefördert werden, um ihnen eine erfolgreiche Berufsausbildung zu ermöglichen.",2008,720000.00,
"B","ZAL Ludwigsfelde GmbH ","Verbundausbildung Metallverarbeitung",2008,3000.00,
"B","ZAL Ludwigsfelde GmbH ","Verbundausbildung Karosserieinstandhaltung",2008,600.00,
"B","ZAL Ludwigsfelde GmbH ","Verbundausbildung Metallgrundlagen Zerspanung CNC",2008,16420.00,
"B","ZAL Ludwigsfelde GmbH ","Verbundausbildung Holzbearbeitung",2008,13700.00,
"B","ZAL Ludwigsfelde GmbH ","Drehen, Fräsen, Elektrotechnik",2008,5000.00,
"B","ZAL Ludwigsfelde GmbH ","Metallausbildung",2008,17000.00,
"B","ZAL Ludwigsfelde GmbH ","Ausbildung Berufskraftfahrer",2008,2800.00,
"B","ZAL Ludwigsfelde GmbH ","Ausbildung Berufskraftfahrer",2008,2800.00,
"B","ZAL Ludwigsfelde GmbH ","Ausbildung Metallverarbeitung, Zerspanung",2008,4400.00,
"B","ZAL Ludwigsfelde GmbH ","Drehen, Fräsen, Metallbearbeitung",2008,8400.00,
"B","ZAL Ludwigsfelde GmbH ","Verbundausbildung Berufskraftfahrer",2008,2000.00,
"B","ZAL Ludwigsfelde GmbH ","Verbundausbildung Berufskraftfahrer",2008,2000.00,
"B","ZAL Ludwigsfelde GmbH ","Verbundausbildung Planen, Steuern, Prüfen, Anreißen",2008,3400.00,
"B","ZAL Ludwigsfelde GmbH ","Verbundausbildung Metallgrundlagen, Drehen, Fräsen, CNC",2008,21300.00,
"B","ZAL Ludwigsfelde GmbH ","Verbundausbildung Berufskraftfahrer",2008,800.00,
"B","ZAL Ludwigsfelde GmbH ","Verbundausbildung, Metallgrundlagen, Drehen, Fräsen, CNC",2008,9000.00,
"B","ZAL Ludwigsfelde GmbH ","Verbundausbildung, Kommunikations-, Präsentations- und Moderationstechniken",2008,,1155.00
"B","ZAL Ludwigsfelde GmbH ","Verbundausbildung Berufskraftfahrer",2008,13200.00,
"B","ZAL Ludwigsfelde GmbH ","Verbundausbildung, Auszubildende Metallverarbeitung, CNC/Elektro und Holzverarbeitung",2008,12600.00,
"B","ZAL Ludwigsfelde GmbH ","Verbundausbildung, Metallbearbeitung, Drehen, Fräsen und Elektrotechnik",2008,1200.00,
"B","ZF Getriebe GmbH Werk Brandenburg ","Ausbildungsabschnitte für die berufspraktische Ausbildung",2008,5520.00,
"B","zis-M GmbH Schweißtechnik","Verbundausbildung, Servicebereich Kasse nach AO Nr. 5 Marketing nach AO Nr. 6",2008,225.00,
"B","Zukunftsbündnis Aus- u. Weiterbildung im
Handwerk e.V.  ","Ausbildungsplatzprogramm-Ost 2008  Vollzeit
geförderte betriebsnahe Ausbildungsplätze ",2008,1495680.00,
"B","Zukunftsbündnis Aus- u. Weiterbildung im
Handwerk e.V.  ","Ausbildungsplatzprogramm-Ost 2008  zeitweise
geförderte betriebsnahe Ausbildungsplätze",2008,1122185.00,
"B","ZVWA Fürstenwalde und Umland ","Verbundausbildung - Personalwesen und Laborausbildung",2008,760.00,
"B","Zweckverband Erholungsgebiet Senftenberger See","Ausbildung Veranstaltungs-Kauffrau",2008,2250.00,
"C","Angermünder Bildungswerk e. V. ","Integriertes Projekt von Jugendhilfe und Schule zur Vermeidung von Schulabbrüchen bei schulverweigernden Jugendlichen ",2007,154136.40,
"C","ASB Kreisverband Lübben e. V. ","Integriertes Projekt von Jugendhilfe und Schule zur Vermeidung von Schulabbrüchen bei schulverweigernden Jugendlichen ",2007,143650.00,
"C","ASB RV Barnim e.V. ","Integriertes Projekt von Jugendhilfe und Schule zur Vermeidung von Schulabbrüchen bei schulverweigernden Jugendlichen ",2007,137858.00,
"C","AWO KV Uckermark e. V. ","Integriertes Projekt von Jugendhilfe und Schule zur Vermeidung von Schulabbrüchen bei schulverweigernden Jugendlichen ",2007,143893.19,
"C","AWO Oberhavelland gGmbH ","Integriertes Projekt von Jugendhilfe und Schule zur Vermeidung von Schulabbrüchen bei schulverweigernden Jugendlichen ",2007,145214.00,
"C","Bildungseinrichtung Buckow e.V. ","Im Rahmen des Unterrichts und in Praktika werden, entsprechend der Eignungen und Neigung der Schüler, praktische Erprobungsfelder bereitgestellt. Das Projekt verfolgt den nahtlosen Übergang in Folgemaßnahmen der beruflichen Bildung.  ",2007,109456.20,
"C","Gemeinnütziger Berufsbildungsverein Guben e.V.","Erstausbildung in der JVA Wriezen (Außenstelle Cottbus)",2007,382008.15,
"C","Initiative Jugendarbeit Neuruppin e.V ","Arbeit und Qualifikation im Jugendvollzug ",2007,55118.88,
"C","Internationaler Bund - freier Träger der Jugend-, Sozial- und Bildungsarbeit e.V.","Integriertes Projekt von Jugendhilfe und Schule zur Vermeidung von Schulabbrüchen bei schulverweigernden Jugendlichen ",2007,158225.04,
"C","JOB e.V. Jugend - Orientierung - Beruf ","Integriertes Projekt von Jugendhilfe und Schule zur Vermeidung von Schulabbrüchen bei schulverweigernden Jugendlichen ",2007,145496.60,
"C","Landeshauptstadt Potsdam ","Regionalbudget I",2007,799088.00,
"C","Landeshauptstadt Potsdam ","Angebot für Jugendliche, die keinen oder einen schlechten Schulabschluß haben. Möglichkeit einer Berufsvorbereitung, um Einstieg in die Arbeitswelt zu schaffen.",2007,,56569.41
"C","Landeshauptstadt Potsdam ","Berufsvorbereitung für Jugendliche, die entweder schulmüde oder - distanziert sind und bei denen keine Reintegration in die Schule mehr möglich ist.",2007,,2739.76
"C","Landeshauptstadt Potsdam ","Den Jugendlichen soll mit diesem Projekt die Möglichkeit einer Berufsvorbereitung gegeben werden, um ihnen einen Einstieg in die Arbeitswelt sowie eine Perspektive zu schaffen.",2007,197209.50,
"C","Landeshauptstadt Potsdam ","Das Angebot ist für Jugendliche in der Jugendhilfe, deren Berufsvorstellungen offen und unklar sind, die in ihrer Persönlichkeitsentwicklung und Qualifizierungsfähigkeit einer zusätzlichen, intensiven Förderung bedürfen, geeignet.",2007,32611.25,
"C","Landkreis Barnim ","Regionalbudget I",2007,1278972.82,
"C","Landkreis Dahme-Spreewald ","Regionalbudget I",2007,708714.00,
"C","Landkreis Elbe-Elster Dezernat III","Regionalbudget I",2007,,794827.12
"C","Landkreis Havelland ","Regionalbudget I",2007,1016774.20,
"C","Landkreis Havelland ","Projekt zur Verminderung oder Beseitigung der Problemlagen Jugendlicher, Kooperationsprojekt des Jugendamtes ",2007,492440.00,
"C","Landkreis Märkisch-Oderland ","Regionalbudget I",2007,1666650.33,
"C","Landkreis Märkisch-Oderland ","Berufsvorbereitung im Rahmen der Jugendhilfe für sozial benachteiligte und individuell beeinträchtigte junge Menschen",2007,153558.96,
"C","Landkreis Märkisch-Oderland ","Berufsvorbereitende Maßnahme zur Verbesserung beruflicher Ausbildungs- und Eingliederungschancen von Jugendlichen im Rahmen der Jugendhilfe",2007,123854.40,
"C","Landkreis Märkisch-Oderland ","Sozialpädagogische Betreuung zur sozialen und beruflichen Integration im Rahmen der Nachbetreuung der Jugendberufshilfemaßnahmen",2007,14493.60,
"C","Landkreis Märkisch-Oderland ","Berufsvorbereitende Maßnahme zur Verbesserung beruflicher Ausbildungs- und Eingliederungschancen von Jugendlichen im Rahmen der Jugendhilfe",2007,123854.40,
"C","Landkreis Märkisch-Oderland ","Sozialpädagogische Betreuung zur sozialen und beruflichen Integration im Rahmen der Nachbetreuung der Jugendberufshilfemaßnahmen",2007,20496.00,
"C","Landkreis Märkisch-Oderland ","Berufsvorbereitende Maßnahme zur Verbesserung beruflicher Ausbildungs- und Eingliederungschancen von Jugendlichen im Rahmen der Jugendhilfe",2007,103212.00,
"C","Landkreis Märkisch-Oderland ","Sozialpädagogische Betreuung zur sozialen und beruflichen Integration im Rahmen der Nachbetreuung der Jugendberufshilfemaßnahmen",2007,20496.00,
"C","Landkreis Oberhavel ","Regionalbudget I",2007,1423300.00,"   "
"C","Landkreis Oberhavel ","Angebot für junge Menschen, die auf Grund mangelnder sozialer Schlüsselkompetenzen noch nicht in Ausbildung oder Arbeit integriert werden können. ",2007,,187985.96
"C","Landkreis Oberspreewald-Lausitz ","Regionalbudget I",2007,853571.43,
"C","Landkreis Oder-Spree ","Regionalbudget I",2007,1611693.73,
"C","Landkreis Oder-Spree ","Umsetzung Projekt ""Chance"" zur sozialpädagogischen Betreuung Jugendlicher  ",2007,87840.00,
"C","Landkreis Oder-Spree ","Sozialpädagogischen Betreuung Jugendlicher",2007,58560.00,
"C","Landkreis Oder-Spree ","Sozialpädagogischen Betreuung Jugendlicher ",2007,55866.24,
"C","Landkreis Ostprignitz-Ruppin ","Regionalbudget I",2007,1178330.75,
"C","Landkreis Ostprignitz-Ruppin ","Förderung benachteiligter junger Menschen durch kombinierte Unterrichts- und Produktions- bzw. Dienstleistungsprogramme, die ihre schulische und berufliche Ausbildung, Eingliederung in die Arbeitswelt und ihre soziale Integration fördern. ",2007,225709.00,
"C","Landkreis Ostprignitz-Ruppin ","Kooperation von Schule, Amt für Arbeitsmarkt und Jugendhilfe durch die Verzahnung sozialpädagogischer, schulischer und berufspädagogischer Arbeitsansätze für junge Menschen an der ersten Schwelle des Übergangs von der Schule in die Berufswelt.",2007,91263.00,
"C","Landkreis Ostprignitz-Ruppin ","Kooperation von Schule, Amt für Arbeitsmarkt und Jugendhilfe durch die Verzahnung sozialpädagogischer, schulischer und berufspädagogischer Arbeitsansätze für junge Menschen an der ersten Schwelle des Übergangs von der Schule in die Berufswelt.",2007,92702.00,
"C","Landkreis Ostprignitz-Ruppin ","Kooperation von Schule, Amt für Arbeitsmarkt und Jugendhilfe durch die Verzahnung sozialpädagogischer, schulischer und berufspädagogischer Arbeitsansätze für junge Menschen an der ersten Schwelle des Übergangs von der Schule in die Berufswelt.",2007,92859.80,
"C","Landkreis Ostprignitz-Ruppin ","Angebot des Landkreises Ostprignitz-Ruppin an junge Menschen mit und ohne Kinder zur sozialen und beruflichen Integration und zum Abbau der sozialen Benachteiligungen und individuellen Beeinträchtigungen",2007,90010.00,
"C","Landkreis Ostprignitz-Ruppin ","Maßnahme der beruflichen Qualifizierung in der Jugendhilfe, praxisbezogene Berufsorientierung an 2 Tagen die Woche für benachteiligte junge Menschen zur sozialen und beruflichen Integration",2007,21131.00,
"C","Landkreis Prignitz ","Regionalbudget I",2007,798800.00,
"C","Landkreis Spree-Neiße ","Regionalbudget I",2007,,761455.63
"C","Landkreis Teltow-Fläming ","Nachhaltige Stärkung des Wirtschaftsstandortes Teltow Fläming durch Verbesserung der Standortfaktoren, die Abschwächung der räumlichen Disparitäten sowie die Bekämpfung von sozialer Ausgrenzung",2007,795633.00,
"C","Landkreis Teltow-Fläming ","Sozialpädagogische Betreuung zur beruflichen Integration, Projekt - Jugendtischlerei -",2007,,22703.52
"C","Landkreis Teltow-Fläming ","Sozialpädagogische Hilfe für junge Menschen mit sozialer Benachteiligung",2007,119389.20,
"C","Landkreis Teltow-Fläming ","Berufsvorbereitende Maßnahme für besonders benachteiligte Jugendliche ",2007,43274.38,
"C","Landkreis Teltow-Fläming ","Berufsvorbereitende Maßnahme für besonders benachteiligte Jugendliche auf der Grundlage des SGB VIII - Kinder- und Jugendhilfe ",2007,21024.64,
"C","Landkreis Uckermark ","Regionalbudget I",2007,1420428.00,
"C","Landkreis Uckermark ","Die berufspädagogische Maßnahme richtet sich an all die Jugendlichen, die an einer beruflichen Bildung interessiert sind, die aber auf Grund ihrer bisherigen schulischen Leistungen keine Berufsbildungsreife erlangt haben und keine Förderung durch die Bundesagentur für Arbeit bekommen. ",2007,12224.40,
"C","Landkreis Uckermark ","Modulare berufspädagogische Vorbereitung für Jugendliche",2007,11089.80,
"C","Ländliche Erwachsenenbildung Prignitz-Havelland e.V.","Im Projekt wird die Möglichkeit geboten, auf alternativem Weg die einfache Berufsbildungsreife zu erlangen. ",2007,156429.00,
"C","Ländliche Erwachsenenbildung Prignitz-Havelland e.V.","Im Projekt wird die Möglichkeit geboten, auf alternativem Weg, die einfache Berufsbildungsreife zu erlangen. Ziel ist es, durch eine Kombination aus Vermittlung von Grundlagen, modulare Praxiseinsätze. ",2007,156429.00,
"C","Landratsamt Potsdam-Mittelmark ","Regionalbudget I",2007,782300.00,
"C","Märkische Ausbildungsgesellschaft Qualifizierungs- u. Trainingszentrum e.V.","Schülerinnen u. Schüler, die der Schule häufig fern bleiben werden darin unterstützt, die Schulpflicht qualifiziert durchzuführen u. mit einem berufschulfähigen Abschluss in eine berufsvorbereitende Maßnahme bzw. berufliche Ausbildung entlassen zu werden.",2007,148073.98,
"C","Outlaw gemeinnützige Gesellschaft für Kinder- und Jugendhilfe gGmbH","Schulprojekt Kyritz Intergierte Projekte von Jugendhilfe und Schule zur Vermeidung von Schulabbrüchen bei schulverweigernden Jugendlichen",2007,150800.00,
"C","Outlaw gemeinnützige Gesellschaft für Kinder- und Jugendhilfe gGmbH","Integrierte Projekte von Jugendhilfe und Schule zur Vermeidung von Schulabbrüchen bei schulverweigernden Jugendlichen",2007,150800.00,
"C","pewobe g GmbH in Frankfurt (Oder) ","""Integriertes Projekt von Jugendhilfe und Schule zur Vermeidung von Schulabbrüchen bei schulverweigernden Jugendlichen""",2007,138693.96,
"C","Stadt Brandenburg an der Havel ","Regionalbudget I",2007,604143.00,
"C","Stadt Brandenburg an der Havel ","Berufs- u. Arbeitswelt bezogene Hilfeform zur beruflichen Integration, Motivation, Orientierung und Beschäftigung für benachteiligte Jugendliche.",2007,90992.00,
"C","Stadt Brandenburg an der Havel ","Berufs- u. Arbeitswelt bezogene Hilfeform zur beruflichen Integration im Rahmen von Jugendhilfen, eine Ausbildung zum Hochbaufachwerker erfolgreich abzuschließen. ",2007,11436.00,
"C","Stadt Brandenburg an der Havel ","Berufs- und Arbeitswelt bezogene Hilfeform zur beruflichen Integration, Orientierung u. Beschäftigung für benacht. Jugendlichen.",2007,91924.56,
"C","Stadt Brandenburg an der Havel ","Jugendwerkstatt , Träger: VHS Bildungswerk",2007,180994.32,
"C","Stadtverwaltung Cottbus ","Fachkräfte sichern - Stadtentwicklung fördern - mit MUT zur Qualität",2007,1001520.33,
"C","Stadtverwaltung Frankfurt (Oder) ","Regionalbudget I",2007,939021.80,
"C","Stiftung SPI, Niederlassung Brandenburg ","Aktiv und passiv schulverweigernde Jugendliche werden in der Lernwerkstatt durch Angebote wie Selbstlernmöglichkeiten, fächerübergreifendem Unterricht, Projektarbeit sowie Freizeit und erlebnispädagogischen Elementen wieder an Schule und Lernen herangeführt.",2007,146668.57,
"C","Stiftung SPI, Niederlassung Brandenburg ","Schulmüde und schulverweigernde Jugendliche sollen durch Angebote wie Selbstlernmöglichkeiten, fächerübergreifenden Unterricht, Projektarbeit sowie freizeit- und erlebnispädagogischen Aktivitäten wieder an Schule und das Lernen herangeführt werden. ",2007,142404.00,
"C","Stiftung SPI, Niederlassung Brandenburg ","Schulmüde und schulverweigernde Jugendliche sollen durch Angebote wie Selbstlernmöglichkeiten, fächerübergreifenden Unterricht, Projektarbeit sowie freizeit- und erlebnispädagogischen Aktivitäten wieder an Schule und das Lernen herangeführt werden. ",2007,145999.95,
"C","Stiftung SPI, Niederlassung Brandenburg ","Integrierte Angebote Jugendhilfe/Schule zur Vermeidung von Schulabbrüchen bei schulverweigernden Jugendlichen.",2007,142404.00,
"C","TÜV Rheinland Akademie GmbH Niederlassung Lauchhammer","Schüler aus den Landkreisen Elbe-Elster und Oberspreewald-Lausitz lernen in einer abweichenden Organisationsform in einem Modell aus beruflicher Praxis, schulischer Unterrichtung und sozialpädagogischer Begleitung. ",2007,150168.00,
"C","Verein für Jugendhilfe und Sozialarbeit e.V.","Kooperationsprojekt von Jugendhilfe und Schule zur Vermeidung von Schulabbrüchen bei schulverweigernden Jugendlichen.",2007,153500.00,
"C","Angermünder Bildungswerk e. V. ","Dieses Modell ermöglicht zum einen die Zeitverkürzung bezüglich des Fitmachens von Jugendlichen mit problematischer Sozialprognose für die reguläre Ausbildung sowie zum anderen eine grundlegend neue und nachhaltige Motivation zum ganzheitlichen Lernen eben durch die Kombination schulischen und praxisorientierten Lernens. ",2008,155100.00,
"C","ARAMARK Holdings GmbH & Co KG ","Kochumschulung in der JVA Cottbus als berufliche Qualifizierung erwachsener Gefangener",2008,113184.56,
"C","ARAMARK Holdings GmbH & Co KG ","Qualifizierung im Justizvollzug - Umschulungsmaßnahme zum Koch als berufliche Qualifizierung erwachsener Gefangener: Vermittlung theoretischer und praktischer Kenntnisse und Fertigkeiten für den Beruf des Kochs mit Abschlussprüfung durch die IHK-Cottbus",2008,197931.52,
"C","Arbeits- und Ausbidungsförderungsverein Potsdam Mittelmark e.V.","Projekt Aktiv für Arbeit im Landkreis Potsdam-Mittelmark",2008,229242.71,
"C","ASB Kreisverband Lübben e. V. ","Lernwerkstatt Alt-Zauche - Fortführung des integrativen Projektes von Jugendhilfe und Schule zur Vermeidung von Schulabbrüchen bei schulverweigernden Jugendlichen in Kooperation mit der Oberschule ""Ludwig Leichhardt"" in Goyatz zur Festigung vorhandener Kontakte sowie Knüpfen neuer Kontakte zu Betrieben in der Region.",2008,154600.00,
"C","ASB RV Barnim e.V. ","Lern- und Lehrwerkstatt  - Integriertes Projekt von Jugendhilfe und Schule zur Vermeidung von Schulabbrüchen bei schulverweigernden Jugendlichen als Fortführung des bereits begonnenen Projektes.",2008,150998.00,
"C","AWO KV Uckermark e. V.","Projekt Vermeidung von Schulabbrüchen",2008,156853.19,
"C","AWO Oberhavelland gGmbH ","Lernwerkstatt ""Perspektiven""",2008,156640.00,
"C","bbw Akademie für Betriebswirtschaftliche Weiterbildung GmbH","Projekt Aktiv für Arbeit in der Stadt Cottbus und im Landkreis Spree-Neiße",2008,280488.59,
"C","bbw Akademie für Betriebswirtschaftliche Weiterbildung GmbH","Projekt Aktiv für Arbeit in der Stadt Potsdam",2008,218465.80,
"C","bbw Akademie für Betriebswirtschaftliche Weiterbildung GmbH","Projekt Aktiv für Arbeit im Landkreis Teltow-Fläming",2008,218526.70,
"C","bbw Bildungszentrum Frankfurt (Oder) GmbH","Projekt Aktiv für Arbeit in der Stadt Frankfurt (Oder)",2008,306358.25,
"C","Berufliches Bildungszentrum der Wirtschaft Wittenberge","Projekt Aktiv für Arbeit im Landkreis Prignitz",2008,318550.83,
"C","Berufsbildungsverein Eberswalde e.V. ","Erstausbildung in JVA Wriezen Gärtner, Maler/Lackierer, Holzmechaniker/Tischler und Ausbaufacharbeiter",2008,541375.00,
"C","Berufsbildungsverein Eberswalde e.V. ","Berufsvorbereitung JVA Wriezen",2008,403680.00,
"C","Berufsbildungsverein Eberswalde e.V. ","Arbeitstherapie JVA Wriezen",2008,129723.96,
"C","Berufsfortbildungswerk GmbH (bfw) ","Berufliche Weiterbildung von Strafgefangenen in der JVA Brandenburg",2008,579674.05,
"C","BIAW Brandenburgisches Institut GmbH Aus- und Weiterbildung von Zielgruppen","Projekt Aktiv für Arbeit im Landkreis Oberhavel",2008,339550.82,
