"Type","Name des Begünstigten","Bezeichnung des Vorhabens","Jahr der Bewilligung / Jahr der Restzahlung","Gewährte Beträge","Bei Abschluss des Vorhabens gezahlte Gesamtbeträge"
"Standardvorhaben","Stadt Doberlug-Kirchhain","(250824200B) Mitarbeiter Verbesserung Infrastruktur",2008,"209.018,16  EUR",
"Standardvorhaben","Stadt Doberlug-Kirchhain","(250824201B) Mitarbeiter Erhaltung st�dtischer Liegenschaften",2008,"209.018,16  EUR",
"Standardvorhaben","Stadt Doberlug-Kirchhain","(250824202A) Betreuer Sport und Freizeit",2008,"91.229,04  EUR",
"Standardvorhaben","Arbeitsfﾟrderungsgesellschaft Herzberg e. V. ","(250824211B) Helfer Bauernscheune",2008,"78.048,00  EUR",
"Standardvorhaben","Arbeitsfﾚrderungsgesellschaft Elbe-Elster mbH","(250824221B) Erfassungshelfer Kremnitz-Neugraben",2008,"75.212,78  EUR",
"Standardvorhaben","Tierschutzverein Elbe-Elster e. V.","(250824240B) Mitarbeiter im tierpflegerischen Bereich",2008,"67.680,00  EUR",
"Standardvorhaben","Amt Elsterland","(250824251B) Archivhelfer",2008,"46.153,44  EUR",
"Standardvorhaben","Fﾚrderverein Schloss Ahlsdorf e. V.","(250824290B) Bauhelfer",2008,"72.000,00  EUR",
"Standardvorhaben","URANIA e.V. Frankfurt (Oder)","(250825020B) Unterstﾟtzende Hilfskraft ",2008,"42.480,00  EUR",
"Standardvorhaben","Theater des Lachens, Puppen- und Schauspiel e.V.","(250825030B) Hilfskraft technischer Bereich",2008,"38.880,00  EUR",
"Standardvorhaben","Satirisches Theater und Kabarett ""Die Oderhaehne"" e.V. ","(250825040B) Unterstuetzende Hilfskraft",2008,"38.880,00  EUR",
"Standardvorhaben","Wichernheim Frankfurt an der Oder e. V.","(250825060A) Alltagsbegleiter",2008,"321.840,00  EUR",
"Standardvorhaben","Wichernheim Frankfurt an der Oder e.V.","(250825061B) Hausmeistergehilfe",2008,"38.880,00  EUR",
"Standardvorhaben","Wichernheim Frankfurt an der Oder e.V.","(250825062A) Pﾊdagogische Hilfskraft",2008,"42.480,00  EUR",
"Standardvorhaben","Wichernheim Frankfurt an der Oder e.V.","(250825063B) Hilfskraft",2008,"38.880,00  EUR",
"Standardvorhaben","Wichernheim Frankfurt an der Oder e.V.","(250825064A) Betreuungshelfer",2008,"38.880,00  EUR",
"Standardvorhaben","Wichernheim Frankfurt an der Oder e. V.","(250825067A) Mobilitﾊtshelfer",2008,"120.240,00  EUR",
"Standardvorhaben","Wichernheim Frankfurt a.d.O. e.V.","(250825068B) Mobilitﾊtshelfer",2008,"42.480,00  EUR",
"Standardvorhaben","Wichernheim Frankfurt an der Oder e.V.","(250825069B) Betreuer fﾟr KoKo",2008,"38.880,00  EUR",
"Standardvorhaben","AWO Kreisverband Frankfurt (Oder) Stadt e. V.","(250825070A) Alltagsbegleiter fﾟr Senioren",2008,"246.500,00  EUR",
"Standardvorhaben","AWO Kreisverband Frankfurt (Oder) Stadt e. V.","(250825073B) Hausmeistergehilfe",2008,"114.480,00  EUR",
"Standardvorhaben","Studentenwerk Frankfurt (Oder)","(250825080B) Hausmeistergehilfe",2008,"120.400,00  EUR",
"Standardvorhaben","PeWoBe Gemeinnﾟtzige Soziale Betreuungsgesellschaft mbH in Frankfurt/Oder","(250825090B) Hausmeistergehilfe",2008,"42.480,00  EUR",
"Standardvorhaben","pewobe gGmbH Frankfurt/Oder","(250825091A) pﾊdagogische Hilfskrﾊfte",2008,"77.760,00  EUR",
"Standardvorhaben","pewobe g GmbH Frankfurt (Oder)","(250825092A) Betreuungshelfer",2008,"38.880,00  EUR",
"Standardvorhaben","pewobe gGmbH Frankfurt/Oder","(250825093A) pﾊdagogische Hilfskrﾊfte",2008,"77.760,00  EUR",
"Standardvorhaben","ASB Regionalverband Ostbrandenburg e.V.","(250825100A) Alltagsbegleiter fﾟr Senioren",2008,"38.880,00  EUR",
"Standardvorhaben","ASB Regionalverband Ostbrandenburg e. V.","(250825101A) Alltagsbegleiter",2008,"84.960,00  EUR",
"Standardvorhaben","Kleist Gedenk- und Forschungsstﾊtte e.V.","(250825110B) Hilfskraft Ordnung und Sicherheit ",2008,"42.372,00  EUR",
"Standardvorhaben","Kleist Gedenk- und Forschungsstﾊtte e.V.","(250825111B) Hilfskraft",2008,"42.372,00  EUR",
"Standardvorhaben","Caritas Altenhilfe Gemeinnﾟtzige GmbH Seniorenzentrum ""Albert Hirsch""","(250825120B) Hausmeistergehilfe",2008,"81.360,00  EUR",
"Standardvorhaben","Caritas Altenhilfe Gemeinnﾟtzige GmbH Seniorenzentrum Albert Hirsch","(250825122A) Alltagsbegleiter fﾟr Senioren",2009,"42.480,00  EUR",
"Standardvorhaben","Gesundheitsfﾚrderverein e.V.","(250825140C) Alltagsbegleiter",2008,"84.960,00  EUR",
"Standardvorhaben","Deutsche-Lebens-Rettungs-Gesellschaft Kreisverband Frankfurt (Oder)-Slubice e. V.","(250825160B) Mitarbeiter Medizinische Gerﾊte",2008,"77.760,00  EUR",
"Standardvorhaben","Stadtsportbund Frankfurt (Oder) e. V.","(250825190B) unterstﾟtzende Hilfskraft",2008,"84.960,00  EUR",
"Standardvorhaben","EJF - Lazarus gemeinnﾟtzige AG","(250825200B) Alltagsbegleiterin Frauenhaus",2008,"42.480,00  EUR",
"Standardvorhaben","Behindertenverband Frankfurt (Oder)","(250825230A) Alltagsbegleiter",2008,"38.880,00  EUR",
"Standardvorhaben","Caritasverband fﾟr das Erzbistum Berlin e.V.","(250825241A) Hilfskraft",2008,"38.880,00  EUR",
"Standardvorhaben","bbw Bildungszentrum Frankfurt (Oder) GmbH","(250825250B)  Betreuer fﾟr KoKo-Arbeitnehmer",2008,"42.480,00  EUR",
"Standardvorhaben","bbw Bildungszentrum Frankfurt (Oder) GmbH","(250825251B) Betreuer",2008,"42.480,00  EUR",
"Standardvorhaben","Evangelischer Kirchenkreisverband Frankfurt (Oder)","(250825260B) Hilfskraft ",2008,"48.168,00  EUR",
"Standardvorhaben","Lebenshilfe fﾟr Menschen mit geistiger Behinderung (Oder) e. V.","(250825270A) unterstﾟtzende Hilfskrﾊfte",2008,"81.360,00  EUR",
"Standardvorhaben","Stiftung Europa-Universitﾊt Viadrina","(250825280B) Hilfskrﾊfte",2008,"84.960,00  EUR",
"Standardvorhaben","Frankfurter Arbeitsloseninitiative e. V. Arbeitslosenservice-Einrichtung","(250825320B) Mitarbeiter Projekt Pausenbrot",2008,"42.480,00  EUR",
"Standardvorhaben","sportmotivations e. V.","(250826001B) Begleitservice",2008,"65.880,00  EUR",
"Standardvorhaben","Arbeitsinitiative Letchin e. V. ","(250826010C) Kommunale Servicekraft",2008,"42.470,50  EUR",
