"Name of Beneficiary","Project Name","Total budget (EUR)","Size of grants given (BGN)"
"""ИНДУСТРИАЛНИ БАТЕРИИ"" ЕООД","""Внедряване на Система за управление на качеството ISO 9001:2008 в ИНДУСТРИАЛНИ БАТЕРИИ ЕООД за повишаване на фирмената конкурентоспособност ""","49,600.00 ","24,304.00 "
"""АЙ ЕНД ДЖИ ИНШУРЪНС БРОКЕРС"" ООД","""Повишаване на конкурентноспособността на ""Aй енд Джи Иншурънс Брокерс"" ООД чрез сертифициране по  международно признатия сертификат за качество ISO 9001: 2000""","48,000.00 ","24,000.00 "
"""ПРИМА-ПРОДУЦЕНТСКА, РЕКЛАМНА, ИНФОРМАЦИОННА И МЕДИЙНА АГЕНЦИЯ"" АД","„РАЗРАБОТВАНЕ И ВНЕДРЯВАНЕ НА СИСТЕМА ЗА УПРАВЛЕНИЕ НА ИНФОРМАЦИОННАТА СИГУРНОСТ (СУИС) СЪГЛАСНО ИЗИСКВАНИЯТА НА МЕЖДУНАРОДНИЯ СТАНДАРТ ","46,805.00 ","23,402.50 "
"""ЕВРОПЕЙСКИ ПРОЕКТЕН ЦЕНТЪР"" ООД","""По пътя към международните пазари чрез въвеждане на международнопризнати стандарти""","47,500.00 ","23,275.00 "
"""ВРАТИЦА"" ООД","""Разработване, внедряване и сертифициране на Интегрирана система за управление, съгласно изискванията на международните стандарти БДС EN ISO 9001:2008 и БДС EN ISO 14001:2004""","46,400.00 ","23,200.00 "
"""ИНВЕСТСТРОЙ-92"" ЕООД","""Повишаване конкурентоспособността на „ИНВЕСТСТРОЙ-92” ЕООД чрез въвеждане на СУК, сертифициране по ISO 9001:2000 и модернизация на работния процес""","46,300.00 ","23,150.00 "
"""ХИГИЕННО-МЕДИЦИНСКА ИНДУСТРИЯ"" ЕООД","""Покриване на международно признати стандарти – основен фактор за конкурентоспособното развитие на „ХМИ” ЕООД""","45,620.00 ","22,810.00 "
"""РИТОН - П"" АД","""Разработване, внедряване и сертифициране на Система за управление на качеството, съгласно изискванията на международния стандарт БДС EN ISO 9001:2008""","45,000.00 ","22,500.00 "
"""ЕНЕРГОРЕМОНТ-РУСЕ"" ЕАД","""Внедряване на система за управление на околната среда според ISO 14001:2004  в Енергоремонт Русе ЕАД""","45,000.00 ","22,500.00 "
"""ЕНЕРГОРЕМОНТ-РАДНЕВО"" ЕООД","""Внедряване на ISO 14001:2004  в ""Енергоремонт Раднево"" ЕООД""","44,000.00 ","22,000.00 "
"""ПЕРФЕКТ ПЛЮС"" ЕООД","""Система за управление (ИСУ) по ISO 9001:2000""","44,000.00 ","22,000.00 "
"ЕТ ""СВЕТЛИНИ - ЕРГУН БАХРИ""","""Повишаване ефективността и създаване на благоприятна работна среда в ЕТ „Светлини – Ергун Бахри” чрез покриване на медународно признати стандарти ""","41,000.00 ","20,500.00 "
"""СИБИ"" ООД","""Повишаване конкурентоспособността на “Сиби”ООД чрез въвеждане и сертифициране на международния стандарт за управление на качеството ISO 9001:2000""","41,000.00 ","20,500.00 "
"""БУЛМАР МЛ"" ООД","""Повишаване на конкурентоспособността на „БУЛМАР МЛ” ООД, чрез покриване на международно признати стандарти""","40,750.00 ","20,375.00 "
"""НАЧЕВ"" ЕООД","""Повишаване на конкурентоспособността на „Начев” ЕООД, чрез покриване на международно признати стандарти"" ","40,556.00 ","20,278.00 "
"""РИПОРТ.БГ"" АД","""Повишаване конкурентоспособността на Рипорт.БГ АД чрез подобряване на качеството и информационната сигурност на предлаганите услуги""","41,000.00 ","20,090.00 "
"""ЕНДОР ТРЕЙДИНГ"" ЕООД","""Повишаване конкурентноспособността на „Ендор трейдинг” ЕООД чрез покриване на международно признат стандарт ISO 9001:2000 и повишаване на ефективността и ефикасността на бизнес процесите чрез въвеждане на интегрирана със СУК управленска информационна система""","39,986.00 ","19,993.00 "
"""МКС КОМЕРС"" ООД","""Покриване на международни стандарти за качество ISO 9001 и ISO 22000""","37,928.00 ","18,964.00 "
"""ИТА БЪЛГАРИЯ"" ООД","""Покриване на медународно признати стандарти""","37,400.00 ","18,700.00 "
"""ГЛАС СТИЛ ДЖАН"" ООД","""Стандартизация и конкурентноспособност при производството и монтажа на дограма""","38,200.00 ","18,700.00 "
"""НЕО-ТИТАН"" ООД","""Изграждане на система за управление на околната среда съгласно БДС EN ISO 14001:2004""","37,200.00 ","18,600.00 "
"""ВПР - РЕКЛАМА"" ООД","""Внедряване на ISO 9001:2000 във ВПР-РЕКЛАМА ЕООД – гаранция за качество и успех""","37,800.00 ","18,499.32 "
"""ЕСКА КОНСУЛТИНГ"" ООД","""Въвеждане на система за управление на качеството""","36,300.00 ","18,110.07 "
"""ЕТАЛ - КО"" ООД","""Етал-Ко ООД – по-конкурентноспособни чрез въвеждане на международно признати стандарти""","37,000.00 ","18,000.00 "
"""РУДМЕТАЛ-ТЕХНОМАШ"" ООД","""Внедряване на ISO 9001:2000 в „РУДМЕТАЛ-ТЕХНОМАШ” ООД – гр. Рудозем с цел повишаване конкурентоспособността на фирмата""","35,078.00 ","17,539.00 "
"""КОНКОРДИА"" ООД","""Добри практики за управление и дистрибуция на бързооборотни стоки в “Конкордиа” ООД""","35,000.00 ","17,328.50 "
"""РИВ"" ООД","""Подобряване конкурентноспособността на ""РИВ"" ООД посредством внедряване и сертифициране на система за качество и безопасност на храните според изискванията на IFS /International Food Standard /, версия 5""","34,650.00 ","17,325.00 "
"""НСП - АТ"" ЕООД","""Градация на фирма чрез покриване на международно признати стандарти за качество""","34,600.00 ","17,300.00 "
"""ПАСАТ БЪЛГАРИЯ"" АД ","""ВНЕДРЯВАНЕ НА СУК СЪГЛАСНО ISO 9001:2008 В „ПАСАТ БЪЛГАРИЯ” АД И „СЕ” МАРКИРОВКА ЗА ПОСТИГАНЕ НА СЪОТВЕТСТВИЕ НА ПРОДУКТИ СЪГЛАСНО ДИРЕКТИВИТЕ ОТ НОВ ПОДХОД""","34,320.00 ","17,160.00 "
"""ОПТИМО"" ООД","""Покриване изискванията на международно признат стандарт ISO 9001:2008 в „Оптимо” ООД"" ","34,000.00 ","16,911.60 "
"""ОРВИТЕКС"" ЕООД","""ВЪВЕЖДАНЕ НА СИСТЕМА ЗА УПРАВЛЕНИЕ НА КАЧЕСТВОТО, МЕЖДУНАРОДЕН СТАНДАРТ ISO 9001:2000, РАЗРАБОТВАНЕ НА СПЕЦИАЛИЗИРАН СОФТУЕР И КОМПЮТЪРНА МОДЕРНИЗАЦИЯ""","33,810.00 ","16,905.00 "
"ЕТ ""ИВЕЛ СТИЛ М - МАЯ ИВАНОВА""","""Покриване на стандарт ISO 9001: 2008 в „ИВЕЛ СТИЛ М – МАЯ ИВАНОВА” ЕТ""","34,364.00 ","16,838.36 "
"""ТЕМПУС 2000"" ООД","""Сертифициране на Темпус 2000 по стандарт ISO 9001:2008""","33,350.00 ","16,675.00 "
"""ИРИМ"" ЕООД","""Повишаване на конкурентноспособността на ИРИМ ЕООД чрез внедряване и сертифициране на системи за управление по изискванията на международните стандарти ISO 9001:2008 и ISO 14001:2004""","33,050.00 ","16,525.00 "
"""ИЗТОЧНА ЕЛЕКТРИЧЕСКА ГРУПА"" ЕООД","""Покриване на международно признати стандарти""","32,900.00 ","16,450.00 "
"""ХЕРА - 73"" ЕООД","""Повишаване на конкурентноспособността на Хера – 73 ЕООД чрез покриване на стандарта ISO 9001:2000""","32,868.00 ","16,434.00 "
"""КАЛИНОВИ - КОНСУЛТ"" ООД","""Внедряване и покриване на изискванията на ISO 9001:2008 в ""Калинови консулт"" ООД  стъпка за устойчиво развитие""","32,800.00 ","16,400.00 "
"""ХИДРОЕКОСТРОЙ"" АД","""Повишаване на конкурентоспособността на ""Хидроекострой"" АД чрез въвеждане на международно признати стандарти""","32,760.00 ","16,380.00 "
"""ЧИСТОТА"" ЕООД","""Повишаване конкурентоспособността на “Чистота” ЕООД чрез въвеждане на БДС EN ISO 14001:2004""","32,750.00 ","16,375.00 "
"""ЕСКАНА ИНВЕСТ 96"" АД",""" Създаване на конкурентно предимство чрез постигане на ефективно управление на бизнес процесите във фирмата""","31,640.00 ","15,503.60 "
"""МИРАЖ ТРЕЙД"" ООД","""Повишаване на конкурентноспособността на “Мираж Трейд” ООД чрез сертифициране на системата за управление на качеството по ISO 9001:2000 и инвестиционна подкрепа""","30,805.00 ","15,402.50 "
"""ХЕЛИОС - МЕТАЛ ЦЕНТЪР"" ООД","""Повишаване конкурентноспособността на ХЕЛИОС - МЕТАЛ ЦЕНТЪР ООД чрез покриване изискванията на стандарт ISO 9001:2000""","31,300.00 ","15,337.00 "
"""БИО ФРЕШ"" ООД","""Повишаване конкурентноспособността на „Био Фреш” ООД чрез покриване изискванията на стандарт ISO 9001:2000""","31,000.00 ","15,190.00 "
"""ЕЛКО СТАР КОМЮНИКЕЙШЪНС"" ЕООД","""Постигане на по-висока конкурентоспособност чрез внедряване на система за управление на качеството""","30,600.00 ","15,159.24 "
"""ГЛОРИЯ - 2001"" ООД","""Подготовка и сертификация на Система за управление на качеството съгласно ISO 9001:2008, Система за управление на околната среда съгласно ISO 14001:2004, продуктова сертификация съгласно Еко-Текс и закупуване на контролно-измервателно оборудване""","30,250.00 ","15,125.00 "
"""СЕРДОН ВС"" ООД","""Въвеждане и сертификация на система за управление на качеството в съответствие с международния стандарт ISO 9001:2008""","30,042.00 ","15,021.00 "
"""РОБИФИР - РЛС"" ООД","""Подобряване на управлението, конкурентните предимства и пазарни позиции на Робифир - РЛС"" ООД"" ","29 700.00","14,850.00 "
"ЕТ ""ТУР ШАНС-ШАКЕ ЕКМЕКЧИЯН""","""Туршанс – гаранция за качество, доверие у клиента""","30,200.00 ","14,798.00 "
"""БИТ И ТЕХНИКА"" ООД","""Утвърждаване, конкурентоспособност и просперитет чрез стандартизация""","29,020.00 ","14,510.00 "
"""АДВАНС АДРЕС ЕКСПЕРТНИ ОЦЕНКИ"" ЕООД","""Повишаване конкурентоспособността чрез покриване изискванията на стандарт ISO 9001:2008""","28,800.00 ","14,351.00 "
"""ТЕРАЗИНИ"" ЕООД","""Конкурентноспособност чрез сертификация""","28,500.00 ","14,250.00 "
"""КРИ-КОНСУЛТ"" ЕООД","""Покриване на международно признати стандарти - Разширяване на обхвата на лабораторията на Кри Консулт ЕООД""","27,700.00 ","13,850.00 "
"""ДИД - 73"" ЕООД","""Внедряване и сертифициране на система за управление на качеството, съгласно ISO 9001:2000""","27,500.00 ","13,750.00 "
"""ДЖИЗА БГ"" ООД","""Въвеждане на Система за управление на околната среда в „Джиза БГ” ООД""","27,300.00 ","13,630.89 "
"""ЛУКОВ ДИЗАЙН 2"" ЕООД","""С международни стандарти в проектирането и архитектурата - към по-висока конкурентноспособност ""","27,800.00 ","13,622.00 "
"""СИС ТЕХНОЛОГИЯ"" АД","""Сертифициране на „СИС ТЕХНОЛОГИЯ” АД съгласно международно признатия стандарт ISO 9001:2008- гаранция за повишаване на конкурентоспособността""","27,200.00 ","13,600.00 "
"""ЕЛВИ"" ЕООД","""Повишаване конкурентоспособността на ЕЛВИ ЕООД на международните пазари чрез внедряване и сертифициране на Система за управление на качеството съгласно стандарт ISO 9001:2008""","27,300.00 ","13,589.94 "
"""ИМЕЛ ДИЗАЙН"" ООД","""Повишаване конкурентоспособността на „ИМЕЛ ДИЗАЙН” ООД чрез покриване на изискванията на международно признат стандарт ISO 9001:2000""","26,900.00 ","13,450.00 "
"""СУПЕРВАЙЗЕР"" ЕООД","""Повишаване на конкурентноспособността и постигане устойчиво развитие на ""СУПЕРВАЙЗЕР"" ЕООД , чрез СУК ISO 9001:2008""","26,700.00 ","13,350.00 "
"""БИТ"" ООД","""ПОКРИВАНЕ НА МЕЖДУНАРОДНО ПРИЗНАТИ СТАНДАРТИ - ISO - 9001 ОТ ФИРМА БИТ ООД","26,200.00 ","13,100.00 "
"""АЙ БИ ЕС - БЪЛГАРИЯ"" ЕООД","""Покриване на международен стандарт ISO 27001:2005""","25,700.00 ","12,850.00 "
"""МИПА"" ООД","""Повишаване конкурентоспособността на фирма Мипа ООД чрез въвеждане на интегрирана система за управление на качеството в съответствие със стандартите ISO 9001:2008 и ISO 14001:2004""","25,600.00 ","12,800.00 "
"""ШАМОТ ЕЛ ПЕ 2007"" ООД","""Разработване, внедряване и сертификация на система за управление на качеството в съответствие с изискванията на стандарта ISO 9001:2000""","25,000.00 ","12,500.00 "
