"NUMBER COM","Name of Beneficiary","Project Name","Total budget","Size of grants provided "
144,"""МЕБЕЛ-ИНВЕСТ"" АД","""Повишаване на конкурентноспособността на “МЕБЕЛ – ИНВЕСТ” АД чрез технологично обновяване на оборудването на дружеството""","742,393.97","482,556.08"
145,"""ЕКСПРЕС ИНЖЕНЕРИНГ"" ООД",""" Повишаване конкурентоспособността на „Експрес Инженеринг” ООД""","1,586,575.00","999,212.76"
146,"""СИМТИКОМПЛЕКТ ММ"" ЕООД",""" Технологично обновление на производствения процес в “Симтикомплект ММ” ЕООД""","1,230,751.97","799,000.00"
147,"""ВЪЗХОД"" ЕООД","„Повишаване конкурентоспособността на „Възход” ЕООД, с Мусомище, чрез модернизация на производството и закупуване на съвременно оборудване за хлебопроизводство”","940,450.00","611,292.50"
148,"""ГИДО"" ООД","""Повишаване на конкурентоспособността на “ГИДО” ООД като производител за пазарите на ЕС""","1,666,665.00","999,999.00"
149,"""ПЪТНА КОМПАНИЯ"" ЕАД","""Повишаване на конкурентоспособността на “ПЪТНА КОМПАНИЯ” ЕАД чрез инвестиционна подкрепа и разработване на стратегия за бизнес развитие""","2,310,087.90","926,039.89"
150,"""Р-СТИЛ"" ООД","""Модернизация на „Р-стил”ООД за създаване на  комфорт""","432,260.00","280,969.00"
151,"""АЛУПЛАСТ-ЖТГ"" ЕООД","""Модернизиране и оптимизиране на производствения процес  в „Алупласт ЖТГ” ЕООД""","464,950.00","274,320.50"
152,"""КАРМЕЛА-2000"" ООД","""Технологичната модернизация на КАРМЕЛА 2000 ООД – гаранция за конкурентноспособност и новаторство""","929,950.00","557,970.00"
153,"""МАРКУС"" ООД","""Повишаване качеството и капацитета на Маркус ООД""","338,946.92","203,368.15"
154,"""ДИМЕКС ТРЕЙДИНГ"" ЕООД","""Високотехнологична модернизация на „ДИМЕКС ТРЕЙДИНГ” ЕООД""","1,292,120.00","775,272.00"
155,"""ПАСАТ БЪЛГАРИЯ"" АД","""Закупуване и въвеждане в експлоатация на ново технологично оборудване""","227,720.00","148,018.00"
156,"""ХИММАШ"" АД","„Повишаване на конкурентоспособността на Химмаш”АД чрез внедряване на модерно технологично оборудване”","665,023.00","399,013.80"
157,"""ХЛЕБОПРОИЗВОДСТВО И СЛАДКАРСТВО"" ЕООД","""Технологична модернизация на ""ХЛЕБОПРОИЗВОДСТВО И СЛАДКАРСТВО""ЕООД гр.Троян","524,413.85","314,648.31"
158,"""ВОЙСКОМ"" АД","""Разплащания чрез комуникационен оператор""","1,425,000.00","926,250.00"
159,"""БУЛМАР"" ООД","""Повишаване конкурентоспособността на  Булмар ООД  чрез инвестиране в технологична модернизация на предприятието""","328,647.00","213,621.00"
160,"""БИСС АДВЪРТАЙЗИНГ""ООД","""Повишаване на конкурентноспособността на “БИСС АДВЪРТАЙЗИНГ” ООД чрез модернизация на технологичния парк на фирмата""","886,802.40","576,421.56"
161,"ЕТ ""БИСЕР СТОИМЕНОВ""","""Технологична модернизация на ЕТ „Бисер Стоименов”""","1,540,000.00","1,000,000.00"
162,"""МЕНИДЖМЪНТ БИЛДИНГ КОНТРОЛ"" ЕООД","""Модернизация на машинния парк на „Мениджмънт билдинг контрол” ЕООД""","1,603,909.08","999,876.92"
163,"""ЕС БИ ГРУП"" ЕАД","""Конкурентноспособни геопространствени данни""","248,240.00","161,356.00"
164,"""МД-2 "" ЕООД","""Производство на качествени замразени и охладени тестени изделия""","1,608,286.00","964,971.60"
165,"""ПАСПОРТ МЕДИА"" ООД","""Модернизация на технологиите за производство на филми и филмови форми в Паспорт медиа ООД""","1,209,143.00","785,942.95"
166,"ФАМИЛИ ДЖИ","""Модернизиране и обновление на технологичното оборудване за по-ефективно производство на висококачествени продукти, в съответствие с европейските  и световни изисквания към производството на облекла""","309,271.00","185,562.60"
167,"""ХЕМУС-М"" АД","""Модернизация и увеличаване на капацитета за добив и преработка на скално-облицовъчни материали от фирма ХЕМУС-М – Мездра""","1,526,629.00","782,921.20"
168,"ЕТ ""БОЖИДАР ХРИСТОВ - ДАРИС""  ","""Технологична модернизация и иновации в ЕТ „Божидар Христов – ДАРИС”""","996,200.00","597,720.00"
169,"""ИНКОТЕКС"" АД","""Повишаване на конкурентните предимства на «ИНКОТЕКС» АД, гр Котел чрез изготвяне на инвестиционна стратегия за устойчиво развитие""
","2,531,913.21","998,029.10"
170,"""ВАРИАНТИ"" ООД","""Повишаване конкурентоспособността чрез инвестиции в технологично оборудване с Цифрово-програмно управление""","487,284.00","316,734.75"
171,"""АЙГРУП"" ЕООД","""Предоставяне на възможности за развитие  в „Айгруп”""  ЕООД","1,440,835.00","864,501.00"
172,"""РИНКО-ИНТЕРИОР"" ЕООД","""Повишаване конкурентоспособността на РИНКО-ИНТЕРИОР ЕООД чрез модернизиране на технологичното оборудване и диверсифициране на продукци""","1,422,400.00","853,440.00"
