"Name of the Beneficiary","Name of the Operation","Name and Number of the Procedure","Project proposal No","Year of Allocation/ Year of Final Payment","Ammounts Committed (BGN)","Total Ammounts Paid at the End of the Operation (BGN)"
"Municipality Banite","Technical assistance for preparation of investment project ""Construction of facilities for composting and pre-treatment of waste, closure and rehabilitation of municipal landfill in ""Oran Preslup-Kiselka"", municipality Banite, region Smolyan","BG161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-6-310",2008,"183 696,00",0
"Municipality Belene","Complex technical assistance for partial construction of a sewerage network with Waste Water Treatment Plant and rehabilitation of the existing water-supply network in Belene","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-74-74",2009,"986 000,00",0
"Municipality Belogradchik","Preparation of project proposal-Construction of bringing collector and WWTP - Belogradchik","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-146-146",2009,"171 100",0
"Municipality Belogradchik","Preparation of project proposal-Reconstruction of part of the inner water-supply network of Belogradchik","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-147-147",2009,"45 100,00",0
"Municipality Beloslav","Construction of sewarage and collector system to the existing UWWTP and watersupply network - Beloslav","BG161PO005/08/1.10/01/02 Improvement and development of water and wastewater infrastructure","58111-28-219",2009,"21 127 709,00",0
"Municipality Belovo","Technical assistance for preparation of full investment project for construction of sewerage, collector and WWTP - Belovo","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-145-145",2008,"373 176,00",0
"Municipality Blagoevgrad","Improvement of the technical readiness of Blagoevgrad municipality to apply with infrastructure projects for reconstruction of the water-supply and swearage network of Blagoevgrad under Priority axis 1 of OPE","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-76-76",2009,"1 270 547,00",0
"Municipality Blagoevgrad","Design preparation of ""Pressure reservoir 7000 m3"" for improvement of the water-supply system of Blagoevgrad","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-77-77",2009,"238 695,00",0
"Municipality Blagoevgrad","Reconstruction and modernization of the water-supply and sewerage network in ""Strumsko"", ""Gramada"" and ""Balarbashi"" quarters, as well as construction of new and improvement of existing water-supply and sewerage network of IV microregion of Blagoevgrad","BG161PO005/08/1.10/01/02 Improvement and development of water and wastewater infrastructure","58111-39-230",2008,"17 335 768,00",0
"Municipality Bobov Dol","Technical assistance for preparation of investment project ""Completion the construction, reconstruction and rehabilitation of water-supply and swearage network (household and rain water) and construction of WWTP - Bobov Dol","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 ﾖ 2013","58131-17-17",2009,"930 000,00",0
"Municipality Bolyarovo","Improvement of the basic infrastructure in Bolyarovo, Bolyarovo municipality","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 ﾖ 2013","58131-101- 101",2009,"123 500,00",0
"Municipality Borino","Project design of integrated sewerage and water-supply system and WWTP of Borino village, Smolyan region","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 ﾖ 2013","58131-141- 141",2009,"799 589,40",0
