"BENEFICIARIO","SEDE INTERVENTO","ASSE ATTIVITA","OGGETTO AGEVOLAZIONE","ANNO ASSEGNAZIONE"," AGEVOLAZIONE CONCESSA "," IMPORTO EFFET. PAGATO "
"ITALPORTE S.P.A.","SAN FRANCESCO AL CAMPO","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"24,433.50 €","12,216.75 €"
"ITEC","INVORIO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"85,931.48 €","73,500.00 €"
"IT.GATE","TORINO","I-3-1"," ICT",2009,"146,700.00 €","  "
"I.T.T. INDUSTRIA TESSILE TINTORIA","BIELLA","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"21,629.75 €","  "
"ITT ITALIA","LAINATE","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"263,880.60 €","  "
"IUPPA INDUSTRIALE","ALICE BEL COLLE","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"31,450.80 €","15,725.40 €"
"JUMBO","SERRALUNGA DI CREA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"368,234.68 €","323,824.50 €"
"JUMBO","SERRALUNGA DI CREA","I-Ri3-a","LR34-04  - INNOVAZIONI",2008,"17,404.35 €","8,702.17 €"
"KLERAL SYSTEM S.R.L.","MONCALIERI","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"10,225.00 €","  "
"KYNETIX","TORINO","I-3-1"," ICT",2009,"103,224.00 €","  "
"LA PIALLA DI COMINETTO DOMENICO","VIGLIANO BIELLESE","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"87,084.70 €","84,425.57 €"
"LA PIAZZA","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"22,500.00 €","11,250.00 €"
"LA PIETRA","ASTI","I-3-2","ASSE i ATTIVITA' i.3.2 ADOZIONE TIC",2010,"59,402.85 €","  "
"LANDRA","TORINO","I-Ri1-a","MANUNET 2007",2007,"302,000.00 €","90,600.00 €"
"LANDRA","TORINO","I-Ri1-a","MANUNET 2008",2008,"310,200.00 €","  "
"LANE BOTTO","OCCHIEPPO INFERIORE","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"2,321,388.00 €","2,285,388.00 €"
"LANGHE E ROERO POWER","ALBA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"2,800,000.00 €","2,500,000.00 €"
"LANIFICIO LUIGI COLOMBO S.P.A.","BORGOSESIA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"1,000,000.00 €","  "
"LANIFICIO ZIGNONE","STRONA","II-1-1-3","ASSE II.1.1-3 ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"826,730.60 €","712,215.00 €"
"LANZA&THOMPSON INFORMATION TECHNOLOGY","MILANO","I-1-1","BIOTECNOLOGIE",2009,"57,904.00 €","  "
"L.A.P. LAVORAZIONE ARTICOLI PLASTICI","SAGLIANO MICCA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"275,289.39 €","267,856.66 €"
"LAVANDERIA BERNAREGGI","BAVENO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"289,000.36 €","277,700.05 €"
"L.C.M. DI FASO CALOGERO & C.","PIOBESI TORINESE","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"579,918.13 €","501,454.00 €"
"LEAR DI GIACOMELLI E C.","TORINO","I-Ri7-a","LR34-04  - AEREOSPAZIO",2008,"68,400.00 €","20,520.00 €"
"LENTI & VILLASCO SRL","TORTONA","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"20,000.00 €","  "
"LIBERA","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2009,"25,875.00 €","  "
"LICOM SYSTEMS","IVREA","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"10,000.00 €","  "
"LIFE AND DEVICE","TORINO","I-1-1","BIOTECNOLOGIE",2009,"92,003.15 €","  "
"LIFRA MECCANICA DI ROSSI FRANCESCO & C.","VOLVERA","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"49,254.30 €","24,627.15 €"
"LINEA DONNA DI COMINO GIUSEPPE E C.","MONDOVI'","I-3-2","ADOZIONE TIC",2010,"80,000.00 €","  "
"LINKWARE","TORINO","I-3-1"," ICT",2009,"177,600.00 €","  "
"LOGOS CENTRO STUDI","CALUSO","I-3-2","ADOZIONE TIC",2010,"22,884.00 €","  "
"LORAN DI MAROTTA NICOLETTA","TORINO","I-Ri3-c","LR34-04  - TECNOLOGIE",2008,"21,440.00 €","  "
"LORETT","PIANEZZA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"702,834.68 €","688,275.00 €"
"LORO PIANA S.P.A.","QUARONA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"2,500,000.00 €","  "
"LPM LATERIZI PREFABBRICATI MONDOVI' SPA","MONDOVI'","I-Ri3-b","LR34-04 -TUTELA AMBIENTALE",2008,"16,307.25 €","8,153.62 €"
"L.P.T.","RIVOLI","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"14,141.40 €","7,070.70 €"
"L.S.G. VERNICIATURA INDUSTRIALE SRL","PIOBESI TORINESE","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"562,500.00 €","  "
"L.T.R. SERVICE","TORINO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"20,000.00 €","20,000.00 €"
"LUIGI RUSSO, PAOLO FASOLO, LUCA VIGLIANCO, ROBERTO BAGLIONI & C.","TORINO","I-3-2","ADOZIONE TIC",2010,"29,850.00 €","  "
"LUX","POZZOLO FORMIGARO","II-1-2"," ENERGIA - SOSTENIBILITA",2009,"965,072.87 €","903,982.50 €"
"M.A. ELABORAZIONI DI MIAZZO LORENZO","NOVARA","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"27,207.50 €","  "
"MABITEX S.P.A.","CHERASCO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"5,604.17 €","  "
"MACARIO ARREDA DI MACARIO BAN ELMINO E C.","MATHI","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"58,200.00 €","  "
"MAGER","CAMBIANO","I-Ri1-a","MANUNET 2007",2007,"336,000.00 €","268,800.00 €"
"MAGLIOCCO SRL","SCARNAFIGI","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"144,804.50 €","  "
"MAGLIOLA ANTONIO E FIGLI SPA","SANTHIA'","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"737,720.55 €","  "
"MAMO LEGNAMI DI DI SABATO MODESTINA E C.","TONCO","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"37,807.50 €","37,807.50 €"
"MARAN E PERACINI","BORGOSESIA","I-3-2"," ADOZIONE TIC",2010,"77,240.00 €","  "
"MAROCCHINERIE E SCAMOSCERIE ITALIANE","CASELLE TORINESE","I-3-2","ADOZIONE TIC",2010,"24,367.00 €","  "
"MARTIN & C.","PEROSA ARGENTINA","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"8,925.00 €","4,462.50 €"
"MARTINA OFFICINE METALMECCANICHE S.N.C. DEI F.LLI MARTINA","SUSA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"840,000.00 €","  "
"MARUS","NAPOLI","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"104,341.49 €","88,875.00 €"
"MARVAL","CASTELLAMONTE","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"84,551.20 €","84,551.20 €"
"MATEC","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"77,570.55 €","38,785.20 €"
"MATRIX","IVREA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"842,454.63 €","842,454.63 €"
"MAX APPLICATION","ALMESE","I-3-1"," ICT",2009,"80,530.48 €","  "
"MBP DI MACARIO-BAN PIETRO","VILLANOVA CANAVESE","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"322,460.74 €","279,750.00 €"
"MC TEAM DI MARIO COTTONE & C.","TORINO","I-3-2","ADOZIONE TIC",2010,"26,420.00 €","  "
"MECAPROM VEHICLES & POWERTRAIN SYSTEMS ITALIA","MILANO","I-3-2"," ADOZIONE TIC",2010,"132,575.00 €","  "
"MECCANICA BAUDANO","VILLARBASSE","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"299,235.50 €","  "
"MECCANICA UNO S.R.L.","SILVANO D'ORBA","II-1-2"," ENERGIA - SOSTENIBILITA",2008,"1,503,110.00 €","  "
"MECTOCE SRL","GRAVELLONA TOCE","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"84,356.68 €","42,178.34 €"
"MECTRA SRL","CARBONARA SCRIVIA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"859,551.50 €","  "
"MEDIAPOLIS","IVREA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"2,500,000.00 €","  "
"MEMORO","TORINO","I-3-1"," ICT",2010,"127,575.00 €","  "
"MEPIT DI PIGATO E C.","SETTIMO TORINESE","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"241,500.00 €","  "
"MERLINO PUBBLICITA'","CEVA","I-Ri3-c","LR34-04  TECNOLOGIE",2008,"14,575.00 €","  "
"MESTIERI - CONSORZIO DI COOPERATIVE SOCIALI","BRESCIA","I-3-2","ADOZIONE TIC",2010,"59,645.00 €","  "
"METALLURGICA ITALO OTTINETTI","BAVENO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"20,017.50 €","  "
"METALPRES SRL","VILLANOVA CANAVESE","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"16,461.04 €","16,461.04 €"
"METEC INNOVATION","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"70,225.05 €","  "
"METRAX","MILANO","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"31,376.87 €","15,688.43 €"
"METROSTAFF","RIVOLI","I-3-1"," ICT",2009,"180,710.00 €","  "
"MICHELIN ITALIANA S.A.M.I.","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"119,521.00 €","59,760.50 €"
"MICRO MEGA","STRAMBINO","I-Ri3-c","LR34-04  TECNOLOGIE",2008,"7,410.00 €","  "
"MICROBEL","RIVOLI","I-3-2"," ADOZIONE TIC",2010,"51,000.00 €","  "
"MICRODATA TELEMATION","MONCALIERI","I-3-1"," ICT",2010,"308,805.60 €","  "
"MICRODATA TELEMATION","MONCALIERI","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"21,895.00 €","21,895.00 €"
"MICROELETTRONICA","BORGO SAN DALMAZZO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"140,158.46 €","140,158.46 €"
"MICROLA OPTO ELECTRONICS","TORINO","I-Ri1-a","MANUNET 2008",2008,"180,000.00 €","  "
"MICRO-SHOP","TORINO","I-Ri3-c","LR34-04  TECNOLOGIE",2008,"22,060.00 €","11,030.00 €"
"MIDRAS","TORINO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"22,500.00 €","11,250.00 €"
"MIE SRL","CHIERI","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"9,163.00 €","  "
"MILLENNIUM","MONCALIERI","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"184,875.00 €","  "
"MIPSON","GRUGLIASCO","I-3-2"," ADOZIONE TIC",2010,"36,861.50 €","  "
"MIPSON DISTRIBUZIONE","GRUGLIASCO","I-3-2","ADOZIONE TIC",2010,"43,238.50 €","  "
"MISTA","CORTIGLIONE","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"69,663.15 €","34,831.57 €"
"MIVAL","MILANO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"627,634.95 €","613,730.24 €"
"MKS - SRL","NICHELINO","I-Ri3-c","LR34-04 TECNOLOGIE",2008,"12,239.00 €","  "
"MMV MINUTERIA MECCANICA VALSESIANA","SCOPA","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"41,190.35 €","41,190.35 €"
"MO.FER S.R.L.","NOVI LIGURE","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"212,250.00 €","  "
"MOGLIA TIPOLITOGRAFIA","TORINO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"82,025.54 €","73,350.00 €"
"MOKAOR","VERCELLI","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"85,302.66 €","  "
"MOLINATTI","BORGOFRANCO D'IVREA","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"7,250.00 €","  "
"MOLLE INDUSTRIALI CONTE S.R.L.","TORINO","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"50,499.60 €","25,249.80 €"
"MONDIAL GROUP","SAN GIORGIO MONFERRATO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"289,437.12 €","  "
"MONDORA S.P.A.","MILANO","I-3-1"," ICT",2010,"772,605.00 €","  "
"MONTEROSA CALCESTRUZZI","TRENTO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"263,461.81 €","232,863.75 €"
"MORO S.P.A.","SETTIMO TORINESE","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"22,145.00 €","  "
"MORRE ILARIO","VILLAR SAN COSTANZO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2010,"65,457.98 €","  "
"MOZZONE FRATELLI","SALMOUR","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"525,000.00 €","  "
"M.R. SERVICE DI MARIN RENATO & C. S.N.C.","TORINO","I-Ri3-c","LR34-04  TECNOLOGIE",2008,"21,425.00 €","  "
"MULTITIME","MILANO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"20,648.74 €","10,324.37 €"
"MULTY ENERGY S.R.L.","BOLZANO","I-3-2"," ADOZIONE TIC",2010,"199,000.00 €","  "
"MUSEO NAZIONALE DEL RISORGIMENTO ITALIANO","TORINO","III-1-1"," Tutela dei beni ambientali e culturali",2009,"4,000,000.00 €","  "
"MUSEO NAZIONALE DELL'AUTOMOBILE","TORINO","III-1-1"," Tutela dei beni ambientali e culturali",2007,"7,300,000.00 €","  "
"MUSSAT GIANLUCA","CASTELLAMONTE","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"30,353.37 €","15,176.68 €"
"MUSSAT SRL","TORINO","I-Ri3-a","LR34-04 - - INNOVAZIONI",2009,"244,000.00 €","  "
"MUSTAD S.P.A","PINEROLO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"19,389.17 €","  "
"NANA  LAB","TORINO","I-3-1"," ICT",2009,"200,000.00 €","  "
"NANOGEN ADVANCED DIAGNOSTICS  S.R.L.","TREZZANO SUL NAVIGLIO","I-1-1","BIOTECNOLOGIE",2009,"118,591.50 €","  "
"NANOVECTOR","TORINO","I-1-1","BIOTECNOLOGIE",2009,"183,942.50 €","  "
"NASH","TORINO","I-3-1"," ICT",2010,"357,594.00 €","  "
"NATURA' SRL","VILLAREGGIA","I-Ri3-b","LR34-04 -TUTELA AMBIENTALE",2008,"18,776.12 €","9,388.06 €"
"NAUTILUS","TORTONA","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"84,453.20 €","  "
"NEAGEN","TORINO","I-3-1"," ICT",2009,"141,848.00 €","  "
"NEGRI F.LLI","GRIGNASCO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"190,152.00 €","  "
"NEGRI F.LLI","GRIGNASCO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"16,003.00 €","  "
"NEKHEM","TORINO","I-Ri7-a","LR34-04 AEREOSPAZIO",2008,"80,010.00 €","24,003.00 €"
"NEOHM COMPONENTI","SETTIMO TORINESE","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"30,800.00 €","9,240.00 €"
"NEOHM COMPONENTI","SETTIMO TORINESE","I-Ri7-a","LR34-04 -  AEREOSPAZIO",2008,"194,280.00 €","113,330.00 €"
"NETBRAIN","TORINO","I-3-2"," ADOZIONE TIC",2010,"55,693.38 €","  "
"NET4BIZ","TORINO","I-3-1"," ICT",2009,"200,000.00 €","  "
"NEW SPINDLE","TORINO","I-Ri1-a","MANUNET 2008",2008,"250,000.00 €","  "
"NEW TECH SYSTEM SRL","TAGLIOLO MONFERRATO","I-Ri1-a","MANUNET 2007",2007,"351,000.00 €","280,800.00 €"
"NEW TECH SYSTEM SRL","TAGLIOLO MONFERRATO","I-Ri1-a","MANUNET 2008",2008,"313,500.00 €","  "
"NEWCOM*DATA","TORINO","I-Ri3-c","LR34-04 -- TECNOLOGIE",2008,"16,500.00 €","  "
"NEWFORM","SERRAVALLE SESIA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"111,224.21 €","110,159.81 €"
"NEWFORM","SERRAVALLE SESIA","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"150,000.00 €","150,000.00 €"
"NE.W.S. SISTEMI","IVREA","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"21,635.00 €","10,817.50 €"
"NICE","CAMERANO CASASCO","I-3-1"," ICT",2010,"402,000.00 €","  "
"NICROM","CORTIGLIONE","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"26,193.89 €","13,096.94 €"
"NIMBUS","LOMBARDORE","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"1,869,350.00 €","571,834.17 €"
"NIMBUS","LOMBARDORE","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"67,480.00 €","  "
"NIZZO GIOVANNI SRL","CASAL CERMELLI","I-3-2"," ADOZIONE TIC",2010,"31,290.00 €","  "
"NKE","ALPIGNANO","I-Ri3-c","LR34-04 -TECNOLOGIE",2008,"22,064.60 €","11,032.30 €"
"NN EUROPE","TORINO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"1,046,482.56 €","1,000,000.00 €"
"NN EUROPE","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"329,051.57 €","  "
"NO REAL DI BORRA DAVIDE","TORINO","I-3-1"," ICT",2009,"124,300.00 €","  "
"NOVA SIDERA METAL FORMING","ODALENGO PICCOLO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"400,038.06 €","250,038.06 €"
"Novamont SpA","NOVARA","I-Ri1-a","MANUNET 2008",2008,"250,000.00 €","  "
"NOVATEA","VERRONE","I-3-2"," ADOZIONE TIC",2010,"47,784.40 €","  "
"NOVATEA","VERRONE","I-Ri7-a","LR34-04 -  AEREOSPAZIO",2008,"61,299.00 €","18,389.70 €"
"NOVATEA","VERRONE","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"160,475.25 €","  "
"NOVATEK  IMPIANTI  ELEVATORI DI CISOTTO R.","CIRIE'","I-3-2"," ADOZIONE TIC",2010,"21,099.75 €","  "
"NOVI LAMIERE S.P.A.","NOVI LIGURE","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"22,456.18 €","  "
"N.S.M.","PIASCO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"25,038.52 €","  "
"NTPLAST SRL","OVADA","I-Ri1-a","MANUNET 2007",2007,"123,000.00 €","98,400.00 €"
"NTT NEW TERA TECHNOLOGY","TROFARELLO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"249,537.94 €","  "
"NUOVA CIVES SRL","SAVONA","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"150,000.00 €","75,000.00 €"
"NUOVA FAR","BORGOSESIA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"110,360.38 €","100,800.00 €"
"NUOVA FUMERO DI P.I FUMERO MARIO E C.","GAGLIANICO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"50,840.60 €","43,863.75 €"
"NUOVA SOLMINE","SCARLINO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"1,014,754.91 €","1,009,000.50 €"
"NUOVA ZINCOROTOSTATICA SRL","RIVAROLO CANAVESE","I-Ri3-a","LR34-04  INNOVAZIONI",2008,"78,398.90 €","39,199.45 €"
"NUREX","SASSARI","I-1-1","BIOTECNOLOGIE",2009,"275,114.00 €","  "
"OBEM","BIELLA","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"367,033.67 €","  "
"OCCLEPPO","ALICE CASTELLO","I-Ri1-a","MANUNET 2008",2008,"433,000.00 €","  "
"OCEANO","TORINO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"17,000.00 €","  "
"O.C.F. DI AGHEMO","ORBASSANO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"138,993.75 €","  "
"OFFICINA LAV. MECCANICHE DI PRECISIONE BERGESE & C.","CHERASCO","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"59,757.20 €","29,878.60 €"
"OFFICINA MECCANICA PIETRO RAMELLA & C. S.A.S","BIELLA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"438,000.00 €","  "
"OFFICINA MECCANICA RAIMO DI PAOLETTI SILVIA & STEFANO","VERCELLI","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2010,"90,747.99 €","  "
"OFFICINA ORTOPEDICA ZUMAGLINI S.R.L.","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"6,375.00 €","  "
"OFFICINA SONORA  DI MARCO CIMINO & C.","TORINO","I-3-2","ADOZIONE TIC",2010,"27,510.00 €","  "
"OFFICINE ARFINO","VARALLO SESIA","I-Ri3-b","LR34-04  - TUTELA AMBIENTALE",2008,"20,190.36 €","20,190.36 €"
"OFFICINE CHIARLONE DI CHIARLONE G. & C.","ALBA","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"42,393.00 €","  "
"OFFICINE MECCANICHE CARPENTERIE MONREGALESI - O.M.C.M. DI C. CHIECCHIO & C. S.N.C.","MONDOVI'","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"165,656.00 €","82,828.00 €"
"OFFICINE METALLURGICHE PIEMONTESI MONGIARDINO","GENOVA","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"43,395.60 €","21,697.80 €"
"O.F.S.","TORINO","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"72,443.07 €","36,221.53 €"
"OLIMAC SRL","BEINETTE","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"150,000.00 €","75,000.00 €"
"OLIVETTI-JET","ARNAD","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"304,425.00 €","  "
"OLSA","RIVOLI","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"399,232.58 €","199,616.29 €"
"OMER PRODUZIONE","ROLETTO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"676,155.60 €","632,512.46 €"
"OMER ROBOTICS S.R.L.","ROLETTO","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"42,858.30 €","21,429.15 €"
"OMES","COLLEGNO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"145,464.21 €","145,464.21 €"
"OMG OFFICINE MECCANICHE","LUSIGLIE'","I-Ri3-a","LR34-04- INNOVAZIONI",2008,"141,983.28 €","70,991.64 €"
"OMICRON CONSULTING","ROMA","I-3-1"," ICT",2009,"142,919.58 €","  "
"O.M.LER 2000  TECNOLOGIE MECCANICHE LERDA","BRA","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"45,240.31 €","27,144.19 €"
"O.M.R. OFFICINA MECCANICA RAVERA DI RAVERA GRAZIANO & C.","CHERASCO","I-3-2"," ADOZIONE TIC",2010,"84,725.00 €","  "
"OMSTRAP SRL","PARUZZARO","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"150,000.00 €","75,000.00 €"
"OPTIMAD ENGINEERING","TORINO","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"30,009.00 €","2,310.70 €"
"ORS","ALBA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"152,376.89 €","123,847.00 €"
"ORSI DI ORSI GIUSEPPE & C.","MANTA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"976,152.62 €","900,000.00 €"
"O.R.SO. S.C.S.","TORINO","I-3-2"," ADOZIONE TIC",2010,"34,256.00 €","  "
"OSAI A.S.","TORINO","I-Ri1-a","MANUNET 2007",2007,"378,000.00 €","302,400.00 €"
"O.S.VA.  S.R.L.","VALPERGA","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"150,000.00 €","75,000.00 €"
"OSVAT","PIOBESI TORINESE","I-Ri1-a","MANUNET 2007",2007,"360,000.00 €","108,000.00 €"
"P E G SOLUZIONI","CITTANOVA","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"70,000.00 €","21,000.00 €"
"PACKLIST","TORINO","I-Ri3-a","LR34-04  INNOVAZIONI",2008,"117,374.45 €","117,374.45 €"
"PA.COM. MECCANICA","BEINETTE","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"223,451.07 €","195,000.00 €"
"PAESINA STILE DI FABBIAN MASSIMO & C. - S.A.S.","IVREA","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"19,644.69 €","  "
"PAMAR DI VIAZZO PAOLO & C.","COLLOBIANO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"93,947.55 €","82,129.95 €"
"PANELLI","ALESSANDRIA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"299,250.00 €","  "
"PANIFICIO VAL MAIRA DI POETTO GIOVANNI E ARGILOSA FRANCO","ROCCABRUNA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"89,176.75 €","82,987.50 €"
"PARC S.R.L.","TORINO","I-Ri3-c","LR34-04 - - TECNOLOGIE",2008,"18,490.00 €","  "
"PARCO SCIENTIFICO TECNOLOGICO E DELLE TELECOMUNICAZIONI  IN VALLE SCRIVA SPA","TORTONA","I-1-2","GESTORI DEI POLI D'INNOVAZIONE",2009,"150,000.00 €","  "
"PARITAL SRL","VENARIA","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"8,250.00 €","  "
"PAROLA S.R.L.","MARGARITA","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"19,655.19 €","  "
"PASTIFICIO CASTIGLIONI SPA","MAGENTA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"178,500.00 €","  "
