"BENEFICIARIO","SEDE INTERVENTO","ASSE ATTIVITA","OGGETTO AGEVOLAZIONE","ANNO ASSEGNAZIONE"," AGEVOLAZIONE CONCESSA "," IMPORTO EFFET. PAGATO "
"CARMEC","CASTIGLIONE TORINESE","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"86,677.40 €","  "
"CARPENTERIA CARENA","CARMAGNOLA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"237,762.00 €","  "
"CARPENTERIA DABENINI DI DABENINI GEOM. EMILIANO","ZUMAGLIA","I-Ri3-c","LR34-04 -TECNOLOGIE",2008,"14,994.69 €","  "
"CARTOTECNICA CAMBIANESE","CAMBIANO","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"21,786.62 €","10,893.31 €"
"CASA DEL CAFFE' VERGNANO","SANTENA","I-Ri3-a","LR34-04 -INNOVAZIONI",2008,"54,039.21 €","54,039.21 €"
"CASA DEL LEGNO DEI FRATELLI ISENI ROBERTO E GIOVANNI","TRIVERO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"45,157.68 €","38,625.00 €"
"CASA DI OSPITALITA' E DI CURA S. VINCENZO","TORINO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2010,"73,462.66 €","  "
"CASALEGNO TENDAGGI","CHIERI","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"92,184.17 €","46,092.08 €"
"CASCINA PULITA","BORGARO TORINESE","I-3-2","ADOZIONE TIC",2010,"75,202.26 €","  "
"CASCINA SAN CASSIANO SRL","ALBA","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"23,300.00 €","  "
"CA.S.T.IM. 2000","VEZZA D'ALBA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2010,"416,080.14 €","  "
"CATE DIAMANTI INDUSTRIALI","TORINO","II-1-2","ENERGIA - SOSTENIBILITA",2008,"1,457,250.00 €","  "
"CATELLA FRATELLI","TORINO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"1,051,028.43 €","1,000,000.00 €"
"CAV. UFF. GIACOMO CIMBERIO S.P.A.","SAN MAURIZIO D'OPAGLIO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"20,000.00 €","  "
"CAVALLO PIETRO","FORNO CANAVESE","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"56,752.50 €","28,376.25 €"
"CAVIT","LA LOGGIA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"98,644.15 €","96,570.32 €"
"C.D.L. ILLUMINAZIONE","CREVOLADOSSOLA","I-Ri3-c","LR34-04 TECNOLOGIE",2008,"13,392.50 €","  "
