RAGIONE SOCIALE,DENOMINAZIONE,"ANNO FINANZIAMENTO 
PAGAMENTO",PROV,€,amount
FRANCO COSIMO PANINI EDITORE S.P.A.,"RERUM NOVARUM: tecnologia e multimedia per la riproduzione e 
l'esplorazione di manoscritti miniati",2009,MO,€,"164.000,00"
Futura S.r.L.,"Automazione del carico e scarico di autoclavi di pastorizzazione per prodotti 
flessibili",2009,PC,€,"108.050,00"
G.F. S.p.A.,"Studio, progettazione e realizzazione prototipale di una  macchina innovativa 
per il controllo integrato della tenuta e particellare di sacche farmaceutiche.",2009,PR,€,"171.300,00"
G.M.C SERVICE SRL,"SISTEMA DI CONTROLLO DINAMICO DEL PARQUET_
FLOOR DYNAMIC CONTROL – (FDC)",2009,PC,€,"159.180,00"
Galvanica Parmense di Fantini Mauro,"Sviluppo di processi di trattamento superficiale per scambio termico ad elevati 
flussi di calore",2009,PR,€,"195.200,00"
GAMBARELLI IMPIANTI S.R.L.,"""MOSAIC: Macchina decOro a Secco cerAmIChe""",2009,RE,€,"84.450,00"
GeDInfo Soc. Coop.,LIFE : libretto fabbricato elettronico,2009,PC,€,"106.759,00"
GENTILINI POWER-TRAIN S.r.l.,"Nuovi componenti per motori a scoppio (alberi a camme e punterie) realizzati 
interamente in acciaio, con rivestimenti innovativi PVD/CVD.",2009,BO,€,"201.500,00"
GIBEN INTERNATIONAL S.P.A.,"PROGETTAZIONE E SPERIMENTAZIONE DI INNOVATIVE MACCHINE 
COMPATTE A MOTORIZZAZIONE FISSA ED ELEVATA POLIFUNZIONALITA’ 
PER IL TAGLIO RETTILINEO AD ALTA PRECISIONE DI  LASTRE 
REALIZZATE IN MATERIALI A BASE LEGNOSA, COMPOSITI, CERAMICI, 
METALLI E MATERIE PLAS",2009,BO,€,"131.200,00"
GIPSY INDUSTRIES S.r.l.,"AUTOMATIC-STRASS: Sistema robotico per la composizione di decori 
termoadesivi",2009,MO,€,"189.000,00"
GL FINISHING S.R.L.,"Versatile ed efficiente impianto di verniciatura automatizzato, compatto, multi-
stazione, di ridotti consumi e a basso impatto ambientale, integrante tecnologie 
a raggi infrarossi, ultravioletti e microonde.",2009,MO,€,"215.350,00"
GO.VO.NI. SRL,Nuovo strumento da officina per il test rapido di sospensione di autoveicoli.,2009,MO,€,"80.500,00"
GRAF S.p.A.,"Progettazione integrata, simulazione e sperimentazione di un sistema 
automatico per la localizzazione di pazienti e attrezzature in ambito ospedaliero",2009,MO,€,"107.206,00"
Gruppo C.S.A. S.p.A.,"RISE – Realizzazione di un sistema di Incubazione del SEdimento per la 
caratterizzazione dei flussi bentici",2009,RN,€,"77.900,00"
GT LINE srl,"APPLICAZIONE DI NANOTECNOLOGIE SU VALIGIE TECNICHE DI NUOVA 
GENERAZIONE",2009,BO,€,"95.900,00"
HAEMOTRONIC ADVANCED MEDICAL TECHNOLOGIES S.P.A.,BYPASS PER CIRCUITI EXTRACORPOREI,2009,MO,€,"166.300,00"
HANSA TMP S.R.L.,"POMPA A PISTONI ASSIALI A CILINDRATA VARIABILE CONTROLLATA 
ELETTRONICAMENTE PER CIRCUITO CHIUSO AD ELEVATE 
PRESTAZIONI E BASSA RUMOROSITÀ",2009,MO,€,"168.500,00"
I.P.C. SPA,"Studio, progettazione e prototipazione di innovative macchine ad elevata 
produttività ed efficienza per l’esecuzione di colonne consolidate di cemento e 
terreno ad elevato diametro",2009,FC,€,"168.100,00"
Ibix Srl,"Studio e Prototipazione di Sistemi Antiosmotici Multifunzionali totalmente 
Ecologici per la Protezione Antiosmotica Isolante di Substrati Porosi e Metallici 
(Sistema EPF - EcoPolyFlex).",2009,RA,€,"117.500,00"
IDRAULICA SIGHINOLFI ALBANO S.R.L.,"EXTENDED WARRANTY: Ottimizzazione ed allungamento del tempo di vita di 
cilindri oleodinamici",2009,MO,€,"194.000,00"
IDROMECCANICA BERTOLINI s.p.a.,"Realizzazione di una pompa volumetrica a pistoni/membrana ad azionamento 
oleodinamico con  sistema autonomo di regolazione della portata",2009,RE,€,"120.600,00"
IG Consulting Srl,ARM - Advanced Risk Management,2009,MO,€,"164.250,00"
IGEA SpA,"Nuovo dispositivo per il trattamento di lesioni cartilaginee nell’ambito della 
medicina rigenerativa",2009,MO,€,"190.850,00"
INDUSTRIA LATERIZI GIAVARINI SPA,"Elementi innovativi in laterizio per pareti verticali con migliorate prestazioni 
energetiche, sostenibilità ambientale e modalità di posa",2009,PR,€,"200.450,00"
INGEGNERIA CERAMICA S.R.L. CON UNICO SOCIO,Smalti ceramici per stampa digitale,2009,MO,€,"140.750,00"
INTERCOLOR S.P.A.,"Smalti e materiali adatti al rivestimento di supporti ceramici con superficie ad 
effetto antibatterico . Stucchi riempitivi per fughe da pavimento con analogo 
effetto antibatterico",2009,MO,€,"216.200,00"
ISI SEMENTI RESEARCH SRL,"Sviluppo di un metodo di selezione su base molecolare necessario per la 
costituzione di varietà di Cipolla (Allium cepa) resistenti a Peronospora 
destructor",2009,PR,€,"159.000,00"
IST S.R.L.,"Nuovo impianto per il recupero dei solventi nell’ottica della salvaguardia 
ambientale e del risparmio energetico",2009,MO,€,"121.750,00"
ISTITUTO GIORDANO S.P.A.,"SVILUPPO DI TECNOLOGIE ELETTROCHIMICHE INNOVATIVE PER LA 
BONIFICA/DECONTAMINAZIONE DI RIFIUTI INDUSTRIALI",2009,RN,€,"80.260,00"
ITALSIGMA S.R.L.,"Ricerca & Sviluppo di strumentazione, apparecchiatura e relativa metodica per 
il controllo del comportamento in essiccamento di impasti per formatura di 
ceramici allo stato plastico.",2009,FC,€,"148.450,00"
ITALTECNO S.R.L.,"Ricerca industriale e sviluppo per impianto pilota di anodizzazione dell'alluminio 
e delle sue leghe con nuova tecnologia per il recupero della soda caustica da 
bagni di satinatura intregrata con nuova tecnologia per la riduzione dei fanghi 
tossici-nocivi",2009,MO,€,"111.100,00"
KESER DIVA DESIGN S.P.A.,"Miglioramento delle prestazioni tecnologiche e delle possibilità applicative, del 
processo di pirodeformazione e saldatura, per la produzione industriale di lastre 
ceramiche piegate",2009,RA,€,"166.000,00"
L.B. OFFICINE MECCANICHE S.P.A.,"Sistemi e soluzioni per decorare con tecnica LASER prodotti ceramici 
utilizzando toner a secco",2009,MO,€,"176.500,00"
Laboratori Guglielmo Marconi,Piattaforma avanzata per l’inventario di rete (INVENTO),2009,BO,€,"203.350,00"
Lafer S.p.A.,"Innovazione nella progettazione e realizzazione di manufatti tradizionalmente 
prodotti in metallo, con la finalità di contrastare la variazione del prezzo delle 
materie prime e nell’ottica di creare manufatti originali per design e finitura 
superficiale",2009,PC,€,"221.250,00"
LAPCOS scrl,"STRUMENTI DI SIMULAZIONE FLUIDODINAMICA IN AMBIENTE OPEN 
SOURCE E SU PIATTAFORMA HPC",2009,MO,€,"206.750,00"
LASER S.R.L,"Sistema di trasformazione di alimentazione di autovetture, per gas metano 
iniettato in pressione.",2009,MO,€,"165.500,00"
