ASSE,"OBIETTIVO
SPECIFICO",BENEFICIARIO,AVVISO,OPERAZIONE,"ANNO
FINANZIAMENTO","IMP FINANZIAMENTO
PUBBLICO",IMPORTO PAGATO
IV,h,"ISTITUTO PROFESSIONALE DI STATO PER
L'INDUSTRIA E L'ARTIGIANATO ""G. GIORGI""","Rafforzamento e qualificazione offerta
formativa scolastica","CG1 - IN LABORATORIO: PERCORSI DI
APPRENDIMENTO TEORICO- PRATICO",2008,"18.000,00"
IV,h,"ISTITUTO PROFESSIONALE DI STATO PER
L'INDUSTRIA E L'ARTIGIANATO ""PITAGORA""","Rafforzamento e qualificazione offerta
formativa scolastica","CG5 - MONITORAGGIO DI COMPOSTI INQUINANTI
NELLE AREE VULNERABILI DA NITRATI",2008,"17.895,26"
IV,i1,"ISTITUTO PROFESSIONALE DI STATO PER
L'INDUSTRIA E L'ARTIGIANATO ""PITAGORA""","Rafforzamento e qualificazione offerta
formativa scolastica",CS3 - UN MINUTO PER I DISABILI: SPORT E MUSICA,2008,"8.442,18"
IV,i1,"ISTITUTO PROFESSIONALE DI STATO PER
L'INDUSTRIA E L'ARTIGIANATO ""PITAGORA""","Rafforzamento e qualificazione offerta
formativa scolastica","CS5 - NEI MONDI VIRTUALI MA FUORI DALLE
DIPENDENZE",2008,"19.944,44"
IV,h,"ISTITUTO PROFESSIONALE DI STATO PER
L'INDUSTRIA E L'ARTIGIANATO ""PITAGORA""","Rafforzamento e qualificazione offerta
formativa scolastica","CS4 - COMPETENZE ECDL APPLICATE ALLO
SVILUPPO DI NUOVE FUNZIONALITA' ED ALLA
RIORGANIZZAZIONE DELLA BIBLIOTECA
SCOLASTICA SUL PORTALE WEB D'ISTITUTO",2008,"12.773,83"
IV,h,"ISTITUTO PROFESSIONALE DI STATO PER
L'INDUSTRIA E L'ARTIGIANATO ""PITAGORA""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"98.240,00"
IV,h,"ISTITUTO PROFESSIONALE DI STATO PER
L'INDUSTRIA E L'ARTIGIANATO ""TEN.
RIGHETTI""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"40.312,27"
IV,i1,"ISTITUTO PROFESSIONALE DI STATO PER
L'INDUSTRIA E L'ARTIGIANATO ""TEN.
RIGHETTI""","Rafforzamento e qualificazione offerta
formativa scolastica","CS3 - BIBLIO ANCH'IO CONOSCERE E AGIRE PER
ESSERE AUTONOMI",2008,"16.366,68"
IV,i1,"ISTITUTO PROFESSIONALE DI STATO PER
L'INDUSTRIA E L'ARTIGIANATO ""TEN.
RIGHETTI""","Rafforzamento e qualificazione offerta
formativa scolastica","CS5 - NEI MONDI VIRTUALI MA FUORI DALLE
DIPENDENZE",2008,"19.996,02"
IV,i1,"ISTITUTO PROFESSIONALE PER I SERVIZI
ALBERGHIERI E DELLA RISTORAZIONE ""A.
TURI""","Rafforzamento e qualificazione offerta
formativa scolastica",CS2 - RITROVARE L'INTERESSE AD APPRENDERE,2008,"17.964,51"
