"ragione_sociale_impresa","prov","descrizione_intervento","anno_finanziamento_o_pagamento","contributo_totale_concesso","contributo_quota_fesr","contributo_quota_mezzi_stato","contributo_quota_regione_cap","quota_liquidata","fund_type","currency","uri"
"SAPIL SRL","PC","Impianto fotovoltaico da 19,8 KWp",2009,20960,"7739,95","13220,05","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"I MECCANICA DI SBARZAGLIA GIOVANNI","RA","mpianto fotovoltaico da 56,7 Kwp",2009,"39037,95","14415,64","24622,31","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"SICEM - SAGA S.P.A.","PR","Impianto di cogenerazione ad alto rendimento a gas metano",2009,300000,"-","-",300000,"-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"PRODOTTI SINTERIZZATI SINTERIS INDUSTRIA","BO","Interventi per l'efficienza energetica dello stabilimento di produzione (efficientamento degli impianti di riscaldamento e raffrescamento esistenti, installazione di un generatore a pompa di calore di tipo industriale che utilizza l'energia termica proveniente dal raffreddamento dei macchinari produttivi, adozione di impianti di riscaldamento ad aria calda a bassa temperatura di emissione)",2009,"173518,26","64075,51","109442,75","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"STELLATEX SOCIETA' PER AZIONI","MO","Impianto fotovoltaico da 50 KWp",2009,"56166,35","20740,69","35425,66","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"SUNCOVER S.P.A.","BO","Impianto fotovoltaico da 80 KWp",2009,"88458,75","32665,38","55793,37","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"TALUS SRL","FC","Interventi per l'efficienza energetica dello stabilimento di produzione (efficientamento dei sistemi di distribuzione dell'energia elettrica, del riscaldamento e dell'acqua calda). Installazione di caldaia alimentata da biomassa (trucioli in legno).",2009,"108327,55","-","-","108327,55","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"TANARA GIANCARLO","PR","Impianto fotovoltaico da 19,98 KWp",2009,96040,"35464,93","60575,07","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"TECNOCARP SRL","PC","Interventi per l'efficienza energetica dello stabilimento di produzione installazione di impianto di riscaldamento ad alta efficienza che utilizza pompe di calore a gas abbinate a caldaie a condensazione )",2009,71232,"26304,01","44927,99","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"TERMOVETRO RAVENNA SOCIETA A RESPONSABILITA' LIMITATA","RA ","Interventi di rriparmio energetico nei processi produttivi (Interventi per l'efficientamento energetico di un forno per la tempra del vetro). Installazione di impianto fotovoltaico da 198 Kwp",2009,"199654,94","-","-","199654,94","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"GIULIANO & SENTIMENTI TIPOLITOGRAFIA NOTIZIE DI SOLA","MO","Impianto fotovoltaico da 86,40 KWp",2009,"118515,2","43764,4","74750,8","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"TORNERIA MECCANICA SAVINI DOMENICO E FIGLI","RA","Impianto fotovoltaico da 81,9 KWp",2009,"76180,5","28131,36","48049,14","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"TREBAX S.R.L.","RE","Impianto fotovoltaico da 101 KWp",2009,200000,"73854,49","126145,51","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"VACCARI MAURO SRL","BO","Interventi per l'efficienza energetica dello stabilimento di produzione (coibentazione della copertura dell'edificio, sostituzione apparecchi illuminanti con tecnologie a basso consumo, sostituzione delle pompe di calore per la climatizzazione estiva ed invernale). Installazione impianto fotovoltaico da 100,8 KWp",2009,128400,"-","-",128400,"-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"VH S.R.L.","FE","Interventi per il risparmio energetico nello stabilimento di produzione (Coibentazione dell'edifico e installazione cappotto termico per pareti)",2009,"115407,9","42616,96","72790,94","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"VI.FER.M.E.E.C.A.","BO","Impianto fotovoltaico da 105,6 KWp",2009,"123633,4","45654,41","77978,99","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
