Beneficiario Finale,Denominazione Progetto,Asse,Codice Obiettivo Operativo,Codice Progetto,Regione,Totale impegnato,Totale erogato (pagamenti monitorati al 31/12/2009)
ENEA - ENTE PER LE NUOVE TECNOLOGIE L'ENERGIA E L'AMBIENTE,ELIOSLAB - Laboratorio di Ricerca per le Tecnologie Solari ad Alta Temperatura,I,I.3,DM19300/3,Campania,"5,581,245.00","1,674,373.50"
ENEA - ENTE PER LE NUOVE TECNOLOGIE L'ENERGIA E L'AMBIENTE,ELIOSLAB - Laboratorio di Ricerca per le Tecnologie Solari ad Alta Temperatura,I,I.3,DM19300/F3,Campania,"1,349,500.00","404,850.00"
ENEA - ENTE PER LE NUOVE TECNOLOGIE L'ENERGIA E L'AMBIENTE,TRIPODE - Laboratorio per lo sviluppo di Tecnologie di Ricerca e Integrazione di POlimeri nei Dispositivi Elettronici,I,I.3,DM20160/1,Campania,"2,273,600.00","682,078.24"
"ENEAAgenzia nazionale per le nuove tecnologie, l’energia e lo sviluppo economico sostenibile",Valorizzazione grano saraceno attraverso innov.di processo e prodotto,I,I.1,6798/3,Puglia,"813,300.00","441,771.65"
ENGINEERING.IT S.P.A.,ATHOS ORIGIN CHAT,I,I.1,691/1,Campania,"3,680,000.00","1,027,906.76"
ENGINEERING.IT SpA,Bbkit: modelli e piattaforme  di sviluppo di applicazioni,I,I.1,13473/1,Campania,"3,333,426.00","1,328,417.96"
ETC Epitaxial technology Center S.r.l.,Realizzazione di un Laboratorio integrato per lo sviluppo di attrezzature avanzate e nuovi processi per la produzione di wafer di Carburo di Silicio (SiC),I,I.3,DM23176/2,Sicilia,"2,545,000.00","614,842.10"
ETC Epitaxial technology Center S.r.l.,Realizzazione di un Laboratorio integrato per lo sviluppo di attrezzature avanzate e nuovi processi per la produzione di wafer di Carburo di Silicio (SiC),I,I.3,DM23176/F2,Sicilia,"284,996.00","85,498.80"
EUROPEA MICROFUSIONI AEROSPAZIALI S.p.A.,MITGEA - Materiali Innovativi per Turbine a Gas ad elevatissima Efficienza e basso impatto Ambientale,I,I.1,DM29035,Campania,"7,519,500.00","676,755.00"
F. DIVELLA SpA,QUALI TECH PASTA,I,I.1,7134/1,Puglia,"718,154.00","83,165.06"
FERRAIOLI & C. Srl - OFFICINE MECCANICHE DI PRECISIONE,Net.P.P. - Sviluppo del Network Part Program,I,I.1,63/2,Puglia,"214,150.00", -   
Firema Trasporti SpA,Test X Transport,I,I.3,DM23175/2,Campania,"2,470,314.00","313,087.05"
Firema Trasporti SpA,Test X Transport,I,I.3,DM23175/F2,Campania,"19,680.00", -   
