N∞ZEV P_íJEMC_,OBLAST PODPORY ROPJZ,N∞ZEV OPERACE,ROK ALOKACE/ ROK FIN∞LNí PLATBY,ALOKOVAN∞ _∞STKA,CELKOV∞ _∞STKA VYPLACEN∞ PO SKON_ENí PROJEKTU
"Nemocnice P√sek, a.s.",2.6,Digitalizace zobrazovac√ch metod,2009/2010,"8 017 132,38",Bude dopln_no po ukon_en√ projektu
"Nemocnice Strakonice, a.s.",2.6,"P_√stavba a rekonstrukce opera_n√ch s_l_ a multioborove JIP Nemocnice Strakonice, a.s.",2009/2012,"98 000 000,00",Bude dopln_no po ukon_en√ projektu
"Nemocnice Strakonice, a.s.",2.6,"Rekonstrukce l__kovªho fondu Nemocnice Strakonice, a.s.",2009/2012,"62 000 000,00",Bude dopln_no po ukon_en√ projektu
"Nemocnice T_bor, a.s.",2.6,Modernizace vybaven√ intenzivn√ pª_e,2009/2010,"20 531 512,00",Bude dopln_no po ukon_en√ projektu
"Ob_anskª sdru_en√ ""CHANCE IN NATURE-LOCAL ACTION GROUP""",3.3,"ROZVOJ SíT_ hipostezek V JIHO_ESK÷M KRAJI, F∞ZE B (neinvesti_n√ __st)",2009/2011,"1 458 120,00",Bude dopln_no po ukon_en√ projektu
Ob_anskª sdru_en√ Otisk,3.1 A,v√tejte na bolf_nku,2009/2011,"5 644 212,00",Bude dopln_no po ukon_en√ projektu
Obec Beneàov nad _ernou,2.4,Investice pro kvalitu a dostupnost vzd_l_v_n√ v Beneàov_ nad _ernou,2009/2010,"3 935 875,00",Bude dopln_no po ukon_en√ projektu
Obec B_àiny,2.4,Zlepàen√ podm√nek pro v_uku a vytvo_en√ multimedi_ln√ u_ebny v z_kladn√ àkole v B_àinech,2009/2010,"4 981 768,00",Bude dopln_no po ukon_en√ projektu
OBEC BORâOV NAD VLTAVOU,2.4,stavebn√ _pravy a p_√stavba zà v boràov_ nad VLTAVOU,2009/2010,"11 509 572,42",Bude dopln_no po ukon_en√ projektu
OBEC BORSOV NAD VLTAVOU,2.5,Stavebn√ _pravy MS Boràov nad Vltavou - III. f_ze,2009/2011,"18 031 820,00",Bude dopln_no po ukon_en√ projektu
Obec Bud√àkovice,1.5,Modernizace m√stn√ch komunikac√ v Bud√àkovic√ch,2009/2011,"14412914,19",Bude dopln_no po ukon_en√ projektu
Obec _ejetice,3.1 B,Kolo d_l_ p_knª t_lo aneb v_stavba a modernizace cyklotrasy v k. _. Sudom__ a Mlad_jovice,2009/2011,"8 077 719,00",Bude dopln_no po ukon_en√ projektu
OBEC _√_kraj√ce,1.5,Rekonstrukce m√stn√ch komunikac√ v obci _√_krajice,2009/2010,"6 227 677,20",Bude dopln_no po ukon_en√ projektu
Obec Doln√ »__r,1.5,Zlepàen√ dopravn√ situace v obci Doln√ »__r,2009/2011,"14 415 566,30",Bude dopln_no po ukon_en√ projektu
OBEC DRA»íCE,3.1 B,"Stezka pro cyklisty Dra_√ce -1, etapa",2009/2010,"2 416 073,00",Bude dopln_no po ukon_en√ projektu
Obec He_manova Hu_,2.4,Rozà√_en√ kapacity àkoly s vybudov_n√m odborn_ch u_eben za __elem zv_àen√ efektivity v_uky,2009/2012,"46 322 883,18",Bude dopln_no po ukon_en√ projektu
Obec He_manova Hu_,3.2,Rekonstrukce technickª pam_tky vod_renskª v__e v He_manov_ Huti,2009/2010,"3 135 780,80",Bude dopln_no po ukon_en√ projektu
OBEC HLINCOVA HORA,3.1 B,Cyklistickª napojen√ obce Hlincov_ Hora na Rudolfov,2009/2010,"3 866 500,00",Bude dopln_no po ukon_en√ projektu
Obec Holoubkov,2.5,Vestavba p_dn√ch byt_ a p_√stavba v_tahu objektu DPS Holoubkov,2009/2010,"10 264 874,85",Bude dopln_no po ukon_en√ projektu
Obec Chel_ice,1.5,MODERNIZACE MíSTNíCH KOMUNIKACí CHEL_ICE,2009/2010,"9 852 149,10",Bude dopln_no po ukon_en√ projektu
Obec Chlum_any,2.4,Modernizace vybaven√ specializovan_ch u_eben z_kladn√ àkoly v Chlum_anech,2009/2010,"922 918,00",Bude dopln_no po ukon_en√ projektu
Obec Kostelec,2.5,"N_stavba mate_skª àkoly a vybudov_n√ centra pro mimoàkoln√ _innost d_t√ v obci Kostelec, okr. Tachov",2009/2011,"14 982 490,00",Bude dopln_no po ukon_en√ projektu
Obec Kun_ak,1.5,Kun_ak - rekonstrukce a modernizace m√stn√ch komunikac√,2009/2010,"19 379 991,35",Bude dopln_no po ukon_en√ projektu
Obec Novosedly nad Ne__rkou,3.1 B,Pos√len√ vz_jennª prov_zanosti atraktivit cestovn√ho ruchu na _zem√ T_ebo_ska,2009/2010,"6 649 467,00",Bude dopln_no po ukon_en√ projektu
Obec Pluh_v»__r,1.5,PLUH_ V »_∞R - MODERNIZACE A STAVEBNí _PRAVY MíSTNíCH KOMUNIKACí,2009/2010,"6 445 604,42",Bude dopln_no po ukon_en√ projektu
OBEC STR∞»Nı,3.1 A,Turistick_ ubytovna Str__n_,2009/2011,"4 033 831,07",Bude dopln_no po ukon_en√ projektu
Obec Studen_,2.4,Investice za __elem zv_àen√ kvality a efektivity v_uky Zâ Studen_,2009/2010,"8 891 707,72",Bude dopln_no po ukon_en√ projektu
Obec Tisov_,1.5,Modernizace a rekonstrukce m√stn√ch komunikac√ mezi Lhotkou a Kumpolcem a v Trnovª - obec Tisov_,2009/2010,"6 027 038,00",Bude dopln_no po ukon_en√ projektu
OBEC VACOV,2.4,Vytvo_en√ podm√nek pro vyàà√ efektivitu v_uky v Zâ Vacov,2009/2011,"15 198 611,00",Bude dopln_no po ukon_en√ projektu
OBEC VâEMYSLICE,1.5,MODERNIZACE MíSTNíCH KOMUNIKACí VâEMYSLICE,2009/2010,"13 255 359,15",Bude dopln_no po ukon_en√ projektu
OCCB a.s.,3.2,Rekonstrukce a obnova historickªho objektu âirok_ _. 77 a Hradebn√ _. 172 na hotel,2009/2011,"26 581 852,00",Bude dopln_no po ukon_en√ projektu
Petr Musil,3.1 A,Relaxa_n√ a regenera_n√ centrum Merkur,2009/2009,"2 873 934,00",Bude dopln_no po ukon_en√ projektu
Plze_sk_ kraj,1.2,Rozvoj IDP (1. etapa) - Rozvoj IDP s vyu_it√m bezkontaktn√ _ipovª karty,2009/2012,"10 082 500,00",Bude dopln_no po ukon_en√ projektu
Plze_sk_ kraj,2.6,Dostavba klatovskª nemocnice,2009/2012,"450 000 000,00",Bude dopln_no po ukon_en√ projektu
Plze_sk_ kraj,3.3,"Do Plze_skªho kraje za p_√rodou, tradicemi a gastronomi√",2009/2012,"10 364 005,00",Bude dopln_no po ukon_en√ projektu
PRECIS HOLDING s.r.o.,3.1 A,Rekrea_n√ a kongresovª centrum Novª Dvory,2009/2010,"32 645 327,20",Bude dopln_no po ukon_en√ projektu
Radek Janouch,3.2,Rekonstrukce objektu _.p. 139 v Masnª ulici v _eskªm Krumlov_ na Garni Hotel a vybaven√,2009/2011,"3 301 077,00",Bude dopln_no po ukon_en√ projektu
"Regio P√sek, o.p.s.",3.3,Otavsk_ plavba,2009/2011,"3 306 000,00",Bude dopln_no po ukon_en√ projektu
"REZIDENCE Novª Hrady, a.s.",3.2,Rozvoj Tereziin_ch l_zni_ek,2009/2010,"14 802 020,00",Bude dopln_no po ukon_en√ projektu
_√mskokatolick_ farnost Klatovy,3.2,Architektonick_ obnova kulturn√ pam_tky - jezuitskªho kostela v Klatovech,2009/2011,"8 629 079,00",Bude dopln_no po ukon_en√ projektu
_√mskokatolick_ farnost Vesel√ nad Lu_nic√,3.2,Revitalizace d_kanskªho kostela Pov_àen√ svatªho K_√_e Vesel√ nad Lu_nic√,2009/2011,"20 008 602,00",Bude dopln_no po ukon_en√ projektu
_√mskokatolick_ farnost »ihobce,3.2,REKONSTRUKCE KOSTELA Prom_n_n√ P_n_ v »ihobc√ch,2009/2011,"15 626 894,50",Bude dopln_no po ukon_en√ projektu
"Soukrom_ st_edn√ um_leckopr_myslov_ àkola - Z_me_ek, s.r.o.",2.4,SSUPâ Z_me_ek - p_√stavba multimedi_ln√ch ateliªr_ a datovªho centra,2009/2011,"17 532 585,39",Bude dopln_no po ukon_en√ projektu
"SPORT SERVICE, spol. s r.o.",3.3,Podpora rozvoje slu_eb a marketingu SKI are_lu âpi__k,2009/2012,"1 333 668,00",Bude dopln_no po ukon_en√ projektu
Sportovn√ klub SLALOM,3.1 A,Revitalizace vod_ckªho are_lu Lidy Polesnª,2009/2011,"25 809 506,13",Bude dopln_no po ukon_en√ projektu
Spr_va a _dr_ba silnic Doma_lice,,P_elo_ka silnice 111/19351 _ernovice,2009/2011,"23 461 360,00",Bude dopln_no po ukon_en√ projektu
Spr_va a _dr_ba silnic Klatovy,,Most event._. 192-03 p_es Uhlavu za _borskem s p_elo_kou komunikace,2009/2011,"52 739 817,00",Bude dopln_no po ukon_en√ projektu
Spr_va a _dr_ba silnic Klatovy,,"IM/0228 P_elo_ka Klatovy, Pod Borem - Tajanov (severoz_padn√ obchvat Klatovy)",2009/2011,"238 040 061,00",Bude dopln_no po ukon_en√ projektu
Spr_va a _dr_ba silnic Kr_lovice,,Obchvat Vàerub,2009/2011,"132 463 626,00",Bude dopln_no po ukon_en√ projektu
Spr_va a _dr_ba silnic Kr_lovice,,"Mosty ev._. 180-036, - 037, - 038 Kozolupy-Touàkov",2009/2010,"19 070 375,35",Bude dopln_no po ukon_en√ projektu
Spr_va a _dr_ba silnic Kr_lovice,,111/18014 - _sek Obecn√ __ad D_àina - Horomyslick_ (Pr_tah D_àinou),2009/2011,"18 925 500,00",Bude dopln_no po ukon_en√ projektu
Spr_va a _dr_ba silnic Rokycany,,Rekonstrukce silnice M/235 P_tidom√-P_√sednice - III. etapa,2009/2010,"30 989 292,65",Bude dopln_no po ukon_en√ projektu
Spr_va a _dr_ba silnic Star_ Plzenec,,"Ulice Z_meck_ - Sp_lenª Po_√_√, stavebn√ _pravy stavebn√ho objektu komunikace",2009/2011,"24 338 957,00",Bude dopln_no po ukon_en√ projektu
Spr_va a _dr_ba silnic St_√bro,,Rekonstrukce silnice 11/193 D5 - hr. okr. Tachov,2009/2010,"9 945 316,60",Bude dopln_no po ukon_en√ projektu
Statut_rn√ m_sto _eskª Bud_jovice,1.2,Technologick_ platforma,2009/2010,"19 990 368,00",Bude dopln_no po ukon_en√ projektu
Statut_rn√ m_sto _eskª Bud_jovice,3.1 A,Freetime Park Stromovka,2009/2011,"20 149 857,00",Bude dopln_no po ukon_en√ projektu
statut_rn√ m_sto Plze_,1.2,_√zen√ prost_edk_ ve_ejnª dopravy v Plzni - Vybaven√ zast_vek inteligentn√mi informa_n√mi systªmy,2009/2011,"4 828 500,00",Bude dopln_no po ukon_en√ projektu
statut_rn√ m_sto Plze_,2.4,Digit_ln√ àkola - interaktivn√ v_uka,2009/2010,"26 547 500,00",Bude dopln_no po ukon_en√ projektu
statut_rn√ m_sto Plze_,2.5,Modernizace 6. mate_skª àkoly v n_vaznosti na jej√ EVVO zam__en√,2009/2010,"4 562 959,16",Bude dopln_no po ukon_en√ projektu
statut_rn√ m_sto Plze_,3.1 A,"Sportovn_-relaxa_n√ centrum Struncovy sady - pivovar - Roudn_, I. etapa",2009/2011,"55 997 354,00",Bude dopln_no po ukon_en√ projektu
statut_rn√ m_sto Plze_,3.2,"Obnova histor. _. obce Plze_-Koterov za __elem zach. kultur, a histor.d_dictv√ a rozà√_en√ ces. ruchu",2009/2011,"27 605 977,50",Bude dopln_no po ukon_en√ projektu
St_edisko k_es_anskª pomoci Plze_,2.5,Rekonstrukce Terapeutickª komunity Vrà√_ek,2009/2011,"23 467 377,39",Bude dopln_no po ukon_en√ projektu
"St_edn√ àkola, Horn√ B_√za, U Klubu 302",2.4,V√ce__elov_ objekt pro praktickou v_uku __k_ a celo_ivotn√ vzd_l_v_n√ v _emesln_ch oborech vzd_l_n√,2009/2012,"34 110 009,82",Bude dopln_no po ukon_en√ projektu
â_rka _berlackerov_,3.1 A,Rekonstrukce a dostavba penzionu Harmony ve Frymburku,2009/2011,"5 325 406,80",Bude dopln_no po ukon_en√ projektu
TENISOV∞ HALA HLUBOK∞ a.s.,3.1 A,Rozà√_en√ a rekonstrukce tenisovªho are_lu v Hlubokª nad Vltavou,2009/2010,"1 306 183,00",Bude dopln_no po ukon_en√ projektu
TOTEM - region_ln√ dobrovolnickª centrum,2.5,Totem - D_m nap_√_ generacemi,2009/2011,"19 473 558,00",Bude dopln_no po ukon_en√ projektu
Venkov a kov_rny o.s.,3.1 A,"Rozhledna s kov__sk_m muzeem, Slapsko",2009/2011,"2 684 774,36",Bude dopln_no po ukon_en√ projektu
"VERTIGO P√sek, s.r.o.",3.1 A,Lezeckª centrum LezeTop P√sek,2009/2010,"6 424 582,80",Bude dopln_no po ukon_en√ projektu
VTTINVESTAVs.r.o.,3.1 A,V_stavba polyfunk_n√ho za_√zen√ pro cestovn√ ruch OLYMP CENTER v Trhov_ch Svinech,2009/2011,"31 000 000,00",Bude dopln_no po ukon_en√ projektu
"Vyàà√ odborn_ àkola a St_edn√ pr_myslov_ àkola, Volyn_, Resslova 440",2.4,Vzd_l_vac√ st_edisko (nadregion_ln√ho v_znamu) pro zpracovatelsk_ pr_mysl,2009/2011,"26 177 500,00",Bude dopln_no po ukon_en√ projektu
"Vyàà√ odborn_ àkola, St_edn√ pr_myslov_ àkola automobiln√ a technick_, Skuherskªho 1274/3,37004 _eskª Bud_jovice",2.4,Region_ln√ vzd_l_vac√ centrum v oblasti autooprav_renstv√ a technick_ch obor_,2009/2012,"21 626 500,00",Bude dopln_no po ukon_en√ projektu
"Z_kladn√ àkola Edvarda Beneàe a Mate_sk_ àkola P√sek, M√rovª n_m. 1466",2.4,Modernizace u_eben pro v_uku technick_ch p_edm_t_ na Zâ E. Beneàe,2009/2011,"6 012 500,00",Bude dopln_no po ukon_en√ projektu
"Z_kladn√ àkola Hlubok_ nad Vltavou, okres _eskª Bud_jovice",2.4,Sportovn√ are_l Z_kladn√ àkoly Hlubok_ nad Vltavou,2009/2010,"1 931 822,00",Bude dopln_no po ukon_en√ projektu
Zden_k Stejskal -STEJSTAV,3.1 A,Rekonstrukce ml_na na penzion -Bo_etice,2009/2011,"12 177 006,00",Bude dopln_no po ukon_en√ projektu
Zoologick_ zahrada Ohrada Hlubok_ nad Vltavou,3.1 A,ZOO Ohrada - nov_ setk_n√ 3. etapa,2009/2012,"29 102 112,00",Bude dopln_no po ukon_en√ projektu
AGRIPRODCZa.s.,3.2- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,Wellness hotel Kn√_ec√ Dv_r - 4. etapa,2009/2011,"8 579 174,00",Bude dopln_no po ukon_en√ projektu
AGRIPRODCZa.s.,3.2- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,Dv_r Vondrov - dokon_en√ revitalizace historickª pam_tky,2009/2012,"4 671 075,00",Bude dopln_no po ukon_en√ projektu
Ceskokrumlovsk_ nada_n√ fond Malªho V√tka,3.3- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,Divadeln√ festival v _eskªm Krumlov_,2009/2011,"5 914 434,00",Bude dopln_no po ukon_en√ projektu
"D_tsk_ domov, Z_kladn√ àkola, âkoln√ j√delna a âkoln√ dru_ina, Volyn_, âkoln√ 319",2.5- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,D_tsk_ domov novª generace,2009/2011,"22 610 144,00",Bude dopln_no po ukon_en√ projektu
Diakonie _CE - st_edisko Radost v Merkl√n_,2.5- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,Rekonstrukce denn√ho stacion__e Radost v Sob_kurech,2009/2010,"5 598 814,66",Bude dopln_no po ukon_en√ projektu
ESTATUE INWEST a.s.,3.2- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,Revitalizace Kn√_ec√ho pivovaru v Prachatic√ch,2009/2011,"19 620 569,00",Bude dopln_no po ukon_en√ projektu
Farn√ sbor _eskobratrskª c√rkve evangelickª v Plzni - Korand_v sbor,3.2- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,Korand_v sbor pro Plze_,2009/2011,"10 223 071,00",Bude dopln_no po ukon_en√ projektu
"HOTELU M_STA VíDN_ (CK), a.s.",3.2- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,Rozvoj infrastruktury cestovn√ho ruchu - celoro_n√ vyu_it√ hotelu v_. wellness,2009/2012,"30 404 981,20",Bude dopln_no po ukon_en√ projektu
Mate_sk_ àkola ve Veleà√n_,2.5- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,Regenerace venkovn√ch ploch Mate_skª àkoly ve Veleà√n_,2009/2010,"2 451 948,00",Bude dopln_no po ukon_en√ projektu
M_sto Hora__ovice,3.2- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,Muzeum Hora__ovice -rekonstrukce krovu a strop_ posledn√ho podla_√,2009/2011,"7 118 132,00",Bude dopln_no po ukon_en√ projektu
M_sto Kardaàova _e_ice,2.5- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,âkoln√ dru_ina Kardaàova _e_ice,2009/2012,"23 411 786,00",Bude dopln_no po ukon_en√ projektu
M_sto T_bor,2.5- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,Rekonstrukce objektu pro poskytov_n√ soci_ln√ch sl_eb CEPOS v T_bo_e,2009/2010,"4 557 616,00",Bude dopln_no po ukon_en√ projektu
MESTOTYNNAD VLTAVOU,2.5- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,Rekonstrukce interiªru m_stskª polikliniky v T_n_ nad Vltavou,2009/2010,"27 620 238,00",Bude dopln_no po ukon_en√ projektu
M_stys Doln√ Bukovsko,2.6- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,P_√stavba Mâ Doln√ Bukovsko,2009/2010,"10 345 699,00",Bude dopln_no po ukon_en√ projektu
MUDr. Bruna v.o.s.,2.6- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,Zajiàt_n√ farmaceutickª a stomatologickª pª_e v p_√hrani_n√ oblasti v Doln√m Dvo_iàti,2009/2010,"11 000 000,00",Bude dopln_no po ukon_en√ projektu
MUDr. Jaroslav T_ma,2.6- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,Vybudov_n√ gynekologickª ordinace,2009/2011,"3 446 047,00",Bude dopln_no po ukon_en√ projektu
MUDr. Josef Stern,2.6- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,modernizace a zkvalitn_ni slu_eb s√t_ st_edisek rehabilita_n√ a fyzik_ln√ medic√ny,2009/2011,"5 666 600,00",Bude dopln_no po ukon_en√ projektu
MUDr. Marie Pokorn_,2.6- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,P_√strojovª vybaven√ gastroenterologickª ambulance,2009/2010,"6 881 078,00",Bude dopln_no po ukon_en√ projektu
"Nemocnice P√sek, a.s.",2.6- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,Rekonstrukce budovy infek_n√ho pavilonu,2009/2011,"58 940 742,00",Bude dopln_no po ukon_en√ projektu
OBEC CHOTOVINY,2.5- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,P_√stavba mate_skª àkoly Chotoviny,2009/2010,"9 995 162,40",Bude dopln_no po ukon_en√ projektu
Obec L√n_,2.5- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,Rekonstrukce a zv_àen√ kapacity Mate_skª àkoly L√n_,2009/2010,"9 982 972,20",Bude dopln_no po ukon_en√ projektu
Obec Malenice,3.2- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,REKONSTRUKCE ARE∞LU FARY MALENICE (IKS centrum MALENICE),2009/2011,"18 850 254,00",Bude dopln_no po ukon_en√ projektu
Obec Ne_tiny,3.2- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,Rekonstrukce b_valªho z_jezdn√ho hostince _p. 79 na region_ln√ muzeum,2009/2012,"13 265 955,00",Bude dopln_no po ukon_en√ projektu
Obec Studen_,2.5- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,Modernizace za_√zen√ p_edàkoln√ pª_e o d_ti v obci Studen_,2009/2010,"8 852 750,42",Bude dopln_no po ukon_en√ projektu
OBEC VACOV,2.6- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,Obnova infrastruktury zdravotnickª pª_e v regionu Vacov,2009/2010,"13 137 838,89",Bude dopln_no po ukon_en√ projektu
Plze_sk_ kraj,1.2- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,ZVıâENí KVALITY VE_EJN÷ DOPRAVY V PLZE_SK÷M KRAJI,2009/2010,"11 536 509,00",Bude dopln_no po ukon_en√ projektu
"_√mskokatolick_ farnost -d_kanstv√ u kostela sv. Mikul_àe, _eskª Bud_jovice 1",3.2- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,"Turistickª, kulturn√ a spole_enskª z_zem√ v are_lu katedr_ly sv. Mikul_àe a d_kanstv√ v _B.",2009/2011,"21 381 197,46",Bude dopln_no po ukon_en√ projektu
Sdru_en√ rozvojov_ch aktivit,3.3- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,Stezky zdrav√ v Plze_skªm kraji,2009/2011,"4 263 000,00",Bude dopln_no po ukon_en√ projektu
Statut_rn√ m_sto _eskª Bud_jovice,2.5- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,Kvalitn√ bydlen√ pro seniory -Stavebn√ _pravy na sanit_rn√ za_√zen√,2009/2011,"7 311 477,00",Bude dopln_no po ukon_en√ projektu
statut_rn√ m_sto Plze_,3.3- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,"Plze_ - v_tvarn_, Plze_ evropskª hlavn√ m_sto kultury 2015",2009/2012,"10 035 032,00",Bude dopln_no po ukon_en√ projektu
"SULLA, s.r.o.",3.2- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,Rekonverze are_lu z_mku Kolod_je nad Lu_nic√ I. etapa,2009/2012,"24 757 549,00",Bude dopln_no po ukon_en√ projektu
âmrhov_-Kov_cs Tereza MUDr. - ambulantn√ _innost v oboru gynekologie a porodnictv√,2.6- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,Modernizace a rozà√_en√ gynekologickª ordinace v T_bo_e,2009/2009,"1 357 023,00",Bude dopln_no po ukon_en√ projektu
V+HDENT s.r.o.,2.6- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,Modernizace vybaven√ zdravotnickªho za_√zen√,2009/2010,"534 234,00",Bude dopln_no po ukon_en√ projektu
Vàeobecn_ intern√ ambulance s.r.o.,2.6- 5. v˝zva ROP Jihoz·pad - projekty doporu_enÈ k financov·nÌ v reûimu n·hradnÌ projekt,Modernizace intern√ch ambulanc√ v Milevsku a Sob_slavi,2009/2010,"1 741 560,00",Bude dopln_no po ukon_en√ projektu
"COMETT PLUS, spol. s r.o.",1.3B,N_kup 5 n√zkopodla_n√ch plynov_ch autobus_ pro MHD,2009/2010,"10 602 380,00",Bude dopln_no po ukon_en√ projektu
_SAD AUTOBUSY _eskª Bud_jovice a.s.,1.3B,Modernizace vozovªho parku MHD P√sek,2009/2012,"9 614 569,00",Bude dopln_no po ukon_en√ projektu
"Dopravn√ podnik m_sta _eskª Bud_jovice, a.s.",1.3B,N_kup 14 trolejbus_,2009/2012,"70 383 600,00",Bude dopln_no po ukon_en√ projektu
"Plze_skª m_stskª dopravn√ podniky, a.s.",1.3B,N_kup trolejbus_ a modernizace tramvaj√,2009/2012,"120 057 465,00",Bude dopln_no po ukon_en√ projektu
Jiho_esk_ kraj,,Silnice M/154 _dol√ u Nov_ch Hrad_ - k_i_.sil.ll/154x11/156 a stavba mostu ev._. 154-008,2009/2010,"24 554 235,00",Bude dopln_no po ukon_en√ projektu
Jiho_esk_ kraj,,Most ev._.135-005 Bechyn_,2009/2010,"19 858 532,57",Bude dopln_no po ukon_en√ projektu
Jiho_esk_ kraj,,"Mostev._.128-021E, Jind_ich_v Hradec",2009/2010,"21 175 879,00",Bude dopln_no po ukon_en√ projektu
Jiho_esk_ kraj,,Program modernizace komunikac√ II. a III. t_√dy (P4),2009/2010,"279 717 125,32",Bude dopln_no po ukon_en√ projektu
Jiho_esk_ kraj,,Most ev._. 105 - 048 Kolod_je,2009/2011,"35 752 925,01",Bude dopln_no po ukon_en√ projektu
Jiho_esk_ kraj,,Most ev._. 146 - 001 Hlubok_ nad Vltavou - n_hon a most ev._. 146 -002 Hlubov_ nad Vltavou,2009/2011,"82 426 508,57",Bude dopln_no po ukon_en√ projektu
Jiho_esk_ kraj,,Most ev._.139-000A P√sek,2009/2011,"33 013 730,47",Bude dopln_no po ukon_en√ projektu
Jiho_esk_ kraj,,Most ev._. 159 - 003 Neznaàov,2009/2011,"39 853 423,00",Bude dopln_no po ukon_en√ projektu
Jiho_esk_ kraj,1.1,"P_elo_ka silnic M/156 a 11/157 v _esk_ch Bud_jovic√ch - 2. etapa, __st 2.1",2009/2011,"70 335 249,71",Bude dopln_no po ukon_en√ projektu
