N∞ZEV P_íJEMC_,OBLAST PODPORY ROPJZ,N∞ZEV OPERACE,ROK ALOKACE/ ROK FIN∞LNí PLATBY,ALOKOVAN∞ _∞STKA,CELKOV∞ _∞STKA VYPLACEN∞ PO SKON_ENí PROJEKTU
Obec Albrechtice nad Vltavou,1.5,Zajiàt_n√ bezpe_nosti chodc_ v Albrechtic√ch nad Vltavou - II. etapa,2008/2008,"2 221 637,00","2 179 399,00 K_"
Obec Beneàov nad _ernou,2.3,Rekonstrukce objektu pro kultur a voln_ _as d_t√ a ml_de_e v Beneàov_ nad _ernou,2008/2009,"2 945 272,00","2 693 935,34 K_"
Obec Boleàiny,1.5,Rekonstrukce m√stn√ komunikace Boleàiny - Ost_etice,2008/2009,"12 673 161,22","12 641 790,17 K_"
OBEC BO_EK,2.4,Modernizace z_kladn√ àkoly Bo_ek,2008/2009,"11 358 149,00","11 098 115,55 K_"
OBEC BO_EK,2.5,Modernizace mate_skª àkoly Bo_ek,2008/2009,"6 335 740,01","5 687 156,87 K_"
OBEC BORâOV NAD VLTAVOU,2.5,Rekonstrukce a modernizace pavilon_ mate_skª àkoly Boràov nad Vltavou - II. etapa,2008/2009,"9 249 830,01",Bude dopln_no po ukon_en√ projektu
OBEC DOUBRAVICE,1.5,Rekonstrukce m√stn√ch komunikac√ v obci Doubravice,2008/2008,"6 295 050,00","6 295 050,00 K_"
OBEC DRA»íCE,1.5,Rekonstrukce m√stn√ch komunikac√ Dra_√ce,2008/2008,"3 861 665,99","3 834 965,90 K_"
Obec D_eà√n,1.2,"_prava ve_ejnªho prostranstv√ D_eà√n - U_S 1 - autobusovª zast_vky, p_√jezd a p_√stup",2008/2010,"2 764 415,01",Bude dopln_no po ukon_en√ projektu
Obec Chanovice,3.3,"""Obec Chanovice a okol√ - p_√roda, historie, kultura, _emesla a tradice pro n_vàt_vn√ky Poàumav√""",2008/2009,"592 530,99","592 530,99 K_"
Obec Ka_ez,2.3,Rekonstrukce Sokolovny,2008/2009,"17 772 661,00","17 772 661,00 K_"
Obec Konstantinovy L_zn_,1.2,P_estupn√ autobusov_-_elezni_n√ termin_l Konstantinovy L_zn_,2008/2009,"2 596 772,00","2 596 771,99 K_"
Obec Konstantinovy L_zn_,1.5,Konstantinovy L_zn_ -rekonstrukce ulice K Panence Marii a Pod Vrchem,2008/2009,"8 070 783,63","8 031 517,50 K_"
OBEC LO_ENICE,1.5,Rekonstrukce m√stn√ komunikace Lo_enice,2008/2008,"3 202 324,00","3 202 324,00 K_"
OBEC NOV∞ VES,1.5,Modernizace komunikac√ U obchodu a U Kubeàe v obci Nov_ Ves,2008/2009,"4 817 631,99","4 752 096,95 K_"
Obec Pluh_v»__r,2.3,P_√stavba knihovny a spole_enskª m√stnosti Pluh_v »__r,2008/2008,"1 898 634,00","1 898 634,00 K_"
OBEC SLAV_E,2.5,Hrajeme si spolu ? modernizace Mate_skª àkoly ve Slav_i,2008/2008,"1 369 532,00","1 358 678,98 K_"
OBECSRUBEC,2.3,Revitalizace n_vsi Star_ Poh_rka,2008/2009,"23 787 205,00",Bude dopln_no po ukon_en√ projektu
Obec St_elskª Hoàtice,3.2,Rekonstrukce p_√zem√ z_mku ve St_elsk_ch Host√c√ch,2008/2009,"3 550 491,68","3 550 491,68 K_"
Obec Vejprnice,1.5,Rekonstrukce ulic Nad Dr_hou a K Draganci,2008/2008,"10 053 457,68","10 053 457,63 K_"
OBEC »ELE_,2.3,Multifunk_n√ vyu_it√ kulturn√ho domu - vyu_it_ p_√le_itost pro rozvoj obce,2008/2009,"18 464 334,99",Bude dopln_no po ukon_en√ projektu
Oblastn√ Charita Rokycany,2.5,Soci_ln_ terapeutickª d√lny a stacion__ Pohodi_ka,2008/2009,"6 409 003,72","6 371 145,73 K_"
OCCB a.s.,3.2,Rekonstrukce pam_tkovªho objektu v _eskªm Krumlov_ na penzion,2008/2009,"10 857 031,00","10 857 031,00 K_"
OSKAR-RS s.r.o.,3.2,REVITALIZACE NEMOVIT÷ KULTURNí PAM∞TKY _P. 466 PRO ROZVOJ CESTOVNíHO RUCHU V MPR SLA VONICE,2008/2009,"2 520 000,00","2 491 967,13 K_"
"Plze_skª m_stskª dopravn√ podniky, a.s.",1.2,Komplexn√ _√zen√ prost_edk_ ve_ejnª dopravy v Plzni -1.etapa: Dynamick_ dispe_ink PMDP,2008/2009,"9 250 000,00",Bude dopln_no po ukon_en√ projektu
Plze_sk_ kraj,3.3,Komplexn√ propagace Plze_skªho kraje,2008/2010,"18 266 252,50",Bude dopln_no po ukon_en√ projektu
Plze_sk_ kraj,3.3,Zkvalitn_n√ a rozà√_en√ slu_eb Mezin_rodn√ho informa_n√ho centra na hrani_n√m p_echodu Rozvadov,2008/2010,"3 087 318,99",Bude dopln_no po ukon_en√ projektu
PRIVAMED a.s.,2.6,V_stavba pavilonu jednodenn√ chirurgie m_stskª nemocnice PRIVAMED,2008/2010,"64 131 072,00",Bude dopln_no po ukon_en√ projektu
"REZIDENCE Novª Hrady, a.s.",3.2,Revitalizace Buquoyske rezidence v Nov_ch Hradech,2008/2009,"61 394 304,00",Bude dopln_no po ukon_en√ projektu
Roman Kreuziger,3.1,V_stavba are_lu zimn√ho stadionu Plze_ - Koàutka,2008/2009,"100 860 884,00","100 860 883,64 K_"
ROMANTICKs.r.o.,3.1,V_stavba hotelu Romantick,2008/2009,"13 730 000,00",Bude dopln_no po ukon_en√ projektu
_√mskokatolick_ farnost Prachatice,3.2,Rekostrukce kostela a fary v Prachatic√ch,2008/2010,"13 260 275,00",Bude dopln_no po ukon_en√ projektu
Selan s.r.o.,3.1,"Penzion H_jovna Brann_ - stavebn√ _pravy domu, pare. _. 75/1 na pension",2008/2009,"2 014 358,00",Bude dopln_no po ukon_en√ projektu
"SK FAKTOR, _eskª Bud_jovice",3.2,Rekonstrukce rozhledny na Kleti,2008/2009,"8 406 268,73",Bude dopln_no po ukon_en√ projektu
Snowhill a.s.,3.3,Propagace Skiare_lu Kaàperskª Hory a doprovodn_ch slu_eb,2008/2010,"1 925 100,00",Bude dopln_no po ukon_en√ projektu
Spr_va a _dr_ba silnic Jiho_eskªho kraje,,Most ev._.160-016 Naho_any p_ed k_i_. na V_trnou a Most ev._. 160-017 za Naho_any,2008/2010,"11 780 745,77",Bude dopln_no po ukon_en√ projektu
Spr_va a _dr_ba silnic Jiho_eskªho kraje,,Most ev._. 160-015 Naho_any u Lov_√ka a Most ev._. 160-005 V_trn√,2008/2010,"8 252 397,83",Bude dopln_no po ukon_en√ projektu
Spr_va a _dr_ba silnic Jiho_eskªho kraje,,Most ev._.160-010 chatov_ osada p_ed Z_ton√ a Most ev._. 1701-2 Radkovice,2008/2009,"11 977 359,53","11 967 672,92 K_"
Spr_va a _dr_ba silnic Jiho_eskªho kraje,,Most ev. _. 1394 - 2 _ejetice a Most ev. _. 170 - 007 Po__tky,2008/2009,"19 616 875,23",Bude dopln_no po ukon_en√ projektu
Spr_va a _dr_ba silnic Jiho_eskªho kraje,,"Rekonstrukce silnice M/144,111/14410 a 111/14415 Vlachovo B_ez√ 3. etapa",2008/2010,"11 856 793,57",Bude dopln_no po ukon_en√ projektu
