"Name of beneficiary","ident","Project Title","Operational Programme","EU Fund","Date of allocation","Amounts allocated","Date of interim payment","Total Amounts paid from the start of the Project","Status"
"Město Lomnice nad Popelkou",275905,"Obnova historického objektu radnice","ROP NUTS II Severovýchod","ERDF","14.10.2009",32519913,08/06/10,1179089,"Ongoing"
"Město Lomnice nad Popelkou",275905,"Revitalizace zámku v Lomnici nad Popelkou","ROP NUTS II Severovýchod","ERDF","23.01.2009",45452449,"23.06.2010",24254003,"Ongoing"
"Město Lomnice nad Popelkou",275905,"Systém pro separaci a svoz odpadů Lomnice nad
Popelkou","OP Životní prostředí","CF",01/12/09,3905603,11/12/09,3905031,"Finalized"
"Město Lomnice nad Popelkou",275905,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF","14.07.2009",58259,"29.07.2009",58259,"Ongoing"
"Město Lomnice nad Popelkou",275905,"Zateplení ""MŠ Klubíčko"" v Lomnici nad Popelkou","OP Životní prostředí","CF","20.08.2009",5012491,01/12/09,5012491,"Ongoing"
"Město Louny",265209,"Informační a vzdělávací centrum - městská
knihovna","ROP NUTS II Severozápad","ERDF","19.11.2008",46195079,,0,"Ongoing"
"Město Louny",265209,"Pořízení ÚPD Louny","Integrovaný operační program","ERDF",06/08/09,2550000,,0,"Ongoing"
"Město Louny",265209,"Stavební úpravy a zateplení ZŠ Školní v Lounech","OP Životní prostředí","CF","25.05.2009",11930708,"13.05.2010",11930708,"Ongoing"
"Město Louny",265209,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF","13.05.2009",58259,"30.11.2009",41715,"Finalized"
"Město Louny",265209,"Vzdělávání v eGoncentru ORP Louny","OP Lidské zdroje a zaměstnanost","ESF","28.05.2010",1774600,,0,"Ongoing"
"Město Loučná pod Klínovcem",831123,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF",09/05/09,58259,09/11/09,49758,"Finalized"
"Město Lovosice",263991,"Realizace energetických úspor v mateřské škole
Sady pionýrů","OP Životní prostředí","CF","22.10.2009",4001577,11/12/09,3620696,"Ongoing"
"Město Lovosice",263991,"Realizace energetických úspor v mateřské škole
ul. Terezínská.","OP Životní prostředí","CF",04/11/09,3446667,11/12/09,3446667,"Ongoing"
"Město Lovosice",263991,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF",10/07/09,58259,10/12/09,48909,"Finalized"
"Město Lovosice",263991,"Zvýšení kvality života obyvatel a fyzického
prostředí místní části města Lovosice","ROP NUTS II Severozápad","ERDF",03/02/10,22872650,,0,"Ongoing"
"Město Lovosice",263991,"Územně analytické podklady pro ORP Lovosice","Integrovaný operační program","ERDF",10/11/08,935000,"28.01.2009",935000,"Finalized"
"Město Lovosice",263991,"Územní plán Lovosice","Integrovaný operační program","ERDF",08/07/10,2031840,,0,"Ongoing"
"Město Loštice",302945,"Město Loštice - Modernizace kulturního domu","ROP NUTS II Střední Morava","ERDF",05/05/09,21382314,08/02/10,21382314,"Finalized"
"Město Loštice",302945,"Revitalizace veřejného prostranství - Náměstí
Míru Loštice","ROP NUTS II Střední Morava","ERDF","18.12.2008",16212287,12/10/09,16212287,"Finalized"
"Město Loštice",302945,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF","30.04.2009",58259,"24.11.2009",53191,"Finalized"
"Město Luby",254053,"Územní plán - Město Luby","Integrovaný operační program","ERDF",07/05/10,821100,,0,"Ongoing"
"Město Luby u Chebu",254053,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF","13.07.2009",58259,"29.07.2009",58259,"Ongoing"
"Město Luhačovice",284165,"Dvoupodlažní parkoviště v ulici Solné","ROP NUTS II Střední Morava","ERDF",03/12/08,24902300,"13.10.2009",24902300,"Finalized"
"Město Luhačovice",284165,"Městská plovárna Luhačovice","ROP NUTS II Střední Morava","ERDF",09/09/09,82000000,06/04/10,8195237,"Ongoing"
"Město Luhačovice",284165,"Realizace úspor energie-ZŠ Luhačovice I","OP Životní prostředí","CF","17.08.2009",2774213,11/12/09,2774213,"Ongoing"
"Město Luhačovice",284165,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF",07/07/09,58259,09/12/09,55743,"Finalized"
"Město Luhačovice",284165,"ÚZEMNĚ ANALYTICKÉ PODKLADY OBCE S
ROZŠÍŘENOU PŮSOBNOSTÍ LUHAČOVICE","Integrovaný operační program","ERDF",11/12/08,381650,"28.01.2009",379587,"Finalized"
"Město Luže",270440,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF",06/07/09,58259,10/12/09,50490,"Ongoing"
"Město Luže",270440,"Zpřístupnění památek města Luže - 1. etapa","ROP NUTS II Severovýchod","ERDF","20.11.2008",21051729,08/06/10,4857962,"Ongoing"
"Město Lysá nad Labem",239402,"Revitalizace historického centra města Lysá nad
Labem","ROP NUTS II Střední Čechy","ERDF","24.06.2010",15839581,,0,"Ongoing"
"Město Lysá nad Labem",239402,"Solární soustava pro přípravu TUV v kotelně ZŠ
Lysá nad Labem","OP Životní prostředí","CF","30.10.2008",1312086,05/12/08,1312086,"Finalized"
"Město Lysá nad Labem",239402,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF","23.06.2009",58259,"29.07.2009",58259,"Finalized"
"Město Lysá nad Labem",239402,"Zateplení ZŠ Lysá nad Labem","OP Životní prostředí","CF","16.07.2009",23288797,04/12/09,13411597,"Ongoing"
"Město Lysá nad Labem",239402,"Zvýšení kvality řízení a efektivnosti Městského
úřadu Lysá nad Labem","OP Lidské zdroje a zaměstnanost","ESF","21.05.2010",3948827,,0,"Ongoing"
"Město Lázně Bohdaneč",273350,"Jihovýchodní kanalizace v Lázních Bohdaneč","OP Životní prostředí","CF","27.11.2009",10030634,12/07/10,9933268,"Ongoing"
"Město Lázně Bohdaneč",273350,"Rozvoj infrastruktury města Lázně Bohdaneč - Ráj","ROP NUTS II Severovýchod","ERDF","22.09.2009",48978067,"31.05.2010",93702,"Ongoing"
"Město Lázně Bohdaneč",273350,"Územní plán Lázně Bohdaneč","Integrovaný operační program","ERDF",10/11/09,658750,"29.04.2010",293132,"Ongoing"
"Město Lázně Bělohrad",271730,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF",07/07/09,58259,"22.07.2009",58259,"Finalized"
"Město Lázně Kynžvart",254029,"Realizace úspor energie v základní škole a
mateřské škole Lázně Kynžvart","OP Životní prostředí","CF",09/03/09,12549666,"13.10.2009",12549666,"Ongoing"
"Město Lázně Kynžvart",254029,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF","30.04.2009",58259,"18.11.2009",33277,"Finalized"
"Město MAŠTOV",262021,"Typový projekt - CzechPOINT - Kontaktní místo
(Plná verze)","Integrovaný operační program","ERDF","23.07.2009",79837,03/12/09,71337,"Finalized"
"Město Manětín",258091,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF","26.06.2009",58259,"22.07.2009",58259,"Ongoing"
"Město Mariánské Lázně",254061,"Revitalizace a regenerace brownfields - kasárna
Hamrníky","ROP NUTS II Severozápad","ERDF","29.01.2010",22972973,,0,"Ongoing"
"Město Mariánské Lázně",254061,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF","28.04.2009",58259,07/01/10,45145,"Ongoing"
"Město Mariánské Lázně",254061,"Vybudování zóny klidu","ROP NUTS II Severozápad","ERDF","29.01.2010",22972973,,0,"Ongoing"
"Město Mariánské Lázně",254061,"Zajištění energetických úspor v Mateřské škole,
Na Třešňovce 603, Mariánské Lázně","OP Životní prostředí","CF","20.11.2008",1146002,09/09/09,1044382,"Finalized"
"Město Mariánské Lázně",254061,"Zajištění energetických úspor v Základní škole
JIH, Komenského 459, Mariánské Lázně -
Stravovací pavilon","OP Životní prostředí","CF","20.11.2008",3496392,11/12/08,3496392,"Ongoing"
"Město Mariánské Lázně",254061,"Zajištění energetických úspor v Základní škole,
Školní náměstí 472, Mariánské Lázně","OP Životní prostředí","CF","20.11.2008",3396786,09/12/08,3396786,"Ongoing"
"Město Mariánské Lázně",254061,"Územně analytické podklady obce s rozšířenou
působností Mariánské Lázně","Integrovaný operační program","ERDF",09/12/08,833000,"27.01.2009",816391,"Finalized"
"Město Miletín",271811,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF","15.07.2009",58259,"29.07.2009",58259,"Finalized"
"Město Miletín",271811,"Víceúčelový dům v Miletíně","ROP NUTS II Severovýchod","ERDF","15.09.2009",10093391,,0,"Ongoing"
"Město Milevsko",249831,"Dílna kvality města Milevska","OP Lidské zdroje a zaměstnanost","ESF","14.05.2010",5577950,,0,"Ongoing"
"Město Milevsko",249831,"Milevsko - centrum zdravého životního stylu -
zkvalitnění infrastruktury pro volný čas - 1. etapa","ROP NUTS II Jihozápad","ERDF","28.01.2009",33052503,"20.04.2010",20547933,"Ongoing"
"Město Milevsko",249831,"Modernizace MŠ Pastelka - Ateliér pro předškolní
děti","ROP NUTS II Jihozápad","ERDF","28.01.2009",3957742,"16.04.2010",3841292,"Finalized"
"Město Milevsko",249831,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF","23.04.2009",58259,"20.11.2009",57408,"Finalized"
"Město Milevsko",249831,"Zajištění vzdělávání v eGovernmentu pro ORP
Milevsko","OP Lidské zdroje a zaměstnanost","ESF","21.05.2010",1809565,,0,"Ongoing"
"Město Milevsko",249831,"ÚAP obcí pro správní území ORP Milevsko","Integrovaný operační program","ERDF",03/10/08,749700,"29.01.2009",748510,"Finalized"
"Město Miroslav",293164,"Autobusové nádraží Miroslav -  Řešení dopravní
obslužnosti v regionu","ROP NUTS II Jihovýchod","ERDF",11/09/08,12285431,"29.12.2009",8677103,"Finalized"
"Město Miroslav",293164,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF",09/07/09,58259,02/12/09,49759,"Finalized"
"Město Miroslav",293164,"Zateplení budovy ZŠ Miroslav","OP Životní prostředí","CF","30.04.2009",3569721,11/12/09,3569721,"Ongoing"
"Město Mirotice",249840,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF","14.07.2009",58259,"29.07.2009",58259,"Finalized"
"Město Mirovice",249858,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF",02/07/09,58259,"24.02.2010",48909,"Finalized"
"Město Mirošov",258890,"Rekonstrukce mostu přes Příkosický potok na
místní komunikaci - ul. Politických vězňů v
Mirošově","ROP NUTS II Jihozápad","ERDF","17.09.2008",1926978,"27.04.2009",1896633,"Finalized"
"Město Mirošov",258890,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF","15.07.2009",58259,"24.11.2009",37921,"Finalized"
"Město Mnichovo Hradiště",238309,"Rekonstrukce hospodářského objektu u domu č.p.
38","ROP NUTS II Střední Čechy","ERDF","31.12.2008",4868247,"21.07.2010",4723735,"Ongoing"
"Město Mnichovo Hradiště",238309,"Zpracování ÚAP pro správní obvod ORP
Mnichovo Hradiště","Integrovaný operační program","ERDF","29.09.2008",921400,"23.01.2009",920869,"Finalized"
"Město Modřice",282103,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF",07/07/09,58259,"18.12.2009",48132,"Finalized"
"Město Mohelnice",303038,"Dílna kvality pro město Mohelnice","OP Lidské zdroje a zaměstnanost","ESF","21.05.2010",4580562,,0,"Ongoing"
"Město Mohelnice",303038,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF",03/07/09,58259,"13.11.2009",40842,"Finalized"
"Město Mohelnice",303038,"Územně analytické podklady obcí - ORP
Mohelnice","Integrovaný operační program","ERDF","17.09.2008",531250,"27.11.2008",531037,"Finalized"
"Město Moravská Třebová",277037,"Infrastruktura pro sport a volný čas v Moravské
Třebové - 1. etapa","ROP NUTS II Severovýchod","ERDF",10/07/09,36756757,"28.07.2010",5005559,"Ongoing"
"Město Moravská Třebová",277037,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF","21.07.2009",58259,"20.11.2009",47836,"Finalized"
"Město Moravská Třebová",277037,"Vzdělávání v eGON centru Moravská Třebová","OP Lidské zdroje a zaměstnanost","ESF","21.05.2010",2253193,,0,"Ongoing"
"Město Moravská Třebová",277037,"Územně analytické podklady správního území
obce Moravská Třebová","Integrovaný operační program","ERDF",04/09/08,935000,"19.12.2008",935000,"Finalized"
"Město Moravská Třebová",277037,"Územní plán Moravská Třebová","Integrovaný operační program","ERDF",10/12/09,848300,"28.05.2010",844050,"Finalized"
"Město Moravský Beroun",296244,"Revitalizace náměstí a přilehlých ulic města
Moravský Beroun","ROP NUTS II Střední Morava","ERDF","26.06.2009",36431694,07/06/10,23644381,"Ongoing"
"Město Moravský Beroun",296244,"Revitalizace zeleně hřbitova a okolí kostela
Nanebevzetí Panny Marie v Moravském Berouně","OP Životní prostředí","ERDF","26.05.2010",305790,,0,"Ongoing"
"Město Moravský Beroun",296244,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF",06/05/09,58259,"22.12.2009",46371,"Finalized"
"Město Moravský Beroun",296244,"Výchovně vzdělávací centrum - Moravský
Beroun","ROP NUTS II Střední Morava","ERDF","21.05.2009",21849298,"26.04.2010",14157870,"Ongoing"
"Město Moravský Krumlov",293199,"Revitalizace centrální části města Moravský
Krumlov - racionalizace autobusové dopravy","ROP NUTS II Jihovýchod","ERDF",01/03/10,30044006,,0,"Ongoing"
"Město Moravský Krumlov",293199,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF","29.04.2009",58259,09/12/09,43494,"Finalized"
"Město Moravský Krumlov",293199,"Zpracování územně analytických podkladů pro
ORP Moravský Krumlov","Integrovaný operační program","ERDF","29.12.2008",631550,,0,"Cancelled"
"Město Mšeno",237078,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF","22.07.2009",58259,"25.11.2009",29144,"Finalized"
"Město Mělník",237051,"Napojení přístavu Mělník na silnici I/16","ROP NUTS II Střední Čechy","ERDF","16.09.2009",8462353,01/04/10,8414266,"Finalized"
"Město Mělník",237051,"Rekonstrukce azylového domu v Mělníku","ROP NUTS II Střední Čechy","ERDF","21.10.2009",10427049,"14.04.2010",2313268,"Ongoing"
"Město Mělník",237051,"Revitalizace historického centra města Mělník","ROP NUTS II Střední Čechy","ERDF","19.11.2008",76708315,"29.06.2010",62978498,"Ongoing"
"Město Mělník",237051,"Rozšíření a zkvalitnění výuky ZŠ Jungmannovy
sady","ROP NUTS II Střední Čechy","ERDF","21.11.2008",4015124,12/03/10,3626778,"Finalized"
"Město Mělník",237051,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF",02/07/09,58259,06/11/09,24984,"Finalized"
"Město Mělník",237051,"Varovný systém ochrany před povodněmi Mělník","OP Životní prostředí","CF","29.12.2009",830314,02/04/10,830314,"Ongoing"
"Město Mělník",237051,"Volnočasový areál Mělník","ROP NUTS II Střední Čechy","ERDF","29.07.2010",3399893,,0,"Ongoing"
"Město Mělník",237051,"Zvýšení efektivnosti projektového a procesního
řízení v městě Mělník","OP Lidské zdroje a zaměstnanost","ESF",04/06/10,4061137,,0,"Ongoing"
"Město Městec Králové",239437,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF",09/07/09,58259,03/12/09,42246,"Finalized"
"Město Město  Albrechtice",296228,"Dostavba kanalizačního systému města Město
Albrechtice","OP Životní prostředí","CF","22.03.2010",18893722,01/07/10,18604033,"Ongoing"
"Město Město  Albrechtice",296228,"Modernizace vzdělávacích aktivit - ZŠ Město
Albrechtice","ROP NUTS II Moravskoslezsko","ERDF",11/11/08,20505625,"26.05.2010",14519635,"Ongoing"
"Město Město  Albrechtice",296228,"Střednědobý plán rozvoje sociálních služeb jako
nástroj k uspokojování potřeb obyvatel regionu
Albrechticka","OP Lidské zdroje a zaměstnanost","ESF","19.05.2010",1381131,"18.06.2010",207170,"Ongoing"
"Město Město  Albrechtice",296228,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF","21.07.2009",58259,"16.11.2009",46407,"Finalized"
"Město Město Albrechtice",296228,"Realizace úspor energie - ZŠ Město Albrechtice","OP Životní prostředí","CF",02/12/08,4394165,"17.04.2009",4394165,"Finalized"
"Město Město Touškov",258105,"Rekonstrukce a modernizace ZŠ Město Touškov","ROP NUTS II Jihozápad","ERDF",05/09/08,28449151,10/12/09,28177821,"Finalized"
"Město Měčín",255785,"Odbahnění rybníka v Petrovicích","OP Životní prostředí","ERDF",11/11/08,2333366,"15.09.2009",2333366,"Ongoing"
"Město Měčín",255785,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF","13.07.2009",58259,03/12/09,50450,"Finalized"
"Město Měčín",255785,"Územní plán obce Měčín","Integrovaný operační program","ERDF","19.03.2009",725900,"18.08.2009",725245,"Finalized"
"Město Mýto",258911,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF",07/05/09,58259,"22.07.2009",58259,"Finalized"
"Město Mýto",258911,"Výstavba komunikace v osadě Kařízek","ROP NUTS II Jihozápad","ERDF","22.09.2008",5448097,"18.11.2009",5448097,"Finalized"
"Město NOVÉ HRADY",245267,"Investice pro integrovaný rozvoj kultury a kvality
služeb veřejné správy v Nových Hradech","ROP NUTS II Jihozápad","ERDF",02/09/08,6581350,12/04/10,6581350,"Finalized"
"Město NOVÉ HRADY",245267,"Modernizace budov ZŠ a jejich zařízení za účelem
zlepšení kvality a dostupnosti vzdělávání v N.H.","ROP NUTS II Jihozápad","ERDF",02/02/09,5184224,,0,"Ongoing"
"Město NOVÉ HRADY",245267,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF",07/07/09,58259,01/12/09,48909,"Finalized"
"Město NOVÉ HRADY",245267,"Zvýšení dostupnosti a kvality služeb MŠ Nové
Hrady","ROP NUTS II Jihozápad","ERDF",02/09/08,4591221,04/08/09,4591221,"Finalized"
"Město Nalžovské Hory",255866,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF","23.07.2009",58259,03/12/09,48842,"Finalized"
"Město Nasavrky",270580,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF","14.07.2009",58259,07/12/09,48909,"Finalized"
"Město Nasavrky",270580,"Vybudování nové ČOV a kanalizace v
Nasavrkách","OP Životní prostředí","CF",06/05/10,69980360,"16.07.2010",3839912,"Ongoing"
"Město Nechanice",269191,"Poznejme se česko - polská kulurně - vzdělávací
setkání","OP ČR - Polsko","ERDF",03/04/09,12549,,0,"Ongoing"
"Město Nechanice",269191,"Zpracování územního plánu města Nechanice","Integrovaný operační program","ERDF",06/08/09,561000,,0,"Ongoing"
"Město Nejdek",254801,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF","16.07.2009",58259,"18.11.2009",49716,"Finalized"
"Město Nejdek",254801,"Zastřešení a opláštění zimního stadionu Nejdek
Stavba zastřešení ledové plochy","ROP NUTS II Severozápad","ERDF","29.01.2010",22626967,,0,"Ongoing"
"Město Nejdek",254801,"Zastřešení a opláštění zimního stadionu Nejdek
Stavba zázemí zimního stadionu","ROP NUTS II Severozápad","ERDF","29.01.2010",19136028,,0,"Ongoing"
"Město Nepomuk",256986,"Nepomuk - modernizace místní komunikace pro
napojení průmyslové zóny Dvorec I.,
Nepomuk-Dvorec","ROP NUTS II Jihozápad","ERDF","16.09.2008",8266981,"19.08.2009",8266981,"Finalized"
"Město Nepomuk",256986,"Nepomuk, rekonstrukce rodného domu Augustina
Němejce","ROP NUTS II Jihozápad","ERDF","27.01.2009",24161800,"28.07.2010",22657093,"Finalized"
"Město Nepomuk",256986,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF","13.05.2009",58259,06/11/09,32053,"Finalized"
"Město Nepomuk",256986,"Výstavba sběrného dvora odpadů města
Nepomuk","OP Životní prostředí","CF","19.11.2008",4702767,12/12/08,4702767,"Finalized"
"Město Neratovice",237108,"Dostavba ZŠ Ing. M. Plesingera - Božinova
Neratovice","ROP NUTS II Střední Čechy","ERDF",08/10/09,21868709,01/04/10,5575122,"Ongoing"
"Město Neratovice",237108,"Rekonstrukce komunikace ulice Práce, Neratovice","ROP NUTS II Střední Čechy","ERDF","28.05.2010",4158714,,0,"Ongoing"
"Město Neratovice",237108,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF",09/07/09,58259,"24.11.2009",24119,"Finalized"
"Město Neratovice",237108,"Zvýšení kvality řízení Městského úřadu
Neratovice","OP Lidské zdroje a zaměstnanost","ESF",04/06/10,3468896,,0,"Cancelled"
"Město Nová Bystřice",247138,"Modernizace místních komunikací v Nové Bystřici","ROP NUTS II Jihozápad","ERDF","24.09.2008",3234595,01/03/09,3234595,"Finalized"
"Město Nová Bystřice",247138,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF",08/07/09,58259,"20.11.2009",49759,"Finalized"
"Město Nová Bystřice",247138,"Výměna oken, dveří a zateplení budovy MŠ
Nová Bystřice","OP Životní prostředí","CF",01/12/08,3776514,"26.05.2009",3776514,"Finalized"
"Město Nová Paka",271888,"Farský rybník","OP Životní prostředí","ERDF","23.01.2009",6564307,"26.11.2009",6564307,"Finalized"
"Město Nová Paka",271888,"Novopacko - kraj zkamenělých stromů","ROP NUTS II Severovýchod","ERDF",08/10/08,2354275,"16.03.2010",1545060,"Ongoing"
"Město Nová Paka",271888,"Regenerace příměstských rekreačních lesů v
lokalitě Střelnice v Nové Pace - vegetace","OP Životní prostředí","ERDF","24.08.2009",1279244,03/12/09,1279244,"Finalized"
"Město Nová Paka",271888,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF",07/07/09,58259,"19.11.2009",45042,"Finalized"
"Město Nová Paka",271888,"Územně analytické podklady správního území
města Nová Paka","Integrovaný operační program","ERDF",03/09/08,510000,"20.01.2009",509796,"Finalized"
"Město Nová Role",254819,"Regenerace městské zeleně v Nové Roli","OP Životní prostředí","ERDF","17.03.2010",4620316,"15.07.2010",1375916,"Ongoing"
"Město Nová Role",254819,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF","16.07.2009",58259,"24.11.2009",49716,"Finalized"
"Město Nová Včelnice",247146,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF","20.07.2009",58259,"29.07.2009",58259,"Finalized"
"Město Nové Město nad Metují",272876,"Nové Město nad Metují - Nádražní ulice -
Stabilizace skalní stěny pod obytnými domy č.p.
193 a 362","OP Životní prostředí","ERDF",07/10/09,6674879,11/12/09,3821953,"Ongoing"
"Město Nové Město nad Metují",272876,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF",09/07/09,58259,11/11/09,24801,"Finalized"
"Město Nové Město nad Metují",272876,"Za krásami a historií Českého Betléma
I.Revitalizace centra města spojená s historií
Českého Betléma","ROP NUTS II Severovýchod","ERDF","31.10.2008",83695428,"31.05.2010",55854768,"Ongoing"
"Město Nové Město nad Metují",272876,"ÚSPORY ENERGIÍ NOVÉ MĚSTO NAD
METUJÍ, I.etapa","OP Životní prostředí","CF",04/09/09,18644598,"13.05.2010",18539597,"Ongoing"
"Město Nové Sedlo",259527,"Silnice II/209 N. Sedlo Chranišov, průtah a
přeložka II. etapa a revit.zast. ploch náměstí v
N.Sedle","ROP NUTS II Severozápad","ERDF","25.11.2008",20029895,,0,"Ongoing"
"Město Nové Sedlo",259527,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF","29.07.2009",58259,07/12/09,49716,"Ongoing"
"Město Nové Strašecí",244155,"Nové Strašecí - Zlepšení tepelně technických
vlastností obvodových konstrukcí budov škol","OP Životní prostředí","CF","17.03.2010",7831999,"20.04.2010",7774856,"Ongoing"
"Město Nové Strašecí",244155,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF","21.07.2009",58259,"17.12.2009",57857,"Ongoing"
"Město Nový Bydžov",269247,"""MÚ Nový Bydžov - úřad pro Vás""","OP Lidské zdroje a zaměstnanost","ESF","28.06.2010",3700551,,0,"Ongoing"
"Město Nový Bydžov",269247,"Realizace úspor energie veřejných budov MŠ
Sluníčko a MŠ Palackého","OP Životní prostředí","CF",11/05/10,9969596,"20.07.2010",5284876,"Ongoing"
"Město Nový Bydžov",269247,"Realizace úspor energie veřejných budov
Městského úřadu - budova B, ZŠ V. Kl. Klicpery a
ZŠ Karla IV. v Novém Bydžově","OP Životní prostředí","CF","29.05.2009",22136360,"13.05.2010",20488914,"Ongoing"
"Město Nový Bydžov",269247,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF","15.07.2009",58259,03/08/09,58259,"Finalized"
"Město Nový Bydžov",269247,"Vzdělávání v rámci eGovernmentu pro Nový
Bydžov a spádové obce","OP Lidské zdroje a zaměstnanost","ESF","18.12.2009",1818312,,0,"Ongoing"
"Město Nový Bydžov",269247,"Územně analytické podklady pro ORP Nový
Bydžov","Integrovaný operační program","ERDF",10/11/08,814300,"29.01.2009",813246,"Finalized"
"Město Nový Jičín",298212,"""Chráněné bydlení Nový Jičín""","ROP NUTS II Moravskoslezsko","ERDF","28.04.2009",15021068,"26.04.2010",4958613,"Ongoing"
"Město Nový Jičín",298212,"Mezinárodní pohár starosty","OP ČR - Polsko","ERDF","25.06.2010",16122,,0,"Ongoing"
"Město Nový Jičín",298212,"Rekonstrukce Masarykova náměstí II. etapa","ROP NUTS II Moravskoslezsko","ERDF",09/07/09,22577087,"16.04.2010",20824867,"Ongoing"
"Město Nový Jičín",298212,"Revitalizace bývalých zahrad Gymnázia Nový
Jičín","ROP NUTS II Moravskoslezsko","ERDF","15.10.2009",14555077,,0,"Ongoing"
"Město Nový Jičín",298212,"Typový projekt - CzechPOINT - Kontaktní místo
(Upgrade)","Integrovaný operační program","ERDF",10/07/09,58259,"14.12.2009",52261,"Finalized"
"Město Nový Jičín",298212,"Veřejná zeleň v Novém Jičíně","OP Životní prostředí","ERDF",09/07/09,1206398,06/11/09,1139250,"Ongoing"
"Město Nový Jičín",298212,"Územně analytické podklady obce s rozšířenou
působností -  Nový Jičín","Integrovaný operační program","ERDF",04/09/08,498950,"22.01.2009",498062,"Finalized"
"Město Náchod",272868,"Cyklostezky v Kladském pomezí","OP ČR - Polsko","ERDF",02/02/09,1053144,,0,"Ongoing"
"Město Náchod",272868,"Cyklostezky v Kladském pomezí - II. etapa","OP ČR - Polsko","ERDF","25.08.2009",636155,,0,"Finalized"
"Město Náchod",272868,"Hrabství kladské na pozadí historie regionu a
Střední Evropy - polsko-česká vědecká
konference","OP ČR - Polsko","ERDF",05/10/09,11050,,0,"Ongoing"
