Ref. No,Organisation Name,Project Title,Year Approved,Total Grant Approved,Year Completed,Total Paid Amount,Currency
Sustainable Competitiveness Program,,,,,,,
3194,Drenagh Sawmills ...,Loo 08/BIA/01 Dre...,2008,"27,626.00",,"17,956.90",STG
3195,Ballyrashane Co-o...,11/12/2008 Ballyr...,2008,"28,215.00",,"6,819.95",STG
3196,Retailworx Limite...,Loo 07/0688 Retai...,2007,"13,291.00",,"13,251.00",STG
3198,K-Space (NI) Limi...,Loo 07/0241 K-Spa...,2007,"15,774.00",,0,STG
3199,Tenderlean Meats ...,12/06/2008 Tender...,2008,"26,350.00",,0,STG
3200,Fourds Limited,Loo 07/1014 Fourd...,2008,"6,864.00",,"6,806.00",STG
3201,P W S Ireland Ltd...,17/12/2008 PWS Ir...,2008,"25,966.00",,"2,326.00",STG
3202,Belfast Aircraft ...,15/12/2008 Belfas...,2008,"24,713.00",,"3,225.38",STG
203,Libertas Solution...,Loo 07/0242 Liber...,2007,"3,160.00",,"1,118.00",STG
3204,Universities Pres...,05/03/2008 Univer...,2008,"24,540.00",,0,STG
3207,McCauley Trailers...,16/06/2008 McCaul...,2008,"24,235.00",,"5,387.15",STG
3208,"Digestor,Silos an...",12/02/2008 Digest...,2008,"23,636.00",,"20,049.00",STG
3211,Francis Dinsmore ...,14/05/2008 Franci...,2008,"23,282.00",,"1,102.48",STG
3213,Home Design Centr...,03/07/2008 Home D...,2008,"22,563.00",,"13,639.69",STG
3214,Rapid Internation...,25/07/2008 Rapid ...,2008,"21,169.00",,0,STG
3215,Dawson Manufactur...,12/03/2008 Dawson...,2008,"20,903.00",,"16,013.00",STG
3216,Empowerment Quali...,17/09/08 Empowerm...,2008,"19,092.00",,0,STG
3217,Asset Management ...,06/02/2008 Asset...,2008,"20,816.00",,"2,175.00",STG
3218,Red Bay Boats Ltd...,07/05/2008 Red Ba...,2008,"15,772.00",,"4,018.00",STG
3219,World Furniture (...,31/07/2008 World ...,2008,"15,380.00",,"2,348.57",STG
3220,North Down Boroug...,Business Improvem...,2008,"129,492.00",,"26,252.56",STG
3221,R W Pierce & Co (...,22/09/2008 R W Pi...,2008,"15,312.00",,"8,000.85",STG
3224,BA Kitchen Compon...,11/12/2008 BA Kit...,2008,"15,015.00",,0,STG
3226,Hill Engineering ...,06/10/2008 Hill E...,2008,"13,758.00",,"5,908.40",STG
3227,Bailies Coffee Co...,14/08/2008 Bailie...,2008,"13,718.00",,0,STG
3228,ACOS (NI) Limited...,24/07/2008 ACOS (...,2008,"11,485.00",,"2,845.10",STG
3229,Sharman D Neil,01/09/2008 Sharma...,2008,"11,353.00",,"3,808.00",STG
3231,Organic Waste Rec...,14/04/2008 Robert...,2008,"11,063.00",,0,STG
3232,Rooney Fish,13/06/2008 J Roon...,2008,"10,550.00",,"9,391.08",STG
3236,Gary Dunlop & Mar...,30/05/2008 Gary D...,2008,"4,996.00",,"3,914.20",STG
3237,Kittle of Toye Lt...,12/12/2008 Kittle...,2008,"4,315.00",,961.21,STG
3238,First Derivatives...,28/01/2009 First ...,2008,"426,883.00",,0,STG
3241,Randox Laboratori...,24/02/2009 Randox...,2009,"401,885.00",,"44,101.96",STG
3242,Kestrel Foods Ltd...,11/02/2009 Kestre...,2009,"317,667.00",,"29,554.46",STG
3243,ABF Grain Product...,22/01/2009 ABF Gr...,2008,"198,664.00",,0,STG
3244,BTI Systems UK Lt...,02/04/2009 BTI Sy...,2009,"180,000.00",,0,STG
3245,Montupet (U.K) Lt...,28/01/2009 Montup...,2008,"178,846.00",,"22,169.60",STG
3246,LBM Holdings Ltd,09/01/2009 LBM Ho...,2008,"177,054.00",,"41,944.15",STG
3247,Moyola Precision ...,02/03/2008 Moyola...,2009,"158,061.00",,"105,636.86",STG
3248,Cybersource NI Li...,09/01/2009 Cybers...,2008,"140,000.00",,0,STG
3249,M D F Engineering...,17/02/09 M D F En...,2009,"137,394.00",,"11,900.19",STG
3251,Perfecseal Ltd,27/01/2009 Perfec...,2009,"134,036.00",,0,STG
3253,Openwave Systems ...,03/01/2009 Openwa...,2008,"109,606.00",,"11,301.34",STG
3254,Larsen Manufactur...,03/03/2009 Larsen...,2009,"90,556.00",,0,STG
3255,Fin Engineering L...,16/02/2009 Fin En...,2009,"86,073.00",,"6,938.07",STG
3256,Softedge Systems ...,21/04/2009 Softed...,2009,"85,000.00",,0,STG
3257,DLLNI Limited,08/01/2009 DLLNI ...,2008,"80,858.00",,"16,697.56",STG
3258,Premier Food Grou...,24/02/2009 Premie...,2009,"79,271.00",,0,STG
3259,Travel 118 Ltd,14/01/2009 Travel...,2008,"59,647.00",,"2,109.98",STG
3260,Biznet IIS Ltd,19/01/2009 Bisnet...,2009,"75,084.00",,"5,275.65",STG
3263,Learning Pool Lim...,02/03/2009 Learni...,2009,"53,785.00",,0,STG
3264,Magdalene Limited...,09/03/2009 Magdal...,2009,"50,000.00",,"3,582.92",STG
3271,Euro Auctions UK ...,13/01/2009 Euro A...,2008,"49,259.00",,0,STG
3272,Wireless Fibre Sy...,31/03/2009 Wirele...,2009,"32,000.00",,"21,293.89",STG
3273,O & S Doors Ltd,03/02/2009 O & S ...,2009,"25,718.00",,0,STG
