organisation_name,project_title,indicative_award,fund,duration_recommended,project_reference,priority
 Edinburgh Business Development,Edinburgh Incubator Programme,"920,719.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0365,Priority 1: Progressing Into Employment
 Edinburgh Business Development,Scottish Ethnic Minority Enterprise Trust,"168,341.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0406,Priority 1: Progressing Into Employment
 Forestry Commission Scotland,Scottish Biomass Heat Scheme for Business,"800,000.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0339,Priority 1: Progressing Into Employment
 Perth College, Inspiring Enterprise," 250,426.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0409,Priority 1: Progressing Into Employment
 Scottish Enterprise, Business Efficiency,"4,984,400.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0324,Priority 1: Progressing Into Employment
 West of Scotland Loan Fund Ltd,West of Scotland Loan Fund (Gap Funding for SME's)," 6,000,000.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0501,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/2/0315, Fife Council,Future in Fife's Economy,European Regional Development Fund,,,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/2/0401, Glasgow City Council,Commonwealth 2014 - Supplier Development Programme,European Regional Development Fund,,,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/2/0402, Glasgow City Council,Supporting Sustainable Businesses,European Regional Development Fund,,,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/2/0460, Glasgow Opportunities, Harnessing Creative Potential,European Regional Development Fund,,,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/2/0430, Renfrewshire Council,Business Gateway Enhanced Advisory Support,European Regional Development Fund,,,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/2/0343, Renfrewshire Council,Renfrewshire Business Improvement & Support Programme,European Regional Development Fund,,,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/2/0479, Scottish Enterprise, Support for Young Innovative Enterprises,European Regional Development Fund,,,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/2/0311, The Robert Gordon University,Centre for Energy Efficiency in Buildings,European Regional Development Fund,,,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/2/0310, The Robert Gordon University,Going Green,European Regional Development Fund,,,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/2/0415, West Lothian Council,Promoting Creative Business Enterprise,European Regional Development Fund,,,Priority 1: Progressing Into Employment
 Ferguslie Park Housing Association,The Tannahill Vision Project Programme," 307,380.00",European Regional Development Fund,,LUPS/ERDF/2008/2/3/0467,Priority 1: Progressing Into Employment
 Maryhill Burgh Halls Trust,Maryhill Burgh Halls," 1,279,014.00",European Regional Development Fund,,LUPS/ERDF/2008/2/3/0313,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/3/0462, Adam Smith College,Sustainable Business Centre,European Regional Development Fund,,,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/3/0348, Coatbridge College,Coatbridge College Campus Enhancement,European Regional Development Fund,,,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/3/0329, Fife Council,CHAP,European Regional Development Fund,,,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/3/0398, Glasgow City Council,East End Accessibility,European Regional Development Fund,,,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/3/0283, Glasgow East Regeneration Agency,Engaging Employers 2009-2012,European Regional Development Fund,,,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/3/0352, Kibble Education and Care, The Learning Centre Network,European Regional Development Fund,,,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/3/0320, Lambhill Stables,Lambhill Stables Employment and Enterprise Centre,European Regional Development Fund,,,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/3/0458, Possil Renewal Limited,Ardoch Complex Refurbishment & Enlargement (ACRE),European Regional Development Fund,,,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/3/0372, RNIB (Scotland), Access to Employment @ C.S.I.P.,European Regional Development Fund,,,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/3/0326, The Wasps Trust, King Street South Block Creative Industry Hub,European Regional Development Fund,,,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/3/0327, The Wasps Trust, The Briggait,European Regional Development Fund,,,Priority 1: Progressing Into Employment
Angus Council,Tartan Day Scotland," 123,498.00",European Regional Development Fund,,LUPS/ERDF/2008/2/4/0452,Priority 1: Progressing Into Employment
Moray College,e-Health training and education unit for Moray,"2,921,294.00",European Regional Development Fund,,LUPS/ERDF/2008/2/4/0256,Priority 1: Progressing Into Employment
Oatridge College, GrowBiz," 101,468.00",European Regional Development Fund,,LUPS/ERDF/2008/2/4/0417,Priority 1: Progressing Into Employment
Scottish Enterprise,Energetica Business Site Development,"1,470,266.00",European Regional Development Fund,,LUPS/ERDF/2008/2/4/0377,Priority 1: Progressing Into Employment
Scottish Enterprise,Rural Business Property Support," 384,800.00",European Regional Development Fund,,LUPS/ERDF/2008/2/4/0378,Priority 1: Progressing Into Employment
SEStran,Regional Real Time Bus Passenger Information System (Rural)," 410,000.00",European Regional Development Fund,,LUPS/ERDF/2008/2/4/0475,Priority 1: Progressing Into Employment
The Moray Council,Rural Action Plan for Moray," 1,037,698.00",European Regional Development Fund,,LUPS/ERDF/2008/2/4/0340,Priority 1: Progressing Into Employment
Barony College, Barony Business Development Centre," 489,903.00",European Regional Development Fund,,LUPS/ERDF/2009/1/6/0015,Priority 1: Progressing Into Employment
