organisation_name,project_title,indicative_award,fund,duration_recommended,project_reference,priority,uri
The Robert Gordon University,Innovation and Design Management,"330,990",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
University of Dundee,Scottish Construction Centre,"708,904",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
University of Glasgow,The Nexxus Scotland Bioscience Network,"513,749",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
University of Glasgow,SIGMA (Scottish Innovation in Global Market Applications),"927,400",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
University of Strathclyde,SUPA - Knowledge Transfar to Aid Company Growth,"354,847",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
Genecom Ltd,Health and Life Science Sector,"436,824",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
Napier University,National Technology Centre,"598,880",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
Scottish Enterprise Fife,Transfer,"1,469,885",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
Scottish Government,SMART: Scotland,"6,031,040",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
University of Edinburgh,Clinical Research Imaging Centre,"1,500,000",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
University of Edinburgh,Prospekt,"3,693,559",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
University of Edinburgh,Scottish Centre for Regenerative Medicine,"6,000,000",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
University of Strathclyde,Knowledge Transfer (and Commercialisation) to Aid Company Growth,"295,196",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
Roslin Institute,ARK Genomics SME Service,"769,956",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
Roslin Institute,ARK Genomics SME Service Key Equipment,"187,508",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
CEIS,Investing In Enterprise,"244,515",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
DSL,Scottish Micro Lending Project - Loan Capital,"831,600",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
DSL,Scottish Micro Lending Project - Guarantee Fund,"279,418",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
DSL,Scottish Micro Lending Project - Investor Readiness,"274,460",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
Dundee City Council,E-Zone (Enterprise Zone),"198,612",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
Forestry Commission Scotland,Regional Biomass Advice Network,"261,400",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
LINC Scotland,Scottish Angel Capital Programme,"1,411,316",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
Napier University,Ebusiness Innovation in Eastern Scotland,"244,999",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
North Ayrshire Council,North Ayrshire Business Growth Programme,"517,561",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
North Lanarkshire Council,Gateway to Growth,"254,743",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
Princes Scottish Youth Business Trust,Supporting Youth Enterprise in Scotland,"847,655",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
ReGenerate Glasgow,Social Economy,"1,079,244",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
ReGenerate Glasgow,Enterprise Development in Glasgow's Communities,"847,274",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
Scottish Enterprise,Investor Readiness Support,"552,000",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
Scottish Enterprise,Edinburgh Pre-incubation Scheme,"748,000",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
Scottish Enterprise,Scottish Co-investment Fund,"32,000,000",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
South Lanarkshire Council,Lanarkshire Sustainable Business Programme,"778,851",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
Stirling Enterprise Park/Ceteris,IT and E-Commerce Business Strategy Programme,"411,854",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
University of Abertay Dundee,Industrial Ecoparks,"451,172",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
University of Strathclyde,Strathclyde Entrepreneurial Network,"399,550",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
VisitScotland,Green Tourism Initiatives for Business Growth,"401,362",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
VisitScotland,New Tourism Growth Fund,"374,560",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
Glasgow South West Regeneration Agency,South West Glasgow Employability Centre Cluster,"88,672",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
Maryhill Burgh Halls Trust,Maryhill Burgh Halls,"1,100,000",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
Forestry Commission Scotland,Regional Biomass Advice Network,"380,860",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
Perth and Kinross Council,Unlocking economic potential in Perthshire/Angus,"416,185",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
VisitScotland,Green Tourism Consumer Promotion,"991,379",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
VisitScotland,Homecoming Scotland 2009,"1,335,338",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
Bioscience Network Ltd,Biosciences Knowledge Transfer Network,"705,167.00",European Regional Development Fund,,,Priority 1: Research & Innovation,http://www.esep.co.uk/assets/files/ERDF1_Third_Round_Awards.pdf
Edinburgh Napier University,Institute for Wood Products,"664,037.00",European Regional Development Fund,,,Priority 1: Research & Innovation,http://www.esep.co.uk/assets/files/ERDF1_Third_Round_Awards.pdf
Edinburgh Napier University,Business & Technology Hub,"1,001,385.00",European Regional Development Fund,,,Priority 1: Research & Innovation,http://www.esep.co.uk/assets/files/ERDF1_Third_Round_Awards.pdf
Edinburgh Napier University,CIAC Revenue,"767,129.00",European Regional Development Fund,,,Priority 1: Research & Innovation,http://www.esep.co.uk/assets/files/ERDF1_Third_Round_Awards.pdf
Edinburgh Napier University,Edinburgh Climate Change Centre (ECCC),"613,872.00",European Regional Development Fund,,,Priority 1: Research & Innovation,http://www.esep.co.uk/assets/files/ERDF1_Third_Round_Awards.pdf
Fife Council,Fife Renewables Business Innovation & Incubation Hub,"125,377.00",European Regional Development Fund,,,Priority 1: Research & Innovation,http://www.esep.co.uk/assets/files/ERDF1_Third_Round_Awards.pdf
Fife Council,Fife Renewable Hub Capital,"750,000.00",European Regional Development Fund,,,Priority 1: Research & Innovation,http://www.esep.co.uk/assets/files/ERDF1_Third_Round_Awards.pdf
Institute for System Level Integration,Development Of Research and Innovation in Electronic Systems,"352,960.00",European Regional Development Fund,,,Priority 1: Research & Innovation,http://www.esep.co.uk/assets/files/ERDF1_Third_Round_Awards.pdf
The University of Edinburgh,SETN Phase Two,"408,137.00",European Regional Development Fund,,,Priority 1: Research & Innovation,http://www.esep.co.uk/assets/files/ERDF1_Third_Round_Awards.pdf
University Court of the University of Aberdeen,Life Science Innovation,"2,626,313.00",European Regional Development Fund,,,Priority 1: Research & Innovation,http://www.esep.co.uk/assets/files/ERDF1_Third_Round_Awards.pdf
University of Abertay Dundee,Commercialisation and Enterprise Development,"321,399.00",European Regional Development Fund,,,Priority 1: Research & Innovation,http://www.esep.co.uk/assets/files/ERDF1_Third_Round_Awards.pdf
University of Strathclyde,Executive Director Designate Programme 1,"675,000.00",European Regional Development Fund,,,Priority 1: Research & Innovation,http://www.esep.co.uk/assets/files/ERDF1_Third_Round_Awards.pdf
University of Strathclyde,Medical Devices Knowledge Exchange Initiative,"307,904.85",European Regional Development Fund,,,Priority 1: Research & Innovation,http://www.esep.co.uk/assets/files/ERDF1_Third_Round_Awards.pdf
Dundee College,Enterprise@DC,"686,797.33",European Regional Development Fund,,,Priority 2: Enterprise Growth,http://www.esep.co.uk/assets/files/ERDF2_Third_Round_Awards.pdf
Fife Council,East of Scotland Investment Fund,"2,000,000.00",European Regional Development Fund,,,Priority 2: Enterprise Growth,http://www.esep.co.uk/assets/files/ERDF2_Third_Round_Awards.pdf
Fife Council,Support for Enterprise II,"196,423.00",European Regional Development Fund,,,Priority 2: Enterprise Growth,http://www.esep.co.uk/assets/files/ERDF2_Third_Round_Awards.pdf
Scottish Enterprise,Advanced Entrepreneurial & Pre Incubation Support,"1,281,801.00",European Regional Development Fund,,,Priority 2: Enterprise Growth,http://www.esep.co.uk/assets/files/ERDF2_Third_Round_Awards.pdf
Scottish Enterprise,Support for Young Innovative Enterprises (YIE),"2,810,780.00",European Regional Development Fund,,,Priority 2: Enterprise Growth,http://www.esep.co.uk/assets/files/ERDF2_Third_Round_Awards.pdf
Clyde Gateway URC,Clyde Gateway - SME Business Hub Rutherglen,"649,748.00",European Regional Development Fund,,,Priority 3: Urban Regeneration,http://www.esep.co.uk/assets/files/ERDF3_Third_Round_Awards.pdf
Clyde Gateway URC,Clyde Gateway - SME Business HUB Bridgeton,"1,157,086.00 £908,521.00 £1,500,000.00 £449,810.00 £647,364.00 £500,000.0",European Regional Development Fund,,,Priority 3: Urban Regeneration,http://www.esep.co.uk/assets/files/ERDF3_Third_Round_Awards.pdf
Glasgow North Regeneration Agency,Saracen Exchange,"908,521.00",European Regional Development Fund,,,Priority 3: Urban Regeneration,http://www.esep.co.uk/assets/files/ERDF3_Third_Round_Awards.pdf
Govan Workspace Ltd,Fairfield Business Premises,"1,500,000.00",European Regional Development Fund,,,Priority 3: Urban Regeneration,http://www.esep.co.uk/assets/files/ERDF3_Third_Round_Awards.pdf
North Lanarkshire Council,Netherton Industrial Estate- Developing Industrial Stock,"449,810.00",European Regional Development Fund,,,Priority 3: Urban Regeneration,http://www.esep.co.uk/assets/files/ERDF3_Third_Round_Awards.pdf
South Lanarkshire Council,Burgh Business Centre,"647,364.00",European Regional Development Fund,,,Priority 3: Urban Regeneration,http://www.esep.co.uk/assets/files/ERDF3_Third_Round_Awards.pdf
The Wasps Trust,Merchant City Cultural and Creative Industries Hub Programmes,"500,000.00",European Regional Development Fund,,,Priority 3: Urban Regeneration,http://www.esep.co.uk/assets/files/ERDF3_Third_Round_Awards.pdf
Angus Council,Local Jobs for Local People,"1,188,880.00",European Regional Development Fund,,,Priority 4: Rural Development,http://www.esep.co.uk/assets/files/ERDF4_Third_Round_Awards.pdf
Scottish Enterprise,Energetica Peterhead Decommissioning / Renewables Infra,"1,470,266.00",European Regional Development Fund,,,Priority 4: Rural Development,http://www.esep.co.uk/assets/files/ERDF4_Third_Round_Awards.pdf
Scottish Traditional Skills Training Centre,Scottish Traditional Skills Training Centre,"1,235,980.00",European Regional Development Fund,,,Priority 4: Rural Development,http://www.esep.co.uk/assets/files/ERDF4_Third_Round_Awards.pdf
SEStran,Regional RTPI System - Fife (Rural),"267,275.00",European Regional Development Fund,,,Priority 4: Rural Development,http://www.esep.co.uk/assets/files/ERDF4_Third_Round_Awards.pdf
South Lanarkshire Council,South Lanarkshire Rural Business Sites,"231,638.00",European Regional Development Fund,,,Priority 4: Rural Development,http://www.esep.co.uk/assets/files/ERDF4_Third_Round_Awards.pdf
South Lanarkshire Council,St Brides Community Group Centre,"235,546.00",European Regional Development Fund,,,Priority 4: Rural Development,http://www.esep.co.uk/assets/files/ERDF4_Third_Round_Awards.pdf
Scottish Borders Council,Scottish Borders Rural Business Site Development,"943,500.00",European Regional Development Fund,,,Priority 4: Rural Development,http://www.esep.co.uk/assets/files/ERDF4_Third_Round_Awards.pdf
Scottish Borders Council,Galashiels Transport Interchange,"2,112,221.00",European Regional Development Fund,,,Priority 4: Rural Development,http://www.esep.co.uk/assets/files/ERDF4_Third_Round_Awards.pdf
Scottish Enterprise,"Gretna, Lockerbie, Annan (GLA) Business Space","736,010.00",European Regional Development Fund,,,Priority 4: Rural Development,http://www.esep.co.uk/assets/files/ERDF4_Third_Round_Awards.pdf
Scottish Enterprise,"Heathhall Industrial Estate, Dumfries","351,338.00",European Regional Development Fund,,,Priority 4: Rural Development,http://www.esep.co.uk/assets/files/ERDF4_Third_Round_Awards.pdf
