"No of Agreements","Project Ref. No.","Name of Beneficiaries","Name of Operation","Year of Allocation","Amounts Committed","Co-financing Rate [European Social Fund]",,,,,,,,,,,
1,"TAF/146","Methode Electronics Malta Ltd.","HOCC - Kitting Organisation",2009,"€ 211.32",25.00%,,,,,,,,,,,
1,"TAF/147","Methode Electronics Malta Ltd.","RX Kitting and Organisation",2009,"€ 118.63",25.00%,,,,,,,,,,,
1,"TAF/148","Methode Electronics Malta Ltd.","Housekeeping Purchases",2009,"€ 190.93",25.00%,,,,,,,,,,,
1,"TAF/149","D Consulta Ltd","Business Planning",2009,"€ 48.60",45.00%,,,,,,,,,,,
1,"TAF/150","6pm Limited","JAVA",2010,"€ 630.00",70.00%,,,,,,,,,,,
1,"TAF/151","Ascent Software Ltd","ISEB Software Testing Foundation",2009,"€ 1,970.40",80.00%,,,,,,,,,,,
1,"TAF/152","R and R Products Ltd","Team Building",2009,"€ 125.70",80.00%,,,,,,,,,,,
1,"TAF/153","Methode Electronics Malta Ltd.","MSS Documentation and Pricing",2009,"€ 233.56",25.00%,,,,,,,,,,,
1,"TAF/154","Cheops (Malta) Ltd","Train the Trainer Course 2009",2009,"€ 168.00",80.00%,,,,,,,,,,,
1,"TAF/155","Lufthansa Technik Malta","B 737 NG B1 Type Course",2009,"€ 30,000.00",60.00%,,,,,,,,,,,
1,"TAF/156","Methode Electronics Malta Ltd.","SASW Scheduling & Serialisation",2009,"€ 103.80",25.00%,,,,,,,,,,,
1,"TAF/157","Lufthansa Technik Malta","A 330 B1 Type Course",2009,"€ 19,881.00",60.00%,,,,,,,,,,,
1,"TAF/158","Methode Electronics Malta Ltd.","Z - Axis Joystick and Picoscope",2009,"€ 126.05",25.00%,,,,,,,,,,,
1,"TAF/159","Methode Electronics Malta Ltd.","IMC - Software Updates and Jig Testing",2009,"€ 183.51",25.00%,,,,,,,,,,,
1,"TAF/160","Methode Electronics Malta Ltd.","Administration - Front Office",2009,"€ 203.90",25.00%,,,,,,,,,,,
1,"TAF/161","Methode Electronics Malta Ltd.","TX - WP4",2009,"€ 114.93",25.00%,,,,,,,,,,,
1,"TAF/162","Methode Electronics Malta Ltd.","Mechanics - TX",2009,"€ 129.76",25.00%,,,,,,,,,,,
1,"TAF/163","Lufthansa Technik Malta","Structure Repair Course for Engineers",2009,"€ 1,093.50",25.00%,,,,,,,,,,,
1,"TAF/164","GlobalCapital plc","Training for HR Champions",2009,"€ 2,532.00",60.00%,,,,,,,,,,,
1,"TAF/165","Actavis Limited","Excel Advanced Group 2",2009,"€ 720.00",60.00%,,,,,,,,,,,
1,"TAF/166","Methode Electronics Malta Ltd.","PC Function on Altec, Atlas & Nova RRC",2009,"€ 144.59",25.00%,,,,,,,,,,,
1,"TAF/167","Methode Electronics Malta Ltd.","QPC Creation",2009,"€ 117.87",25.00%,,,,,,,,,,,
1,"TAF/168","Methode Electronics Malta Ltd.","JH2K Prop - WP4 and Picoscope",2009,"€ 118.64",25.00%,,,,,,,,,,,
1,"TAF/169","Methode Electronics Malta Ltd.","W & D - GRNs",2009,"€ 107.51",25.00%,,,,,,,,,,,
1,"TAF/170","Computime Ltd","VMware vSphere 4.0",2009,"€ 1,363.60",70.00%,,,,,,,,,,,
1,"TAF/171","Philip Toledo Limited","CL481 for UNIX, LINUX and WINDOWS Quickstart",2009,"€ 2,456.65",35.00%,,,,,,,,,,,
1,"TAF/172","Methode Electronics Malta Ltd.","Material Calling-Frame Orders plus",2009,"€ 259.50",25.00%,,,,,,,,,,,
1,"TAF/173","Computime Ltd","Vision XL Introduction (Q&A 10)",2009,"€ 88.98",35.00%,,,,,,,,,,,
1,"TAF/174","Solidbase Laboratory Ltd","Executive Distance Learning MBA",2009,"€ 13,321.30",80.00%,,,,,,,,,,,
1,"TAF/175","GS 1 Malta","GS 1 General Specifications",2009,"€ 708.86",45.00%,,,,,,,,,,,
1,"TAF/176","Vittoriosa Gaming Ltd","First Aid Course",2009,"€ 475.20",60.00%,,,,,,,,,,,
1,"TAF/177","Computime Ltd","Vision XL Introduction (Q&A 10)",2009,"€ 86.35",35.00%,,,,,,,,,,,
1,"TAF/178","Computime Ltd","Citrix Presentation Server 4.5 and XenApp 5.0",2009,"€ 984.54",70.00%,,,,,,,,,,,
1,"TAF/179","Methode Electronics Malta Ltd.","Methode Finance Internal Training Programme",2009,"€ 187.22",25.00%,,,,,,,,,,,
1,"TAF/180","Lufthansa Technik Malta","A330 / A340 B2 Type ",2009,"€ 16,434.60",60.00%,,,,,,,,,,,
1,"TAF/181","St Martin's Institute of I.T","Staff Development Programme / Training",2009,"€ 3,779.97",45.00%,,,,,,,,,,,
1,"TAF/182","Baxter Ltd.","Fire Awarness Course",2009,"€ 234.00",60.00%,,,,,,,,,,,
1,"TAF/183","Baxter Ltd.","Fire Awarness Course",2009,"€ 234.00",60.00%,,,,,,,,,,,
1,"TAF/184","Methode Electronics Malta Ltd.","W & D - Kanban Trolley",2009,"€ 107.51",25.00%,,,,,,,,,,,
1,"TAF/185","Methode Electronics Malta Ltd.","SCS - Invoicing and Shipments",2009,"€ 203.90",25.00%,,,,,,,,,,,
1,"TAF/186","Methode Electronics Malta Ltd.","Mechanics - RX",2009,"€ 129.76",60.00%,,,,,,,,,,,
1,"TAF/188","Mizzi Holdings Limited","Performance Management (ACCA)",2009,"€ 258.30",60.00%,,,,,,,,,,,
1,"TAF/189","BMW Malta Ltd","MS Excel Intermediate",2009,"€ 132.80",60.00%,,,,,,,,,,,
1,"TAF/190","B and S Manufacturing Limited","Fork Lift Trucks - An Operator's Course",2009,"€ 142.40",80.00%,,,,,,,,,,,
1,"TAF/191","Mediterranean Technical Services Ltd","Assessors Course of Energy",2009,"€ 637.39",80.00%,,,,,,,,,,,
1,"TAF/192","Alf. Mizzi and Sons (Marketing) Ltd","Influencing Skills at Work",2009,"€ 203.45",60.00%,,,,,,,,,,,
1,"TAF/193","Multipackaging Limited","AutoCAD 2009 Creating and Presenting 3D Models",2009,"€ 513.25",60.00%,,,,,,,,,,,
1,"TAF/194","Kasco Technical Services","Operation of GWS 135",2009,"€ 2,762.10",45.00%,,,,,,,,,,,
1,"TAF/195","Union Print Co. Ltd","Operation of GWS 135",2009,"€ 4,270.00",35.00%,,,,,,,,,,,
1,"TAF/197","Attard and Co. (Industrial) Ltd","A Level Accounting",2009,"€ 416.50",70.00%,,,,,,,,,,,
1,"TAF/199","Calamatta Cuschieri & Co Ltd","Diploma in Fund Administration",2009,"€ 2,952.80",80.00%,,,,,,,,,,,
1,"TAF/200","Business Process Consulting Ltd","F1 - Accountant in Business",2009,"€ 248.00",80.00%,,,,,,,,,,,
1,"TAF/201","Methode Electronics Malta Ltd","W & D Kanban Trolley",2009,"€ 107.51",25.00%,,,,,,,,,,,
1,"TAF/202","PC Corporate Services Limited","F4 Business Law and F5 Performance Management",2009,"€ 600.00",80.00%,,,,,,,,,,,
1,"TAF/203","Baxter Ltd","Career and Development Planning",2009,"€ 73.00",25.00%,,,,,,,,,,,
1,"TAF/204","Methode Electronics Malta Ltd","Housekeeping Organisation",2009,"€ 190.93",25.00%,,,,,,,,,,,
1,"TAF/205","Methode Electronics Malta Ltd","HOCC Management",2009,"€ 226.15",25.00%,,,,,,,,,,,
1,"TAF/206","BT Fiduciaire Limited","Audit Methodology",2009,"€ 34.94",80.00%,,,,,,,,,,,
1,"TAF/207","Methode Electronics Malta Ltd","PC - Visual RX & TX",2009,"€ 129.76",25.00%,,,,,,,,,,,
1,"TAF/208","Attard and Co. Ltd","ACCA Courses",2009,"€ 262.50",70.00%,,,,,,,,,,,
1,"TAF/209","Methode Electronics Malta Ltd","SCS - CMS Navigation, Sales, Manufucturing and Purchasing",2009,"€ 222.44",25.00%,,,,,,,,,,,
1,"TAF/210","Computime Ltd","Jet Reports Product Training",2009,"€ 497.39",35.00%,,,,,,,,,,,
1,"TAF/211","Baxter Ltd","The Workers' Health and Safety Representative",2009,"€ 672.00",60.00%,,,,,,,,,,,
1,"TAF/212","Simonds Farsons Cisk Plc","Leaders in Action",2009,"€ 3,338.10",60.00%,,,,,,,,,,,
1,"TAF/213","Baxter Ltd","Career and Development Planning",2009,"€ 89.75",25.00%,,,,,,,,,,,
1,"TAF/214","Tuning Fork Ltd","Training Needs Analysis",2009,"€ 88.80",80.00%,,,,,,,,,,,
1,"TAF/215","Tektraco Ltd","Management with Style",2009,"€ 882.43",80.00%,,,,,,,,,,,
1,"TAF/216","Tektraco Ltd","Train the Trainer",2009,"€ 1,777.94",80.00%,,,,,,,,,,,
1,"TAF/217","Methode Electronics Malta Ltd","IMC Technical Organisation",2009,"€ 183.51",25.00%,,,,,,,,,,,
1,"TAF/218","Premier Restaurants Malta Ltd","Restaurant Leadership Practice (RLP)",2009,"€ 210.67",25.00%,,,,,,,,,,,
1,"TAF/219","PriceWaterHouseCoopers","Train the Trainer - Building Client Relationships",2009,"€ 134.12",25.00%,,,,,,,,,,,
1,"TAF/220","Methode Electronics Malta Ltd","Material Calling-Frame Orders plus",2009,"€ 206.36",25.00%,,,,,,,,,,,
1,"TAF/221","Methode Electronics Malta Ltd","SCS - CMS Navigation and General Finance",2009,"€ 268.78",25.00%,,,,,,,,,,,
1,"TAF/222","Methode Electronics Malta Ltd","IMC - Material Testing",2009,"€ 409.28",60.00%,,,,,,,,,,,
1,"TAF/224","Methode Electronics Malta Ltd","IMC - Material Testing",2009,"€ 190.89",25.00%,,,,,,,,,,,
1,"TAF/225","Methode Electronics Malta Ltd","Design FMEA Training",2009,"€ 101.33",25.00%,,,,,,,,,,,
1,"TAF/226","Methode Electronics Malta Ltd","HOCC - BMS & Adco Technology on Outputs",2009,"€ 98.24",25.00%,,,,,,,,,,,
1,"TAF/227","Methode Electronics Malta Ltd","IMC - Materials Testing",2009,"€ 183.51",25.00%,,,,,,,,,,,
1,"TAF/228","Methode Electronics Malta Ltd","RX Tyrolit",2009,"€ 113.07",25.00%,,,,,,,,,,,
1,"TAF/229","Methode Electronics Malta Ltd","W & D - GRNs",2009,"€ 111.22",25.00%,,,,,,,,,,,
1,"TAF/230","De La Rue Currency & Security Print Ltd","Automated e-Passport Personalisation Training Programme",2009,"€ 404.83",25.00%,,,,,,,,,,,
1,"TAF/231","Computime Limited","Cisco Unified Wireless Networking",2009,"€ 1,218.82",70.00%,,,,,,,,,,,
1,"TAF/232","Actavis Limited","LLC Training and Consultancy",2009,"€ 4,896.84",25.00%,,,,,,,,,,,
1,"TAF/233","Technoline Ltd","Employment Law",2009,"€ 448.00",80.00%,,,,,,,,,,,
