Toetuse saaja,,Juriidilise isiku vorm,Projekti nim,Toetuse suurus (EEK),Kestus,Maakond,Meede,Fond,RakendusŸksus,
BLRT Marketex O†,10675265,OsaŸhing,O† BLRT Marketex korporatiivse kultuuri arendamise programm mŸŸgimahtude sŠilitamise ja suurendamise eesmŠrgiga,157 500,21.01.2010 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
BLRT Marketex O†,10675265,OsaŸhing,O† BLRT Marketex Juhtide Akadeemia ning tšštajatearendamise mudeli vŠljatšštamine.II etapp,247 089,16.06.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
BLRT Grupp AS,10068499,Aktsiaselts,Tulemuslik juht,178 700,25.11.2008 ... 18.01.2010,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Bloom O†,11274249,OsaŸhing,Tulemuslik mŸŸk,15 000,06.11.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Bladhs Eesti AS,10572128,Aktsiaselts,Koolitustoetus nr 2/2008,49 147,11.11.2008 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Bladhs Eesti AS,10572128,Aktsiaselts,Koolitustoetus nr 3/2009,57 363,14.04.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Bladhs Eesti AS,10572128,Aktsiaselts,Koolitustoetus nr 4/2009,51 880,25.08.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Bladhs Eesti AS,10572128,Aktsiaselts,Koolitustoetus nr 1/2008,41 950,14.10.2008 ... 18.03.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Bioteek.ee O†,11636244,OsaŸhing,Ettev›tte tšštajate kvalifikatsiooni t›stmine,15 000,18.11.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Bioteek.ee O†,11636244,OsaŸhing,Kulinaaria- ja pagarikoja sisseseade,100 000,20.10.2009 ... ,Rapla maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Biodiesel Paldiski AS,11064316,Aktsiaselts,"Ettev›tte kvaliteedi-, keskkonna-, tšštervishoiu ja tššohutuse juhtimissŸsteemi vŠljaarendamine",95 000,17.02.2009 ... 25.09.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Biodiesel Paldiski AS,11064316,Aktsiaselts,AXAPTA tarkvara juurutamine ja kŠivitamine,156 000,20.10.2009 ... 22.01.2010,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
BindingWire O†,11650066,OsaŸhing,Ettev›tte loomine spiraalide tootmiseks trŸkitoodangu kšitmiseks,396 435,06.10.2009 ... ,Ida-Viru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
BIG DIG O†,11380307,OsaŸhing,"Kaevetššde teostamise, maapinnase tasanduse ja maastiku muutmise alal tegeleva ettev›tte arendamine",124 375,19.06.2008 ... ,Ida-Viru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Bestra Engineering AS,11285543,Aktsiaselts,Tšštajate teadmiste ja oskuste arendamine 2009-2010,105 000,05.01.2010 ... ,Viljandi maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Bestra Engineering AS,11285543,Aktsiaselts,Tšštajate teadmiste ja oskuste arendamine,206 472,11.11.2008 ... 21.12.2009,Viljandi maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Belfiore O†,11791513,OsaŸhing,1. Florist-Lilleseadja 2. Pulmafloristika 3. Leinatššd 4. Interiššri kujundus,15 000,04.01.2010 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Beaverland O†,11584317,OsaŸhing,KŸlalistemaja avamine,100 000,13.10.2009 ... ,PŠrnu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Beauty Angel O†,11387835,OsaŸhing,"Koolitamise, turundamise ja juhtimisoskuste parandamine",15 000,08.12.2009 ... ,PŠrnu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
BDO Eesti AS,10309827,Aktsiaselts,Uue rahvusvahelise finantsaruandluse standardi SME (vŠikestele ja keskmise suurusega ettev›tetele) kursus Rahvusvahelise Finantsjuhtide Instituudi programmi alusel,15 000,06.11.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
BDA Consulting O†,11152948,OsaŸhing,BDA Consulting O† konsultantide oskuste arendamine,37 608,25.06.2009 ... 01.12.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
BDA Consulting O†,11152948,OsaŸhing,BDAConsultingu arenguprogrammi I etapp (pikaajalise strateegia vŠljatšštamine ja juhtkonna arendamine),223 000,14.10.2008 ... 31.08.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
BCT AS,11258902,Aktsiaselts,AS BCT spetsialiseeritud vedelkeemia terminali personali koolitus terminali ohutu ja n›uetekohase ekspluatatsiooni tagamiseks,6 670 052,07.01.2010 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
BCS Itera AS,10653988,Aktsiaselts,ERP-lahenduste (sh vertikaallahendused) innovatsioonid Microsoft Dynamics platvormil,49 340,10.03.2009 ... 29.06.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
BB-Raud O†,11262565,OsaŸhing,Teadmised›igeteks otsusteks,7 990,09.11.2009 ... ,Viljandi maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Base Metal O†,11149320,OsaŸhing,Ohtlike jŠŠtmete kŠitlejate pŠdevuskoolitus,15 000,05.10.2009 ... 01.02.2010,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Bars Elekter O†,11260922,OsaŸhing,JuhtimissŸsteemi juurutamine,49 500,09.02.2010 ... ,Viljandi maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Baltimir O†,11396030,OsaŸhing,"'Tulemuslik juht', mis h›lmab turunduse ja kvaliteedi ning finantside juhtimist",14 200,11.01.2010 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Baltic Workboats AS,10657801,Aktsiaselts,JuhtimissŸsteemi arendusprojekt (standardi ISO 14001 alusel),35 000,02.04.2009 ... 18.06.2009,Saare maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Baltic Intertex O†,10506189,OsaŸhing,Baltic Intertex O† strateegilise n›ustamise projekt,49 500,14.01.2010 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Baltic Intertex O†,10506189,OsaŸhing,V›tmeisikute arenguprogramm,15 000,27.10.2009 ... 04.02.2010,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Balti Spoon O†,10333719,OsaŸhing,V›tmeisikute arendusprogramm,108 100,21.10.2008 ... 07.09.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Balti Soojus Inspektor O†,11302520,OsaŸhing,Energiaaudiitori ja metalltarindite keevitusspetsialisti koolitus,50 713,18.12.2008 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Balti Mereteeninduse AS,10364128,Aktsiaselts,Raamatupidaja erialane tŠiend›pe,12 800,24.11.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Balti Kivitehas O†,11379600,OsaŸhing,Balti Kivitehase O† tootmistegevuse alustamine,200 000,20.05.2008 ... ,Harju maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Balkan Transport O†,10956219,OsaŸhing,BALKAN TRANSPORT KOOLITUS 2010,13 200,26.11.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Balbiino AS,10009159,Aktsiaselts,Tarkavara jŠreljuurutamise arendustššde konsultatsioon,127 998,07.07.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Balbiino AS,10009159,Aktsiaselts,Tootmise tehniline konsultatsioon,120 000,21.04.2009 ... 04.09.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Balbiino AS,10009159,Aktsiaselts,"Arendustegevuse plaan kvaliteedijuhtimissŸteemi maksimaalseks rakendamiseks, mŸŸgitulemuste parandamiseks ning tootmisesse tehtud investeeringute tasuvuse suurendamiseks",89 419,25.11.2008 ... 29.09.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Bait Partner O†,10973181,OsaŸhing,Arendustšštaja ORNETi lahenduse vŠljatšštamiseks,1 020 481,08.12.2009 ... ,Harju maakond,1.4.7 Arendustšštajate kaasamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Babyboom O†,11382973,OsaŸhing,Laste mŠnguvŠljaku organiseerimine SillamŠe uues kaubanduskeskuses,46 423,23.09.2008 ... 01.10.2009,Ida-Viru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Baagest O†,11299232,OsaŸhing,Raamatupidaja tŠiendkoolitus,14 100,14.12.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
B&W Metall O†,11377067,OsaŸhing,"Metalltoodete tootmise, paigalduse ja hooldusega tegeleva ettev›tte arendamiseks",50 000,27.05.2008 ... ,Tartu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
AVL EXPRESS O†,11437728,OsaŸhing,MŸŸgitegevuse arendamine (sh. mŸŸk eksportturgudele) lŠbi koolituste,15 000,17.09.2009 ... ,Tartu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
AVL Audiitorteenuste O†,10077908,OsaŸhing,Kvalifikatsiooni kursus: Uue rahvusvahelise finantsaruande standradi SME ja Siseaudiit Tase 1 'Professionaalne siseaudiitor',15 000,01.10.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
AV Media Partners O†,11545275,OsaŸhing,Mollusk Produktsiooni kŠivitamine ja arendamine,100 000,19.10.2009 ... ,Harju maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
AV GRUPP O†,11571355,OsaŸhing,AV GRUPP AIAD JA V€RVID,497 486,02.02.2010 ... ,†leriiklikud/maakondade vahelised projektid,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Autoteh O†,10850202,OsaŸhing,Autoteh O† kuluarvestuse ja eelarveplaneerimise sŸsteemi tŠiustamine,15 000,12.10.2009 ... 15.02.2010,V›ru maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Automagnet AS,asutamiselKN093161,Aktsiaselts,TARTU MAZDA TEENINDUSKESKUS,200 000,29.09.2009 ... ,Tartu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Autobond O†,11521156,OsaŸhing,O† Autobond seadmepargi tŠiustamine,200 000,07.04.2009 ... 21.01.2010,Ida-Viru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Auto V›ru AS,10171814,Aktsiaselts,Lumikko kŸlmikute koolitus Soomes,25 217,29.09.2009 ... 21.01.2010,V›ru maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Auto 100 Tallinn AS,11591048,Aktsiaselts,Kvaliteediprojekt 2009,72 500,01.10.2009 ... 16.12.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Auto 100 AS,11127264,Aktsiaselts,KliendikŸsitlus 2008,49 000,18.12.2008 ... 13.02.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Audor O†,10099270,OsaŸhing,Finantskoolitused,15 000,02.11.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Audit Vikneti O†,10147980,OsaŸhing,Siseaudit. Tase 1ÇProfessionaalne siseaudiitorÈ,9 800,10.09.2009 ... 10.12.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Audioguide O†,10952241,OsaŸhing,Ekspordituru oluline kasv internetiturunduse abil,15 000,02.12.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
AudiitorbŸroo K&K O†,10258596,OsaŸhing,Siseaudit Tase 1 'Professionaalne siseaudiitor',11 760,01.10.2009 ... 15.01.2010,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Audiitor Sergei Gritsenko,11560736,FŸŸsilisest isikust ettev›tja,Siseaudit Tase 1 'Professionaalne siseaudiitor' ja Siseaudit Tase 2 'Professionaalne siseaudiitor',15 000,03.02.2010 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
AUDEST AS,10128573,Aktsiaselts,Rahvusvahelised finantsaruandlusstandardid,14 000,19.11.2009 ... ,Ida-Viru maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Attivita T†,11279577,TŠisŸhing,Rahvusvahelised finantsaruandluse standardid,15 000,05.11.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Atlante O†,10984701,OsaŸhing,HoiurŸhma avamine (laste hoidmine ja ›petamine),9 167,30.11.2009 ... ,Tartu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
ATI Profiil O†,10681946,OsaŸhing,IngliseŠrikeele tŠiend›ppe koolitus,13 824,21.10.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Atemix O†,10849802,OsaŸhing,KahepŠevane tššalane tŠiendkoolitus vŠike- ja keskmise suurusega ettev›tjale. New leadershipi Modeli m›istmine ja rakendamine,4 900,15.09.2009 ... 11.11.2009,Tartu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Astromoto AS,10039693,OsaŸhing,Pearaamatupidaja-finantsjuhi koolitus,11 970,12.11.2009 ... ,Tartu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Astangu Kutserehabilitatsiooni Keskus,70003566,RiiklikudŸksused,Kaitstud tšš teenus- erivajadustega inimestele tšš ja eneseteostuse pakkumine vŠljaspool avatud tššturgu,6 839 225,18.05.2009 ... ,Harju maakond,1.3.1 Kvalifitseeritud tššj›u pakkumise suurendamine,ESF,Sihtasutus INNOVE,2007-2013
Assistor AS,11057405,Aktsiaselts,Esmatasandijuhtide koolitus,319 880,02.12.2008 ... 01.04.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Assets RMP O†,10012665,OsaŸhing,Aastaaruande koostamise ning konsolideeritud aruannete koostamise teadmiste arendamine,15 000,04.02.2010 ... ,Tartu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Aspin-Tartu O†,10252866,OsaŸhing,Kliendis›bralik teenindus kaasaegses turismiettev›ttes,14 420,30.10.2009 ... ,Tartu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Asper Biotech AS,10504931,Aktsiaselts,AS Asper Biotech strateegia vŠljatšštamine,52 000,17.11.2009 ... ,Tartu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Asper Biotech AS,10504931,Aktsiaselts,Asper Biotechi koolituskava,191 306,19.05.2009 ... 30.12.2009,Tartu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
ASP Konsultant O†,11629422,OsaŸhing,"Raamatupidaja tŠiendkoolitus (finants-, maksuarvestus ja personalijuhtimine)",15 000,19.11.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
ASIS Drafting O†,11713861,OsaŸhing,ASIS Drafting O† tegevuse alustamine,100 000,17.12.2009 ... ,Harju maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Asiasi O†,11544200,OsaŸhing,O† Asiasi aerendamine professionaalset disainiteenust pakkuvaks ettev›tteks,62 963,13.10.2009 ... ,Harju maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Ashtanga O†,11529318,OsaŸhing,Holistiline psŸhhoteraapia,35 750,26.01.2010 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Ashtanga O†,11529318,OsaŸhing,Holistiline koolitus,35 300,06.11.2008 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Ashtanga O†,11529318,OsaŸhing,Ashtanga jooga tŠiend›pe,56 096,29.09.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Ase O†,10077699,OsaŸhing,EESTI KUNSTIAKADEEMIA ARHITEKTUURI KONSERVEERIMISE JA RESTAUREERIMISE T€IENDKOOLITUS,15 000,16.10.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
AS MAAG LIHAT……STUS,10067821,Aktsiaselts,AS MAAG Lihatššstuse tšš analŸŸs,101 400,24.11.2009 ... ,LŠŠne maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
AS ISS Eesti,10031220,Aktsiaselts,PUHASTUST……DE JUHTIDE KOOLITUS,76 500,03.11.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Arvutidoktor O†,11104168,OsaŸhing,Minu kui juhi arengupotentsiaali suurendamine,15 000,10.09.2009 ... 04.02.2010,Tartu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Arvo Metsoja FIE,11744063,FŸŸsilisest isikust ettev›tja,EFEKTIIVSEM PROJEKTEERIMINE,6 480,28.12.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Arvo J›e FIE,11564562,FŸŸsilisest isikust ettev›tja,KorstnapŸhkija,47 838,26.05.2009 ... ,PŠrnu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Arvang O†,10412040,OsaŸhing,Uue tšštaja koolitamine,9 660,16.10.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Artify O†,11698794,OsaŸhing,ArtifyŠritarkvara arendamise juhtimise metoodika juurutamine,49 800,16.02.2010 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Artes Terrae O†,10914072,OsaŸhing,Arhitektuuri restaureerimise ja konserveerimise tŠiendkoolitus,15 000,13.11.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Artec Group O†,10790405,OsaŸhing,Osav›tt Sander Karu koolitustest 'FinantsanalŸŸsi kaasaegsed meetodid' ja 'MŸŸgijuhi finantsprogramm',12 500,13.10.2009 ... 21.01.2010,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Artbase Reklaam O†,11480144,OsaŸhing,Artbase Reklaam O† tootmise loomine,200 000,09.06.2009 ... ,LŠŠne-Viru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Art Marie O†,11052566,OsaŸhing,Adobe Photoshop programmi lŸlitus joonestus tššsse,7 800,24.09.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Art Industria O†,10641355,OsaŸhing,Ettev›tte v›tmeisikute loomingulisuse arendamine ja konkurentsiv›ime parandamine,15 000,17.09.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
ARS Projekt O†,10811633,OsaŸhing,Disainilahenduse arendamine ja turunduskonseptsiooni vŠljatšštamine,48 000,29.12.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Arpel O†,10087568,OsaŸhing,Koolitus,1 750,28.12.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Armali AR O†,10830903,OsaŸhing,T›lketeenuste arendamine ja kvaliteedi t›stmine,6 825,17.12.2009 ... ,LŠŠne-Viru maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Ariol Auto O†,11662974,OsaŸhing,O† Ariol Auto Starditoetus,100 000,10.11.2009 ... ,Harju maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Arhitektuuristuudio Paavo Kais O†,11222620,OsaŸhing,EnergiamŠrgise vŠljastaja koolitus,13 080,17.09.2009 ... 23.12.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
ArhitektuuribŸroo T. SoovŠli O†,10496746,OsaŸhing,Arhitektuuri konserveerimise ja restaureerimise tŠiendkoolitus,15 000,21.10.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
ArhitektuuribŸroo Kuvand O†,11259549,OsaŸhing,AutoCAd 3D kursus,5 400,29.09.2009 ... 27.11.2009,PŠrnu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Arhgild O†,11312895,OsaŸhing,Projekteerimise tarkvara koolitus,6 550,11.01.2010 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Ardis Ehitus O†,11000015,OsaŸhing,"Soomes ja p›hjamaades(Norra, Rootsi, Taani) kohustuslikud tššohutusalased koolitused",15 000,09.12.2009 ... ,PŠrnu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Ardinan O†,10259118,OsaŸhing,"Ardinan O† ainulise raamatupidaja, kes tegeleb raamatupidamisega ja veel personalitššga, tŠiend›petus vastavalt Kardis O† koolitusplaanile",11 300,29.10.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Arcus Projekt O†,10033377,OsaŸhing,Efektiivsus ja kvaliteet,11 025,30.10.2009 ... ,PŠrnu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Arcel Metall O†,11378428,OsaŸhing,Metalliettev›tte laiendamine,160 260,15.07.2008 ... 30.01.2009,V›ru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
AR TŠhelend O†,10367799,OsaŸhing,Inglise erialakeel,15 000,16.12.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
