Toetuse saaja,,Juriidilise isiku vorm,Projekti nim,Toetuse suurus (EEK),Kestus,Maakond,Meede,Fond,RakendusŸksus,
V›rguvara AS,10257131,Aktsiaselts,ISO 9001:2000 standardi n›uetele vastava juhtimissŸsteemi loomine,44 000,02.12.2008 ... 15.10.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
VWF Holding O†,11017311,OsaŸhing,Esmatasandi juhtide juhtimiskoolitus,433 927,02.09.2008 ... 27.03.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
VTS Clima O†,10886097,OsaŸhing,Raamatupidaja kvalifikatsiooni t›stmine,5 750,21.12.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
VRK Projekt O†,10419020,OsaŸhing,AutoCADi kursusel osalemine,7 200,08.12.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Volume Design O†,10463528,OsaŸhing,V›tmeisikute koolitamine Volume Design arenguks,15 000,01.12.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Voicecom O†,10348566,OsaŸhing,Voicecom O† tootearenduse alane n›ustamine,25 000,20.10.2009 ... 18.01.2010,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
VMT Tehased AS,11285494,Aktsiaselts,KvaliteedijuhtimsisŸsteemi juurutamine,38 400,19.11.2009 ... ,Viljandi maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Vladimir Matvejev FIE,11786340,FŸŸsilisest isikust ettev›tja,Kvalifikatsiooni t›stmise koolitus keevitajatele (tŠienduskoolitus),14 750,08.01.2010 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
VKG Elektriv›rgud O†,10855041,OsaŸhing,Tehnikapersonali koolitamine,41 019,29.10.2008 ... 18.03.2009,Ida-Viru maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Viventos O†,11496339,OsaŸhing,'Oma Pubi' p›hivara soetamine,46 841,07.04.2009 ... ,LŠŠne-Viru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
