Toetuse saaja,Registrikood,Juriidilise isiku vorm,Projekti nimi,Toetuse suurus (EEK),Kestus,Maakond,Meede,Fond,Rakendusüksus,Programmperiood
KÜ Aardla 124 ,80062038,Mittetulundusühing ,KÜ Aardla 124 ,8 950 ,14.08.2009 ... 28.10.2009 ,Tartu maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ 26.Juuli 13 ,80145400,Mittetulundusühing ,KÜ 26.Juuli 13 ,9 500 ,16.12.2009 ... 29.12.2009 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ 26.Juuli 11 Narva ,80145729,Mittetulundusühing ,KÜ 26.Juuli 11 Narva ,20 000 ,08.04.2009 ... 12.05.2009 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ 26 juuli tn 29 ,80045494,Mittetulundusühing ,KÜ 26 juuli tn 29 ,7 500 ,11.06.2009 ... 13.07.2009 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ 1.Mai 23A ,80015300,Mittetulundusühing ,KÜ 1.Mai 23A ,5 950 ,22.09.2009 ... 09.11.2009 ,Lääne-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ 1.Mai 23A ,80015300,Mittetulundusühing ,KÜ 1.Mai 23A ,8 350 ,22.10.2009 ... 24.11.2009 ,Lääne-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
Käru Vallavalitsus ,75026508,Kohaliku omavalituseüksused ,Käru Põhikooli staadioni-tööõpetusemaja ehitamine ,4 504 505 ,18.02.2010 ...  ,Rapla maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Käina Vallavalitsus ,75011211,Kohaliku omavalituseüksused ,Käina Gümnaasiumi rekonstrueerimine ,14 341 722 ,18.12.2008 ...  ,Hiiu maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kõue Vallavalitsus ,75014706,Kohaliku omavalituseüksused ,Ardu Kooli lasteaiamaja ehitamine ja sisustamine ning mängu- ja spordiväljaku ehitus ,23 188 426 ,12.03.2009 ...  ,Harju maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kõrgessaare Vallavalitsus ,75011990,Kohaliku omavalituseüksused ,Lasteaed Vigri renoveerimine ,4 751 173 ,21.05.2009 ... 30.10.2009 ,Hiiu maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kõpu Vallavalitsus ,75014617,Kohaliku omavalituseüksused ,Kõpu valla lasteaed-raamatukogu rekonstrueerimine ,5 000 000 ,03.02.2009 ... 07.12.2009 ,Viljandi maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kõpu Internaatkool ,70001871,Riiklikudüksused ,Väljakud erivajadustega laste rehabillitatsioonitegevusteks ,1 110 410 ,24.08.2009 ...  ,Hiiu maakond ,2.5.3 Hariduslike erivajadustegaõpilaste õppekeskkonna kaasajastamine ,ERDF ,Sihtasutus INNOVE ,2007-2013 
Kõo Vallavalitsus ,75021971,Kohaliku omavalituseüksused ,Kirivere Põhikooli rekonstrueerimine ,5 000 000 ,03.04.2009 ... 07.12.2009 ,Viljandi maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kõlleste Vallavalitsus ,75008539,Kohaliku omavalituseüksused ,Postitee viidasüsteemi ja puhkekohtade rajamine ,2 016 854 ,10.06.2008 ... 06.10.2009 ,Põlva maakond ,2.4.3 Piirkondade konkurentsivõime tugevdamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kuusalu Vallavalitsus ,75033496,Kohaliku omavalituseüksused ,Kuusalu keskkooli hoone kütte-ventilatsioonisüsteemi rekonstrueerimine ,7 047 014 ,18.03.2009 ... 15.01.2010 ,Harju maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kuus Kuud OÜ ,10508478,Osaühing ,3D metallist kiletatud varbkonstruktsioonide tootmisliin ,300 000 ,18.06.2009 ...  ,Rapla maakond ,3.1.7 Teadus- ja arendustegevuse projektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kuubik Projekt OÜ ,11441434,Osaühing ,Uudse koostisega kiudbetoon ,289 779 ,11.08.2009 ... 28.01.2010 ,Tartu maakond ,3.1.7 Teadus- ja arendustegevuse projektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kurmik AS ,10244542,Osaühing ,Passiivhoone modelleerimine ,50 000 ,15.10.2009 ...  ,Võru maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kuressaare Linnavalitsus ,75023266,Kohaliku omavalituseüksused ,Kuressaare TIK arendamine ,1 890 302 ,04.02.2010 ...  ,Saare maakond ,3.1.18 Turismiinfo jaotuskanalite toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kuressaare Linnavalitsus ,75023266,Kohaliku omavalituseüksused ,Kuressaare Muusikakooli hoone rekonstrueerimine jaõueala korrastamine ,15 000 000 ,26.11.2009 ...  ,Saare maakond ,"2.5.1 Avatud noortekeskuste, teavitamis- ja nõustamisekeskuste ning huvikoolide kaasajastamine ",ERDF ,Sihtasutus INNOVE ,2007-2013 
Kuressaare Linnavalitsus ,75023266,Kohaliku omavalituseüksused ,Kuressaare 5. Lasteaia hoone rekonstrueerimine ,25 562 849 ,29.12.2009 ...  ,Saare maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kuressaare Ametikool ,70003744,Riiklikudüksused ,Töökodade hoone renoveerimise II etapp ,18 034 502 ,19.01.2009 ...  ,Saare maakond ,2.5.2 Kutseõppeasutuste õppekeskkonna kaasajastamine ,ERDF ,Sihtasutus INNOVE ,2007-2013 
Kunda Linnavalitsus ,75020500,Kohaliku omavalituseüksused ,Kunda Noortemaja renoveerimine ,2 332 440 ,14.07.2009 ... 21.12.2009 ,Lääne-Viru maakond ,"2.5.1 Avatud noortekeskuste, teavitamis- ja nõustamisekeskuste ning huvikoolide kaasajastamine ",ERDF ,Sihtasutus INNOVE ,2007-2013 
Kunda Linnavalitsus ,75020500,Kohaliku omavalituseüksused ,Kunda spordikompleksi rekonstrueerimine ,9 722 209 ,15.01.2009 ... 16.01.2009 ,Lääne-Viru maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kumari Reisid OÜ ,10951423,Osaühing ,Linnuvaatlus- ja loodusreisid ,646 450 ,16.10.2008 ...  ,Lääne maakond ,3.1.5 Ettevõtja turismiturunduse toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kultuuriministeerium ,70000941,Riiklikudüksused ,Rahvusraamatukogude infosüsteem URRAM ,700 000 ,31.12.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.5.3 Infoühiskonna edendamine investeeringute kavade kaudu ,ERDF ,Riigi Infosüsteemide Arenduskeskus ,2007-2013 
Kultuuriministeerium ,70000941,Riiklikudüksused ,Kultuuripärandi portaal - Euroopa Digitaalraamatukogu ,1 000 000 ,27.01.2010 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.5.3 Infoühiskonna edendamine investeeringute kavade kaudu ,ERDF ,Riigi Infosüsteemide Arenduskeskus ,2007-2013 
Kultuuriministeerium ,70000941,Riiklikudüksused ,Muuseumide infosüsteem MuIS ,1 000 000 ,31.12.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.5.3 Infoühiskonna edendamine investeeringute kavade kaudu ,ERDF ,Riigi Infosüsteemide Arenduskeskus ,2007-2013 
Kroonpress AS ,10272337,Aktsiaselts ,Trükitoodete turundus Skandinaavias ja Euroopas. ,1 102 372 ,29.12.2009 ...  ,Tartu maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kristina Guzairova ,47008272210,Muud ,KOÜ Pärna 22 ,7 500 ,11.06.2009 ... 13.07.2009 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
Krisling AS ,10098508,Aktsiaselts ,IMM Cologne 2010 ,107 766 ,17.12.2009 ...  ,Harju maakond ,3.1.11 Välismessitoetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Krimelte OÜ ,10167362,Osaühing ,Krimelte OÜ tootebrandide (PENOSIL ja Tempsi) tuntuse ja maine tõstmine Ukraina turul ,156 338 ,22.09.2009 ...  ,Harju maakond ,3.1.11 Välismessitoetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Krediidihaldus OÜ ,11602506,Osaühing ,Krediidihaldus OÜ automatiseeritud menetlusskeemide meetodi väljatöötamine ja kaitse ,50 000 ,30.07.2009 ... 14.10.2009 ,Tartu maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,90006012,Sihtasutus ,Elanike teavitamine elamute energiasäästlikusest ,8 979 279 ,09.09.2008 ...  ,Üleriiklikud/maakondade vahelised projektid ,2.3.1 Elanike teavitamine elamute energiasäästlikkusest ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,90006012,Sihtasutus ,Riiklik ekspordi krediidikindlustuse programm ,200 000 000 ,28.10.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.1.22 Riiklik ekspordi krediidikindlustuse programm ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,90006012,Sihtasutus ,SA KredEx 2009 Majandusk. OP TA ,400 000 ,20.02.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.6.1 Tehniline abi ,ERDF ,Rahandusministeerium ,2007-2013 
Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,90006012,Sihtasutus ,SA KredEx HTA 2008 ,1 896 356 ,28.11.2008 ... 03.03.2009 ,Üleriiklikud/maakondade vahelised projektid ,4.1.1 Horisontaalne tehniline abi (arvestuslik) ,ERDF ,Rahandusministeerium ,2007-2013 
Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,90006012,Sihtasutus ,SA KredEx 2009 HTA ,2 082 500 ,20.02.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,4.1.1 Horisontaalne tehniline abi (arvestuslik) ,ERDF ,Rahandusministeerium ,2007-2013 
Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,90006012,Sihtasutus ,Ettevõtjate laenukapitali kättesaadavuse parandamise täiendav tugiprogramm ,1 200 000 000 ,27.04.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.1.19 Ettevõtjate laenukapitali kättesaadavuse parandamise täiendav tugiprogramm ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,90006012,Sihtasutus ,Ettevõtluslaenude riiklike tagatiste ja kapitalilaenu programm ,181 408 782 ,28.03.2008 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.1.3 Ettevõtluslaenude riiklike tagatiste ja kapitalilaenu programm ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KredEx SA ,9006012,Sihtasutus ,Korterelamute renoveerimislaen ,266 000 000 ,17.12.2008 ...  ,Üleriiklikud/maakondade vahelised projektid ,2.3.3 Korterelamute renoveerimislaen ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KP Factory OÜ ,11692685,Osaühing ,Paperworld 2010 ,81 640 ,15.10.2009 ...  ,Harju maakond ,3.1.11 Välismessitoetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kosmoseettevõtete MTÜ ,80273611,Mittetulundusühing ,KOSMOSERAKENDUSTE EELKLASTER ,398 000 ,01.12.2009 ...  ,Harju maakond ,3.1.15 Klastrite arendamise toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kose Vallavalitsus ,75011547,Kohaliku omavalituseüksused ,Kose Avatud Noortekeskuse rajamine endise Kose Teeninduskooli ruumidesse ,7 600 000 ,21.01.2009 ...  ,Harju maakond ,"2.5.1 Avatud noortekeskuste, teavitamis- ja nõustamisekeskuste ning huvikoolide kaasajastamine ",ERDF ,Sihtasutus INNOVE ,2007-2013 
Korteriühistu Tartu Emajõe 4 ,80266150,Mittetulundusühing ,KÜ Tartu Emajõe 4 ,5 400 ,08.12.2009 ... 29.12.2009 ,Tartu maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
Korteriühistu Papi ,80105032,Mittetulundusühing ,KÜ Papi ,7 500 ,16.12.2009 ... 29.12.2009 ,Pärnu maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
Korteriühistu Papi ,80105032,Mittetulundusühing ,KÜ Papi ,19 250 ,10.12.2009 ... 29.12.2009 ,Pärnu maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
Korteriühistu Paide Pikk 3 ,80085565,Mittetulundusühing ,KÜ Paide Pikk 3 ,6 349 ,17.02.2010 ...  ,Järva maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
korteriühistu Mõisavahe 59 ,80055067,Mittetulundusühing ,KÜ Mõisavahe 59 ,7 950 ,11.12.2009 ... 29.12.2009 ,Tartu maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
Korteriühistu Kivila 3 ,80166430,Mittetulundusühing ,KÜ Kivila 3 ,4 500 ,08.02.2010 ...  ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KOOSA NOORTEKLUBI ,80200629,Mittetulundusühing ,"Koosa Noorteklubi infrastruktuuri kaasajastamine (ruumide remont, küttesüsteemi, keldri ja välisfassaadi renoveerimine) ",4 750 000 ,27.11.2008 ...  ,Tartu maakond ,"2.5.1 Avatud noortekeskuste, teavitamis- ja nõustamisekeskuste ning huvikoolide kaasajastamine ",ERDF ,Sihtasutus INNOVE ,2007-2013 
Konguta Vallavalitsus ,75023591,Kohaliku omavalituseüksused ,Konguta lasteaia rekonstrueerimine ,3 532 552 ,02.09.2009 ... 28.12.2009 ,Tartu maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Konesko AS ,10047497,Aktsiaselts ,Tuulegeneraatorite eeluuring ,202 937 ,30.07.2009 ... 28.12.2009 ,Järva maakond ,3.1.7 Teadus- ja arendustegevuse projektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kolga-Jaani Vallavalitsus ,75012274,Kohaliku omavalituseüksused ,Kolga-Jaani sotsiaalmaja ja perearstikeskuse ehitamine ,3 404 323 ,28.01.2010 ...  ,Viljandi maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kohtla-Nõmme Vallavalitsus ,75022114,Kohaliku omavalituseüksused ,Kohtla-Nõmme rahvamaja põhjatiiva (noortekeskuse) renoveerimine ,4 024 472 ,16.12.2008 ... 05.01.2010 ,Ida-Viru maakond ,"2.5.1 Avatud noortekeskuste, teavitamis- ja nõustamisekeskuste ning huvikoolide kaasajastamine ",ERDF ,Sihtasutus INNOVE ,2007-2013 
Kohtla-Järve Linnavalitsus ,75001017,Kohaliku omavalituseüksused ,Uue dokumendihaldussüsteemi juurutamine ,417 200 ,23.10.2009 ...  ,Ida-Viru maakond ,3.5.2 Infoühiskonna edendamine avatud taotluste kaudu ,ERDF ,Riigi Infosüsteemide Arenduskeskus ,2007-2013 
Kohtla-Järve Linnavalitsus ,75001017,Kohaliku omavalituseüksused ,Kohtla-Järve Koolinoorte Loomemaja renoveerimine ,12 763 800 ,29.12.2008 ...  ,Ida-Viru maakond ,"2.5.1 Avatud noortekeskuste, teavitamis- ja nõustamisekeskuste ning huvikoolide kaasajastamine ",ERDF ,Sihtasutus INNOVE ,2007-2013 
Kohtla-Järve Linnavalitsus ,75001017,Kohaliku omavalituseüksused ,Uue dokumnedihalduse juurutamine ,417 200 ,04.06.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.5.2 Infoühiskonna edendamine avatud taotluste kaudu ,ERDF ,Riigi Infosüsteemide Arenduskeskus ,2007-2013 
Kohtla-Järve Linnavalitsus ,75001017,Kohaliku omavalituseüksused ,Kohtla-Järve linna Järve linnaosa Keskallee ja Rahvapargi väljaarendamine ,72 611 949 ,30.12.2009 ...  ,Ida-Viru maakond ,2.4.2 Linnaliste piirkondade arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kohtla-Järve Linnavalitsus ,75001017,Kohaliku omavalituseüksused ,Kohtla-Järve linna Ahtme linnaosa kaugkütte trasside rekonstrueerimine ,2 877 212 ,16.11.2009 ...  ,Ida-Viru maakond ,2.3.4 Taastuvenergiaallikate laialdasem kasutamine energia tootmiseks ,ERDF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Kohtla-Järve Linnavalitsus ,75001017,Kohaliku omavalituseüksused ,Lasteaia Kirju-Mirju rekonstrueerimine ,11 378 179 ,26.11.2009 ...  ,Ida-Viru maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kohtla vald ,75004033,Kohaliku omavalituseüksused ,Kukruse mõisa härrastemaja renoveerimine ja ekspositsiooni loomine ,20 434 723 ,30.09.2008 ...  ,Ida-Viru maakond ,2.4.3 Piirkondade konkurentsivõime tugevdamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kohila Vallavalitsus ,75018851,Kohaliku omavalituseüksused ,Kohila valla tööstusala juurdepääsuteede renoveerimine ,13 881 012 ,07.05.2009 ...  ,Rapla maakond ,2.4.3 Piirkondade konkurentsivõime tugevdamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kohila Vallavalitsus ,75018851,Kohaliku omavalituseüksused ,Kohila Koolituskeskuse renoveerimine ,3 022 082 ,10.02.2010 ...  ,Rapla maakond ,"2.5.1 Avatud noortekeskuste, teavitamis- ja nõustamisekeskuste ning huvikoolide kaasajastamine ",ERDF ,Sihtasutus INNOVE ,2007-2013 
Kohila Vallavalitsus ,75018851,Kohaliku omavalituseüksused ,Kohila mõisa ait-kuivati renoveerimine Kohila raamatukoguks ,10 909 171 ,21.04.2009 ...  ,Rapla maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kohila Küla Selts ,80254921,Mittetulundusühing ,KOÜ Jõe 1 ,10 000 ,14.09.2009 ... 03.11.2009 ,Rapla maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
Kogemus OÜ ,11530698,Osaühing ,Lõdvestavad e-harjutused 50pluss sihtgrupile ,50 000 ,25.06.2009 ... 09.11.2009 ,Harju maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Koeru Vallavalitsus ,75004027,Kohaliku omavalituseüksused ,Koeru Keskkooli rekonstrueerimine ja juurdeehituse I etapp ,7 064 090 ,16.04.2009 ...  ,Järva maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Koeru Kommunaal AS ,10117967,Aktsiaselts ,KOÜ Paide tee 23 ,6 726 ,14.04.2009 ... 12.05.2009 ,Järva maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
Koeru Kommunaal AS ,10117967,Aktsiaselts ,Koeru kaugküttesüsteemide rekonstrueerimine ,7 875 000 ,16.11.2009 ...  ,Järva maakond ,2.3.4 Taastuvenergiaallikate laialdasem kasutamine energia tootmiseks ,ERDF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
KLG Eesti AS ,10092242,Aktsiaselts ,FIDI 59th Conference ,138 150 ,11.02.2010 ...  ,Harju maakond ,3.1.11 Välismessitoetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Klaasimeister AS ,10149878,Aktsiaselts ,Turvaklaasi tootmine ,7 040 970 ,07.01.2010 ...  ,Harju maakond ,3.1.12 Tööstusettevõtja tehnoloogiainvesteeringu toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kiviõli Seiklusturismi Keskus SA ,90003551,Sihtasutus ,Kiviõli seiklusturismi keskuse turundus välisturgudel ,502 740 ,18.08.2009 ...  ,Ida-Viru maakond ,3.1.6 Avaliku ja kolmanda sektori turismi turundustegevuste toetamise tingimused ja kord ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kivirand OÜ ,10133305,Osaühing ,Keemiatoodete tehnoloogia väljatöötamine bensoehappe kuubijäägi alusel ,255 724 ,04.08.2009 ...  ,Ida-Viru maakond ,3.1.7 Teadus- ja arendustegevuse projektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kitman AS ,10093994,Aktsiaselts ,Tehniline automatiseerimine EAS toega ,2 797 335 ,29.07.2009 ...  ,Harju maakond ,3.1.12 Tööstusettevõtja tehnoloogiainvesteeringu toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kitarrikool OÜ ,11345713,Osaühing ,Kitarrikool Helsingi Muusikamessil 2009 ,52 067 ,22.09.2009 ...  ,Harju maakond ,3.1.11 Välismessitoetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kinoos Invest OÜ ,11175027,Osaühing ,KS Välismessid 2010 ,37 850 ,02.02.2010 ...  ,Harju maakond ,3.1.11 Välismessitoetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kinema OÜ ,10123689,Osaühing ,Kinema OÜ ekspordi suurendamine ,871 200 ,19.06.2008 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kindlus Grupp AS ,10134476,Aktsiaselts ,Kambja Majutuskompleksi elektrikontrollmõõdistused ,50 000 ,09.02.2010 ...  ,Tartu maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kilplane OÜ ,11247070,Osaühing ,Kilplaste teemapargi mängude tuba ,49 300 ,14.07.2009 ... 05.10.2009 ,Järva maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kika Eksport OÜ ,11493247,Osaühing ,Käsitsi maalitud lastemööbli eksport ,1 239 000 ,30.09.2008 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kiiu 37 ,80070428,Mittetulundusühing ,KÜ Kiiu 37 ,7 670 ,14.12.2009 ... 29.12.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
Kihnu Vallavalitsus ,75003967,Kohaliku omavalituseüksused ,Kihnu muuseumi rekonstrueerimine ,8 266 573 ,27.05.2008 ...  ,Pärnu maakond ,2.4.3 Piirkondade konkurentsivõime tugevdamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Kihnu 2 KÜ ,80141832,Mittetulundusühing ,KÜ Kihnu 2 ,7 000 ,11.01.2010 ... 01.02.2010 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
Kihelkonna Vallavalitsus ,75022060,Kohaliku omavalituseüksused ,Kihelkonna rahvamaja rekonstrueerimine ,19 125 000 ,16.12.2008 ... 09.11.2009 ,Saare maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
KFP Development OÜ ,11352506,Osaühing ,Tehniliseõppevahendi eeluuring ,289 800 ,18.12.2008 ... 29.06.2009 ,Harju maakond ,3.1.7 Teadus- ja arendustegevuse projektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
KFP Development OÜ ,11352506,Osaühing ,Eksporditurundus Projekt Sals.a ,1 308 875 ,27.05.2008 ... 28.01.2010 ,Üleriiklikud/maakondade vahelised projektid ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
