Toetuse saaja,Registrikood,Juriidilise isiku vorm,Projekti nimi,Toetuse suurus (EEK),Kestus,Maakond,Meede,Fond,Rakendusüksus,Programmperiood
Vara Saeveski OÜ ,10533890,Osaühing ,TEHNOLOOGILISE LIINI TÄIENDAMINE KOOREREBIJAGA - JA KLOTSIHAKKURIGA ,620 000 ,31.12.2008 ...  ,Tartu maakond ,3.1.12 Tööstusettevõtja tehnoloogiainvesteeringu toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Vanurite Eneseabi ja Nõustamisühing ,80007335,Mittetulundusühing ,Eakate arvutikoolitus - noorelt seeniorile ,305 700 ,03.06.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.5.2 Infoühiskonna edendamine avatud taotluste kaudu ,ERDF ,Riigi Infosüsteemide Arenduskeskus ,2007-2013 
Vana-Vigala Tehnika- ja Teeninduskool ,70004643,Riiklikudüksused ,Kokanduseõppe- ja suurköögi seadmete pargi tehnoloogiline täiendamine ,407 000 ,19.01.2009 ... 06.08.2009 ,Rapla maakond ,2.5.2 Kutseõppeasutuste õppekeskkonna kaasajastamine ,ERDF ,Sihtasutus INNOVE ,2007-2013 
Vana-Vigala Tehnika- ja Teeninduskool ,70004643,Riiklikudüksused ,Õpilaskodude ja õppehoonete vaheliste keskküttetrasside väljavahetamine ,2 118 644 ,14.04.2009 ...  ,Rapla maakond ,2.5.2 Kutseõppeasutuste õppekeskkonna kaasajastamine ,ERDF ,Sihtasutus INNOVE ,2007-2013 
Vana-Vigala Tehnika- ja Teeninduskool ,70004643,Riiklikudüksused ,Õppetöökodade hoone nr 1 renoveerimine ja sisustamine ,28 206 667 ,28.01.2010 ...  ,Rapla maakond ,2.5.2 Kutseõppeasutuste õppekeskkonna kaasajastamine ,ERDF ,Sihtasutus INNOVE ,2007-2013 
Valsiniidu AS ,10007380,Aktsiaselts ,Välismesside külastus ,46 265 ,15.12.2009 ...  ,Harju maakond ,3.1.11 Välismessitoetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Valmos OÜ ,10644555,Osaühing ,Osaühing Valmose eksporditurunduse projekt 2009-2010 ,662 875 ,09.06.2009 ...  ,Pärnu maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Valmos OÜ ,10644555,Osaühing ,Uue treispoonimasina ja automaatse palgi tsentreerimissseadme ost ,2 065 210 ,29.07.2009 ...  ,Pärnu maakond ,3.1.12 Tööstusettevõtja tehnoloogiainvesteeringu toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Valjala Vallavalitsus ,75020658,Kohaliku omavalituseüksused ,Valjala Lasteaia rekonstrueerimine ,10 260 690 ,30.10.2008 ... 28.09.2009 ,Saare maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Valgamaa Kutseõppekeskus ,70005571,Riiklikudüksused ,Uueõppekompleksi (Valga õppekoht) ehitus koos infrastruktuuri ja soetustega ,150 000 000 ,26.11.2008 ...  ,Valga maakond ,2.5.2 Kutseõppeasutuste õppekeskkonna kaasajastamine ,ERDF ,Sihtasutus INNOVE ,2007-2013 
Valgamaa Kutseõppekeskus ,70005571,Riiklikudüksused ,Valga Energiatõhusa Logistika ja Ehituse Kompetentsikeskus ,0,28.01.2010 ...  ,Valga maakond ,2.4.5 Kompetentsikeskuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Valgamaa Kutseõppekeskus ,70005571,Riiklikudüksused ,Õpilaskodu ehitus ,31 008 000 ,26.11.2008 ...  ,Valga maakond ,2.5.2 Kutseõppeasutuste õppekeskkonna kaasajastamine ,ERDF ,Sihtasutus INNOVE ,2007-2013 
Valga Linnavalitsus ,75004748,Kohaliku omavalituseüksused ,Valga lasteaia 'Kaseke' hoone rekonstrueerimine energiasäästliku passiivmaja pilootprojektina ,16 897 791 ,06.10.2008 ... 07.09.2009 ,Valga maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Valga Linnavalitsus ,75004748,Kohaliku omavalituseüksused ,Valgamaa Puuetega Inimeste Koja hoone rekonstrueerimine ,5 246 953 ,02.04.2009 ... 24.11.2009 ,Valga maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
