Koodi,Rahasto,Projektin nimi,Ohjelma / osio,Tl,Viranomainen,Toiminnan tila,Aloituspvm,P‰‰ttymispvm,Toteuttajan nimi,Myˆnnetty EU-rahoitus,Toteutunut EU-rahoitus,Myˆnnetty valtion rahoitus,Toteutunut valtion rahoitus,Suunniteltu julkinen rahoitus yhteens‰,Toteutunut julkinen rahoitus yhteens‰
A536686,EAKR,perhekuntoutusarvioinnin ja intervention kehitt‰minen huostaanottojen ehk‰isemiseksi,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,15.10.2007,30.12.2008,KAREKUNTOUTUS OY,11 571,1 964,7 429,1 261,19 000,3 225
A536692,EAKR,Energiatalouden kehitt‰minen.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,11.10.2007,31.12.2009,ENERS-SEURANTA OY,27 283,17 261,17 517,11 083,44 800,28 344
A536695,EAKR,Varkauden seudun seudulliset yrityspalvelut,÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,11.10.2007,31.12.2010,WƒLƒKKY KESKI-SAVON UUSYRITYSKESKUS RY.,151 600,70 708,0,0,189 500,84 097
A536698,EAKR,Uudelle hedelm‰lajille tarkoitetun uuden poimintakoneen kehitt‰minen.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,11.10.2007,30.9.2009,RAKENNUSTEMPO OY,63 336,40 322,40 664,25 888,104 000,66 210
A536704,EAKR,CNC koneiden hankinta.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,1.1.2008,31.5.2010,VUOKATIN KALUSTELEVY OY,36 627,26 180,35 873,25 641,72 500,51 821
A536725,EAKR,Tuotannon konehankinnat,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamheten har upphˆrt,15.10.2007,31.12.2008,AM-KONEISTUS OY,47 502,47 502,30 498,30 498,78 000,78 000
A536764,EAKR,"Hakel‰mpˆlaitoksen (0,7 MW) rakentaminen ja vesivoimaturbiinin kunnostus",÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,19.10.2007,28.2.2009,HAAPAKOSKEN TEHDAS OY,16 530,0,13 470,0,30 000,0
A536771,EAKR,Sahapirkkojen valmistus ja alihankitatyˆt,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,19.10.2007,31.3.2010,PUUTUOTE S. HAVERINEN KY,7 070,4 367,6 930,4 281,14 000,8 648
A536774,EAKR,Makeisten tukkukaupan laajentaminen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,22.10.2007,31.5.2008,M-LOGISTICS OY,27 880,27 880,17 900,17 900,49 614,46 660
A536778,EAKR,Liimahirsiaihiotehdas,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,22.10.2007,31.12.2009,HASETEC OY,522 128,522 128,335 223,335 223,857 351,857 351
A536779,EAKR,Tyˆtilojen laajennus ja konehankinta,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamheten har upphˆrt,19.10.2007,31.12.2008,BELLABIT OY,3 258,3 254,2 092,2 089,5 350,5 343
A536780,EAKR,Tuotannon konehankinnat.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,22.10.2007,31.10.2010,TOOLMAN OY,237 510,91 078,152 490,58 475,390 000,149 553
A536803,EAKR,Aloittavan yrityksen investoinnit,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamheten har upphˆrt,24.10.2007,31.12.2008,INSIN÷÷RITOIMISTO RACOMP OY,12 649,12 649,8 121,8 121,20 770,20 770
A536813,EAKR,CNC -Sorvi,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,24.10.2007,31.1.2009,ERIKOISSORVAUS M KORHONEN OY,29 671,29 671,24 179,24 179,53 850,53 850
