Koodi,Rahasto,Projektin nimi,Ohjelma / osio,Tl,Viranomainen,Toiminnan tila,Aloituspvm,P‰‰ttymispvm,Toteuttajan nimi,Myˆnnetty EU-rahoitus,Toteutunut EU-rahoitus,Myˆnnetty valtion rahoitus,Toteutunut valtion rahoitus,Suunniteltu julkinen rahoitus yhteens‰,Toteutunut julkinen rahoitus yhteens‰
A546405,EAKR,Laadunhallintaj‰rjestelm‰n kehitt‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,12.10.2009,31.12.2011,HUOLTSIKKA OY,15 911,0,13 829,0,29 740,0
A546409,EAKR,Rinnekoneen hankinta,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,2.10.2009,30.3.2010,MAANRAKENNUS PAAVO MALINEN,12 373,0,12 127,0,24 500,0
A546485,EAKR,Tuotantokone hankinta.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamheten har upphˆrt,6.10.2009,30.6.2010,VARAOSA LAAKKONEN OY,2 132,2 957,1 368,0,3 500,2 957
A546486,EAKR,Tuotannon konehankinta,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,15.10.2009,30.4.2010,IVARI TMI,914,0,586,0,1 500,0
A546524,EAKR,Ei-invasiivinen insuliin monitorointi nutrigenomiikan tutkimuksiin,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,1.7.2009,30.6.2010,OULUN YLIOPISTO,58 330,0,36 670,0,95 000,0
A546554,EAKR,Teollisuushallin laajennus,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,26.10.2009,31.12.2011,KIINTEIST÷ OY LƒNSIVƒYLƒN AUTOTALO,76 740,0,66 700,0,143 440,0
A546556,EAKR,Konekannan lis‰ys,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,26.10.2009,31.12.2011,LƒNSIVƒYLƒN AUTO- JA KONEKORJAAMO KY,17 805,0,15 475,0,33 280,0
A546602,EAKR,Liukenematon metallikelaattori,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,16.11.2009,31.3.2011,KUOPION YLIOPISTO,107 938,0,91 725,0,199 663,0
A546603,EAKR,Elastisten pinnoitemateriaalien liitosten v‰symiskeston testausmenetelmien yksinkertaistaminen,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,1.11.2009,31.12.2011,MIKKELIN AMMATTIKORKEAKOULU OY,275 350,0,224 650,0,500 000,0
A546609,EAKR,Suunnittelu- ja testausv‰lineet,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,29.10.2009,30.4.2010,EMBEDTRONICS OY,4 271,0,5 899,0,10 170,0
A546612,EAKR,Pajatsalo-portit Oy:n kehityshanke,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,29.10.2009,30.11.2011,PAJATSALO-PORTTI OY,10 685,0,9 285,0,19 970,0
A546613,EAKR,Tuotannon kehitt‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,29.10.2009,30.4.2010,SAVILAHDEN KIRJAPAINO KY,13 428,0,8 622,0,22 050,0
A546617,EAKR,laatuprojekti,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,29.10.2009,31.5.2010,J5L-PRODUCTION OY,2 619,0,1 681,0,4 300,0
A546624,EAKR,Investointihanke,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,30.10.2009,30.6.2010,VAKIOMETALLI OY,165 404,0,106 196,0,271 600,0
A546652,EAKR,L‰‰kinn‰llisen hoidon aloittaminen kauneushoitolassa,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,28.10.2009,31.12.2010,JOENSUUN KAUNEUSHOITOLA&KOSMETIIKKA KLEOPATRASIRPA VIHERVUOSI KY,13 745,0,8 825,0,22 570,0
A546719,EAKR,Alzpharma - riskigeeneist‰ kohdemolekyyleiksi,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,1.12.2009,31.12.2011,KUOPION YLIOPISTO,252 460,0,214 540,0,467 000,0
A546720,EAKR,Energiatehokkuus energiantuotanto-ja teollisuusprosesseissa sek‰ rakennusten energiankulutuksessa,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,1.1.2010,31.12.2011,VALTION TEKNILLINEN TUTKIMUSKESKUS VTT,315 440,0,268 060,0,583 500,0
A546721,EAKR,Energiatehokkuus energiantuotanto-ja teollisuusprosesseissa sek‰ rakennusten energiankulutuksessa,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,1.1.2010,1.1.2011,KUOPION YLIOPISTO,137 312,0,116 688,0,254 000,0
A546796,EAKR,Laitehankinta,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,13.11.2009,31.12.2012,KILPIYKK÷SET KY,3 751,0,2 409,0,6 160,0
A546845,EAKR,Energiapuuper‰vaunu,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,16.11.2009,1.3.2010,KULJETUSPALVELU J AALTO,11 875,0,11 875,0,23 750,0
A546848,EAKR,Teollisuustilan muutostyˆt sek‰ kone- ja laitehankinnat,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,17.11.2009,31.12.2011,TH SERMEC OY,38 360,0,33 340,0,71 700,0
A546861,EAKR,Huoltokonseptin kehitt‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,17.11.2009,31.1.2011,LIMAB OY,16 748,0,10 752,0,27 500,0
A546887,EAKR,Mobiilit paikkatietosovellukset ja Internet,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,1.1.2010,31.12.2011,JOENSUUN YLIOPISTO,193 568,0,121 432,0,315 000,0
A546930,EAKR,Kansainv‰listymisprojekti,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,23.11.2009,31.12.2010,IS-VET OY,15 499,0,9 951,0,25 450,0
A546997,EAKR,Uudet hiilirakenteet kylm‰katodeina,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,1.1.2010,31.12.2011,JOENSUUN YLIOPISTO,267 620,0,142 380,0,410 000,0
A546998,EAKR,Polymer Research Initiative,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,1.3.2010,28.2.2013,JOENSUUN YLIOPISTO,1 014 090,0,635 910,0,1 650 000,0
A547001,EAKR,Yrityksen k‰ynnist‰minen hautomossa,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,20.11.2009,30.11.2010,RANDEVUU OY,27 070,0,17 350,0,44 420,0
A547006,EAKR,Jalostetun puutavaran laadun ja valmistuksen kehitt‰minen mikro- ja nanoteknologian avulla,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,1.1.2010,31.12.2011,KUOPION YLIOPISTO,98 119,0,83 381,0,181 500,0
A547008,EAKR,Jalostetun puutavaran laadun ja valmistuksen kehitt‰minen mikro- ja nanoteknologian avulla,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,1.1.2010,31.12.2011,SAVONIA-AMMATTIKORKEAKOULUN KUNTAYHTYMƒ,134 636,0,114 414,0,249 050,0
A547078,EAKR,"BM-hallij‰rjestelm‰, investointi",÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,17.2.2009,30.9.2010,BM KIINTEIST÷T OY,43 178,0,27 722,0,70 900,0
A547144,EAKR,Elementtitehtaan laajennus,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,7.12.2009,31.12.2010,SV-ELEMENT OY,77 700,0,0,0,77 700,0
A547155,EAKR,Systeemi ja metodi pintadefektien havaitsemiseen,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,1.1.2010,31.12.2011,KUOPION YLIOPISTO,108 120,0,91 880,0,200 000,0
A547163,EAKR,Infrapuna- ja spektrikuvaus l‰‰ketieteellisiss‰ sovelluksissa,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,1.1.2010,31.12.2011,JOENSUUN YLIOPISTO,147 504,0,92 496,0,240 000,0
A547171,EAKR,Infrapuna- ja spektrikuvaus l‰‰ketieteellisiss‰ sovelluksissa,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,1.1.2010,31.12.2011,VALTION TEKNILLINEN TUTKIMUSKESKUS VTT,176 880,0,150 312,0,327 192,0
A547172,EAKR,T‰yteaineen tehokkaampi k‰yttˆ kustannustehokkaassa paperin valmistuksessa,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,1.1.2010,31.12.2011,LAPPEENRANNAN TEKNILLINEN YLIOPISTO,317 547,0,259 078,0,576 625,0
A547173,EAKR,CO2:n fysikaaliseen erotusprosessiin liittyv‰t prosessi-ilmiˆiden ja olosuhteiden hallinta,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,1.1.2010,31.12.2011,MIKKELIN AMMATTIKORKEAKOULU OY,226 792,0,185 033,0,411 825,0
A547178,EAKR,Biopolymeerirakenteisten tunnistinten (aptameerien) optimointi ja soveltaminen analytiikan ja tutkim,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,1.1.2010,31.12.2010,KUOPION YLIOPISTO,88 064,0,74 836,0,162 900,0
A547237,EAKR,Myyntijohtajan palkkaminen liiketoiminta- ja kansainv‰listymisssuunnitelman mukaisesti,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,14.12.2009,30.6.2011,WEBROSENSOR OY,106 270,0,0,0,106 270,0
A547312,EAKR,Levynkulmauskone,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,17.12.2009,31.12.2010,TOIMINIMI J HOTEILA,12 300,0,0,0,12 666,0
A547389,EAKR,Tuotantoprosessien kehitt‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,23.12.2009,28.2.2011,PIAKO OY,26 000,0,0,0,26 000,0


ç,Rahasto,Projektin nimi,Ohjelma / osio,Tl,Viranomainen,Toiminnan tila,Aloituspvm,P‰‰ttymispvm,Toteuttajan nimi,Myˆnnetty EU-rahoitus,Toteutunut EU-rahoitus,Myˆnnetty valtion rahoitus,Toteutunut valtion rahoitus,Suunniteltu julkinen rahoitus yhteens‰,Toteutunut julkinen rahoitus yhteens‰
S11130,ESR,Kaivosalan tyˆvoiman turvaaminen ja osaamisen parantaminen,Programdelen fˆr storomrÂdet ÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen",Verksamhet pÂgÂr,1.11.2009,31.12.2011,Pohjois-Karjalan TE-keskus,103 783,9 190,51 117,0,154 900,9 190
S11135,ESR,Muuttuva Ven‰j‰ -hallintokoulutus,Programdelen fˆr storomrÂdet ÷stra Finland,3,Sˆdra Savolax landskapsfˆrbund,Verksamhet pÂgÂr,1.1.2010,31.8.2011,Helsingin kauppakorkeakoulu Pienyrityskeskus,62 775,0,30 920,0,205 975,0
S11146,ESR,Reiska - ratkaisuja rakennemuutokseen,Programdelen fˆr storomrÂdet ÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax",Verksamhet pÂgÂr,1.12.2009,31.12.2011,Yl‰-Savon Kehitys Oy,115 920,0,52 080,0,594 000,0
S11148,ESR,Yhteishankintakoulutuksen kehitt‰misprojekti,Programdelen fˆr storomrÂdet ÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax",Verksamhet pÂgÂr,1.1.2010,31.12.2011,Pohjois-Savon tyˆ- ja elinkeinokeskus,34 000,0,16 000,0,352 688,0
S11149,ESR,Eurooppalaiset hyv‰t k‰yt‰nnˆt It‰-Suomen ammatilliseen koulutukseen,Programdelen fˆr storomrÂdet ÷stra Finland,4,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen",Verksamhet pÂgÂr,1.10.2009,31.12.2011,Pohjois-Karjalan koulutuskuntayhtym‰,211 553,0,130 212,0,631 000,0
S11150,ESR,Liiketalouden saumaton urapolku aikuisoppijoille,Programdelen fˆr storomrÂdet ÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Kajanaland",Verksamhet pÂgÂr,1.10.2009,31.10.2011,Kajaanin kaupunki / Kajaanin ammattikorkeakoulu -liikelaitos,200 260,0,130 367,0,640 839,0
S11159,ESR,TUAS,Programdelen fˆr storomrÂdet ÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax",Verksamhet pÂgÂr,1.6.2009,31.10.2010,Pelastusopisto,100 800,0,59 200,0,170 000,0
S11160,ESR,ƒkillinen rakennemuutos Joensuu,Programdelen fˆr storomrÂdet ÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen",Verksamhet pÂgÂr,1.11.2009,31.5.2011,Pohjois-Karjalan TE-keskus,319 000,0,231 000,0,550 000,0
S11164,ESR,"Tyˆvoimapolittisten toimien hallinnointihanke, Pohjois-Savo",Programdelen fˆr storomrÂdet ÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax",Verksamhet pÂgÂr,1.1.2010,31.12.2011,Pohjois-Savon TE-keskus,75 000,0,75 000,0,223 700,0
S11166,ESR,Innovaatioassistentti - korkeakoulupohjaista osaamista yrityksiin ja tyˆorganisaatioihin,Programdelen fˆr storomrÂdet ÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen",Verksamhet pÂgÂr,1.11.2009,31.7.2012,Pohjois-Karjalan ammattikorkeakoulu -liikelaitos,142 000,0,69 932,0,567 500,0
S11169,ESR,Koordinaatio,Programdelen fˆr storomrÂdet ÷stra Finland,5,Undervisningsministeriet,Verksamhet pÂgÂr,1.1.2007,31.12.2013,Opetusministeriˆ,88 000,21 959,60 960,15 212,297 960,37 171
S11171,ESR,Tiedotus ja viestint‰,Programdelen fˆr storomrÂdet ÷stra Finland,5,Undervisningsministeriet,Verksamhet pÂgÂr,1.1.2007,31.12.2013,Opetusministeriˆ,28 000,0,19 040,0,47 040,0
S11178,ESR,Nuorille tˆit‰,Programdelen fˆr storomrÂdet ÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax",Verksamhet pÂgÂr,1.12.2009,31.12.2011,Pohjois-Savon TE-keskus,200 000,0,200 000,0,1 001 650,0
S11077,ESR,Ole aktiivinen L‰pi El‰m‰n,Programdelen fˆr storomrÂdet ÷stra Finland,4,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax",Verksamhet pÂgÂr,1.6.2009,31.5.2012,"Kuopion kaupunki, hallinto- ja kehitt‰miskeskus, talous- ja strategiapalvelu",82 245,0,48 302,0,319 872,0
S11086,ESR,Tyˆvalmennuskeskus Tyˆsilta-hanke,Programdelen fˆr storomrÂdet ÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Kajanaland",Verksamhet pÂgÂr,1.8.2009,31.12.2012,Kuhmon Tyˆttˆmien yhdistys ry,45 522,0,25 231,0,738 715,0
S11087,ESR,Tyˆvalmennuskeskus Tyˆsilta -hanke (S11086) /tyˆvoimapoliittiset toimenpiteet,Programdelen fˆr storomrÂdet ÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Kajanaland",Verksamhet pÂgÂr,1.9.2009,31.12.2012,Kainuun TE-keskus,59 482,0,32 968,0,1 637 900,0
S11088,ESR,Tˆihin-hanke,Programdelen fˆr storomrÂdet ÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Kajanaland",Verksamhet pÂgÂr,1.8.2009,31.8.2011,Nakertaja-Hetteenm‰en kyl‰yhdistys ry.,42 688,23 523,23 659,13 037,332 416,36 560
S11091,ESR,Tˆihin -hanke (S11088) /tyˆvoimapoliittiset toimenpiteet,Programdelen fˆr storomrÂdet ÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Kajanaland",Verksamhet pÂgÂr,1.8.2009,31.8.2011,Kainuun TE-keskus,34 744,0,19 256,0,1 109 000,0
S11095,ESR,KIVI - Kainuun lukioiden pedagoginen yhteistyˆhanke,Programdelen fˆr storomrÂdet ÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Kajanaland",Verksamhet pÂgÂr,1.8.2009,31.7.2011,Kainuun maakunta-kuntayhtym‰/koulutustoimiala,83 859,5 334,72 851,4 633,251 039,9 967
S11098,ESR,ISKE - It‰-Suomi kohtaa Euroopan,Programdelen fˆr storomrÂdet ÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax",Verksamhet pÂgÂr,1.9.2009,31.8.2012,Savon koulutuskuntayhtym‰,92 481,0,54 782,0,168 300,0
S11105,ESR,SuuPIRSSI,Programdelen fˆr storomrÂdet ÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax",Verksamhet pÂgÂr,1.8.2009,31.7.2012,Savonia-ammattikorkeakoulun kuntayhtym‰,89 853,0,52 770,0,391 060,0
S11112,ESR,Energiatekniikan teollisuusharjoittelu- ja t‰ydennyskoulutushanke,Programdelen fˆr storomrÂdet ÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax",Verksamhet pÂgÂr,1.4.2009,30.6.2011,Savonia-ammattikorkeakoulun kuntayhtym‰,153 140,0,86 860,0,263 000,0
S11181,ESR,Nuorille tˆit‰/tyˆvoimapoliittiset toimet,Programdelen fˆr storomrÂdet ÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax",Verksamhet pÂgÂr,1.12.2009,31.12.2011,Pohjois-Savon TE-keskus,461 723,0,207 441,0,2 458 000,0
S11184,ESR,S‰hkˆisen liiketoiminnan osaamisen ja palvelujen kehitt‰minen Kajaanin ammattikorkeakoulussa,Programdelen fˆr storomrÂdet ÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Kajanaland",Verksamhet pÂgÂr,1.10.2009,30.6.2011,"Kajaanin kaupunki, Kajaanin ammattikorkeakoulu -liikelaitos",83 738,0,33 808,0,201 340,0
S11188,ESR,Keski- ja It‰-Euroopan mets‰tietopalvelu (KIEMET),Programdelen fˆr storomrÂdet ÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen",Verksamhet pÂgÂr,1.1.2010,31.12.2012,"Mets‰ntutkimuslaitos, Joensuun yksikkˆ",117 894,0,72 258,0,602 355,0
S11193,ESR,"MONIKKO - MONIKULTTUURISEN KASVATUSTY÷N, KOTOUTUMISEN JA OPETUKSEN KEHITTƒMINEN",Programdelen fˆr storomrÂdet ÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen",Verksamhet pÂgÂr,1.1.2010,31.3.2012,Joensuun yliopisto,116 225,0,83 475,0,451 050,0
S11194,ESR,"Osaamispalvelun kehitt‰minen soluviljely- sek‰ antimikrobiologiseen tutkimukseen, MIKROSOLU ESR",Programdelen fˆr storomrÂdet ÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Kajanaland",Verksamhet pÂgÂr,1.12.2009,30.11.2012,"Oulun yliopisto, Kajaanin yliopistokeskus, Biotekniikan laboratorio",126 146,0,93 909,0,360 000,0
S11204,ESR,Tyˆkykyvalmennus ja tyˆllistymismallin kehitt‰mis- ja pilotointihanke,Programdelen fˆr storomrÂdet ÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax",Verksamhet pÂgÂr,1.12.2009,30.6.2011,"Savonlinnan Kylpylaitos Oy/Fontana Spahotel Casino, Savonlinnan Kuntoutumiskeskus",0,0,0,0,259 320,0
S11205,ESR,Vankikoulutuksen kehitt‰mishanke,Programdelen fˆr storomrÂdet ÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax",Verksamhet pÂgÂr,1.1.2010,31.8.2011,Savon koulutusluntayhtym‰,28 500,0,11 950,0,54 630,0
S11207,ESR,Nuorten tuki -hanke,Programdelen fˆr storomrÂdet ÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen",Verksamhet pÂgÂr,1.12.2009,31.12.2013,Pohjois-Karjalan koulutuskuntayhtym‰,540 990,0,254 587,0,3 226 220,0
S11208,ESR,Tyˆllistymispalveluiden kehitt‰minen Pohjois-Karjalassa,Programdelen fˆr storomrÂdet ÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen",Verksamhet pÂgÂr,1.1.2010,31.12.2012,Joensuun yliopisto,164 920,0,81 230,0,855 000,0
S11210,ESR,Vankikoulutuksen kehitt‰mishanke/tyˆvoimapoliittiset toimet,Programdelen fˆr storomrÂdet ÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax",Verksamhet pÂgÂr,1.10.2009,30.9.2011,Pohjois-Savon TE-keskus,50 000,0,50 000,0,150 000,0
S11211,ESR,Tyˆyhteisˆliikunnan kehitt‰mishanke Pohjois-Karjalassa,Programdelen fˆr storomrÂdet ÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen",Verksamhet pÂgÂr,1.12.2009,31.12.2012,Pohjois-Karjalan Liikunta ry,95 448,0,47 012,0,434 775,0
S11212,ESR,Monimuotoisen rˆntgendiffraktiotutkimuksen k‰ynnist‰mishanke Kuopion kampuksella 2010-2011 (Multi-XRPD),Programdelen fˆr storomrÂdet ÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax",Verksamhet pÂgÂr,1.1.2010,31.12.2011,Kuopion yliopisto,50 901,0,38 399,0,197 600,0
S11215,ESR,"POVERI , voimaa logistiikka-alan koulutukseen It‰-Suomessa",Programdelen fˆr storomrÂdet ÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax",Verksamhet pÂgÂr,1.1.2010,31.12.2012,Etel‰-Savon Koulutus Oy,370 212,0,219 297,0,937 100,0
S11219,ESR,Tyˆkykyvalmennus ja tyˆllistymismallin kehitt‰mis- ja pilotointi; tyˆvoimakoulutusosio,Programdelen fˆr storomrÂdet ÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax",Verksamhet pÂgÂr,1.12.2009,30.6.2011,Etel‰-Savon TE-keskus,0,0,0,0,287 680,0
S11222,ESR,PROMOOTTORI - Tapahtumatuotannon tulevaisuuden palvelumallit Mikkelin seudulla,Programdelen fˆr storomrÂdet ÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax",Verksamhet pÂgÂr,1.11.2009,30.10.2011,Mikkelin Ammattikorkeakoulu Oy,63 350,0,32 634,0,199 968,0
S11225,ESR,e FORA,Programdelen fˆr storomrÂdet ÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax",Verksamhet pÂgÂr,1.1.2010,31.7.2012,Kuopion yliopisto,94 752,0,55 648,0,483 410,0
S11226,ESR,Muovikomposiittituotteiden ja valmistusmenetelmien kehitt‰minen,Programdelen fˆr storomrÂdet ÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax",Verksamhet pÂgÂr,1.8.2009,31.12.2011,Savon koulutuskuntayhtym‰,153 918,0,90 397,0,535 900,0
S11232,ESR,Puhevammaisen henkilˆn tyˆhˆn paluun esteiden poistaminen,Programdelen fˆr storomrÂdet ÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Kajanaland",Verksamhet pÂgÂr,1.9.2009,31.7.2011,"Kajaanin kaupunki, Kajaanin ammattikorkeakoulu -liikelaitos",104 140,0,38 758,0,247 545,0
S11234,ESR,"MoSpa Moniammatillisuutta sparraamassa, Kainuu",Programdelen fˆr storomrÂdet ÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Kajanaland",Verksamhet pÂgÂr,1.1.2010,30.4.2012,Suomen Humanistinen Ammattikorkeakoulu Oy/Humanistinen ammattikorkeakoulu,16 680,0,9 245,0,84 855,0
S11239,ESR,Teollisen pintak‰sittelyn koulutustehdas,Programdelen fˆr storomrÂdet ÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax",Verksamhet pÂgÂr,1.10.2009,31.12.2011,Savon koulutuskuntayhtym‰,152 816,0,78 724,0,495 580,0
S11240,ESR,Laadukkaat kotityˆpalvelut It‰-Suomessa,Programdelen fˆr storomrÂdet ÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax",Verksamhet pÂgÂr,1.6.2009,31.12.2011,Savon koulutuskuntayhtym‰,246 752,0,144 918,0,754 500,0
S11243,ESR,Kansainv‰listymis- ja innovaatiopalvelujen toimintamalli,Programdelen fˆr storomrÂdet ÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax",Verksamhet pÂgÂr,1.12.2009,31.12.2012,Pohjois-Savon TE-keskus,34 354,0,16 166,0,350 520,0
S11247,ESR,RFID-TEKNIIKAN SOVELTAMINEN TUOTANTOTEOLLISUUDESSA,Programdelen fˆr storomrÂdet ÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax",Verksamhet pÂgÂr,1.1.2010,31.12.2012,Savon koulutuskuntayhtym‰,193 870,0,0,0,559 571,0
S11029,ESR,Vankilaopetuksen hyv‰t k‰yt‰nnˆt ja kehitt‰minen; Vakes Kainuu,Programdelen fˆr storomrÂdet ÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Kajanaland",Verksamhet pÂgÂr,1.8.2009,31.7.2012,Siika-Pyh‰jokialueen koulutuskuntayhtym‰ / Piippolan k‰si- ja taideteollisuusopisto,57 834,0,43 170,0,224 548,0
S11031,ESR,Luovien alojen yritt‰jyys Etel‰-Savon vahvuudeksi,Programdelen fˆr storomrÂdet ÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax",Verksamhet pÂgÂr,1.10.2009,31.12.2011,Helsingin kauppakorkeakoulu Pienyrityskeskus,62 437,0,48 463,0,218 100,0
S11035,ESR,Hyvinvointialan yritysten liiketoiminnan ja johtamisen valmennusohjelma,Programdelen fˆr storomrÂdet ÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland",Verksamhet pÂgÂr,1.4.2009,30.6.2010,Kajaanin kaupunki / Kajaanin ammattikorkeakoulu,32 318,0,21 752,0,61 794,0
S11036,ESR,Creative Managers - Luovan talouden kansainv‰linen erikoisosaaja- ja tuottajavalmennus,Programdelen fˆr storomrÂdet ÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen",Verksamhet pÂgÂr,1.8.2009,31.12.2011,Pohjois-Karjalan ammattikorkeakoulu,187 454,0,123 673,0,599 402,0
