,Rahasto,Projektin nimi,Ohjelma / osio,Tl,Viranomainen,Toiminnan tila,Aloituspvm,Päättymispvm,Toteuttajan nimi,Myönnetty EU-rahoitus,Toteutunut EU-rahoitus,Myönnetty valtion rahoitus,Toteutunut valtion rahoitus,Suunniteltu julkinen rahoitus yhteensä,Toteutunut julkinen rahoitus yhteensä
A540087,EAKR,Enerec-liiketoiminnan aloittaminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,8.8.2008,31.7.2009,PENOPE OY,14 340,14 340,21 510,21 510,35 850,35 850
A540102,EAKR,Joustava CNC- työstökeskus,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,11.8.2008,31.12.2009,KORVENRANNAN PUUSEPÄNTEHDAS OY,12 000,11 711,18 000,17 567,30 000,29 278
A540531,EAKR,Business Intelligence ja DynamicsAX2009,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,25.9.2008,31.12.2010,FINN-TACK OY LTD,29 092,22 421,43 638,33 631,72 730,56 052
A540568,EAKR,Tuotannon laajennus,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,29.9.2008,31.12.2010,KOLIBRI STAR OY,40 800,18 636,61 200,27 954,102 000,46 590
A540573,EAKR,huoltohalli,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,30.9.2008,31.12.2009,PJ-ASENNUS OY,100 580,64 536,150 870,96 805,251 450,175 366
A540575,EAKR,iGen3- painokone,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,29.9.2008,28.9.2010,SOLVER  PALVELUT OY,35 328,35 328,52 992,52 992,88 320,88 320
A540582,EAKR,Tehdaslaajennus ja tuotantoteknologian kehittäminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland, företagsstöd",Verksamhet pågår,25.9.2008,31.7.2012,PEMAMEK OY,118 500,0,177 750,0,296 250,0
A540615,EAKR,CNC- plasmaleikkauslaiteinvestointi,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,2.10.2008,30.6.2010,KETOLAN METALLI OY,10 480,6 680,15 720,10 020,26 200,16 700
A540710,EAKR,Tuotekehityshanke,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,10.10.2008,30.9.2009,TOI-PUU,1 673,280,2 509,420,4 182,700
A540715,EAKR,Kemiönsaaren keskustat 2010,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland, företagsstöd",Verksamhet pågår,6.10.2008,31.12.2009,KEMIÖNSAAREN KUNTA,36 399,0,18 191,0,90 997,0
A540313,EAKR,Kansainvälistyminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,4.9.2008,31.12.2010,SELKA-LINE OY,20 328,0,30 492,0,50 820,0
A540316,EAKR,Actionecon kansainväliset kehittämistoimenpiteet,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,4.9.2008,30.9.2009,ACTIONECO OY,12 780,11 999,19 170,17 998,31 950,29 997
A540346,EAKR,Teollisuusmaalaamon perustaminen ja aloitusinvestoinnit,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,5.9.2008,30.6.2010,FULLPAINT OY,17 995,10 725,22 005,16 775,46 141,27 500
A540349,EAKR,Hitsausrobotin ja kääntöpöytien hankinta,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland, företagsstöd",Verksamheten har upphört,9.9.2008,31.3.2009,"METAL WELDING WORKS, MWW OY",10 136,10 136,15 204,15 204,25 340,25 340
A540430,EAKR,Tuotantoprosessin kehittäminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland, företagsstöd",Verksamheten har upphört,16.9.2008,31.5.2009,NOVOPLASTIK OY,1 552,1 526,2 328,2 289,3 880,3 815
A540438,EAKR,Uusi päätyponttauslaite ja maalauslinja.,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,17.9.2008,30.6.2010,US WOOD OY,15 000,0,22 500,0,37 500,0
A540465,EAKR,"Sukellusrobotti eli ""ROV"" (Remote operate vechile)",Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,19.9.2008,30.11.2008,ETELÄ-RANNIKON SUKELLUSPALVELU OY,2 560,2 560,3 840,3 840,6 400,6 400
A540511,EAKR,Kompostointilaitoksen toiminnan kehittäminen.,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,23.9.2008,30.12.2009,KULJETUS SINKKONEN OY,26 920,0,40 380,0,67 300,0
A540132,EAKR,Investoinnit ja kehittäminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,13.8.2008,30.6.2010,VUOHELAN HERKKUPUOTI KY,13 820,0,20 730,0,34 550,0
A540149,EAKR,Russia-house  - hanke,Södra Finland,2,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,1.5.2009,30.4.2011,LAHDEN ALUEEN KEHITTÄMISYHTIÖ OY LAKES,41 280,0,78 720,0,240 000,0
A540182,EAKR,Viennin aloittaminen ja tuotantoprosessin kehittäminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,19.8.2008,30.6.2010,LASILIIRI OY,54 257,0,84 863,0,139 120,0
A540229,EAKR,Höyläys/ lujuuslajittelulinjaston rakentaminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,27.8.2008,31.12.2010,IMEX WOOD OY,16 000,8 722,24 000,13 082,40 000,21 804
A540231,EAKR,Plasma- kaasuleikkauslinjan hankinta ympäristöineen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,4.6.2008,31.12.2009,LAHDEN KONEPAJA OY,10 820,9 846,16 230,14 770,27 050,24 616
A540256,EAKR,Venäjän markkinoiden kartoittaminen ja selvittäminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland, företagsstöd",Verksamhet pågår,28.8.2008,31.10.2009,SCAN-MIKAEL OY,8 400,0,12 600,0,21 000,0
A540283,EAKR,Mercantus TimeLine 3.0,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,1.9.2008,31.8.2010,MERCANTUS OY,14 400,5 673,21 600,8 510,36 000,14 183
A539142,EAKR,Koneiden hankinta,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,28.4.2008,30.1.2009,VUOKSEN LASI AVOIN YHTIÖ,996,938,1 494,1 407,2 490,2 345
A539147,EAKR,CNC - työstöautomaatti Jet Optima,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,28.4.2008,31.12.2008,FINECO OY,7 360,7 360,11 040,11 040,18 400,18 400
A539161,EAKR,Kehittämishanke,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,29.4.2008,31.12.2009,RETERMIA OY,10 268,10 018,15 402,15 027,25 670,25 045
A539213,EAKR,Yrityksen laajennushanke,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,6.5.2008,30.9.2009,DESTASOL OY,15 520,6 489,23 280,9 732,38 800,16 221
A538944,EAKR,Yrityksen tuotantoprosessin kehittäminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,11.4.2008,31.12.2008,HAR-BE OY,13 400,13 400,20 100,20 100,33 500,33 500
A538952,EAKR,Laajennus,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,15.4.2008,30.4.2010,TE-PA MEDICAL OY,18 300,9 392,27 450,14 087,45 750,23 479
A538959,EAKR,CNC-sorvin hankinta,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,14.4.2008,31.12.2008,RAIMO MARTIKAINEN OY,9 780,9 780,14 670,14 670,24 450,24 450
A539004,EAKR,Termomuovattavat puulevyvalmisteet,Södra Finland,1,Tekes,Verksamhet pågår,1.4.2008,31.3.2010,LAHDEN AMMATTIKORKEAKOULU,33 600,4 465,50 400,6 699,84 000,11 164
A539013,EAKR,Investoinnit ja kehittäminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,17.4.2008,31.12.2010,N-PAINO OY,10 620,7 519,15 930,11 278,26 550,18 797
A539019,EAKR,Aloitusinvestoinnit,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,19.4.2008,31.12.2008,RETRO RACING OY,0,0,0,0,0,0
A539042,EAKR,Energiajätteen briketöinti,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,21.4.2008,30.6.2008,TMI HEIKKI SAASTAMOINEN,2 640,2 554,3 960,3 830,6 600,6 384
A539047,EAKR,Tuotantolinjojen hankinta,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,21.4.2008,31.12.2008,NAROMA-TUOTE OY,4 800,4 800,7 200,7 200,12 000,12 000
A539071,EAKR,Koulutustuotteen kehittäminen betonielementtiteollisuuteen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,23.4.2008,30.8.2009,EAGLEFINN OY,13 458,0,20 186,0,33 644,0
A541636,EAKR,Euroopan koneteollisuuden alihankkijoiden ja asiakkuuksien selvittäminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,23.12.2008,30.11.2009,MAKRON OY,11 080,0,16 620,0,27 700,0
A541695,EAKR,Tuotekehityshanke,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,31.12.2008,15.3.2010,PELTOLAN PIHA OY,3 866,0,5 800,0,9 666,0
A541702,EAKR,Yrityshautomotoiminta,Södra Finland,2,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,1.1.2009,31.12.2009,LAHDEN TIEDE- JA YRITYSPUISTO OY,172 000,0,228 000,0,500 000,0
A541706,EAKR,Viennin laajentaminen Venäjällä.,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,2.1.2009,31.12.2010,STALA OY,18 800,0,28 200,0,47 000,0
A541719,EAKR,Kutomakoneen hankinta,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,5.1.2009,30.4.2009,BLUE SHOP OY,1 784,1 784,2 676,2 676,4 460,4 460
A541791,EAKR,Kone- ja laiteinvestoinnit.,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,12.1.2009,30.3.2011,KYMEN TEOLLISUUSKEHITYS OY,8 800,0,13 200,0,22 000,0
A541807,EAKR,Virtuaaliesittelyjen kehittämishanke.,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,13.1.2009,31.12.2009,PSI PRACTICAL SOFTWARE INNOVATIONS,2 063,1 049,3 095,1 573,5 158,2 622
A541815,EAKR,Ekomuovi Oy:n investoinnit ja toimintamenetelmien kehittäminen.,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,13.1.2009,30.6.2010,EKOMUOVI OY,29 200,6 991,43 800,10 487,73 000,17 478
A541824,EAKR,Layout-muutos ja toiminnan ohjausjärjestelmä,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland, företagsstöd",Verksamhet pågår,13.1.2009,30.6.2010,CALORTEC OY,27 480,0,41 220,0,68 700,0
A541852,EAKR,investointi,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,16.1.2009,31.3.2010,HUTEK OY,32 000,32 000,48 000,48 000,80 000,80 000
A541855,EAKR,Paino- ja saumausosaston koneiden kehittämishanke,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,16.1.2009,30.6.2010,MUOVIJALOSTE OY,66 000,63 531,99 000,95 297,165 000,158 828
A541448,EAKR,AURA-kattoremontin myyniorganisaation luominen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland, företagsstöd",Verksamhet pågår,8.12.2008,15.9.2009,A-TIILIKATEASENNUS OY,2 480,1 500,3 720,2 250,6 200,3 750
A541461,EAKR,Uuden teknologian sähköturvatestauslaite,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,11.12.2008,31.12.2010,FINERO OY,23 740,5 263,35 610,7 894,59 350,13 157
A541493,EAKR,Ny torklinje samt utvidgning av hallutrymmen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland, företagsstöd",Verksamhet pågår,12.12.2008,31.3.2010,NORCOLOUR OY AB,72 000,42 579,108 000,63 869,180 000,106 448
A541596,EAKR,Kaukolämpöverkoston rakennushanke,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,19.12.2008,19.12.2010,RANTA-PUTKI OY,8 060,0,12 090,0,20 150,0
A541601,EAKR,Muumi-ohjelmiin liittyvä tuotantoteknologia,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland, företagsstöd",Verksamhet pågår,17.12.2008,31.10.2010,OY FILMKOMPANIET ALPHA AB,48 600,0,72 900,0,121 500,0
A541272,EAKR,Suunnittelu- ja kaavoitusohjelma,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,27.11.2008,31.12.2009,ERMOS OY,6 432,6 432,9 648,9 648,16 080,16 080
A541281,EAKR,Tuotannon tehostaminen ja monipuolistaminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,1.12.2008,31.1.2009,SAF-SYSTEMS OY,1 240,1 152,1 860,1 728,3 100,2 880
A541296,EAKR,Markkinatilannekartoitus,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,1.12.2008,30.11.2009,EAGLE FILTERS OY,11 800,5 400,17 700,8 100,29 500,13 500
A541356,EAKR,Välivarasto,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,4.12.2008,30.6.2010,EASMAR KIINTEISTÖT OY,41 700,0,62 550,0,104 250,0
A541357,EAKR,Välivaraston laitteet,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,4.12.2008,30.6.2010,EASMAR LOGISTICS OY,21 000,16 045,31 500,24 068,52 500,40 113
A541886,EAKR,Tuotantolinjainvestointi,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,20.1.2009,31.12.2009,KALLIOMUOVI OY,27 000,22 920,40 500,34 379,67 500,57 299
A541931,EAKR,Kokoonpanopuristimen hankinta,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,22.1.2009,31.12.2009,JUSAPLAST OY,2 112,2 100,3 168,3 150,5 280,5 250
A541937,EAKR,Lännen Tractors-konsernin operatiivisen raportoinnin kehittäminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland, företagsstöd",Verksamhet pågår,22.1.2009,31.12.2010,LÄNNEN TRACTORS OY,8 000,0,12 000,0,20 000,0
A542033,EAKR,Save the Jobs,Södra Finland,2,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,1.6.2009,31.3.2011,RIIHIMÄEN TEOLLISUUSKYLÄ OY,26 677,0,18 823,0,45 500,0
A542056,EAKR,NRG Internationalin kansainvälistymishanke,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,30.1.2009,31.5.2010,NRG INTERNATIONAL LTD OY,7 760,0,11 640,0,19 400,0
A542249,EAKR,Laserleikkauslinjaston hankinta,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland, företagsstöd",Verksamheten har upphört,11.2.2009,31.12.2009,LASERKESKUS OY,64 380,58 828,96 570,88 242,160 950,147 070
A542483,EAKR,Venäjän markkinoiden kartoitus,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,20.2.2009,31.8.2010,KOUVOLA CARGO HANDLING OY,9 724,8 720,14 586,4 564,24 310,13 284
A542498,EAKR,Jätevesien käsittelyjärjestelmä,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,23.2.2009,31.7.2010,TANK SERVICE FINLAND OY,21 552,0,32 328,0,53 880,0
A542511,EAKR,"Palveluiden suunnittelu ja täytäntöönpano, joka perustuu NFC-teknologiaan, matkapuhelimien kierrätys",Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,1.3.2009,28.2.2011,RED SOLUTION FINLAND OY,37 548,2 932,56 322,4 399,98 284,8 035
A543061,EAKR,Tuotantohalli-investointi,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland, företagsstöd",Verksamhet pågår,19.3.2009,30.6.2010,OSAKEYHTIÖ KULJETIN,15 440,0,23 160,0,38 600,0
A543208,EAKR,Kylmä- ja pakastinhuoneen rakentaminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,27.3.2009,31.7.2010,VILLÄHTEEN LEIPÄ OY,24 320,0,36 480,0,60 800,0
A543359,EAKR,Vientikaupan laajennus ja annostusjärjestelmien kehitys,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,31.3.2009,31.12.2010,DOSETEC EXACT OY,29 280,0,43 920,0,73 200,0
A543378,EAKR,IDET 2009 Messut,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,1.4.2009,31.5.2009,KENNO TECH OY,2 535,1 170,3 965,1 830,6 500,3 000
A543392,EAKR,Envi Grow Park - biojalostamo ja ekoteollisuuspuisto kestävän liiketoiminnan innovaattoriksi - 2. vaihe,Södra Finland,2,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,1.4.2009,30.7.2010,AGROPOLIS OY,90 519,19 070,63 871,13 456,154 390,32 526
A543456,EAKR,Ruotsin markkinoiden selvitys,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,3.4.2009,31.3.2010,KYMDATA OY,16 720,0,25 080,0,41 800,0
A543466,EAKR,Lasitusliikkeen CNC-koneen hankinta,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,3.4.2009,31.12.2009,MAAKUNNAN LASI E.H.GRANQVIST KY,6 400,0,9 600,0,16 000,0
A542774,EAKR,Asiakkuudenhallintaliiketoiminnan kehittäminen.,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,10.3.2009,31.8.2010,T-BASE OY,6 000,1 596,9 000,2 394,15 000,3 990
A542794,EAKR,Uusien vientimarkkinoiden selvittäminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,6.3.2009,31.8.2010,SALPOMEC OY,30 400,0,45 600,0,76 000,0
A542795,EAKR,Tuotannon tehostaminen ja kehittäminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,6.3.2009,31.12.2009,ALDOOR OY,7 320,0,10 980,0,18 300,0
A542797,EAKR,Huoltorakennuksen rakentaminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,6.3.2009,31.8.2010,J SYRJÄNEN OY,81 900,0,128 100,0,210 000,0
A542862,EAKR,Teleskooppivarren suunnittelu ja toteutus ja Turkin markkinaselvitys,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,13.3.2009,31.12.2010,PEILITUOTE OY,18 038,0,28 212,0,46 250,0
A542898,EAKR,Keittiön välitilamoduuli,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,16.3.2009,31.3.2011,OFF PISTE FINLAND OY,20 000,0,30 000,0,50 000,0
A542970,EAKR,Kansainväliset Niche-liiketoimintainnovaatiot Kaakkois-Suomen metsäteollisuudessa,Södra Finland,2,Tekes,Verksamhet pågår,1.1.2009,31.12.2010,LAPPEENRANNAN TEKNILLINEN YLIOPISTOPOHJOISEN ULOTTUVUUDEN TUTKIMUSKESKUS,260 400,21 127,390 600,31 691,651 000,52 818
A542975,EAKR,Tuotantoprosessin kehittäminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,18.3.2009,30.8.2010,KASLINK FOODS OY,40 000,40 000,60 000,60 000,100 000,100 000
A542535,EAKR,Toiminnan kehittäminen ja palvelukyvyn parantaminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,24.2.2009,31.12.2010,KUMART OY,10 040,0,15 060,0,25 100,0
A542538,EAKR,"Vapaa-ajan veneilypalveluiden kehittämishanke, Marina II",Södra Finland,2,,Verksamhet pågår,1.3.2009,28.2.2010,KEMIÖNSAAREN KUNTA,18 720,0,28 080,0,72 000,0
A542597,EAKR,CAM/Emulsio,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,26.2.2009,30.6.2010,PRO CNC OY,1 200,0,1 800,0,3 000,0
A542618,EAKR,"Saariston tulevaisuus -hanke on Olli-Invest Oy:n toimintaa, jolla rakennetaan, huolletaan ja ylläpidetään asiakkaille jätevesijärjestelmiä saaristossa.  Lisäksi tarjotaan kuljetuskalustoa ihmisten ja tavaroiden kuljetuksiin. Vapaa-ajan asunnoissa tulee olla vuoteen 2014 mennessä jätevesijärjestelmä.",Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,2.3.2009,31.12.2010,OLLI-INVEST OY,28 000,14 684,42 000,22 027,70 000,36 711
A542636,EAKR,Heijastinautomaation tehokkuuden nostaminen ja parantaminen sekä jalankulkijaheijastinliiketoiminnan kansainvälistäminen Etelä-Amerikkaan,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland, företagsstöd",Verksamhet pågår,27.2.2009,31.12.2010,COREPLAST LAITILA OY,36 800,0,55 200,0,92 000,0
A542671,EAKR,Tehdasjärjestelmän luominen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,2.3.2009,30.6.2010,KROMIPINTA OY,3 160,0,4 740,0,7 900,0
A542684,EAKR,Valmistusmenetelmien kehittäminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,28.8.2008,30.4.2009,VEPRO OY,3 151,3 151,4 929,4 929,8 080,8 080
A542713,EAKR,Valaistusautomatiikkatuotteiden kehittämishanke.,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,6.3.2009,30.6.2010,SOFELTECH OY,16 463,6 109,24 694,9 164,41 157,15 273
A542716,EAKR,Kv-markkinakartoitus USA ja Kanada,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland, företagsstöd",Verksamhet pågår,5.3.2009,30.4.2010,TIMBERWISE OY,23 212,0,34 817,0,58 029,0
A540972,EAKR,Parvekelasituksen laadun parantaminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,31.10.2008,31.12.2010,LASIMIES OY,49 800,0,74 700,0,124 500,0
A541042,EAKR,"Jatkojalostus, höyläämön modernisointi ja maalauslinjan rakentaminen.",Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,7.11.2008,30.9.2010,KOUVOLAN SAHA OY,11 370,0,17 055,0,28 425,0
A541043,EAKR,Toiminnan kehittäminen ja kilpailukyvyn varmistaminen.,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,7.11.2008,30.3.2010,PUUSEPÄNLIIKE PUUKAS KY,1 720,0,2 580,0,4 300,0
A541050,EAKR,Muovin puujäljitelmäpinnoituslinja,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,7.11.2008,30.5.2010,VIAMONT OY,17 600,0,26 400,0,44 000,0
A541120,EAKR,Uivat huvilat-konseptin kehittäminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,1.12.2008,1.12.2010,CATMARINA OY,20 572,0,30 858,0,51 430,0
A541128,EAKR,Eko Teräs Oy- kierrätysliiketoiminta,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,13.11.2008,31.12.2010,EKO TERÄS OY,54 000,0,81 000,0,135 000,0
A540753,EAKR,Kansainvälistymisvalmiuksien parantaminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,14.10.2008,30.6.2009,SUOMEN TURVALASI OY,8 931,6 997,13 969,10 944,22 900,17 941
A540756,EAKR,Tuotekehityshanke,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,14.10.2008,13.10.2010,SKANVEIR OY,9 600,0,14 400,0,24 000,0
A540769,EAKR,Laiteinvestointi,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,15.10.2008,31.12.2009,SELKA-LINE OY,2 292,0,3 438,0,5 730,0
A540803,EAKR,Tuotekehityshanke,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,16.10.2008,30.12.2009,KS-GATE OY,4 080,0,6 120,0,10 200,0
A540823,EAKR,Kansainvälisen markkinoinnin kehittämisohjelma.,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,17.10.2008,31.12.2010,GYMSTICK INTERNATIONAL OY,42 640,0,63 960,0,106 600,0
