,Rahasto,Projektin nimi,Ohjelma / osio,Tl,Viranomainen,Toiminnan tila,Aloituspvm,Päättymispvm,Toteuttajan nimi,Myönnetty EU-rahoitus,Toteutunut EU-rahoitus,Myönnetty valtion rahoitus,Toteutunut valtion rahoitus,Suunniteltu julkinen rahoitus yhteensä,Toteutunut julkinen rahoitus yhteensä
A536815,EAKR,Tuotannon kapasiteetin lisääminen ja laadunparantaminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,22.10.2007,31.12.2011,KANKARIN KALUSTE OY,24 000,0,36 000,0,60 000,0
A536861,EAKR,Kansainvälistymisen kehittämisohjelma,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,1.11.2007,31.12.2009,FINNTEMP OY,20 385,16 500,47 565,38 499,67 950,54 999
A536864,EAKR,Koneita ja laitteita sekä toimitilojen kunnostaminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamhet pågår,30.10.2007,31.3.2010,SS-TYÖSTÖSEPPO SAGULIN,7 970,0,7 970,0,15 940,0
A536880,EAKR,Pyörähdyskappaleiden valmistuksen sekä varastoinnin kehittäminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamheten har upphört,1.11.2007,31.12.2008,REFIMEX MACHINERY OY,29 280,29 280,43 920,43 920,73 200,73 200
A536891,EAKR,Liiketoiminnan strateginen kehittäminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,31.10.2007,30.6.2010,T.M. PALOJOKI OY,51 224,33 440,76 836,50 160,128 060,83 600
A537014,EAKR,Vientimarkkinatukimus Euroopassa,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamheten har upphört,14.11.2007,31.8.2009,NOVATRON OY,17 300,13 654,25 950,20 480,43 250,34 134
A537017,EAKR,Tuotantotehokkuuden parantaminen Oinaanojan leipomossa,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,16.11.2007,31.12.2009,LEIPOMO-KONDITORIA OINAANOJA OY,2 164,0,3 246,0,5 410,0
A537033,EAKR,Ovituotantotilojen laajennus ja kansainvälistyminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Österbotten, företagsstöd",Verksamheten har upphört,19.11.2007,31.3.2009,MUOVILAMI OY,27 716,24 790,42 274,37 812,69 990,62 602
A537040,EAKR,Teräslankatuotannon kehittäminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,16.11.2007,30.6.2008,ALSEMET OY,18 000,14 504,18 000,14 503,36 000,29 007
A537056,EAKR,Avainhenkilön palkkaaminen  vastaamaan tuotannosta ja sen kehittämisestä.,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamheten har upphört,21.11.2007,31.12.2015,JL-JOUSTOLIITIN OY,0,0,0,0,0,0
A537081,EAKR,Poravaunun hankinta,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,24.11.2007,31.12.2008,PEIPOHJAN KIVIVEISTÄMÖ OY,9 750,9 525,9 750,9 525,19 500,19 050
A537098,EAKR,Lankasahauspalvelun lisääminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamheten har upphört,27.11.2007,1.9.2008,PORIN METALLISORVAAMO NURMILO OY,13 136,13 136,19 704,19 704,32 840,32 840
A537124,EAKR,Viennin käynnistäminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,1.1.2008,31.12.2009,LAPPI-HIRSI OY,16 420,5 504,24 630,8 255,41 050,13 759
A537125,EAKR,Tuotannon kehittäminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,29.11.2007,31.12.2010,MUOTTITUOTE GROUP OY,18 816,17 709,28 224,26 564,47 040,44 273
A537126,EAKR,Avainhenkilön palkkaaminen tuotannon läpimenon parantamiseksi.,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamheten har upphört,29.11.2007,31.12.2008,OINOSEN TERÄSTUOTE OY,6 960,6 960,10 440,10 440,17 400,17 400
A536918,EAKR,Vientihanke,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamhet pågår,1.5.2008,31.12.2009,HOXVILLE OY,18 000,0,18 000,0,36 000,0
A536919,EAKR,Koulutuspalvelujen kehittäminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,1.12.2007,30.11.2008,CREAMENTORS OY,8 622,8 542,15 328,15 187,23 950,23 729
