"Koodi","Rahasto","Projektin nimi","Ohjelma / osio","Tl","Viranomainen","Toiminnan tila","Aloituspvm","Päättymispvm","Toteuttajan nimi","Myönnetty,EU-rahoitus","Toteutunut,EU-rahoitus","Myönnetty,valtion,rahoitus","Toteutunut,valtion,rahoitus","Suunniteltu,julkinen,rahoitus,yhteensä","Toteutunut,julkinen,rahoitus,yhteensä"
"S10156","ESF","Lapsen ja nuoren hyvä arki","Etelä-Suomen suuralueosio",3,"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/08,31/08/11,"Laurea-ammattikorkeakoulu",62551,27956,70371,31451,266600,74645
"S10157","ESF","VETÄVÄ 2","Itä-Suomen suuralueosio",2,"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/08,31/08/10,"Myllyprojektiyhdistys ry",145756,86023,49145,32958,214900,132731
"S10158","ESF","F Y Y R A - välityömarkkinat haltuun Varsinais-Suomessa","Valtakunnallinen osio",2,"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",15/06/08,31/12/13,"Varsinais-Suomen Elinkeino-, liikenne- ja ympäristökeskus",1947818,486045,2338087,726434,7312400,1246520
"S10159","ESF","SPURTTI - Työperusteisen maahanmuuton edistäminen","Valtakunnallinen osio",4,"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/08,31/12/13,"Varsinais-Suomen ELY-keskus",158163,55125,237243,82687,1240945,137812
"S10160","ESF","TYÖHYVINVOINTIA JA KUNTOUTUMISTA TYÖSSÄ MIKRO- JA PIENRYITYKSISSÄ","Itä-Suomen suuralueosio",1,"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",28/07/08,31/12/10,"Hengitysliitto Heli ry/Verve, Liperi (Kaprakka toimii 1.1.2009 alkaen nimellä Verve)",92536,102355,53284,7234,260000,114589
"S10161","ESF","Paimion ja Sauvon työnetsintäprojekti Kiikari","Etelä-Suomen suuralueosio",2,"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/09/08,31/08/11,"Paimion kaupunki",38701,36796,33864,13539,213469,67114
"S10162","ESF","Startti yrittäjäksi","Itä-Suomen suuralueosio",1,"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/08,31/07/13,"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus/ Elinkeinot, työvoima, osaaminen ja kulttuuri",1102389,214262,146661,96262,2049900,310524
"S10163","ESF","MOT - Moniosaajat kiinteistöpalvelualalla","Valtakunnallinen osio",3,"Opetushallitus","Toiminnassa",01/04/08,31/12/10,"Keski-Uudenmaan koulutuskuntayhtymä",178782,119033,205918,2298,444955,139889
"S10164","ESF","Amikset asuntoloiden kehittäjinä","Valtakunnallinen osio",2,"Opetushallitus","Toiminnassa",01/04/08,31/12/10,"Nuorten Akatemia",45440,50929,51760,29155,167700,98762
"S10165","ESF","Roti 2","Valtakunnallinen osio",2,"Opetushallitus","Toiminnassa",01/04/08,31/12/10,"Keski-Uudenmaan koulutuskuntayhtymä",163800,89305,86200,9758,291450,114746
"S10166","ESF","NITOJA - nivelvaihe, toiminta ja jatko työelämään","Valtakunnallinen osio",2,"Opetushallitus","Toiminnassa",01/04/08,31/12/10,"Espoon seudun koulutuskuntayhtymä Omnia",84357,65702,98219,40527,358622,134510
"S10167","ESF","SYKE-projektin esiselvityshanke","Itä-Suomen suuralueosio",1,"Kainuun elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",10/03/08,30/06/08,"Kainuun Etu Oy",19508,17962,9307,8569,33900,31213
"S10168","ESF","Vaihtovalmennusohjelma 2008-2011 Pohjanmaa","Länsi-Suomen suuralueosio",1,"Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/04/08,31/08/11,"Vaasan työvoimatoimisto",76190,65390,83810,10880,309797,76270
"S10169","ESF","AlueEnnakko  Aluellinen ennakointi työkaluksi Pohjois-Karjalassa","Itä-Suomen suuralueosio",3,"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/04/08,31/12/10,"Pohjois-Karjalan TE-keskus",404010,185046,198990,65356,603000,250402
"S10170","ESF","Rekrytointiohjelma 2008-2011 Pohjanmaa","Länsi-Suomen suuralueosio",2,"Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/04/08,31/08/11,"Vaasan työvoimatoimisto",86667,51612,95333,10797,318363,62409
"S10171","ESF","MAMU ohjauskeskusohjelma","Valtakunnallinen osio",2,"Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/04/08,31/08/11,"Vaasan työvoimatoimisto",119993,63385,135007,71316,546056,134701
"S10172","ESF","Bothnia Work","Valtakunnallinen osio",4,"Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/04/08,31/08/11,"Vaasan TE-toimisto",280435,48802,315565,54908,2788500,103710
"S10173","ESF","Ennakointiohjelma, Pohjanmaa","Länsi-Suomen suuralueosio",3,"Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/06/08,31/05/11,"Pohjanmaan TE-keskus",108527,53613,119379,8762,239906,62375
"S10174","ESF","Ennakointiohjelma, Keski-Pohjanmaa","Pohjois-Suomen suuralueosio",3,"Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/06/08,31/05/11,"Pohjanmaan TE-keskus",116126,66254,97917,56316,335156,122570
"S10175","ESF","Yrittäjäpolven vaihdos (YPV )","Pohjois-Suomen suuralueosio",1,"Lapin elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/04/08,31/12/10,"Kemi-Tornionlaakson koulutuskuntayhtymä Lappia/Kemi-Tornion ammattikorkeakoulu",64657,45637,35933,4361,421830,71640
"S10176","ESF","YRITTÄJYYSKOULU","Pohjois-Suomen suuralueosio",1,"Lapin elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/02/08,31/12/10,"Rovaniemen koulutuskuntayhtymä / Lapin ammattiopisto",147650,59552,87650,35352,295300,109763
"S10177","ESF","Pönkkäprojekti - tietoa, tukea ja toimintaa nuorisotiedotuspiste aaltosesta","Pohjois-Suomen suuralueosio",2,"Lapin elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/06/08,31/07/11,"Tornion kaupunki/ nuorisopalvelut",97260,62546,58356,23330,364870,107345
"S10178","ESF","Ysien kesätyötori","Länsi-Suomen suuralueosio",3,"Keski-Suomen liitto","Toiminnassa",01/05/08,30/06/10,"Jyväskylän koulutuskuntayhtymä",90400,87068,67800,42232,226000,184772
"S10179","ESF","Kaira-projekti - Vaikuttavuutta Kainuun rakennetyöttömyyden purkamiseen","Itä-Suomen suuralueosio",2,"Kainuun elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/03/08,31/12/10,"Kainuun maakunta -kuntayhtymä",240598,146943,123272,72286,614051,250547
"S10180","ESF","Upeeta2 - Uutta palveluliiketoimintaa  ennalta ehkäisyn ja työhyvinvoinnin avuksi","Etelä-Suomen suuralueosio",1,"Hämeen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",14/04/08,31/12/09,"Lahden tiede- ja yrityspuisto Oy",54400,60774,69600,46012,131260,114046
"S10181","ESF","Oppimistori-toiminta - avaimia Pohjois-Savon väestön hyvinvoinnin edistämiseen","Itä-Suomen suuralueosio",3,"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/03/08,31/05/10,"Savonia-ammattikorkeakoulun kuntayhtymä",334500,288445,265500,134874,669000,473566
"S10182","ESF","Koulutus ja Konsultointi Pohjanmaa","Länsi-Suomen suuralueosio",1,"Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/07/08,30/12/11,"Pohjanmman ELY-keskus, Oman tuotannon hankkeiden toteutusyksikkö",676960,138855,542040,156147,1509000,295002
"S10183","ESF","PROMIS-keskuksen toimintamallin ja -rakenteen sekä prototyyppipalveluiden kehittämishanke","Itä-Suomen suuralueosio",3,"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/01/08,31/12/10,"Savonia-ammattikorkeakoulun kuntayhtymä",246539,133332,127005,34395,644000,177232
"S10184","ESF","Osaamisesta kasvuun","Valtakunnallinen osio",1,"Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/07/08,30/12/11,"Pohjanmman ELY-keskus, Oman tuotannon hankkeiden toteutusyksikkö",466882,113916,523118,128459,2090000,242375
"S10185","ESF","Älykkäät oppimisympäristöt - kehittämisvaihe","Pohjois-Suomen suuralueosio",3,"Lapin elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/01/08,31/05/09,"Lapin yliopisto, Aluekehitys- ja innovaatiopalvelut",45000,43710,22500,20890,90000,87100
"S10186","ESF","Yhdessä hallittuun liiketoimintaan (YOS)","Etelä-Suomen suuralueosio",1,"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/09/08,31/12/13,"Varsinais-Suomen Elinkeino-, liikenne- ja ympäristökeskus",313053,110773,469580,166161,2077000,276934
"S10187","ESF","Yrittäjien sijaispalvelu","Valtakunnallinen osio",2,"Hämeen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/08,31/03/11,"Päijät-Hämeen koulutuskonserni-kuntayhtymä / Lahden ammattikorkeakoulu/ Innovaatiokeskus",156667,57115,207001,75795,391668,135453
"S10188","ESF","Treenataan","Pohjois-Suomen suuralueosio",4,"Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/09/08,30/06/11,"Keski-Pohjanmaan koulutusyhtymä / Keski-Pohjanmaan aikuisopisto",45528,14333,38472,3170,92000,19256
"S10189","ESF","Osaamisesta kasvua - Varsinais-Suomi","Valtakunnallinen osio",1,"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/09/08,31/12/13,"Varsinais-Suomen ELY-keskus",1520200,202473,1012800,303710,5068000,506183
"S10190","ESF","Hämeenlinnan seudun maahanmuuttajaneuvonta ja -opastusjärjestelmän kehittäminen","Valtakunnallinen osio",2,"Hämeen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/09/08,30/04/12,"Hämeenlinnan kaupunki",190660,24181,165060,20934,544260,50324
"S10191","ESF","Teknologiateollisuuden toimialan yrityskohtainen henkilökunnan räätälöity kouluttautuminen ja koulutusmenetelmät (TEKNOPLUS)","Etelä-Suomen suuralueosio",1,"Hämeen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/08,28/02/10,"Hämeen ammatillisen korkeakoulutuksen kuntayhtymä",116000,44238,134000,51103,277000,111339
"S10192","ESF","Työyhteisöjen monimuotoisuus","Itä-Suomen suuralueosio",2,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/06/08,31/12/10,"Diakonia-ammattikorkeakoulu",152802,91604,78717,32044,246731,123648
"S10193","ESF","Oppimalla uudistuvat PK-yritykset","Itä-Suomen suuralueosio",1,"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",02/05/08,30/11/08,"Ylä-Savon Kehitys Oy",38220,38183,16380,16364,62400,62347
"S10194","ESF","PuuEdu","Pohjois-Suomen suuralueosio",1,"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/08,31/12/10,"Koillis-Suomen Aikuiskoulutus Oy",52999,7945,39980,5993,139947,14909
"S10195","ESF","Infrarakentamisen ja kaivannaisalan työnjohdon koulutus","Itä-Suomen suuralueosio",1,"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",02/01/08,31/05/12,"Savonia-ammattikorkeakoulun kuntayhtymä",341250,65223,187750,21027,679000,88081
"S10196","ESF","Ammattiosaajasta yrittäjäksi","Itä-Suomen suuralueosio",1,"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/05/08,31/12/10,"Savon kolutuskuntayhtymä",401636,143181,253364,81060,795357,269798
"S10197","ESF","Produforum Nyland","Etelä-Suomen suuralueosio",3,"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",16/01/08,31/12/12,"Föreningen Luckan i huvudstadsregionen r.f.",185474,118827,225211,147831,1627250,296420
"S10198","ESF","Arbetslivsperioder för lärare och utbildare","Valtakunnallinen osio",3,"Opetushallitus","Toiminnassa",01/04/08,31/12/10,"Axxell Utbildning Ab",32419,20861,38057,1280,171423,22141
