"Prio","OD","Nr","Projectnaam","Promotor","EFRO","Totale kost","EFRO-%","Startdatum","Einddatum"
"P2",1,279,"Ondernemen is goed voor u","VKW Limburg",232843,582102,40.00%,09/02/12,09/01/14
"P2",1,282,"Knap in ondernemerschap","UNIZO - VORMING",409415.6,1023539,40.00%,01/02/13,01/01/15
"P2",1,284,"HUMIN","vzw Humanovation",456743,1141857,40.00%,05/05/13,05/04/15
"P2",1,287,"De Hogeschool Gent Bedenkers","Hogeschool Gent",123835.97,309589.92,40.00%,11/02/12,11/01/14
"P2",1,293,"De Gentse ondernemer","Stad Gent",64000,160000,40.00%,"3/17/13","3/16/15"
"P2",2,219,"Uitbouw dienst lokale economie en uniek gemeentelijk loket voor ondernemers","Vereniging van Vlaamse Steden en Gemeenten",124484.9,311212.29,40.00%,"2/16/13","2/15/15"
"P2",2,222,"Harmonisering en kwaliteitsverhoging van lokale reglementen binnen het beleidsdomein economie","Vereniging van Vlaamse Steden en Gemeenten",95574.88,238937.28,40.00%,01/02/12,01/01/14
"P2",2,233,"KMO Quality Tools","Unie van Zelfstandige Ondernemers",132496,331239,40.00%,10/02/12,10/01/14
"P2",2,240,"Strategisch Ondernemen 2009 - 2011","Agentschap Ondernemen",1505859,5311718,28.35%,"6/18/13","6/17/15"
"P2",2,244,"BEBEO","Economische Raad voor Oost-Vlaanderen",67443.61,168609.03,40.00%,03/02/13,03/01/15
"P2",2,245,"Sociaal Ondernemerschap","KANAAL 127",155457,388642,40.00%,10/02/12,10/01/14
"P2",2,248,"flexplekken","BEDRIJVENCENTRUM DE PUNT",82423.84,206059.6,40.00%,03/02/13,03/01/15
"P2",2,254,"VESTA2","VOKA - Kamer van Koophandel Oost-Vlaanderen",58368,145920,40.00%,03/02/13,03/01/15
"P2",2,255,"Digitaal Infopunt voor (startende) ondernemers","Stad Brugge",80000,200000,40.00%,10/02/12,10/02/14
"P2",2,256,"Centrum voor Ondernemen: kandidaat-starters en -groeiers","Hogeschool Gent",86408.4,216021,40.00%,12/02/12,12/01/14
"P2",2,260,"Administratieve vereenvouding op provinciaal niveau","Provincie Limburg",299973.68,749934.2,40.00%,03/02/13,03/01/13
"P2",2,262,"Duurzame doorstart en groei voor starters en jonge KMO's in het arrondissement Mechelen","VOKA - Kamer van Koophandel Mechelen",45472,113680,40.00%,"3/17/13","3/16/15"
"P2",2,272,"digitale dienstverlening voor ondernemers in de gemeente","UNIZO - VORMING",177791.2,444478,40.00%,03/02/13,03/01/15
"P2",2,275,"Creatieve starters","KORTRIJKS ONDERNEMERSCENTRUM",319520,798800,40.00%,"3/16/13","3/15/15"
"P2",2,277,"Actie voor Starters - immateriële component","Provincie West-Vlaanderen",615800,1539500,40.00%,"3/16/13","3/15/15"
"P2",2,280,"eLINK","Stad Mechelen",221442,553605,40.00%,03/02/13,03/01/15
"P2",2,281,"Eén loket voor ondernemers in Gent","Stad Gent",178000,445000,40.00%,"3/17/13","3/16/15"
"P2",2,283,"Regionaal Economisch Loket op maat van de regio Oostende","ECONOMISCH HUIS OOSTENDE",123975,309938,40.00%,03/02/13,03/01/15
"P2",2,290,"Pecunia","VOKA - Kamer van Koophandel Oost-Vlaanderen",48010,120025,40.00%,01/02/13,07/01/14
"P2",2,296,"Proactieve Creatie en Management van spin-offs","Katholieke Universiteit Leuven",208000,520000,40.00%,01/02/13,01/01/15
"P2",2,297,"Strategisch Innoveren in Vlaanderen","Universiteit Hasselt - Instituut KIZOK",1000000,2500000,40.00%,03/02/13,03/02/15
"P2",2,298,"Platform voor zelfstandig ondernemende vrouwen","Markant - Netwerk van ondernemende vrouwen",212888.93,532222.33,40.00%,07/02/12,07/01/14
"P2",2,301,"Overname Coach","Unie van Zelfstandige Ondernemers",229259.6,573149,40.00%,07/02/12,07/01/14
"P2",2,303,"Lerend Netwerk Ambtenaren Lokale Economie Vlaams-Brabant","VOKA - Kamer van Koophandel Arrondissement Leuven",59448,148620,40.00%,01/02/13,01/01/15
"P2",2,304,"TALENTMANAGEMENT: EEN SLEUTEL TOT DUURZAME GROEI","VOKA - Kamer van Koophandel Halle-Vilvoorde",179223,448056,40.00%,03/02/13,03/01/15
"P2",2,306,"COOP CONSULT","Procura",143019.6,357549,40.00%,01/02/13,01/01/15
