Beneficiaries,Portefeuilles,Project name,Decision date,Total eligible costs,Amount awarded by the FEDER,Amount awarded by Wallonnia region,Total cost,Final FEDER
Ministere de la Communaute francaise DG Enseignement obligatoire,centre de technologie avancee-competitivite,CTA en etude et maint. De syst. Aut. Industriels,30/05/2008,"850.000,0","425.000,0","425.000,0",n/a,n/a
Ministere de la Communaute francaise DG Enseignement obligatoire,centre de technologie avancee-competitivite,CTA en expert.scient.  Au serv. Des met. De l'alim.,30/05/2008,"866.500,0","433.250,0","433.250,0",n/a,n/a
Ministere de la Communaute francaise DG Enseignement obligatoire,centre de technologie avancee-competitivite,CTA en formations agronomiques des secteurs verts,30/05/2008,"967.800,0","493.900,0","493.900,0",n/a,n/a
Ministere de la Communaute francaise DG Enseignement obligatoire,centre de technologie avancee-competitivite,CTA en gestion hoteliere informatisee,30/05/2008,"795.000,0","397.500,0","397.500,0",n/a,n/a
Ministere de la Communaute francaise DG Enseignement obligatoire,centre de technologie avancee-competitivite,CTA en industrie graphique et maquetisme virtuel,30/05/2008,"870.000,0","435.000,0","435.000,0",n/a,n/a
Ministere de la Communaute francaise DG Enseignement obligatoire,centre de technologie avancee-competitivite,CTA en industries graphiques,30/05/2008,"845.600,0","422.800,0","422.800,0",n/a,n/a
Ministere de la Communaute francaise DG Enseignement obligatoire,centre de technologie avancee-competitivite,CTA en metiers de l'automobile,30/05/2008,"840.000,0","420.000,0","420.000,0",n/a,n/a
Ministere de la Communaute francaise DG Enseignement obligatoire,centre de technologie avancee-competitivite,CTA en sciences appliquees,30/05/2008,"840.000,0","420.000,0","420.000,0",n/a,n/a
Ministere de la Communaute francaise DG Enseignement obligatoire,centre de technologie avancee-competitivite,CTA en sciences appliquees orient. Environnement,30/05/2008,"820.000,0","410.000,0","410.000,0",n/a,n/a
Ministere de la Communaute francaise DG Enseignement obligatoire,centre de technologie avancee-competitivite,CTA en soins aux personnes et soins infirmiers,30/05/2008,"850.000,0","425.000,0","425.000,0",n/a,n/a
Ministere de la Communaute francaise DG Enseignement obligatoire,centre de technologie avancee-competitivite,CTA en Technologies nouvelles dans le domaine du bois PVC ALU,30/05/2008,"850.000,0","425.000,0","425.000,0",n/a,n/a
Ministere de la Communaute francaise DG Enseignement obligatoire,centre de technologie avancee-competitivite,CTA en usinage commandes numeriques,30/05/2008,"575.000,0","287.500,0","287.500,0",n/a,n/a
"Province de Liege, Pouvoir organisateur pour l'enseignement de promotion-sociale",Construction et equipement d'un centre de formation et de la validation des competences pour les metiers lies a la voie d'eau,Construction et equipement d'un bateau-ecole pousseur et d'une barge citerne motorisee,23/04/2009,1.847.479,779.636,1.067.843,n/a,n/a
TECHNIFUTUR,TECHNIFUTUR,assemblage,30/05/2008,708.272,212.481,"495.790,4",n/a,n/a
TECHNIFUTUR,TECHNIFUTUR,Productique Mecatronique Maintenance Micro-techno,30/05/2008,"1.500.000,0","450.000,0","1.050.000,0",n/a,n/a
TECHNIFUTUR,TECHNIFUTUR,TIC,30/05/2008,"3.000.000,0","900.000,0","2.100.000,0",0,0
Techno.bel,IT Convergence Academy,IT Convergence Academy,30/05/2008,"1.500.000,0","450.000,0","1.050.000,0",0,0
ASBL MNEMA,"Mnema, Cite Miroir/Rehabilitation des Bains et Themes de la Sauveniere-Liege",ASSAINISSEMENT DU SITE,30/04/2009,1.608.627,643.45,965.176,n/a,n/a
Commune de Ans,Ans en action,REHABILITATION DU SITE DE LA CAISSERIE,24/07/2008,"836.000,0","334.400,0","501.600,0",n/a,n/a
Commune de Dison,VERDI,P 2.1 Interlac,4/9/08,4.500.182,1.812.073,2.718.109,n/a,n/a
Commune de Sambreville,Sambreville-Pole de developpement de la Basse-Sambre,Renovation du site industriel du Bon grain,24/07/2008,"1560.000,0","624.000,0","936.000,0",n/a,n/a
SPAQUE SA,Liege-Extension de l'aeroport,Rehabilitation du site Boma,4/9/08,"5.700.000,0","2.280.000,0","3.420.000,0",n/a,n/a
SPAQUE SA,Rehabilitation des sites pollues-Competitivite et emploi,Bertix-Site atelier SNCB,4/9/08,8.309.127,"3.323.650,8",4.985.476,n/a,n/a
SPAQUE SA,Rehabilitation des sites pollues-Competitivite et emploi,Liege-site du Levant,4/9/08,"2.914.000,0","1.165.600,0","1.748.400,0",n/a,n/a
SPAQUE SA,Rehabilitation des sites pollues-Competitivite et emploi,Liege-site LBP,4/9/08,"4.972.560,0",1.989.032,2.983.548,n/a,n/a
SPAQUE SA,Rehabilitation des sites pollues-Competitivite et emploi,Marchin- Site Papeterie Godin,4/9/08,"5.500.000,0","2.200.000,0","3.300.000,0",n/a,n/a
SPAQUE SA,Rehabilitation des sites pollues-Competitivite et emploi,Seraing-Site Bois Saint-Jean,4/9/08,"1.000.000,0","400.000,0","600.000,0",n/a,n/a
SPAQUE SA,Requalification des terrains entourant la gare de Bressoux a Liege,Rehabilitation,4/9/08,"4.674.000,0","1.869.600,0","2.804.400,0",n/a,n/a
