Project name , Organization,Amount awarded by the ESF,Amount awarded by public bodies,Total eligible costs,Total financing,Final ESF,Total cost
VAN VROUWVRIENDELIJK TOT GENDERNEUTRALE ONDERNEMING: Deelproject Doorstromen vrouwelijke potentials , Aveve ,"13.500,00 ","16.500,00 ","69.099,72 ","69.099,72 ",n/a,n/a
Vandemoortele Training en Development , Vandemoortele Izegem ,"80.588,70 ","98.497,35 ","358.172,10 ","358.172,10 ",n/a,n/a
Variant werkervaring , LEERWERKPLAATS MIDDEN WEST - VLAANDEREN vzw ,"57.600,00 ","131.069,96 ","191.659,96 ","191.659,96 ",n/a,"177.237,70 "
Veilig en Beter , FURON SEALS ,n/a,n/a,n/a,n/a,n/a,n/a
Veilige tewerkstelling , SECURITAS ,"171.994,35 ","417.844,98 ","972.049,00 ","972.049,00 ","19.666,02 ","136.389,48 "
VELO , VELO vzw ,"44.281,39 ","122.124,62 ","200.708,20 ","200.708,20 ","44.281,39 ","200.318,91 "
VELO vzw , VELO vzw ,"60.200,00 ","72.240,07 ","144.480,14 ","144.480,14 ",n/a,n/a
Verander-vaardigheid in de KMO , Unie van Zelfstandige Ondernemers ,"8.500,00 ","9.762,50 ","18.262,50 ","18.262,50 ","6.942,56 ","14.917,41 "
Verder investeren in menselijk kapitaal , CORUS ALUMINIUM ,"218.899,14 ","267.543,39 ","972.885,06 ","972.885,06 ","134.006,25 ","595.583,34 "
Verder Stappen door Europa , SNACK FOOD POCO LOCO ,"21.811,07 ","26.657,98 ","96.938,10 ","96.938,10 ",n/a,n/a
Verfijning methodiek testcentrum EB BKO VDKO , VLAAMSE DIENST KIND` OPVANG vzw ,"562,50 ","687,50 ","1.250,00 ","1.250,00 ",n/a,n/a
Vergokan leidt op , VERGOKAN ,"74.203,29 ","90.692,91 ","329.792,40 ","329.792,40 ",n/a,n/a
Verticale desegregatie in financi‘le functies , JANSSEN Pharmaceutica NV ,"13.500,00 ","16.500,00 ","64.586,25 ","64.586,25 ",n/a,n/a
Verweer en omgaan met elkaar , Seris SECURITY ,"225.000,00 ","373.564,53 ","2.114.937,96 ","2.114.937,96 ",n/a,n/a
Vier-Werf. Competentieversterking ifv de toeleiding en duurzame tewerkstelling van kansarme vrouwen ," Flora, netwerk voor vorming en werkcreatie met vrouwen ","10.197,96 ","10.197,96 ","20.602,05 ","20.602,05 ",n/a,n/a
Voka GET's it , VOKA-Kamer van Koophandel West-Vlaanderen ,"44.999,85 ","54.999,82 ","152.714,50 ","152.714,50 ",n/a,n/a
Voka Trans-IT , VOKA-Kamer van Koophandel West-Vlaanderen ,"45.000,00 ","55.000,00 ","147.504,75 ","147.504,75 ",n/a,"46.195,20 "
VOLA , Epon ,"12.376,00 ","12.624,00 ","25.000,00 ","25.000,00 ","11.908,90 ","24.058,40 "
VOLA , Epon ,"100.000,00 ","102.334,49 ","215.740,00 ","215.740,00 ","52.346,65 ","113.913,77 "
"Voor DAG en DOW: Duurzaam, Algemeen en Groeiend opleiden bij Dow ", DOW BELGIUM ,"135.000,00 ","165.000,00 ","672.957,00 ","672.957,00 ",n/a,n/a
Voortraject Arbeid en NAH Antwerpen , De Ploeg ,"98.759,98 ","120.706,69 ","219.466,67 ","219.466,67 ",n/a,n/a
Voortraject Arbeid en NAH Mechelen en Kempen , De Ploeg ,"57.169,60 ","69.583,33 ","127.043,54 ","127.043,54 ","18.387,25 ","40.653,89 "
Voortraject ASS en Werk regio Antwerpen , De Ploeg ,"98.988,00 ","120.985,34 ","219.973,34 ","219.973,34 ",n/a,n/a
Voortraject ASS en Werk regio Mechelen en Kempen , De Ploeg ,"57.169,60 ","69.583,33 ","127.043,54 ","127.043,54 ","13.033,14 ","28.816,06 "
Vorken werken , Randstad Training ,"98.865,61 ","120.835,75 ","219.701,36 ","219.701,36 ","1.120,98 ","2.491,08 "
vrouwelijke technologie-consultants , CREAX ,"13.500,00 ","16.500,00 ","43.015,00 ","43.015,00 ",n/a,n/a
VTO-planning 3 , DE BRANDING ,"45.127,62 ","55.155,99 ","162.586,79 ","162.586,79 ","8.071,19 ","35.641,96 "
Vuurwerkt: Loopbaandienstverlening voor kansengroepen , STEBO ,"234.000,00 ","427.358,43 ","661.358,43 ","661.358,43 ","120.455,10 ","364.037,93 "
vzw De Kringwinkel Teleshop , KRINGLOOPCENTRUM TELESHOP ,"42.635,93","80.572,00 ","161.144,00 ","161.144,00 ",n/a,n/a
vzw De Kringwinkel Teleshop , KRINGLOOPCENTRUM TELESHOP ,"42.635,93 ","80.572,00 ","161.144,00 ","161.144,00 ",n/a,n/a
VZW De Wroeter Opleidingscentrum , OPLEIDINGSCENTRUM DE WROETER vzw ,"63.000,00 ","200.109,00 ","267.660,00 ","267.660,00 ","63.000,00 ","260.979,95 "
vzw Loods13 , Loods 13 ,"47.500,00 ","83.300,00 ","130.800,00 ","130.800,00 ","25.412,59 ","82.158,48 "
VZW Televil , televil hoofdzetel ,"82.155,27 ","257.702,94 ","362.317,68 ","362.317,68 ",n/a,n/a
vzw Wonen en Werken Menen , WONEN EN WERKEN MENEN ,"54.000,00 ","190.169,20 ","266.222,40 ","266.222,40 ","53.876,52 ","254.269,48 "
WATNU? , JOBCENTRUM WEST-VLAANDEREN ,"232.200,00 ","283.800,00 ","551.695,89 ","551.695,89 ","131.041,02 ","291.202,26 "
WATNU? , JOBCENTRUM WEST-VLAANDEREN ,"232.200,00 ","283.800,00 ","516.000,00 ","516.000,00 ",n/a,n/a
WAVES: Weerbaarheid voor kortgeschoolden door Lean Skills , Sappi Lanaken ,"207.754,00 ","253.921,55 ","923.351,10 ","923.351,10 ","92.863,58 ","412.727,02 "
WAW! In Zorg , OLVrouwziekenhuis Campus Aalst ,"33.750,00 ","41.250,00 ","470.536,30 ","470.536,30 ",n/a,n/a
we doen het zelf! , TANDTECHNISCH LABO CAMERLYNCK ,"35.823,46 ","43.784,23 ","118.655,69 ","118.655,69 ",n/a,n/a
WEB - werkervaring , Werkervaringsbedrijven ,"420.660,00 ","1.304.400,00 ","1.851.960,00 ","1.851.960,00 ",n/a,n/a
Wegwijs , Mentor - Centrum voor opleiding en individuele begeleiding vzw ,"44.072,88 ","82.622,00 ","182.385,60 ","182.385,60 ",n/a,n/a
WeL Werken en Leren , PLUS UITZENDKRACHTEN ,"169.200,00 ","373.230,00 ","542.430,00 ","542.430,00 ","153.411,94 ","531.623,64 "
WELCOM , INSTITUUT VOOR VORMING EN ONDERZOEK IN DE CONFECTIE vzw ,"54.244,29 ","66.298,58 ","150.678,59 ","150.678,59 ",n/a,n/a
Werk maken van competentie ontwikkeling op de werkplek , HUB-EHSAL vzw ,"10.747,31 ","14.246,44 ","24.993,75 ","24.993,75 ","8.625,16 ","20.311,87 "
Werk maken van competentie ontwikkeling op de werkplek (actie 2) , HUB-EHSAL vzw ,"169.636,63 ","224.867,16 ","394.503,79 ","394.503,79 ","24.396,85 ","57.209,11 "
Werk maken van competentie ontwikkeling op de werkplek (actie 3) , HUB-EHSAL vzw ,"49.977,04 ","52.977,04 ","105.800,00 ","105.800,00 ",n/a,n/a
"Werk veilig, we hebben je nodig ", FrieslandCampina Consumer Products ,"43.869,60 ","53.618,40 ","284.832,00 ","284.832,00 ",n/a,n/a
werkbaarheidsmonitor 2010 , SOCIAAL ECONOMISCHE RAAD VAN VLAANDEREN (SERV) ,"249.342,00 ","317.330,00 ","566.672,00 ","566.672,00 ",n/a,n/a
Werken aan werkbaar werk , de kring-winkel Roeselare ,"44.864,66 ","54.834,59 ","142.427,50 ","142.427,50 ",n/a,"32.996,65 "
Werkervaring , Vlaams Subsidieagentschap voor Werk en Sociale Economie ,"6.280.000,00 ","16.872.981,09 ","23.908.805,00 ","23.908.805,00 ",n/a,n/a
Werkervaring , DE SLUIS ARBEIDSCENTRUM MIDDEN LIMBURG VZW ,"78.000,00 ","340.600,00 ","418.600,00 ","418.600,00 ",n/a,n/a
Werkervaring , Vlaams Subsidieagentschap voor Werk en Sociale Economie ,n/a,n/a,n/a,n/a,n/a,n/a
Werkervaring 2008 , WONEN EN WERKEN OPLEIDING ,"238.500,00 ","348.321,24 ","601.766,38 ","601.766,38 ","230.001,13 ","697.759,75 "
Werkervaring 2008 Job-Link (CEBOB De Link tot eind 2007) , Job- link VZW ,"36.900,00 ","103.800,00 ","154.960,00 ","154.960,00 ","36.900,00 ","154.200,77 "
Werkervaring 2009 artikel 60 , Begeleidingsdienst Limburgs Mijngebied ,"50.007,45 ","56.125,08 ","112.250,16 ","112.250,16 ",n/a,n/a
Werkervaring 2010 artikel 60 , Begeleidingsdienst Limburgs Mijngebied ,"50.007,45 ","56.125,08 ","112.250,16 ","112.250,16 ",n/a,n/a
Werkervaring Alternatief , Alternatief ,"103.200,00 ","684.107,51 ","817.446,06 ","817.446,06 ",n/a,n/a
Werkervaring Alternatief , Alternatief ,"302.871,86 ","1.027.800,88 ","1.330.672,74 ","1.330.672,74 ","204.556,27 ","1.284.968,60 "
Werkervaring art 60 2010 , WERKPERSPECTIEF ,"43.000,00 ","75.040,00 ","175.680,00 ","175.680,00 ",n/a,n/a
Werkervaring art 60 medewerkers , SOCIALE WERKPLAATS DE SLEUTEL ,"129.000,00 ","803.466,90 ","1.042.560,00 ","1.042.560,00 ",n/a,n/a
Werkervaring art. 60 , WERKPERSPECTIEF ,"43.000,00 ","75.040,00 ","175.680,00 ","175.680,00 ",n/a,n/a
Werkervaring automechanica , Leerwerkplaats garage vzw ,,"59.925,61 ","119.851,22 ","119.851,22 ",n/a,"131.836,35 "
Werkervaring Bouw , De Bouwerij ,"349.200,00 ","692.578,32 ","1.041.778,32 ","1.041.778,32 ","299.605,88 ","981.603,52 "
Werkervaring Gespecialiseerde Reiniging , ondersteunende diensten ,,"348.785,04 ","564.785,04 ","564.785,04 ",n/a,"612.120,15 "
werkervaring groen , BUURTONTWIKKELINGSMAATSCHAPPIJ vzw ,n/a,"230.008,83 ","338.008,83 ","338.008,83 ",n/a,"348.672,69 "
werkervaring Groen , BUURTONTWIKKELINGSMAATSCHAPPIJ vzw ,"102.600,00 ","232.292,14 ","334.892,14 ","334.892,14 ","102.491,80 ","375.445,45 "
Werkervaring Scheepsonderhoud/Matroos-Sportloodser-Verhuis en logistiek , BUURTONTWIKKELINGSMAATSCHAPPIJ vzw ,"257.400,00 ","429.185,40 ","686.585,40 ","686.585,40 ","193.561,37 ","593.395,64 "
Werkervaring Schoonmaak + Onthaal & Administratie , ondersteunende diensten ,"349.200,00 ","919.275,96 ","1.268.475,96 ","1.268.475,96 ","229.669,73 ","1.039.627,34 "
Werkervaringsproject art.60 De Poort vzw ," DE POORT, SOCIAAL VERHUURKANTOOR ","103.200,00 ","212.000,00","321.040,00 ","321.040,00 ",n/a,n/a
werkervaringsproject De Poort ," DE POORT, SOCIAAL VERHUURKANTOOR ","129.000,00 ","265.000,00 ","401.300,00 ","401.300,00 ",n/a,n/a
Werkervaringsproject Jobkracht 10 - O.C.M.W. Blankenberge , Sociale Tewerkstelling Jobkracht 10 ,"131.761,65 ","102.016,84 ","297.296,14 ","297.296,14 ","100.553,55 ","266.467,20 "
Werkervaringsproject metaalbewerking , STEUNPUNT TEWERKSTELLING VOOR MAATSCHAPPELIJK ACHERGESTELDE JONGEREN ,n/a,"72.612,00 ","133.224,00 ","133.224,00 ",n/a,"129.103,24 "
Werkervaringsproject OCMW Dendermonde , Centrale administratie ,"242.100,00 ","459.207,00 ","719.688,40 ","719.688,40 ","242.100,00","668.999,48 "
werkervaringsproject VZW De Poort ," DE POORT, SOCIAAL VERHUURKANTOOR ","326.700,00 ","478.400,00 ","856.800,00 ","856.800,00 ","286.830,00 ","814.364,76 "
Werkperspectief vzw , WERKPERSPECTIEF ,"22.178,57 ",n/a,"55.200,00 ","55.200,00 ","8.640,00 ","28.626,61 "
Werkperspectief vzw - werkervaring , WERKPERSPECTIEF ,"198.000,00 ","405.000,00 ","700.557,70 ","700.557,70 ","197.684,92 ","619.679,95 "
werkvaring , LOCA LABORA ,"140.383,51 ","510.500,89 ","650.884,40 ","650.884,40 ","91.558,17 ","545.672,61 "
Werkvormm , WERKVORMM ,"82.103,46 ","238.151,52 ","323.349,38 ","323.349,38 ",n/a,n/a
Workplace-partnership , MEMO ,"46.163,40 ","56.420,29 ","152.013,75 ","152.013,75 ",n/a,"49.408,01 "
World Class Training , H.J. HEINZ BELGIUM ,"44.843,21 ","54.808,37 ","199.303,16 ","199.303,16 ","26.548,08 ","117.991,45 "
World Class Training next level , H.J. HEINZ BELGIUM ,n/a,n/a,n/a,n/a,n/a,n/a
Zelfsturende teams , TYCO ELECTRONICS BELGIUM EC ,"45.000,00 ","55.000,00 ","214.550,90 ","214.550,90 ",n/a,"93.601,56 "
Zelfsturing en loopbaandenken , VDAB ,"11.515,00 ","11.760,00 ","23.500,00 ","23.500,00 ","4.376,96 ","8.842,34 "
Zelfsturing en loopbaandenken , VDAB ,"94.210,38 ","35.680,34 ","190.353,73 ","190.353,73 ",n/a,n/a
Zelfsturing in beeld , BARCO ,"44.358,31 ","54.215,73 ","197.148,07 ","197.148,07 ",n/a,n/a
Zenitor Loopbaanbegeleiding II , zenitor ,"230.400,00 ","281.600,00 ","512.000,00 ","512.000,00 ",n/a,n/a
Zilveren schatten 50 + , VOKA-KAMER VAN KOOPHANDEL OOST-VLAANDEREN ,"43.423,85 ","53.073,59 ","137.853,48 ","137.853,48 ",n/a,"137.842,46 "
Zorg dragen voor werk , Rust en verzorgingstehuis St Monica vzw ,"45.000,00 ","55.000,00 ","145.818,20 ","145.818,20 ",n/a,n/a
ZOWE ,De Ploeg ,"98.628,75 ","98.371,25 ","199.250,00 ","199.250,00 ",n/a,n/a
