"Operačný program","Názov prijímateľa","Názov projektu","Rok - Začiatok realizácie","Mesiac - Začiatok realizácie","Rok - Koniec realizácie","Mesiac - Koniec realizácie","Spolufinancovanie","EÚ zdroje - Zazmluvnené prostriedky","ŠR zdroje - Zazmluvnené prostriedky","Spolu - Zazmluvnené prostriedky","EÚ zdroje - Vyčerpané prostriedky","ŠR zdroje - Vyčerpané prostriedky","Spolu - Vyčerpané prostriedky"
"OP Konkurencieschopnosť a Hospodársky rast","43717209 - Miroslav Gupka","25110120075 - Stolárska produkcia pomocou inovovanej technológie",2009,"August",2011,"September",15278.99,12987.14,2291.85,15278.99,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","43915329 - Martin Hunčaga","25110120156 - Zvýšenie konkurencieschopnosti obstaranímDM",2009,"August",2009,"December",55485.76,47162.9,8322.86,55485.76,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","44107307 - Erik Juhás","25110120065 - Zvýšenie konkurencieschopnosti kamenárstva v zaos",2009,"August",2009,"September",4867.75,4137.58,730.16,4867.74,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","44297904 - Peter Kubička","25110120231 - Technologický rozvoj podnikateľskej činnosti",2009,"September",2009,"December",19916.35,16928.9,2987.45,19916.35,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","44445555 - Ing. Jana Pituková - JASMÍN","25110120101 - Inovácia obuvníckych výrobkov JASMÍN",2009,"September",2010,"Apríl",135729.94,115370.44,20359.49,135729.93,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","44510195 - Kristián Potoma PK PLASTIK","25110120218 - Výroba  vstrekovaných plastových obalov a výrobkov",2009,"September",2009,"December",163100,138635,24465,163100,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","17128111 - František Laurenčík LA 205","25130120024 - Penzión Lykovec v obci Muráň",2009,"Máj",2010,"September",170576.4,144989.94,25586.46,170576.4,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","31697267 - MARKOB, spol. s r.o. Prešov","25110120179 - Inovácia výroby v MARKOB, spol. s r.o. Prešov",2009,"Máj",2009,"September",124311.23,105664.54,18646.68,124311.22,105664.54,18646.68,124311.22
"OP Konkurencieschopnosť a Hospodársky rast","32761767 - Anna Šmehilová EFFETA - CHRÁNENÁ DIELŇA","25110120117 - ZVÝŠENIE KONKURENCIESCHOPNOSTI PODNIKU PROSTREDNÍC",2009,"Október",2011,"September",62537.35,53156.74,9380.6,62537.34,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","33488088 - Ing. Jaroslav Žaludek LIGNUM","25130120037 - Rekonštrukcia a modernizácia hotela ""Moravec Café""",2009,"Marec",2009,"December",276405.5,156629.78,27640.55,184270.33,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","34448004 - Juraj Králik - ZAJO","25110120223 - Budovanie pozície spoločnosti Juraj Králik - ZAJO",2009,"Október",2011,"August",181412.57,102800.46,18141.26,120941.72,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","40143783 - Miroslav Berky","25130120026 - WELLNESS - RELAX CENTRUM",2009,"September",2010,"Október",217078.88,169951.28,30028.2,199979.48,0,0,0
