"Project name","Projektägare","Region","Beviljat ESF-stöd","Total projektbudget","Projektperiod","Currency"
"Skiss Västerbotten","Konstfrämjandet i Västerbotten","Övre Norrland",294520,294520,"2008-09-15 till 2008-11-15","SEK"
"SME mot nya marknader","Wirva Ek.för","Övre Norrland",224029,224029,"2009-01-07 till 2009-04-30","SEK"
"Sociala entreprenörshuset","Kommunledningskontoret","Övre Norrland",339681,454681,"2009-07-01 till 2009-12-31","SEK"
"Sociala företag","Coompanion Västerbottens län ek för","Övre Norrland",225000,300000,"2008-05-16 till 2008-12-31","SEK"
"Somalisk Kvinnokraft","None Listed","Övre Norrland",95500,135500,"2008-02-01 till 2008-04-30","SEK"
"Spåret 2","Vännäs Kommun Barn och Utbildningsförvaltningen","Övre Norrland",387450,531450,"2008-11-01 till 2009-04-30","SEK"
"SPIRA- projektet","None Listed","Övre Norrland",2620243,8779660,"2008-06-01 till 2009-08-31","SEK"
"Spira-Utvecklingstrappan","Medlefors folkhögskola","Övre Norrland",6287578,18032578,"2009-08-03 till 2011-08-31","SEK"
"Steget vidare","Arbetsförmedlingen Umeå","Övre Norrland",301631,548420,"2010-02-01 till 2010-08-01","SEK"
"Stödverksamheter för kompetensförsörjning-STÖK","Regionförbundet Västerbottens län","Övre Norrland",1715940,1715940,"2008-08-01 till 2010-07-31","SEK"
"Synskadade företagare i samhället","Synskadades riksförbund","Övre Norrland",97700,97700,"2008-04-01 till 2008-07-31","SEK"
"TAGE Gällivare","Företagarnas Företagsbolag i Gällivare AB","Övre Norrland",2993333,7483333,"2008-09-01 till 2010-08-31","SEK"
"Team Norr Väst","None Listed","Övre Norrland",1845173,1845173,"2008-11-01 till 2010-10-31","SEK"
"Team Sportia Kompetensutvecklingssatsning Övre Norrland","Team Sportia AB","Övre Norrland",601446,601446,"2008-07-01 till 2010-06-30","SEK"
"Telefonister i täten","Västerbottens läns lansting, Teleenheten","Övre Norrland",570153,570153,"2008-05-01 till 2009-10-31","SEK"
"The European Rehab Racing Center","None Listed","Övre Norrland",1547074,3888874,"2008-11-01 till 2010-10-30","SEK"
"Tillväxt och kompetensutveckling i Malå","None Listed","Övre Norrland",1891170,1891170,"2009-03-02 till 2010-01-31","SEK"
"Trainee - steget in i yrkeslivet","Cando Competence AB","Övre Norrland",300000,400000,"2008-11-01 till 2009-03-01","SEK"
"Träkraft","Skogs-och träfacket avd 1 Norr","Övre Norrland",264000,264000,"2009-03-02 till 2009-05-03","SEK"
"Träregion Norr - jämlikhet och tillgänglighet","Furuhedsskolans gymnasieverksamhet","Övre Norrland",225992,305992,"2009-01-12 till 2009-04-15","SEK"
"TRIO","Näringsenheten","Övre Norrland",4319384,10910960,"2010-01-11 till 2011-12-23","SEK"
"Turism i Kalix","Företagsnamn STFTELSEN BEREDSK","Övre Norrland",53230,53230,"2009-04-20 till 2009-06-30","SEK"
"Unga Till Arbete i Norr, UTAN","Förvaltningen för arbetsmarknad och vuxenutbildning","Övre Norrland",410550,547400,"2010-05-01 till 2010-10-31","SEK"
"UNIK - Ungas Nav i Kiruna","Näringslivs- och utvecklingsen","Övre Norrland",255600,360515,"2009-02-01 till 2009-05-31","SEK"
"Uppbyggnad Övre Norrland","Sveriges Bygg & Järnhandlareförbund","Övre Norrland",266400,266400,"2009-01-19 till 2009-07-17","SEK"
"Ur och Skur i samverkan","I Ur och Skur Tallkottens förskola ek.för","Övre Norrland",156496,156496,"2008-07-01 till 2008-12-31","SEK"
"URSUS","None Listed","Övre Norrland",273750,365000,"2008-08-11 till 2009-02-11","SEK"
"Utbildning och personlig utveckling för dövblinda och döva i norrland","Framnäs Folkhögskola","Övre Norrland",1367407,3531260,"2008-11-01 till 2009-12-31","SEK"
"Utbildningstjänstprojekt","None Listed","Övre Norrland",433946,433946,"2009-01-12 till 2011-01-10","SEK"
"Utsikten","Socialkontoret","Övre Norrland",4611360,12424620,"2009-08-03 till 2011-08-02","SEK"
"UTVECKLA -en kompetenssatsning","Hushållningssällskapet Rådgivning Nord AB","Övre Norrland",510000,510000,"2008-07-01 till 2008-12-31","SEK"
"Utveckling evenemangsproduktion","Peabtravet","Övre Norrland",446550,446550,"2009-01-07 till 2009-06-30","SEK"
"Utveckling Tools Övre Norrland","Laitis Handels AB Luleå","Övre Norrland",335554,335554,"2008-10-20 till 2009-01-30","SEK"
"Utvecklingsarbete i team","None Listed","Övre Norrland",353078,353078,"2009-01-07 till 2009-06-30","SEK"
"Utvecklingscentrum Compassen","Socialpyskiatriska enheten","Övre Norrland",2961604,7403604,"2009-01-01 till 2011-12-31","SEK"
"Vägledningssatsning","Kommunförbundet Norrbotten","Övre Norrland",328697,328697,"2009-02-02 till 2009-07-31","SEK"
"Validering i norr","Vuxenutbildningen i Luleå","Övre Norrland",311281,415867,"2009-09-01 till 2010-02-26","SEK"
"VAN - Verktyg för Anställning","Urkraft Service AB","Övre Norrland",4032775,10080775,"2009-08-01 till 2011-12-31","SEK"
"Växa i samverkan (enré U)","Sunderby folkhögskola","Övre Norrland",904754,2261886,"2009-09-01 till 2011-04-01","SEK"
"Verkstadsutbildning Vindeln","Vindeln Utveckling","Övre Norrland",3477209,3477209,"2009-03-02 till 2009-12-31","SEK"
"Vindelälvsmodellen","Barn och utbildningsförvaltningen","Övre Norrland",366900,366900,"2009-04-29 till 2009-10-25","SEK"
"VIVA Resurs - Kompetensutveckling","VIVA kompetenscentrum","Övre Norrland",308280,308280,"2009-01-15 till 2010-12-31","SEK"
"Yrkeslärande för integration","Kalix kommunförvaltning","Övre Norrland",1448904,3622260,"2008-08-01 till 2010-07-31","SEK"
"Yrkeslärande för integration","Kalix kommunförvaltning","Övre Norrland",1288296,3220741,"2009-01-07 till 2010-12-31","SEK"
"VÄGVALET-vägen till framgång","Kommunledningskontoret","Småland och Öarna",2493069,6464747,"2009-05-04 till 2011-04-29","SEK"
"1Ett arbetsliv som främjar lika rättigheter och möjligheter i Kalmar län.","Antidiskrimineringsbyrån i Kalmar Län","Småland och Öarna",224600,224600,"2008-05-01 till 2008-09-30","SEK"
"Aluminum på nya sätt","ProfilGruppen Extrusions AB","Småland och Öarna",4854024,4854024,"2010-01-18 till 2011-07-29","SEK"
"Arbete åt alla? Att investera i människor","Regionförbundet Jönköpings län","Småland och Öarna",368500,492500,"2009-01-15 till 2009-07-15","SEK"
"Återgången - med Liv och Lust tillbaka i arbetslivet","Folkuniversitetet i Kristianstad","Småland och Öarna",5620656,14076816,"2008-10-01 till 2010-09-30","SEK"
"Avantia Småland o Öarna","Avantia International Trading AB","Småland och Öarna",187725,187725,"2008-08-01 till 2008-10-31","SEK"
"Befarat utanförskap blir anställningsbarhet via musik.","Barn och ungdomsförvaltningen","Småland och Öarna",943000,2389352,"2009-01-15 till 2011-01-15","SEK"
"Bibliotekets roll i lokal och regional utveckling","Regionförbundet i Kalmar län","Småland och Öarna",197847,197847,"2008-08-01 till 2008-11-30","SEK"
"Boot strap","Coompanion Högsby","Småland och Öarna",162042,239042,"2008-08-11 till 2008-12-15","SEK"
"BRA","Stiftelsen Funka","Småland och Öarna",699100,699100,"2009-01-15 till 2009-07-15","SEK"
"Breddad rekrytering","Tekniska Högskolan i Jönköping","Småland och Öarna",371886,497436,"2008-09-01 till 2008-11-30","SEK"
"Bryggan till arbetslivet Vetlanda - Sävsjö i samverkan","Personalkontoret","Småland och Öarna",7383188,18963404,"2009-01-15 till 2010-12-31","SEK"
"Carry 2011 - Småland","Svenska Golfförbundet","Småland och Öarna",557992,557992,"2008-10-01 till 2009-03-31","SEK"
"Cityutveckling i Ljungby","Ljungby Företagshus","Småland och Öarna",210630,210630,"2009-05-04 till 2009-09-01","SEK"
"Digital kompetenshöjning","Allbo lärcenter","Småland och Öarna",405760,405760,"2009-01-15 till 2009-08-31","SEK"
"Digital kompetenshöjning","Allbo lärcenter","Småland och Öarna",1448575,1448575,"2010-01-18 till 2011-05-31","SEK"
"EIOs Regionala Socialfondsprojekt, Småland & Öarna","EIO Medlemsservice AB","Småland och Öarna",368921,368921,"2008-11-01 till 2009-04-30","SEK"
"En Bransch i Kris. Utmaningar och Förändringar i Sågverksindustrin","Vida AB","Småland och Öarna",427770,427770,"2009-05-04 till 2009-10-30","SEK"
"Entreprenörskap och kompetens","None Listed","Småland och Öarna",393600,393600,"2009-01-15 till 2009-10-15","SEK"
"Etablering funktionsnedsättning","Grimslövs folkhögskola","Småland och Öarna",570705,770705,"2010-05-03 till 2010-10-31","SEK"
"EU stöd för samverkansutveckling","Sydved Jönköping","Småland och Öarna",224476,224476,"2008-08-04 till 2008-10-31","SEK"
"Färgstark","Colmix AB","Småland och Öarna",357445,357445,"2008-08-01 till 2008-10-31","SEK"
"Farkost","Kommunledningskontoret","Småland och Öarna",4812780,4812780,"2009-01-15 till 2010-07-15","SEK"
"FAS Fokus på arbete & studier","Vimmerby Lärcenter","Småland och Öarna",2337800,5844500,"2010-05-03 till 2012-10-31","SEK"
"Folkbildning för regional utveckling","Kalmar läns Bildningsförbund","Småland och Öarna",225000,300000,"2010-05-03 till 2010-10-29","SEK"
"Förprojektering inför tillgänglighetsprojekt","Gotlands Länsbibliotek","Småland och Öarna",335000,335000,"2008-05-09 till 2008-09-26","SEK"
"Förprojektering inom Processindustrin för Aluminium","Stena Aluminium AB","Småland och Öarna",349244,349244,"2009-01-15 till 2009-07-01","SEK"
"Framgångsrika företag","None Listed","Småland och Öarna",1339294,1339294,"2009-05-04 till 2009-09-30","SEK"
"Framtidens vägval","AB Nybro Brunn","Småland och Öarna",177000,236000,"2010-05-03 till 2010-07-31","SEK"
"Framtidssatsning","None Listed","Småland och Öarna",447769,447769,"2009-01-15 till 2009-04-15","SEK"
"Friskare Arbetsliv","Sensia Småland AB","Småland och Öarna",518721,518721,"2008-10-01 till 2009-03-31","SEK"
"Fundamental Life Management Skills","Västervik Framåt","Småland och Öarna",462428,462428,"2009-02-15 till 2009-06-30","SEK"
"Funktionshindrades rätt till arbete","Allbo lärcenter","Småland och Öarna",384870,513161,"2009-07-27 till 2009-12-31","SEK"
"Funktionshindrades rätt till arbete","Allbo Lärcenter","Småland och Öarna",2229461,5575061,"2010-05-03 till 2012-09-28","SEK"
"G-kraft","Allbo lärcenter","Småland och Öarna",357510,477510,"2009-01-19 till 2009-04-24","SEK"
"G-kraft","Allbo lärcenter","Småland och Öarna",8474665,21402165,"2009-11-02 till 2011-10-31","SEK"
"Gårdens Goda","Arbetsmarknadsenheten","Småland och Öarna",111444,148592,"2010-05-03 till 2010-06-21","SEK"
"Genomförande Kompetensförsörjning Öland","Ölands Näringslivskontor","Småland och Öarna",971234,971234,"2009-04-01 till 2010-10-31","SEK"
"GFF:s Regionala Socialfondsprojekt, Småland & Öarna","Grafiska Företagens Service AB","Småland och Öarna",530835,530835,"2009-05-04 till 2009-10-30","SEK"
"GLASKULAN","AB Nybro Brunn","Småland och Öarna",341529,341529,"2008-10-01 till 2009-01-31","SEK"
"Golf Gotland","Svenska Golfförbundet","Småland och Öarna",348138,348138,"2008-08-01 till 2008-10-31","SEK"
"Golf Gotland","Svenska Golfförbundet","Småland och Öarna",1257859,1257859,"2009-05-04 till 2010-10-31","SEK"
"Gotkom - Gotlands Kompetenslyft","Lövsta Landsbygdscentrum","Småland och Öarna",4875194,4875194,"2010-01-18 till 2011-07-31","SEK"
"GotKom - Gotländsk kompetensutveckling","Lövsta Landsbygdscentrum","Småland och Öarna",418220,418220,"2008-05-01 till 2008-12-31","SEK"
"Gotland utan diskriminering","Svenska Röda Korset Region Gotland","Småland och Öarna",239755,239755,"2008-11-01 till 2009-03-31","SEK"
"Grön omsorg förprojektering","LRF i Jönköping","Småland och Öarna",565608,565608,"2009-05-04 till 2009-10-30","SEK"
"Grönt Ljus","Rås Gård","Småland och Öarna",291706,401706,"2009-11-02 till 2010-04-30","SEK"
"Habo-lyftet","Habo kommun - Kommunledning","Småland och Öarna",498721,498721,"2008-08-01 till 2008-10-31","SEK"
"Handel- och serviceföretagare i Västerviks kommun","Västervik Framåt","Småland och Öarna",490690,490690,"2009-05-04 till 2009-09-15","SEK"
"Handelscollege","Medborgarskolan Regionkontoret","Småland och Öarna",403400,559400,"2009-05-11 till 2009-10-30","SEK"
"Handelscollege, ungdomar","Medborgarskolan Regionkontoret","Småland och Öarna",3752352,9435480,"2010-05-03 till 2012-10-31","SEK"
"Handelsplatsutveckling","Svensk Handel Vetlanda","Småland och Öarna",2643410,2643410,"2008-10-01 till 2009-11-30","SEK"
"Hemtjänst på hemspråk","None Listed","Småland och Öarna",2906000,7266000,"2009-01-15 till 2011-01-15","SEK"
"Högmossestugan","ABF Jönköpings län","Småland och Öarna",142324,189824,"2008-11-01 till 2009-04-30","SEK"
"Hovs Livs - ökat arbetskraftsutbud","Växjö Lokalt försäkringscentra","Småland och Öarna",4860000,12403200,"2008-05-01 till 2009-08-31","SEK"
"Industri-Porten","Kommunledningskontoret","Småland och Öarna",1338766,3390791,"2008-08-01 till 2010-06-30","SEK"
"Industriell & Teknisk kompetensutveckling för skola och näringsliv","Stiftelsen Träcentrum Nässjö","Småland och Öarna",396481,396481,"2008-11-03 till 2009-04-30","SEK"
"Industrikompetens Södra Småland","Regionförbundet södra Småland","Småland och Öarna",7446527,7446527,"2009-04-01 till 2010-10-31","SEK"
"Inkludering av unga","Regionförbundet Södra Småland","Småland och Öarna",730000,976350,"2009-08-03 till 2010-02-28","SEK"
"Inställning - omställning - anställning","Hansa Utbildning AB","Småland och Öarna",5979105,16024245,"2009-01-15 till 2011-01-15","SEK"
"""Integration på G!""","Samhällsutvecklingsenheten","Småland och Öarna",669960,1014960,"2008-05-01 till 2008-08-31","SEK"
"Integration på G!","None Listed","Småland och Öarna",5172130,12929174,"2009-01-15 till 2011-01-15","SEK"
"Jobb-kontakten","Af Västervik","Småland och Öarna",6530000,24130000,"2008-05-05 till 2010-08-31","SEK"
"kisel.nu","Studiefrämjandet Småland-Gotla","Småland och Öarna",326718,443118,"2010-05-03 till 2010-10-31","SEK"
"Kombib.eu","Regionförbundet i Kalmar län","Småland och Öarna",2313065,2313065,"2010-01-18 till 2011-06-30","SEK"
"Kompetens- Diagnostiskt Centrum","Hälso- och sjukvårdsförvaltningen","Småland och Öarna",390785,390785,"2008-11-01 till 2009-05-31","SEK"
"Kompetens för ökad tillväxt","Nuvab","Småland och Öarna",1964511,1964511,"2008-08-04 till 2009-07-30","SEK"
"Kompetens i Teknikregion G","TUTARYDS MEKANISKA VERKSTAD AB","Småland och Öarna",187350,187350,"2008-11-01 till 2009-04-30","SEK"
"Kompetensanalys för soloföretagare i Uppvidinge","Kommunledningsförvaltningen","Småland och Öarna",256735,256735,"2008-11-01 till 2009-04-30","SEK"
"Kompetensförsöjning inom besöksnäringen i Kalmar län","Regionförbundet i Kalmar län","Småland och Öarna",576030,576030,"2009-05-04 till 2009-10-30","SEK"
"Kompetensförsörjning A6 Center","Företagarföreningen A6 Center i Jönköping","Småland och Öarna",1139558,1139558,"2008-05-05 till 2009-03-23","SEK"
"Kompetensförsörjning-arbetslivet i Alvesta kommun","Allbo lärcenter","Småland och Öarna",444737,444737,"2009-05-05 till 2009-11-30","SEK"
"Kompetensförsörjning för ICT","Internet Cities","Småland och Öarna",210000,280000,"2008-05-01 till 2008-09-30","SEK"
"Kompetensförsörjning i Sävsjö Näringsliv","Sävsjö Näringsliv AB","Småland och Öarna",361330,361330,"2009-02-09 till 2009-06-30","SEK"
"Kompetensförsörjning i Värnamo Näringsliv","Värnamo Näringsliv AB","Småland och Öarna",498725,498725,"2009-01-15 till 2009-06-30","SEK"
"Kompetensförsörjning Ölandsföretag","Mörbylånga Kommun, Kommunledn","Småland och Öarna",320560,320560,"2008-08-01 till 2008-11-30","SEK"
"Kompetensförsörjning Värnamo/Genomförande","Värnamo Näringsliv AB","Småland och Öarna",4791299,4791299,"2010-01-18 till 2011-07-31","SEK"
"Kompetensfösörjning i Vaggeryds Näringsliv","Vaggeryds Näringslivsråd KB","Småland och Öarna",391595,391595,"2008-05-02 till 2008-09-30","SEK"
"Kompetenslyft i Vaggeryd","Vaggeryds Näringslivsråd KB","Småland och Öarna",5578793,5578793,"2009-04-01 till 2010-10-31","SEK"
"Kompetenslyftet - Samverkansprojekt för bättre konkurrenskraft och ökad rörlighet","Proton Industries AB","Småland och Öarna",1075100,1075100,"2008-08-01 till 2009-07-31","SEK"
"Kompetensstegen i Småland & Öarna","Life Hälsotek Vetlanda AB","Småland och Öarna",208100,208100,"2008-05-05 till 2008-09-30","SEK"
"Kompetensutveckling folkhögskolor i Jönköpings län","S:a Vätterbygdens fhsk","Småland och Öarna",237740,237740,"2009-01-15 till 2009-08-15","SEK"
"Kompetensutveckling Gjuterier","Swerea SWECAST AB","Småland och Öarna",4928042,4928042,"2008-10-01 till 2009-09-30","SEK"
"Kompetensutveckling inom RMG","Coompanion Gotland","Småland och Öarna",179240,179240,"2008-08-01 till 2008-12-31","SEK"
"Kompetensvågen","Fenix Kunskapscentrum","Småland och Öarna",9014988,22537470,"2009-07-01 till 2011-06-30","SEK"
"K.R.A.F.T","Kalmarsundsreg.Arbetsgivarring","Småland och Öarna",3451737,3451737,"2008-10-01 till 2009-11-15","SEK"
"Kraft-Verk","ABF Västra Kronoberg & Glasriket","Småland och Öarna",172514,248514,"2008-05-01 till 2008-08-31","SEK"
"Lärande organisation","Barn och ungdomsförvaltningen","Småland och Öarna",1154924,1154924,"2009-01-16 till 2010-07-14","SEK"
"Ledarskapsakademi","Stadskontoret, Centrala personalavdelningen","Småland och Öarna",775869,775869,"2008-11-01 till 2009-06-30","SEK"
"Ledarskapsutveckling","Stadskontoret, Centrala personalavdelningen","Småland och Öarna",87976,87976,"2008-05-01 till 2008-06-30","SEK"
"Livsenergi","Vuxenskolan Region Jönköping","Småland och Öarna",121000,170750,"2008-05-01 till 2008-09-30","SEK"
"Livsenergi","Vuxenskolan Region Jönköping","Småland och Öarna",944405,2489005,"2009-05-04 till 2011-04-30","SEK"
"Livslinjen","Gotlands folkhögskola","Småland och Öarna",1268451,3171128,"2009-05-15 till 2011-04-30","SEK"
"Logistiklyftet","Smålands Logistik AB","Småland och Öarna",283540,283540,"2009-05-04 till 2009-10-30","SEK"
"Lokalisering och kartläggning av utsatta gruppers behov","Distrikt Gotland","Småland och Öarna",128587,178587,"2008-05-01 till 2008-07-31","SEK"
"LPA, Lärande på arbetsplats","Kunskapsnavet","Småland och Öarna",397945,397945,"2008-08-01 till 2008-11-30","SEK"
"LPA, Lärande på arbetsplats. Genomförande","Kunskapsnavet","Småland och Öarna",4740165,4740165,"2010-02-01 till 2011-07-29","SEK"
"Mångfaldens möjligheter","Fenix Kunskapscentrum","Småland och Öarna",344514,561029,"2009-11-02 till 2010-04-30","SEK"
"mindkind.nu","Studiefrämjandet i Kalmar","Småland och Öarna",292750,411750,"2008-10-01 till 2009-03-31","SEK"
"Nystartcenter","Kommunstyrelsen","Småland och Öarna",3071510,7679330,"2008-08-01 till 2010-06-30","SEK"
"Nytt pussel","Folkuniversitetet, Jönköping","Småland och Öarna",2150000,5390000,"2009-01-15 till 2011-01-15","SEK"
"""Oden Företagspark""","AME - Arbetsmarknadsenheten","Småland och Öarna",3393264,9023468,"2010-08-02 till 2012-10-31","SEK"
"På spåret","Kalmarsunds Gymnasieförbund Komvux/Särvux","Småland och Öarna",444700,597200,"2009-08-03 till 2010-01-11","SEK"
"Plåtformningsskolan","GnoHow i Gislaved AB","Småland och Öarna",833123,833123,"2009-01-15 till 2009-08-31","SEK"
"Poly-Comp","PUCK-Kompositcentrum","Småland och Öarna",782548,782548,"2009-05-04 till 2009-10-30","SEK"
"Polymerlyftet","Polymercentrum Sverige AB","Småland och Öarna",448169,448169,"2008-05-01 till 2008-09-30","SEK"
"Polymerlyftet 200905-201010","Polymercentrum Sverige AB","Småland och Öarna",15785184,15785184,"2009-04-01 till 2010-10-31","SEK"
"Praktik i lantbruket","LRF i Jönköping","Småland och Öarna",124825,172905,"2009-02-01 till 2009-04-30","SEK"
"Projekt Utkiken","Gnosjö Socialförvaltning","Småland och Öarna",117375,156500,"2008-11-01 till 2009-04-30","SEK"
"Projekt Utkiken","Gnosjö Socialförvaltning","Småland och Öarna",6847653,17178061,"2010-01-18 till 2012-01-17","SEK"
"Projektutveckling för Bildemonterare","Sveriges Bilskrotares Riksförbund (SBR)","Småland och Öarna",363340,363340,"2008-11-01 till 2009-02-28","SEK"
"Rätt kompetens. Ett projekt för teknik- och byggrelaterade företag och utbildningar på Höglandet","Brinellgymnasiet","Småland och Öarna",383243,383243,"2009-01-15 till 2009-07-15","SEK"
"Rätt kompetens för tekniskt arbete. Ett projekt för teknikrelaterade gymnasieprogram och företag","Brinellgymnasiet","Småland och Öarna",3533004,3533004,"2010-01-18 till 2011-07-31","SEK"
"Rätt kompetens, på rätt plats vid rätt tid","Nuvab","Småland och Öarna",838125,838125,"2009-01-15 till 2010-07-15","SEK"
"Redo för jobb!","Lärcentrum Västra Vux","Småland och Öarna",2595772,6528981,"2009-01-15 till 2011-01-15","SEK"
"Reload","Arbete och Välfärd. Avdelningen Missbruksvård","Småland och Öarna",440461,722461,"2009-07-01 till 2009-12-31","SEK"
"Reload","Arbete och Välfärd. Avdelningen Missbruksvård","Småland och Öarna",1749346,4411578,"2010-06-01 till 2012-05-31","SEK"
"Resurs Araby","Förvaltningen för Arbete och Välfärd","Småland och Öarna",7774912,19654912,"2008-05-01 till 2010-08-31","SEK"
"Resurscenter","Socialförvaltningen","Småland och Öarna",4614000,11535000,"2008-05-01 till 2010-10-31","SEK"
"Rörliga Roller","Folkuniversitet i Kalmar","Småland och Öarna",434956,434956,"2008-08-01 till 2008-10-31","SEK"
"Samproduktion","CNC Plåt","Småland och Öarna",991267,991267,"2009-01-15 till 2009-07-15","SEK"
"Samverkan för vägen till arbete","Ädelfors Folkhögskola","Småland och Öarna",4736250,11841075,"2009-05-04 till 2011-04-29","SEK"
"Samverkan i Sydost och Blekinge, miljö","Regionförbundet i Kalmar län","Småland och Öarna",2012369,2012369,"2010-01-18 till 2011-06-17","SEK"
"Shift","Gotlands folkhögskola","Småland och Öarna",1409918,3524793,"2009-05-15 till 2011-04-30","SEK"
"SmålandBK-ESF08","Småland","Småland och Öarna",248188,248188,"2008-08-01 till 2008-10-31","SEK"
"Smedby Modellanalys","Högalids Folkhögskola","Småland och Öarna",182100,244400,"2008-05-01 till 2008-09-30","SEK"
"Social ekonomi för ökad välfärd","Coompanion i Jönköpings län","Småland och Öarna",6113800,6113800,"2009-04-01 till 2010-10-31","SEK"
"Socialt företagande för ökad välfärd","Coompanion i Jönköpings län","Småland och Öarna",7938286,25284182,"2009-05-04 till 2011-04-30","SEK"
"Socialt företagande på Gotland","Coompanion Gotland","Småland och Öarna",185455,249447,"2008-08-01 till 2008-11-28","SEK"
"Stärkande individcoaching","Distrikt Gotland","Småland och Öarna",2637785,7066785,"2009-01-19 till 2011-01-14","SEK"
"Svetsens Mecca i Småland","Montico Komptensutveckling AB","Småland och Öarna",4497254,4497254,"2008-10-06 till 2009-12-31","SEK"
"Tillväxt och Lönsamhet - Genomförande","IUC I Kalmar AB","Småland och Öarna",8451990,8451990,"2009-01-15 till 2010-12-31","SEK"
"Tillväxt och lönsamhet för företag i Kalmar län","IUC I Kalmar AB","Småland och Öarna",1633080,1633080,"2008-05-01 till 2008-09-30","SEK"
"Tools kompetensförsörjning industri","Tools Värnamo","Småland och Öarna",303645,303645,"2009-05-04 till 2009-12-31","SEK"
"Trampolin, ett ungdomsprojekt","Tranås Utbildningscentrum","Småland och Öarna",3886132,11109737,"2010-01-18 till 2012-01-17","SEK"
"Trappsteget","AME - Arbetsmarknadsenheten","Småland och Öarna",3574500,8936300,"2008-05-01 till 2010-08-31","SEK"
"Uppbyggnad Småland & Öarna","Sveriges Bygg & Järnhandlareförbund","Småland och Öarna",266400,266400,"2009-01-19 till 2009-07-19","SEK"
"Utveckla Nässjö Shopping","Nässjö Näringsliv AB","Småland och Öarna",2247856,2247856,"2008-10-01 till 2009-11-30","SEK"
"Utveckling av personal inom hemsjukvården","Aristum Institutet AB","Småland och Öarna",406450,406450,"2008-08-01 till 2008-10-31","SEK"
"Utveckling av personliga assistenter","Aristum Institutet AB","Småland och Öarna",414900,414900,"2008-08-01 till 2008-10-31","SEK"
"utveckling för varje anställd","Sveriges Bilskrotares Riksförbund (SBR)","Småland och Öarna",1969600,1969600,"2010-01-18 till 2011-07-31","SEK"
"Vägen tillbaka","Coompanion i Jönköpings län","Småland och Öarna",116085,156085,"2008-09-01 till 2008-11-30","SEK"
"Validera för spetskompetens avseende underhåll och renovering av ytor","FärgCenter Gislaved AB","Småland och Öarna",549711,549711,"2008-12-01 till 2010-04-30","SEK"
"Validerad kompetensutveckling, CNC-Teknik 2007","Skärteknikcentrum Sverige AB","Småland och Öarna",499836,499836,"2008-08-01 till 2008-10-31","SEK"
"Validerad kompetensutveckling, CNC-Teknik 2007 - Genomförande","Skärteknikcentrum Sverige AB","Småland och Öarna",4354753,4354753,"2010-01-18 till 2011-07-31","SEK"
"Värdskap Oskarshamn III","Kommunledningskontoret","Småland och Öarna",391704,391704,"2008-11-01 till 2009-02-28","SEK"
"Vem vill bli entreprenör?","Öppna Kanalen Växjö","Småland och Öarna",117067,156100,"2010-05-03 till 2010-10-31","SEK"
"Vi trivs i Oskarshamn","FöretagsCentrum i Oskarshamn","Småland och Öarna",641818,641818,"2009-01-15 till 2010-02-15","SEK"
"""Vi vill""","None Listed","Småland och Öarna",144000,200000,"2008-05-01 till 2008-09-30","SEK"
"Vidgad arbetsmarknad Arbete åt alla","HIA Enheten för hälsa integration och arbete","Småland och Öarna",6808110,21805110,"2009-11-02 till 2011-10-31","SEK"
"Vinnande Detaljhandel","Tranås United AB","Småland och Öarna",499997,499997,"2008-08-01 till 2008-10-31","SEK"
"V.I.S","adapta ab","Småland och Öarna",4861387,12421387,"2009-08-01 till 2011-05-31","SEK"
"Yrkesutbildning i samverkan","Vimmerby Lärcenter","Småland och Öarna",2414592,6036480,"2009-01-15 till 2011-01-14","SEK"
"08-Kompetens","Stiftelsen Hotellhem i Stockholm","Stockholm",317112,0,"2008-04-15 till 2008-09-15","SEK"
"08 Kompetens","Stiftelsen Hotellhem i Stockholm","Stockholm",4533835,4533835,"2009-02-01 till 2010-12-31","SEK"
"AGERA - kompetensförsörjning inom non-profit vård och social omsorg","Famna","Stockholm",5704926,5704926,"2009-08-01 till 2011-07-30","SEK"
"Äldreliv Nordost","Österåkers kommun, Stats och kommunled/övergripandeplanering","Stockholm",500000,500000,"2008-08-25 till 2009-02-25","SEK"
"Äldreliv Nordost","Österåkers kommun, Stats och kommunled/övergripandeplanering","Stockholm",18176574,18176574,"2010-02-01 till 2012-01-31","SEK"
"ALFA","Stockholms Stad, Socialtjänst- o  arbetsmarkn förvaltn","Stockholm",225435,450870,"2008-07-04 till 2009-01-03","SEK"
"ALFA","Stockholms Stad, Socialtjänst- o  arbetsmarkn förvaltn","Stockholm",8903415,23777435,"2009-05-01 till 2012-03-31","SEK"
"Analys strukturomvandling","None Listed","Stockholm",500000,500000,"2008-04-14 till 2008-08-12","SEK"
"Anna-modellen för arbetsrehabilitering","Stiftelsen Anna Johansson - Visborgs Minne","Stockholm",276758,365974,"2009-01-15 till 2009-07-15","SEK"
"Arbetet platsen för lärande inom äldreomsorgen","Stiftelsen Stockholms läns Äldrecentrum","Stockholm",416574,416574,"2008-09-01 till 2009-02-28","SEK"
"Arbetslivsintegration i Järva","Stockholms Stad, Socialtjänst- o  arbetsmarkn förvaltn","Stockholm",358100,478100,"2009-08-01 till 2010-01-31","SEK"
