Ident,REGION,TITLE,BENEFICIARY,FROM,TO,FUNDING SEK,FUNDING EURO
41932,Övre Norrland,Kajutbyggnad vid Skellefteå Hamn,Skellefteå kommun,11/1/07,9/30/10,14399000,0
41370,Övre Norrland,ACANALYS: Analysenhet i Västerbotten för,Umeå Universitet,1/1/08,12/31/10,14494741,0
117507,Övre Norrland,UMIT,Umeå Universitet,8/1/09,7/31/12,14938500,0
27488,Västsverige,Förstudie Design Halland,Stiftelsen Svensk Industridesign,10/1/07,4/30/08,140000,0
40316,Östra Mellansverige,Förstudie företagsanpassad spetsforsknin,Totalförsvarets Forskningsinstitut,1/15/08,9/30/08,140000,0
40523,Skåne-Blekinge,Förstudie: Ronneby e-handelsprojekt,RONNEBY KOMMUN,1/1/08,6/30/08,142000,0
41670,Övre Norrland,Marknadsutveckling,Bodens kommun,1/1/08,12/31/10,148503,0
148406,Småland och Öarna,Projektering och byggnation: Triangelspå,Jönköpings kommun,1/1/10,12/31/10,15000000,0
67813,Övre Norrland,Ramprogram för regionalpolitiska företag,Länsstyrelsen i Norrbottens län,1/1/08,12/31/10,15000000,0
140614,Mellersta Norrland,En skärgård i världsklass,Örnsköldsviks kommun,3/19/09,12/31/11,15296507,0
43204,Övre Norrland,Ökad tillgänglighet genom strategisk fys,Gällivare kommun,4/1/08,3/31/10,15639000,0
40564,Skåne-Blekinge,Syster Gudruns fullskalelab i Blekinge f,Landstinget Blekinge,4/1/08,3/31/11,15749639,0
40297,Norra Mellansverige,Fibernät i Säffle - ett framtidssäkert b,Säffle Kommunikation AB,4/1/07,6/30/10,15786280,0
70703,Mellersta Norrland,Globala Rummet,Almi Företagspartner Mitt AB,1/1/09,12/31/11,15827745,0
41319,Norra Mellansverige,SWX-Energi; energieffektivisering och fö,Regionförbundet Gävleborg,2/1/08,11/30/11,15985913,0
40770,Mellersta Norrland,"Venture Cup, ansökan till förstudie till",VENTURE CUP ÖST,1/28/08,3/27/08,150000,0
40173,Mellersta Norrland,Förstudie för projektet Center för strat,Mittuniversitetet,12/10/07,3/19/08,150000,0
147998,Norra Mellansverige,"Förstudie - ""platsens betydelse"" - samve",AB Hedemorabostäder,1/1/10,5/31/10,150000,0
117960,Skåne-Blekinge,T som i Talang. Att utveckla innovations,Folkbildningsföreningen i Malmö,6/1/09,10/31/10,150000,0
43033,Skåne-Blekinge,Nya flexibla utbildningsformer med hjälp,REGION SKÅNE,8/20/08,1/23/09,150000,0
70128,Stockholm,Förstudie - Förstärkning av Stockholms I,Kista Science City AB,10/15/08,1/9/09,150000,0
118010,Östra Mellansverige,IT-infrastruktur i Uppsala län 2009,LÄNSSTYRELSEN I UPPSALA LÄN,1/10/09,6/30/09,150000,0
150188,Övre Norrland,SITU (Strategiskt Idrottskluster för Til,VÄSTERBOTTENS IDROTTSFÖRBUND,3/22/10,9/21/10,150000,0
149347,Övre Norrland,Förstudie - Kiruna Magnetite Center,Progressum i Kiruna AB,2/1/10,8/30/10,150000,0
117972,Skåne-Blekinge,Mobil Plattform för Vuxnas lärande,Helsingborgs stad,5/1/09,11/30/09,154800,0
147885,Mellersta Norrland,"Förstudie ""Härjedalspaketet - trafikerin",Vägverket,10/1/09,3/31/10,158564,0
41905,Östra Mellansverige,PRIM- Processer och Relationer i Innovat,MÄLARDALENS HÖGSKOLA,1/1/08,12/31/10,16155187,0
41906,Östra Mellansverige,"Samverkansprojekt del 2, Affärsutvecklin",Länsstyrelsen i Örebro län,9/1/07,8/31/10,16184429,0
148299,Mellersta Norrland,Digi Daily,RIKSARKIVET,4/1/10,3/31/13,16541963,0
40415,Småland och Öarna,Besöksnäringen i Västervik - Holiday Clu,Nutek,1/7/08,6/1/10,16666666,0
40279,Östra Mellansverige,Företagspartner Öst,ALMI FÖRETAGSPARTNER ÖSTERGÖTLAND AKTIEB,1/1/08,12/31/10,16744000,0
146244,Övre Norrland,SATIN - 2,Luleå tekniska universitet,6/1/09,9/30/12,16860231,0
147131,Stockholm,Två Museer i Fisksätra,Nacka kommmun,1/1/10,12/31/12,16982762,0
118501,Mellersta Norrland,"ARBION, ""ARctic BIOenergy Netwoek""",HÄRJEDALENS KOMMUN,1/23/09,6/30/10,160000,0
43073,Småland och Öarna,Förstudie Designresurscentrum på Gotland,HÖGSKOLAN PÅ GOTLAND,8/1/08,12/31/08,168000,0
40408,Östra Mellansverige,Förstudie: Nya medicintekniska produkter,Linköpings Universitet,1/1/08,3/31/08,169400,0
40466,Norra Mellansverige,Trafiklösning Norra Värmland - Branäsomr,TORSBY KOMMUN,3/1/07,6/30/10,17000000,0
39768,Norra Mellansverige,Multimodal terminal,Kristinehamns kommun,1/1/07,12/31/09,17158500,0
148969,Östra Mellansverige,BIMS Upplands Lokaltrafik,Upplands Lokaltrafik AB,10/1/09,9/30/12,17216535,0
40878,Övre Norrland,Umeå Biotech Incubator,Umeå Biotech Incubator AB,1/1/08,12/31/10,17242500,0
152130,Övre Norrland,Strandängarna - Kalix Visitor Center,Kalix kommun,2/12/10,2/11/13,17358842,0
140453,Mellersta Norrland,Centrum Bioraffinaderi,Processum Biorefinery Initiative AB,6/30/09,6/30/12,17400000,0
40184,Mellersta Norrland,InnovationsAlliansen - en innovationspro,Almi Företagspartner Mitt AB,10/1/07,12/31/10,17496687,0
117490,Övre Norrland,Nya GIRON - God Infrastruktur för Region,Luleå tekniska universitet,1/1/09,12/31/11,17940000,0
42927,Norra Mellansverige,Förstudie Miljökvalitetssäkring för små,STIFTELSEN FORSHAGA FÖRETAGSCENTRUM,4/1/08,10/31/08,175000,0
40224,Stockholm,Förstudie Tillgänglighet,Stockholms läns landsting,12/1/07,10/31/08,176220,0
42587,Västsverige,Förprojekt Nyföretagande Skaraborg,NyföretagarCentrum Skaraborg,5/1/08,12/31/08,179200,0
118011,Skåne-Blekinge,Sydsvensk entreprenörskapsfond I,Innovationsbron AB,4/1/09,12/31/14,18000000,0
39738,Mellersta Norrland,SKOGEN SOM RESURS: Extrem pappers- och m,Mittuniversitetet,1/1/08,12/31/10,18099700,0
140359,Småland och Öarna,Hamnserviceterminal - för bättre tillgän,GOTLANDS KOMMUN,9/1/09,11/30/11,18484000,0
42046,Mellersta Norrland,Kramfors Resecentrum,Kramfors kommun,1/7/08,9/30/10,18800000,0
70495,Norra Mellansverige,FullKoll,VÄRMLANDSTRAFIK AKTIEBOLAG,4/1/09,3/31/12,18800000,0
70387,Västsverige,TillVäxt Biskopsgården,Göteborgs kommun,1/1/09,12/31/11,18818500,0
39850,Västsverige,Expedition Framåt,"BRG, BUSINESS REGION GÖTEBORG AB",1/1/08,12/31/10,18840720,0
43225,Övre Norrland,Plattform Lumiora,INFORMATIONSTEKNIK I NORRBOTTEN AB,4/1/08,3/31/11,18913641,0
118034,Östra Mellansverige,Kartläggning av IT-infrastruktur i Örebr,Länsstyrelsen i Örebro län,1/10/09,9/30/09,180000,0
42977,Norra Mellansverige,Öppna Dörrar (förstudie),LÄNSSTYRELSEN I GÄVLEBORGS LÄN Landsbyg,7/1/08,12/31/08,182700,0
70445,Västsverige,Förstudie - Lövgärdet i Tillväxt,Göteborgs kommun,1/15/09,6/30/09,187000,0
70375,Småland och Öarna,Förstudie för Klimatsmart resa - Småland,JÖNKÖPINGS LÄNSTRAFIK AKTIEBOLAG,10/1/08,2/28/09,189178,0
27458,Norra Mellansverige,InnoWent Teknikdalen,STIFTELSEN TEKNIKDALEN,10/1/07,9/30/10,19000000,0
70719,Mellersta Norrland,Ramprojekt för regionalt investeringsstö,Länsstyrelsen Västernorrland,1/1/09,12/31/11,19292892,0
70547,Norra Mellansverige,Logistikcenter Kalvholmen,KARLSTADS KOMMUN,11/1/08,10/31/11,19500000,0
70383,Västsverige,Förstudie Kviberg - tillväxtmotor i nord,Göteborgs kommun,1/12/09,7/12/09,190640,0
147617,Västsverige,"ENA - Energy Efficiency Building Arena,",HALMSTADS NÄRINGSLIVS AB,10/1/09,3/31/10,193132,0
69887,Skåne-Blekinge,Publikt Entreprenörskap skåne,KURSVERKSAMHETEN VID LUNDS UNIVERSITET,11/26/08,3/27/09,197300,0
148033,Norra Mellansverige,"Tjänstefiering med hjälp av användare, f",KARLSTADS UNIVERSITET,1/1/10,12/31/11,2000000,0
147994,Norra Mellansverige,"Varumärket Dalarna, Fas II",REGION DALARNA,1/1/10,12/31/11,2000000,0
40265,Norra Mellansverige,Strukturfondsansökan för Tjänstefiering,KARLSTADS UNIVERSITET,1/1/08,12/31/09,2000000,0
27449,Norra Mellansverige,Ökad tillgänglighet och säkrare nät - re,Borlänge Energi,5/2/07,5/31/09,2000000,0
40526,Skåne-Blekinge,E-transaktioner,NetPort Karlshamn AB,1/1/08,12/31/09,2000000,0
117488,Övre Norrland,Destinationsutveckling Boden Turism - fo,BODEN TURISM EKONOMISK FÖRENING,1/1/09,12/31/10,2000000,0
147182,Norra Mellansverige,Affärsutveckling Dalarna - Zhongshan Kin,REGION SILJAN,9/1/09,2/28/11,2010524,0
39813,Mellersta Norrland,XYZAC - RTK projekt,LANTMÄTERIVERKET,4/1/07,9/30/08,2021000,0
41938,Övre Norrland,xID 2.0 - Interaktionsdesign i extrema,Umeå Universitet,1/1/08,12/31/10,2024125,0
69165,Övre Norrland,The European Rehab Racing Centre,Eurrac AB,7/1/08,1/31/11,2067500,0
40407,Norra Mellansverige,Utveckling av tillverkningsindustrin Nor,WAJRUMS IDEELLA FÖRENING,1/1/08,7/31/11,2068346,0
40405,Norra Mellansverige,TPP Framtidsfabriken,THE PAPER PROVINCE EKONOMISK FÖRENING,7/1/07,12/31/08,2073168,0
68703,Östra Mellansverige,Att stimulera innovationer i tidiga sked,Regionförbundet Sörmland,7/1/08,12/31/10,2077210,0
57019,Övre Norrland,Invest in Överkalix,ÖVERKALIX UTVECKLING AB,7/1/08,6/30/11,2100000,0
41766,Övre Norrland,Entré K,STIFTELSEN SUNDERBY FOLKHÖGSKOLA,1/1/08,12/31/10,2100000,0
148407,Småland och Öarna,Hållbar region på en internationell aren,REGIONFÖRBUNDET SÖDRA SMÅLAND,9/7/09,12/31/10,2112272,0
151335,Småland och Öarna,Internationell inflyttning för ökad till,KALMAR KOMMUN,1/14/10,12/31/12,2140150,0
145233,Östra Mellansverige,Science Park Karlskoga,KARLSKOGA KOMMUN,8/1/09,6/30/11,2154950,0
39855,Västsverige,"Ett nordiskt centrum för animerad film,",FILM I VÄST AB,4/1/07,6/19/08,2161600,0
41271,Övre Norrland,COMPLAB 2010 - Termomekansik provning at,Luleå tekniska universitet,10/1/07,9/30/10,2200000,0
152512,Övre Norrland,IndLas - Industriell laserteknik för öka,Luleå tekniska universitet,6/1/10,5/31/13,2305843,0
140584,Mellersta Norrland,Kompetensutbyggnad ETH ( Energieffektiva,Stiftelsen Institutet för Tillämpad Hydr,5/15/09,12/31/11,2311038,0
27491,Västsverige,Arena för Entreprenörskap,Region Halland,7/1/07,6/30/10,2316848,0
27447,Norra Mellansverige,DalaBit,INDUSTRIELLT UTVECKLINGSCENTER DALARNA A,6/1/07,6/30/10,2324955,0
67927,Övre Norrland,Litterär turism i Norr,VÄSTERBOTTENS LÄNS LANDSTING,5/1/08,4/30/11,2325800,0
40493,Norra Mellansverige,Linjeutveckling Karlstads Airport,LUFTFARTSVERKET,5/1/07,3/31/09,2347000,0
70621,Norra Mellansverige,Öppna Bredbandsnät i Arbrå och Kilafors,AB Bollnäs Bostäder,9/25/08,12/31/08,2351225,0
147700,Västsverige,Speed Incubator,Brewhouse Innovation AB,1/1/10,12/31/11,2352000,0
40388,Norra Mellansverige,IUC-länken,INDUSTRIELLT UTVECKLINGSCENTRUM WERMLAND,1/1/08,12/31/08,2355496,0
43069,Småland och Öarna,Innovationer för förnyelse och tillväxt,ALMI FÖRETAGSPARTNER KALMAR LÄN AKTIEBOL,4/1/08,3/31/11,2365430,0
43314,Övre Norrland,CIP Västerbotten (Competitiveness and In,UMINOVA INNOVATION AB,1/1/09,12/31/11,2379668,0
145315,Skåne-Blekinge,Vätgassamverkan i Skåne 2009-2011,KOMMUNFÖRBUNDET SKÅNE,10/1/09,6/30/12,2380000,0
40274,Norra Mellansverige,BMMC,BERGSSKOLAN KOMPETENSUTVECKLING AKTIEBOL,3/1/08,12/31/09,2383920,0
40519,Skåne-Blekinge,Effekter på regional utveckling vid etab,REGION SKÅNE,10/1/07,6/30/09,2384284,0
69986,Mellersta Norrland,Projekt Norrtåg syd,Norrtåg AB,10/1/08,9/30/11,2400000,0
40390,Norra Mellansverige,E16 Gävle-Oslo för ökad tillgänglighet o,BORLÄNGE KOMMUN,1/1/08,12/31/10,2400000,0
69055,Övre Norrland,Projekt Norrtåg,Norrtåg AB,10/1/08,9/30/11,2400000,0
39710,Norra Mellansverige,Portalen Handelsplats Wermland,HANDELSKAMMAREN VÄRMLAND SERVICE AB,1/1/07,12/31/08,2413500,0
41710,Skåne-Blekinge,Repslageriet på Lindholmen- utveckling a,Varvshistoriska föreningen i Karlskrona,2/11/08,12/31/10,2417918,0
140865,Skåne-Blekinge,Malmö - plug-in City,Malmö stad,8/1/09,8/1/12,2423296,0
140862,Skåne-Blekinge,Avknoppning Sydost 2009-2012,INDUSTRIELLT UTVECKLINGS CENTRUM I SKÅNE,7/1/09,6/30/12,2425248,0
150689,Övre Norrland,Mikroanalytisk prospektering (MAP),Luleå tekniska universitet,5/31/10,4/30/13,2429601,0
117480,Övre Norrland,EntreprenörsCentra,ÄLVSBYNS KOMMUN,8/1/09,7/31/11,2441500,0
140867,Skåne-Blekinge,SamTC,KOMMUNFÖRBUNDET SKÅNE,8/1/09,7/31/12,2449388,0
39660,Norra Mellansverige,Vita fläckar på bredbandskartan - Sandvi,SANDVIKENS KOMMUN,1/1/07,12/31/09,2476500,0
151718,Mellersta Norrland,Nationellt Utvecklingscentrum MittSverig,JÄMTLAND-HÄRJEDALENS HANDIKAPPIDROTTSFÖR,6/1/10,5/31/13,2 490300,0
41895,Östra Mellansverige,Bättre planeringsunderlag för kollektivt,Länstrafiken Mälardalen AB,2/1/07,12/31/08,2493750,0
39747,Mellersta Norrland,Coaching för företagar- och företagsutve,Lantbrukarnas Ekonomi AB,1/1/08,12/31/10,2498500,0
151230,Mellersta Norrland,Kommunikationscenter för tursimen i Funä,HÄRJEDALENS KOMMUN,1/1/10,12/31/10,2500000,0
117483,Övre Norrland,Heart of Lapland 2010 Etapp 2,HEART OF LAPLAND EKONOMISK FÖRENING,1/1/09,3/31/11,2500000,0
39716,Övre Norrland,Marknadsföring av turismen i Norrbottens,Swedish Lapland Tourism,1/1/08,12/31/10,2500000,0
119452,Norra Mellansverige,Kil Innovation Food Arena (KIFA),KILS KOMMUN,7/1/09,6/30/12,2506000,0
151165,Östra Mellansverige,Stödstruktur för innovationer vid humani,Uppsala universitet,2/1/10,2/1/13,2515351,0
39687,Mellersta Norrland,Projekt Ostkustbanan Ådalsbanan,Sundsvalls kommun,1/1/08,12/31/10,2515500,0
70506,Norra Mellansverige,Vidareutveckling av High Voltage Valley,SAMARKAND 2015 AB,1/1/09,12/31/10,2517500,0
152397,Norra Mellansverige,Stanna i Dalarna,REGION DALARNA,8/1/10,12/31/12,2529000,0
148018,Norra Mellansverige,"Bredband ortsnät etapp 1. Delsbo, enånge",HUDIKSVALLS KOMMUN,9/1/09,12/31/10,2537263,0
67800,Mellersta Norrland,Center för strategisk nätverksutveckling,Mittuniversitetet,3/1/08,2/28/09,2542116,0
41659,Övre Norrland,GUTS,Visit Gellivare Lapland ekonomisk föreni,1/1/08,12/31/10,2550000,0
67817,Mellersta Norrland,Skogen som resurs i hållbar samhällsutve,Mittuniversitetet,1/1/08,6/30/11,2556847,0
119487,Norra Mellansverige,Clean Production Center,Triple Steelix/Jernkontoret,2/1/09,4/30/11,2557980,0
145293,Skåne-Blekinge,Stöd för en lärande infrastruktur,Hässleholms kommun,8/1/09,4/30/11,2599705,0
117491,Övre Norrland,Arena Nöje och Upplevelser,Visit Luleå ekonomisk förening,1/1/09,3/31/11,2600000,0
67883,Övre Norrland,Swedish Lapland Film Commission (SLFC),Filmpool Nord AB,2/26/08,2/25/11,2602528,0
43316,Övre Norrland,Nästa Steg - för framtidens jakt- och fi,Hushållningssällskapet i Norr Rådgivning,11/1/08,10/31/11,2613437,0
40559,Skåne-Blekinge,Avknoppning Syd 2008,INDUSTRIELLT UTVECKLINGS CENTRUM I SKÅNE,1/7/08,12/31/08,2620060,0
153254,Östra Mellansverige,Energihuset Uppsala - Demonstartionsmilj,STUNS STIFT F SAMV MEL UNIV I U-A NÄRING,3/22/10,12/31/12,2625000,0
39680,Norra Mellansverige,Bredband till 100% - Ovanåkers kommun,OVANÅKERS KOMMUN,3/1/07,2/28/10,2650000,0
147722,Västsverige,VIFE fas II (Vidgad Inkubation och Först,Encubator AB,1/1/10,12/31/11,2656800,0
68969,Mellersta Norrland,Kreativa Ragundadalen - Allt för byn,Ragunda kommun,7/7/08,9/30/10,2666790,0
70494,Mellersta Norrland,Forskning och Utveckling av högfrekventa,Mittuniversitetet,1/1/09,12/31/11,2670000,0
117969,Östra Mellansverige,GLOBAL EYES,Handelskammaren Mälardalens Service AB,1/1/09,12/31/11,2697539,0
43230,Övre Norrland,Internationalisering av SMF företag i No,Centek AB vid Luleå Tekniska Universitet,10/1/08,9/30/11,2700000,0
39868,Västsverige,Identifying and Verifying Early Research,HOLDINGBOLAGET VID GÖTEBORGS UNIVERSITET,1/1/08,12/31/10,2701800,0
68247,Mellersta Norrland,Scenkonst i Västernorrland,Scenkonst Västernorrland AB,5/1/08,4/30/11,2707054,0
117317,Mellersta Norrland,Tillgänglighet till fiskelägen i Världs,Vägverket,12/1/08,9/30/10,2716443,0
68707,Småland och Öarna,Affärsutveckling för kvinnor,REGIONFÖRBUNDET I KALMAR LÄN,7/1/08,12/31/10,2720000,0
40270,Norra Mellansverige,Byggdialog Dalarna,LÄNSSTYRELSEN I DALARNAS LÄN,1/1/08,12/31/10,2730000,0
145376,Stockholm,PILOT,Nätverket KOMPASSEN,4/1/09,12/31/11,2734077,0
68150,Mellersta Norrland,Cleantech Demonstration Arena,Stiftelsen för forskning om koncentrerat,7/1/08,12/31/10,2772000,0
27490,Västsverige,Tillväxt 2010,IDC West Sweden AB,1/1/08,12/31/10,2781797,0
39856,Västsverige,Smart Textiles Pilot,ESPIRA Tillväxtcenter AB,1/1/08,12/31/09,2784096,0
70433,Norra Mellansverige,KURBITS - Affärsutveckling för besöksnär,REGION DALARNA,1/1/09,12/31/11,2797500,0
150696,Övre Norrland,Norrsamverkan,Lapplands kommunalförbund,8/1/10,7/30/13,2797792,0
40369,Västsverige,Etablering av Produktionstekniskt Centru,INNOVATUM AB,1/1/08,12/31/08,2800000,0
148269,Övre Norrland,Internetbay export II,InternetBay AB,1/1/10,12/31/12,2800000,0
117978,Norra Mellansverige,IUC-länken,INDUSTRIELLT UTVECKLINGSCENTRUM WERMLAND,1/1/09,12/31/10,2815000,0
27452,Norra Mellansverige,Näringslivsutveckling Runn,VisitFalun AB,10/1/07,9/30/10,2830000,0
39878,Västsverige,Vidgad Inkubation och Förstärkt Entrepre,Encubator AB,1/1/07,12/31/08,2850000,0
147851,Övre Norrland,Leia Accelerator,Magma Västerbotten,1/1/10,12/31/12,2851641,0
27446,Norra Mellansverige,Flytta till Dalarna,REGION DALARNA,11/1/07,12/31/09,2891000,0
151206,Skåne-Blekinge,Baltic Sea R&D - ett kompetenscenter och,SIMRISHAMNS KOMMUN,4/1/10,3/31/13,2894684,0
39724,Mellersta Norrland,Projekt löv&barrskog - anpassad skogsskö,Jämtlands läns landsting,1/1/07,12/31/10,2898615,0
44014,Övre Norrland,"Handslaget etapp 2, 2007-11-19",FR SERVICE I AC-LÄN AKTIEBOLAG,1/1/08,12/31/10,2903000,0
43221,Övre Norrland,City Move Interdesign,Stiftelsen Svensk Industridesign,4/1/08,12/31/09,2907000,0
151162,Västsverige,Trästad 2012 (Västsverige),Länsstyrelsen Västerbotten,1/1/10,12/31/12,2952000,0
42561,Norra Mellansverige,Besökscentrum Staberg etapp II,LÄNSSTYRELSEN I DALARNAS LÄN,3/10/08,2/28/10,2962240,0
119493,Norra Mellansverige,Utvecklingsprojektet BiogasMitt,Regionförbundet Gävleborg,2/28/09,12/31/11,2964000,0
39725,Mellersta Norrland,Utvecklingsinsatser för ökat uttag av sk,efokus AB,1/1/08,12/31/10,2968000,0
40498,Stockholm,Entrepreneur Sthlm,Länsstyrelsen i Stockholms län,4/1/08,3/31/11,20000000,0
40281,Östra Mellansverige,Robotdalen,MÄLARDALENS HÖGSKOLA,1/1/08,12/31/10,20188428,0
70588,Stockholm,SATSA,Stockholms läns landsting,1/1/09,12/31/11,20215202,0
152488,Övre Norrland,Umeå Biotech Incubator,Umeå Biotech Incubator AB,1/1/11,12/31/13,20231114,0
151147,Östra Mellansverige,Printed Electronics Arena - Public Priva,Linköpings Universitet,1/8/10,12/31/12,20457650,0
140278,Mellersta Norrland,Förstudie ISDE - Sexdagars Enduro Lag VM,Jämtland Motorevent AB,3/11/09,12/15/09,200000,0
148488,Skåne-Blekinge,Logistikpark Hässleholm Nord - förstudie,Hässleholms kommun,10/1/09,6/30/10,200000,0
148428,Skåne-Blekinge,Förstudie - Nya möjligheter inom besöksn,REGION SKÅNE,10/1/09,9/8/10,200000,0
69898,Skåne-Blekinge,NESST Marknads- och intresseanalys,REGION SKÅNE,12/1/08,6/12/09,200000,0
42962,Skåne-Blekinge,Förstudie för ett applikationslabb inom,Tech Network Ronneby Ekonomisk förening,4/1/08,9/30/08,200000,0
42961,Skåne-Blekinge,BBR - Systemsamverkan för nyföretagande,REGION BLEKINGE,4/1/08,8/31/08,200000,0
68793,Västsverige,Framtidens kulturhus,Göteborgs kommun,12/1/08,7/15/09,200000,0
150519,Övre Norrland,"Förstudie ""Framtid Pajala""",PAJALA UTVECKLING AB,11/25/09,3/4/10,200000,0
40168,Mellersta Norrland,Förstudie för samverkan mellan företag i,Kustvägens ekonomiska förening,10/1/07,12/31/08,201380,0
67925,Övre Norrland,"TUUDI, Tillväxt Ur Universitetsdriven In",Luleå tekniska universitet,8/1/08,7/31/11,21000000,0
41732,Övre Norrland,Elektronik System - ett reginalt innovat,Luleå tekniska universitet,6/1/08,5/31/11,21081908,0
40974,Övre Norrland,EntreprenörCentrum Västerbotten,Almi Företagspartner Nord AB,1/1/08,12/31/10,21600000,0
42101,Mellersta Norrland,Regional kollektivtrafikanläggning i Bir,Sundsvalls kommun,1/1/08,6/30/10,21719014,0
70498,Småland och Öarna,Väg 23/47 förbi Målilla,Vägverket,4/1/09,3/31/12,21920000,0
39836,Stockholm,Förstudie Främja integration och mångfal,Stockholms läns landsting,1/1/08,10/31/08,210000,0
40437,Östra Mellansverige,trafikupplägg för ökad tillgänglighet i,REGIONFÖRBUNDET ÖSTSAM,2/1/08,12/31/08,210000,0
146653,Småland och Öarna,Förstudie för besöksmål Rock & Pop,ROCK CITY HULTSFRED AB,10/1/09,9/30/10,216000,0
40539,Småland och Öarna,Kretsloppsomställning av reningsverk,KALMAR KOMMUN,1/7/08,6/30/09,219899,0
39810,Mellersta Norrland,Turism 2020,JÄMTLAND-HÄRJEDALEN TURISM JHT EK FÖR,1/1/08,3/31/11,22346218,0
40185,Mellersta Norrland,ARENA för ungt entreprenörskap,Almi Företagspartner Mitt AB,1/1/08,12/31/10,22745944,0
68154,Mellersta Norrland,Bästa Resan - Hållbart regionförstoring,Länsstyrelsen Västernorrland,7/1/08,6/30/11,22804000,0
68737,Östra Mellansverige,NovaMedTech-Nya medicintekniska produkte,Linköpings Universitet,7/1/08,6/30/11,22971296,0
147124,Östra Mellansverige,Förstudie för Affärsutvecklingsplattform,ODG - Omnicode Developers Guild Ekonomis,11/1/09,4/30/10,221400,0
117332,Mellersta Norrland,Förstudie Nya Ridvägar i Njurunda,Mingens Skrängstasjöns Intresseförening,1/1/09,12/31/09,222000,0
152445,Norra Mellansverige,Tillämpad utvecklingsplattform inom förn,GÄVLE KOMMUN,5/1/10,10/20/10,225000,0
148850,Övre Norrland,Förstudie ang utveckling och tillväxt in,STRUKTURUM I JOKKMOKK AKTIEBOLAG,11/1/09,4/30/10,226550,0
42901,Västsverige,Förstudie: Nyföretagande (Halland),Region Halland,4/1/08,3/31/09,229680,0
70619,Norra Mellansverige,"ALMI Invest Västsverige, Värmland",ALMI Invest Västsverige AB,12/1/08,12/31/14,23000000,0
40455,Småland och Öarna,Våga-Växa-Vinna,ALMI FÖRETAGSPARTNER JÖNKÖPING AB,1/1/08,12/31/10,23236983,0
147009,Stockholm,"Biobränsleterminal Nykvarn, anpassning a",Nykvarns kommun,9/1/09,9/30/11,23330000,0
70376,Småland och Öarna,Förstudien Green Living,KALMAR SCIENCE PARK AB,1/1/09,5/31/09,234000,0
147139,Östra Mellansverige,Förstudie - Förutsättningar för Innovati,ARBOGA KOMMUN,10/20/09,4/20/10,240000,0
70457,Östra Mellansverige,Remade Sweden - en förstudie,IDEA PLANT AB,1/15/09,5/15/09,240000,0
118863,Mellersta Norrland,Vinkraftcentrum Strömsund,Strömsunds kommun,3/1/09,8/31/09,240089,0
148415,Småland och Öarna,Förprojekt: Alternativa vägar i Glasrike,Vägverket,9/7/09,4/30/10,241000,0
68786,Västsverige,Centrumutveckling i Partnerskap (Förstud,Göteborgs kommun,1/1/09,6/30/09,243036,0
117285,Mellersta Norrland,"Förstudie för projektet: Mikrosvamp, fis",Jämtlands läns landsting,12/1/08,9/30/09,243504,0
41908,Östra Mellansverige,Förstudie - Kompetensutveckling för till,Regionförbundet Örebro län,1/1/08,6/30/08,244000,0
148966,Östra Mellansverige,Förstudie Måltidscenter,Regionförbundet Örebro län,1/18/10,7/16/10,245000,0
153259,Östra Mellansverige,Förstudie - Länkorganisation för samarbe,ÖREBRO UNIVERSITET,8/9/10,1/31/11,245169,0
68717,Mellersta Norrland,Gastronomy - Jamtland,Jämtlands läns landsting,1/1/09,6/1/09,246900,0
151154,Östra Mellansverige,Förstudie för Norrköping Cultivator,NORRKÖPINGS KOMMUN,5/1/10,10/31/10,247000,0
150488,Östra Mellansverige,Förstudie Örebro Business & Science Aren,Inkubera AB,12/1/09,5/31/10,247500,0
145229,Östra Mellansverige,Mellansvensk Träindustri - Förstudie Tra,SVERIGES LANTBRUKSUNIVERSITET,6/1/09,11/30/09,247500,0
147135,Östra Mellansverige,Förstudie BRO - Business Region Örebro,Regionförbundet Örebro län,9/15/09,3/15/10,248000,0
140836,Östra Mellansverige,Transportcollege i Östgötaregionen,REGIONFÖRBUNDET ÖSTSAM,8/1/09,1/31/10,248000,0
27469,Norra Mellansverige,"Förstudie: GEOSUS, Geoenergy research ce",HUDIKSVALLS NÄRINGSLIVS AKTIEBOLAG,5/14/07,4/30/08,248103,0
145227,Östra Mellansverige,Förstudie för Sätra Brunn - ett regional,SÄTRA BRUNN HÄLSOBRUNN EKONOMISK FÖRENIN,8/1/09,12/31/09,248250,0
153993,Övre Norrland,UpNorth - Uppväxling av etablerade SMF i,Umeå Universitet,9/1/10,11/30/10,248742,0
153264,Östra Mellansverige,Förstudie Automation Region vidare till,MÄLARDALENS HÖGSKOLA,7/1/10,12/31/10,249000,0
118103,Östra Mellansverige,ekoland - ett upplevelsecentrum för håll,Föreningen ekoland,5/1/09,11/1/09,249000,0
70471,Östra Mellansverige,Stödstruktur för innovationer vid humani,Uppsala universitet,1/7/09,7/6/09,249000,0
140839,Östra Mellansverige,Internationell affärsutveckling för regi,VÄSTMANLANDS KOMMUNER OCH LANDSTING,8/10/09,1/10/10,249441,0
149001,Östra Mellansverige,Förstudie: Innovativa miljöer för långsi,Regionförbundet Örebro län,9/28/09,3/31/10,249750,0
145234,Östra Mellansverige,Förstudie Regional samverkansstruktur fö,APeL - FoU,5/1/09,11/1/09,249750,0
