Nazwa beneficjenta,Tytu_ projektu,Program Operacyjny,Dzia_anie,Poddzia_anie,Warto__ ogó_em,Dofinansowanie publiczne,Rok przyznania dofinansowania,Rok wyp_acenia ostatniej raty
Powiat Kra_nicki,Wiedza gwarancja sukcesu,Program Operacyjny Kapita_ Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jako_ci us_ug edukacyjnych _wiadczonych w systemie o_wiaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dost_pie do edukacji oraz zmniejszanie ró_nic w jako_ci us_ug edukacyjnych,"431,984.00","431,743.35",2008,2009
Powiat Kro_nie_ski - Zespó_ Szkó_ w Iwoniczu,Podniesienie zdolno_ci zatrudnienia drog_ podniesienia poziomu aktywno_ci zawodowej,Program Operacyjny Kapita_ Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywno_ci zawodowej na obszarach wiejskich,,"49,980.00","48,114.29",2008,2009
Powiat Kro_nie_ski - Zespó_ Szkó_ w Iwoniczu,Podniesienie poziomu aktywno_ci zawodowej mieszka_ców gminy Iwonicz Zdrój,Program Operacyjny Kapita_ Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywno_ci zawodowej na obszarach wiejskich,,"45,528.00","45,056.80",2008,2009
Powiat Kro_nie_ski - Zespó_ Szkó_ w Iwoniczu,Wdro_enie Programu Rozwoju Zespo_u Szkó_ w Iwoniczu ukierunkowanego na zmniejszanie dysproporcji w osi_gni_ciach uczniów w trakcie procesu kszta_cenia oraz podniesienie jego jako_ci.,Program Operacyjny Kapita_ Ludzki,9.2. Podniesienie atrakcyjno_ci i jako_ci szkolnictwa zawodowego,,"224,091.16","193,216.22",2008,2009
Powiat Kwidzy_ski,Po pierwsze partnerstwo- utworzenie biura partnerstwa powiatowego w powiecie kwidzy_skim,Program Operacyjny Kapita_ Ludzki,7.2. Przeciwdzia_anie wykluczeniu i wzmocnienie sektora ekonomii spo_ecznej,7.2.1 Aktywizacja zawodowa i spo_eczna osób zagro_onych wykluczeniem spo_ecznym,"98,122.08","95,896.36",2008,2009
Powiat L_borski,P_aszczyzna porozumienia - partnerstwo publiczno - spo_eczne w powiecie l_borskim,Program Operacyjny Kapita_ Ludzki,7.2. Przeciwdzia_anie wykluczeniu i wzmocnienie sektora ekonomii spo_ecznej,7.2.1 Aktywizacja zawodowa i spo_eczna osób zagro_onych wykluczeniem spo_ecznym,"99,000.00","98,980.34",2008,2009
Powiat Lipski/Powiatowy Urz_d Pracy w Lipsku,Nowa jako__ us_ug,Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.2 Wsparcie powiatowych i wojewódzkich urz_dów pracy w realizacji zada_ na rzecz aktywizacji zawodowej osób bezrobotnych w regionie,"104,000.00","88,377.62",2008,2009
Powiat Lubliniecki,Wspólnota lokalna szans_ rozwoju,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"34,982.00","33,321.23",2008,2009
Powiat _ódzki Wschodni,"Jestem, Jeste_",Program Operacyjny Kapita_ Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"37,754.73","37,404.18",2008,2009
Powiat Mi_ski,"„ Rozwój umiej_tno_ci zawodowych mieszka_ców obszarów wiejskich poprzez szkolenie ""Us_ugi kosmetyczne - pomys_ na w_asn_ firm_ ”",Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"50,000.00","49,982.27",2007,2009
Powiat M_awski/Powiatowy Urz_d Pracy w M_awie,"""Twoja praca szans_ dla innych""",Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.2 Wsparcie powiatowych i wojewódzkich urz_dów pracy w realizacji zada_ na rzecz aktywizacji zawodowej osób bezrobotnych w regionie,"79,553.00","67,620.02",2008,2009
Powiat Mr_gowski,edukacja m_odzie_y w powiecie mr_gowskim- rozwój wiedzy i umiej_tno_ci.,Program Operacyjny Kapita_ Ludzki,9.2. Podniesienie atrakcyjno_ci i jako_ci szkolnictwa zawodowego,,"516,768.34","450,787.72",2008,2009
Powiat Mr_gowski,Przebudowa drogi powiatowej nr 1759N Sorkwity - Rozogi.,Regionalny Program Operacyjny Województwa Warmi_sko-Mazurskiego,5.1. Rozbudowa i modernizacja infrastruktury transportowej warunkuj_cej rozwój regionalny,5.1.6. Infrastruktura drogowa warunkuj_ca rozwój regionalny,"2,863,125.28","1,977,001.32",2008,2009
Powiat Namys_owski,Lepsza Szko_a Zawodowa - Lepszym Jutrem,Program Operacyjny Kapita_ Ludzki,9.2. Podniesienie atrakcyjno_ci i jako_ci szkolnictwa zawodowego,,"136,092.00","116,632.32",2008,2009
Powiat Namys_owski,"""Przebudowa drogi powiatowej nr 1106 O""",Regionalny Program Operacyjny Województwa Opolskiego,3.1 Infrastruktura drogowa,3.1.2 Drogi lokalne,"1,783,844.37","1,516,267.70",2008,2009
Powiat Namys_owski,Kompleksowe wyposa_enie bloku operacyjnego w SP ZOZ w Namys_owie,Regionalny Program Operacyjny Województwa Opolskiego,5.2 Rozwój bazy medycznej w regionie,5.2.1 Stacjonarna opieka medyczna,"2,333,264.50","1,305,249.76",2008,2009
Powiat Nowomiejski,Masz szans_ - wykorzystaj j_,Program Operacyjny Kapita_ Ludzki,9.2. Podniesienie atrakcyjno_ci i jako_ci szkolnictwa zawodowego,,"349,843.00","305,089.22",2008,2009
Powiat Nyski,Witamina o_wiatowa - dodatkowe zaj_cia s_u__ce wyrównaniu dysproporcji edukacyjnych i rozowjowi kompetencji kluczowych w szko_ach powiatu nyskiego,Program Operacyjny Kapita_ Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jako_ci us_ug edukacyjnych _wiadczonych w systemie o_wiaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dost_pie do edukacji oraz zmniejszanie ró_nic w jako_ci us_ug edukacyjnych,"325,630.85","313,259.84",2008,2009
Powiat Nyski,Modernizacja dachu oraz pomieszcze_ dydaktycznych Zespo_u Szkó_ Rolnicze Centrum Kszta_cenia Ustawicznego w Nysie,Regionalny Program Operacyjny Województwa Opolskiego,5.1 Wsparcie infrastruktury edukacyjnej,5.1.1 Wsparcie regionalnej infrastruktury edukacyjnej,"1,545,589.93","1,247,467.11",2008,2009
Powiat Nyski/Powiatowy Urz_d Pracy w Nysie,Kobieta z Bielic - CZAS NA NAS,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"48,900.00","48,900.00",2008,2009
Powiat Obornicki,"Przebudowa drogi powiatowej nr 1847P Stobnica - Oborniki od km 3+250 do km 20+273, na d_ugo_ci 17,023 km",Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,"Dzia_anie 2.2. Poprawa dost_pno_ci do regionalnego i ponadregionalnego uk_adu drogowego (drogi wojewódzkie w miastach na prawach powiatu, powiatowe i gminne)",Schemat II Drogi w granicach administracyjnych miast poni_ej 50 tys. mieszka_ców oraz na obszarach wiejskich.,"4,300,112.08","2,090,977.15",2008,2009
Powiat Olecki,Wy_sze kwalifikacje - lepsze perspektywy,Program Operacyjny Kapita_ Ludzki,8.1. Rozwój pracowników i przedsi_biorstw w regionie,8.1.2 Wsparcie procesów adaptacyjnych i modernizacyjnych w regionie,"338,785.00","336,165.25",2008,2009
Powiat oleski ,Ucz si_ zawodu i realizuj marzenia,Program Operacyjny Kapita_ Ludzki,9.2. Podniesienie atrakcyjno_ci i jako_ci szkolnictwa zawodowego,,"455,467.00","396,462.36",2008,2009
Powiat Olszty_ski,Warmia - poznasz i pokochasz,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"50,000.00","49,383.91",2008,2009
Powiat Opoczy_ski,Idziemy razem,Program Operacyjny Kapita_ Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"45,935.00","44,665.09",2008,2009
Powiat Opolski,Nowe kompetencje uczniów Publicznego Technikum Le_nego w Tu_owicach szans_ na lepsze jutro,Program Operacyjny Kapita_ Ludzki,9.2. Podniesienie atrakcyjno_ci i jako_ci szkolnictwa zawodowego,,"59,839.00","49,481.38",2008,2009
Powiat Opolski/Powiatowe Centrum Pomocy Rodzinie w Opolu,Aktywno_ci_ przeciw wykluczeniu,Program Operacyjny Kapita_ Ludzki,7.1. Rozwój i upowszechnienie aktywnej integracji,7.1.2 Rozwój i upowszechnianie aktywnej integracji przez powiatowe centra pomocy rodzinie,"130,596.00","98,135.31",2008,2009
Powiat Ostro__cki/Powiatowy Urz_d Pracy w Ostro__ce,""" Kadra-gwarancj_ realizacji us_ug rynku pracy""",Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.2 Wsparcie powiatowych i wojewódzkich urz_dów pracy w realizacji zada_ na rzecz aktywizacji zawodowej osób bezrobotnych w regionie,"77,400.00","65,790.00",2008,2009
Powiat Ostródzki,M_odzie_ przysz_o_ci_ - wyrównywanie szans edukacyjnych w powiecie ostródzkim,Program Operacyjny Kapita_ Ludzki,9.2. Podniesienie atrakcyjno_ci i jako_ci szkolnictwa zawodowego,,"1,224,625.00","925,930.31",2008,2009
Powiat O_wi_cimski - Powiatowy Urz_d Pracy w O_wi_cimiu,Nowy standard,Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.2 Wsparcie powiatowych i wojewódzkich urz_dów pracy w realizacji zada_ na rzecz aktywizacji zawodowej osób bezrobotnych w regionie,"172,908.95","146,391.21",2008,2009
Powiat Piaseczy_ski/Powiatowy Urz_d Pracy w Piasecznie,Chc_ pomaga_ bezrobotnym,Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.2 Wsparcie powiatowych i wojewódzkich urz_dów pracy w realizacji zada_ na rzecz aktywizacji zawodowej osób bezrobotnych w regionie,"74,206.00","60,505.67",2008,2009
Powiat Piotrkowski,Aktywni w Powiecie Piotrkowskim,Program Operacyjny Kapita_ Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywno_ci zawodowej na obszarach wiejskich,,"37,300.00","37,298.80",2008,2008
Powiat Piotrkowski,Aktywni mieszka_cy Powiatu Piotrkowskiego,Program Operacyjny Kapita_ Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywno_ci zawodowej na obszarach wiejskich,,"49,985.00","49,979.69",2008,2009
Powiat Piotrkowski,Tradycje ludowe w Powiecie Piotrkowskim,Program Operacyjny Kapita_ Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"50,000.00","49,999.90",2008,2009
Powiat Piotrkowski,Edukacja drog_ do europejskiej kariery,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"50,000.00","49,969.55",2008,2009
Powiat P_ocki/Powiatowy Urz_d Pracy w P_ocku,„Europejskie standardy us_ug wsparciem rozwoju rynku pracy w Powiecie P_ockim ”,Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.2 Wsparcie powiatowych i wojewódzkich urz_dów pracy w realizacji zada_ na rzecz aktywizacji zawodowej osób bezrobotnych w regionie,"194,861.00","158,058.28",2008,2009
Powiat P_o_ski / Powiatowy Urz_d Pracy w P_o_sku,„Nowy urz_dnik – wy_sze standardy us_ug rynku pracy”,Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.2 Wsparcie powiatowych i wojewódzkich urz_dów pracy w realizacji zada_ na rzecz aktywizacji zawodowej osób bezrobotnych w regionie,"117,278.20","94,513.57",2008,2009
Powiat Przysuski,Letnie warsztaty muzyczne M_odzie_owych Orkiestr D_tych z Odrzywo_u i Potworowa,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"50,000.00","49,986.82",2007,2009
Powiat Przysuski / Powiatowy Urz_d Pracy w Przysusze,"""Dobra kadra""",Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.2 Wsparcie powiatowych i wojewódzkich urz_dów pracy w realizacji zada_ na rzecz aktywizacji zawodowej osób bezrobotnych w regionie,"97,003.00","82,452.54",2008,2009
Powiat Przysuski.,Zimowe warsztaty muzyczne M_odzie_owej Orkiestry D_tej z Przysuchy.,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"39,536.00","39,536.00",2007,2009
Powiat Pu_tuski/Powiatowy Urz_d Pracy w Pu_tusku,"""Twoje miejsce jest w Powiatowym Urz_dzie Pracy w Pu_tusku""",Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.2 Wsparcie powiatowych i wojewódzkich urz_dów pracy w realizacji zada_ na rzecz aktywizacji zawodowej osób bezrobotnych w regionie,"179,035.00","145,862.21",2008,2009
Powiat Pu_tuski/Powiatowy Urz_d Pracy w Pu_tusku,Profesjonalny pracownik Powiatowego Urz_du Pracy w Pu_tusku,Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.2 Wsparcie powiatowych i wojewódzkich urz_dów pracy w realizacji zada_ na rzecz aktywizacji zawodowej osób bezrobotnych w regionie,"69,300.00","52,605.00",2008,2009
Powiat Pyrzycki,Wi_cej wiem - _atwiej zdam,Program Operacyjny Kapita_ Ludzki,9.2. Podniesienie atrakcyjno_ci i jako_ci szkolnictwa zawodowego,,"290,797.00","236,974.97",2008,2009
Powiat pyrzycki,"J_zyki i komputery to droga do Twojej kariery
",Program Operacyjny Kapita_ Ludzki,8.1. Rozwój pracowników i przedsi_biorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsi_biorstw,"579,534.60","559,011.73",2008,2009
Powiat Radomski/Zespó_ Szkó_ Ponadgimnazjalnych im.St. Staszica w I__y,Poprzez kursy spawania do zawodu i pracy,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,775.25","49,775.19",2007,2009
Powiat Sandomierski,II Etap Budowy M_odzie_owego O_rodka Wychowawczego w Zawicho_cie,Regionalny Program Operacyjny Województwa _wi_tokrzyskiego,"5.2. Podniesienie jako_ci us_ug publicznych poprzez wspieranie placówek edukacyjnych, i kulturalnych",,"2,248,520.38","927,774.88",2008,2009
Powiat S_awie_ski,"""Ortograffiti""",Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"18,101.30","17,972.64",2007,2009
Powiat S_ubicki,Nowoczesny szpital. Poprawa jako_ci i dost_pno_ci do us_ug specjalistycznych dla Lubuszan z zachodniej cz__ci województwa,Regionalny Program Operacyjny Województwa Lubuskiego,4.1 Rozwój i modernizacja infrastruktury ochrony zdrowia.,4.1.1 Rozwój i modernizacja regionalnej infrastruktury ochrony zdrowia.,"2,545,025.79","2,163,271.92",2009,2009
Powiat S_ubicki,Chc_ by_ samodzielny. Wyposa_enie i modernizacja wielofunkcyjnej placówki opieku_czo – wychowawczej Nasza Chata w Cybince.,Regionalny Program Operacyjny Województwa Lubuskiego,4.1 Rozwój i modernizacja infrastruktury ochrony zdrowia.,4.1.2 Rozwój i modernizacja lokalnej infrastruktury ochrony zdrowia.,"3,087,745.56","2,196,229.15",2009,2009
Powiat Starachowicki,Modernizacja budynku Specjalnego Osrodka Szkolno - Wychowawczego w Starachowicach,Regionalny Program Operacyjny Województwa _wi_tokrzyskiego,"5.2. Podniesienie jako_ci us_ug publicznych poprzez wspieranie placówek edukacyjnych, i kulturalnych",,"1,091,540.00","654,924.00",2008,2009
Powiat Starogardzki,Kociewiacy zapraszaj_ turystów po angielsku - szkolenia j_zykowe na obszarach wiejskich.,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"48,676.00","48,675.52",2007,2009
Powiat Strzelecki,Przysz_y absolwent - fachowiec. Ucze_ szko_y zawodowej z mi_dzynarodowymi certyfikatami.,Program Operacyjny Kapita_ Ludzki,9.2. Podniesienie atrakcyjno_ci i jako_ci szkolnictwa zawodowego,,"276,000.00","239,331.32",2008,2009
Powiat Strzelecki,Modernizacja bazy dydaktycznej Zespo_u Szkó_ Zawodowych Nr 1 w Strzelcach Opolskich,Regionalny Program Operacyjny Województwa Opolskiego,5.1 Wsparcie infrastruktury edukacyjnej,5.1.1 Wsparcie regionalnej infrastruktury edukacyjnej,"1,909,231.71","1,605,584.14",2008,2009
Powiat strzelecki - Powiatowy Urz_d Pracy w Strzelcach Opolskich,"""Sukces w dzia_aniu"" - program szkole_ dla osób pracuj_cych powy_ej 45 roku _ycia",Program Operacyjny Kapita_ Ludzki,8.1. Rozwój pracowników i przedsi_biorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsi_biorstw,"224,945.00","220,069.31",2008,2009
Powiat Szczecinecki,Poprawa bezpiecze_stwa mieszka_ców powiatu szczecineckiego - karetki _ycia,Program Operacyjny Infrastruktura i _rodowisko,XII.1. Rozwój systemu ratownictwa medycznego,,"760,472.41","610,782.76",2008,2009
Powiat Szyd_owiecki,Twoja przysz_o__ w Twoich r_kach I,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"44,370.00","42,849.97",2008,2009
Powiat Szyd_owiecki/Powiatowy Urz_d Pracy w Szyd_owcu,"""Lepsze jutro""",Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.2 Wsparcie powiatowych i wojewódzkich urz_dów pracy w realizacji zada_ na rzecz aktywizacji zawodowej osób bezrobotnych w regionie,"145,718.00","123,860.29",2008,2009
Powiat Tczewski,Trzy filary - podstawa wzmocnienia partnerstwa lokalnego w Powiecie Tczewskim,Program Operacyjny Kapita_ Ludzki,7.2. Przeciwdzia_anie wykluczeniu i wzmocnienie sektora ekonomii spo_ecznej,7.2.1 Aktywizacja zawodowa i spo_eczna osób zagro_onych wykluczeniem spo_ecznym,"99,490.00","98,901.60",2008,2009
Powiat Turecki,Studia szans_ na lepsz_ przysz_o__,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"43,340.00","43,339.94",2008,2009
Powiat Wadowicki - Powiatowy Urz_d Pracy w Wadowicach,Nawigator rynku pracy,Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.2 Wsparcie powiatowych i wojewódzkich urz_dów pracy w realizacji zada_ na rzecz aktywizacji zawodowej osób bezrobotnych w regionie,"149,458.40","127,037.20",2008,2009
Powiat W_growiecki,Multimodalne Centrum Planowania Kariery Zawodowej dla M_odzie_y Gimnazjalnej w Powiecie W_growieckim.,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,961.24","15,842.00",2007,2009
Powiat W_growiecki,"Zainteresuj si_ bogactwem okolicy, w której mieszkasz - cykl zaj__ aktywizuj_cych spo_eczno_ci lokalne w powiecie w_growieckim",Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,992.00","49,990.61",2008,2009
POWIAT WIELICKI,"Przebudowa odcinka drogi powiatowej nr 2039K  na d_ugo_ci 1,7 km w miejscowo_ci Brzegi i Kokotów wraz z przebudow_ obiektu mostowego na Drwini D_ugiej",Regionalny Program Operacyjny Województwa Ma_opolskiego,4.1. Rozwój infrastruktury drogowej,Schemat C: Drogi powiatowe,"9,031,385.00","5,326,121.07",2008,2009
"Powiat wielu_ski, Zespó_ Szkó_ nr 2 im. Jana D_ugosza w Wieluniu",Szkolnictwo zawodowe kluczem do sukcesu,Program Operacyjny Kapita_ Ludzki,9.2. Podniesienie atrakcyjno_ci i jako_ci szkolnictwa zawodowego,,"132,691.00","110,772.78",2008,2009
Powiat W_oszczowski,"Przebudowa drogi powiatowej Nr 0241T Chlewice - Jadwigów, na odcinku o d_ugo_ci 2,13 km.",Regionalny Program Operacyjny Województwa _wi_tokrzyskiego,3.2. Rozwój systemów lokalnej infrastruktury komunikacyjnej,,"1,097,064.39","658,238.63",2008,2009
Powiat Wo_omi_ski / Powiatowy Urz_d Pracy w Wolominie,"""KADRA-TO KAPITA_""",Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.2 Wsparcie powiatowych i wojewódzkich urz_dów pracy w realizacji zada_ na rzecz aktywizacji zawodowej osób bezrobotnych w regionie,"134,619.00","99,884.99",2008,2009
Powiat Wrzesi_ski,Efektywna edukacja zawodowa to wysoka zdolno__ do zatrudnienia,Program Operacyjny Kapita_ Ludzki,9.2. Podniesienie atrakcyjno_ci i jako_ci szkolnictwa zawodowego,,"444,880.00","349,858.97",2008,2009
Powiat wysokomazowiecki,"Ni_ Ariadny, czyli jak porusza_ si_ w cyfrowym labiryncie nowoczesnej biblioteki",Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"48,574.00","48,201.92",2008,2009
Powiat Zambrowski,Dobre przygotowanie do matury - perspektyw_ lepszej przysz_o_ci,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,770.00","49,639.40",2007,2009
Powiat Zambrowski,Dobrze zdana matura - drogowskazem lepszej przysz_o_ci,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,864.00","49,815.66",2008,2009
Powiat Z_otowski,Pierwszy Krok do Kariery,Program Operacyjny Kapita_ Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jako_ci us_ug edukacyjnych _wiadczonych w systemie o_wiaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dost_pie do edukacji oraz zmniejszanie ró_nic w jako_ci us_ug edukacyjnych,"216,550.00","198,460.21",2008,2009
Powiat _aga_ski,Zakup samochodu kontrolno - rozpoznawczego z funkcj_ do ograniczania stref ska_e_ chemicznych ,Regionalny Program Operacyjny Województwa Lubuskiego,3.1 Infrastruktura ochrony _rodowiska przyrodniczego.,,"267,828.20","212,202.50",2008,2009
Powiat _yrardowski/Powiatowy Urz_d Pracy w _yrardowie,Jako__ w aktywizacji,Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.2 Wsparcie powiatowych i wojewódzkich urz_dów pracy w realizacji zada_ na rzecz aktywizacji zawodowej osób bezrobotnych w regionie,"96,363.00","81,532.73",2008,2009
Powiatowe Centrum Edukacji Zawodowej ,Nabywam nowe umiej_tno_ci i _ród_a dochodu,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"47,938.00","47,904.16",2008,2009
Powiatowe Centrum Pomocy Rodzinie w K_trzynie,Program aktywizacji spo_ecznej i zawodowej usamodzielnianych wychowanków rodzin zast_pczych i placówek opieku_czo - wychowawczych,Program Operacyjny Kapita_ Ludzki,7.2. Przeciwdzia_anie wykluczeniu i wzmocnienie sektora ekonomii spo_ecznej,7.2.1 Aktywizacja zawodowa i spo_eczna osób zagro_onych wykluczeniem spo_ecznym,"98,970.00","93,383.70",2008,2009
Powiatowe Centrum Pomocy Rodzinie w Olecku,Otwarci na wszystko,Program Operacyjny Kapita_ Ludzki,7.2. Przeciwdzia_anie wykluczeniu i wzmocnienie sektora ekonomii spo_ecznej,7.2.1 Aktywizacja zawodowa i spo_eczna osób zagro_onych wykluczeniem spo_ecznym,"242,371.50","242,371.50",2008,2009
Powiatowe Centrum Zdrowia Spó_ka Akcyjna w Kluczborku,Poprawa diagnostyki poprzez zakup nowoczesnej aparatury medycznej dla PCZ NZOZ Szpitala Powiatowego w Kluczborku,Regionalny Program Operacyjny Województwa Opolskiego,5.2 Rozwój bazy medycznej w regionie,5.2.1 Stacjonarna opieka medyczna,"811,900.92","489,592.30",2008,2009
Powiatowy Cech Rzemios_ Ma_ych i _rednich Przedsi_biorstw - Zwi_zek Pracodawców,Podwy_szenie  umiejetno_ci zawodowych pracuj_cych osób po 45 roku _ycia z terenu powiatu wejherowskiego.,Program Operacyjny Kapita_ Ludzki,8.1. Rozwój pracowników i przedsi_biorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsi_biorstw,"370,109.40","367,583.03",2007,2009
Powiatowy Szpital im. W_adys_awa Biega_skiego w I_awie,Wymiana ambulansu podstawowego zespo_u ratownictwa medycznego w Zalewie szans_ mieszka_ców powiatu i_awskiego na lepszy dost_p do _wiadcze_.,Program Operacyjny Infrastruktura i _rodowisko,XII.1. Rozwój systemu ratownictwa medycznego,,"387,238.44","329,152.67",2008,2009
Powiatowy Szpital im. W_adys_awa Biega_skiego w I_awie,Zakup ambulansu na potrzeby podstawowego zespo_u ratownictwa medycznego w I_awie szans_ mieszka_ców powiatu i_awskiego na lepszy dost_p do _wiadcze_.,Program Operacyjny Infrastruktura i _rodowisko,XII.1. Rozwój systemu ratownictwa medycznego,,"387,238.44","329,152.67",2008,2009
Powiatowy Urzad Pracy w S_upca,Nowy start- Nowe perspektywy,Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.2 Wsparcie powiatowych i wojewódzkich urz_dów pracy w realizacji zada_ na rzecz aktywizacji zawodowej osób bezrobotnych w regionie,"103,374.84","87,631.83",2008,2009
Powiatowy Urz_d Pracy dla Miasta Torunia,Pracownik na 6,Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.2 Wsparcie powiatowych i wojewódzkich urz_dów pracy w realizacji zada_ na rzecz aktywizacji zawodowej osób bezrobotnych w regionie,"250,000.00","212,500.00",2008,2009
Powiatowy Urz_d Pracy dla Powiatu Toru_skiego,Profesjonalny Urz_d,Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.2 Wsparcie powiatowych i wojewódzkich urz_dów pracy w realizacji zada_ na rzecz aktywizacji zawodowej osób bezrobotnych w regionie,"200,240.00","161,281.91",2008,2009
Powiatowy Urz_d Pracy Nr 1 w _odzi,PUBLICZNE S_U_BY ZATRUDNIENIA DLA CIEBIE,Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.2 Wsparcie powiatowych i wojewódzkich urz_dów pracy w realizacji zada_ na rzecz aktywizacji zawodowej osób bezrobotnych w regionie,"975,391.90","804,742.41",2008,2009
