Beneficiary,Name of the operation, Allocated public funding_EU- and national co-financing,Subprogram,Operational Program
ADEG ÖSTERREICH HANDELS AG,Qualifizierung für Beschäftigte,"5,242",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ADEINS  GRAFISCHE STUDIOS GMBH,Qualifizierung für Beschäftigte,"2,300",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ADELSBERGER & THALER  STEUERBERATUNGSGESELLSCHAFT OEG,Qualifizierung für Beschäftigte,599,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ADELSBERGER TEXTILHAUS GMBH,Qualifizierung für Beschäftigte,"22,578",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ADLBAUER & ADLBAUER OG,Qualifizierung für Beschäftigte,"1,000",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ADLBAUER &ADLBAUER STEUERBERATUNGS GMBH,Qualifizierung für Beschäftigte,777,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ADLER,Qualifizierung für Beschäftigte,660,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ADLER APOTHEKE  MAG. PHARM. BERND MILENKOVICS,Qualifizierung für Beschäftigte,"1,267",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ADLER APOTHEKE MAG. PHARM.NIEDAN KG,Qualifizierung für Beschäftigte,527,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ADLER PHARMA PRODUKTION UND VERTRIEB GMBH,Qualifizierung für Beschäftigte,556,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
