Beneficiary,Name of the operation, Allocated public funding_EU- and national co-financing,Subprogram,Operational Program
"SONNHOF, FAM. HÖLLWART",Qualifizierung für Beschäftigte,168,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SONNLEITNER URSULA,Qualifizierung für Beschäftigte,441,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SONY ERICSSONMOBILE COMMUNICATIONS INTERN. AB,Qualifizierung für Beschäftigte,801,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOPHIE VON LIECHTENSTEIN STIFTUNG FÜR FRAU UND KIND,Qualifizierung für Beschäftigte,900,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOPOUSEK-SCHWANKHART CLAUDIA,Qualifizierung für Beschäftigte,203,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOPP WERBEGRAFIK,Qualifizierung für Beschäftigte,"1,087",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOPRO BAUCHEMIE GMBH AUSTRIA,Qualifizierung für Beschäftigte,"2,016",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SORA INSTITUTE FOR SOCIAL  RESEARCH AND ANALYSIS OGRIS&HOFINGER GMBH,Qualifizierung für Beschäftigte,"1,400",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SORAVIA SERVICE GMBH,Qualifizierung für Beschäftigte,"1,888",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SORGER REINHARD  WIRTSCHAFTSTREUHÄNDER UND  STEUERBERATER,Qualifizierung für Beschäftigte,435,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SORITZ GMBH,Qualifizierung für Beschäftigte,"1,828",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOS-KINDERDORF,Qualifizierung für Beschäftigte,137,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOS-KINDERDORF HERMANN GMEINER AKADEMIE,Qualifizierung für Beschäftigte,"1,232",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOS-KINDERDORF INTERNATIONAL,Qualifizierung für Beschäftigte,"3,729",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOT SÜD-OST TREUHAND GMBH  WIRTSCHAFTSPRÜFUNGS- UND STEUERBERATUNGSGESELLSCHAFT,Qualifizierung für Beschäftigte,924,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOT SÜD-OST TREUHAND GMBH.,Qualifizierung für Beschäftigte,593,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOT SÜD-OST TREUHAND GMBHWIRTSCHAFTSPRÜFUNGS- U. STEUERBERATUNGSGESELLSCHAFT,Qualifizierung für Beschäftigte,411,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOUCEK WOLFGANG,Qualifizierung für Beschäftigte,533,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOWA RENATE,Qualifizierung für Beschäftigte,333,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZ.DIEN.D.ADVENTMIS.VEREIN F.HILFSDIENSTE D.KIRCHE D.SIEBENTEN-TAGS-ADVENTISTEN,Gesundheit/Pflege,"24,002",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIAL GLOBAL AG,Gesundheit/Pflege ,"3,456",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIAL GLOBAL AG,Qualifizierung für Beschäftigte,"7,443",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIAL U. GESUNDHEITSPRENGEL  ASSLING-ANRAS-ABFALTERS,Qualifizierungsverbund,"1,448",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIAL- GESUNDHEITSSPRENGEL,Qualifizierungsverbund ,171,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIAL- GESUNDHEITSSPRENGEL  INZING-HATTING-POLLING,Qualifizierungsverbund ,"4,752",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIAL- U.  GESUNDHEITSSPRENGEL,Qualifizierung für Beschäftigte,"1,840",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIAL- U.  GESUNDHEITSSPRENGEL UNTERE SCHRANNE,Qualifizierungsverbund,954,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIAL- U. GESUNDHEITSSPRENGEL  IMST UND UMGEBUNG,Gesundheit/Pflege ,87,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIAL- U. GESUNDHEITSSPRENGEL  IMST UND UMGEBUNG,Qualifizierungsverbund ,"3,301",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIAL- U. GESUNDHEITSSPRENGEL  NUßDORF-DEBANT UND UMGEBUNG,Qualifizierungsverbund ,"4,862",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIAL- U.GESUNDHEITSSPRENGELLANDECK-ZAMS-FLIEß-SCHÖNWIES,Qualifizierungsverbund ,"3,610",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIAL- U.GESUNDHEITSSPRENGELSTANZERTAL,Qualifizierungsverbund ,"1,526",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIAL- UND  GESUNDHEITSSPRENGEL RUM,Qualifizierungsverbund ,"3,175",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIAL- UND  GESUNDHEITSSPRENGEL ST. JOHANN-OBERNDORF-KIRCHDORF,Qualifizierungsverbund ,"6,890",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIAL- UND  HEILPÄDAGOGISCHES FÖRDERUNGSINSTITUT,Qualifizierung für Beschäftigte,233,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIAL- UND GESUNDHEITS  VEREIN GRATKORN UND UMGEBUNG,Qualifizierung für Beschäftigte,"1,712",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIAL- UND GESUNDHEITSSPRENGEL  A.D. MELACH,Qualifizierung für Beschäftigte,137,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIAL- UND GESUNDHEITSSPRENGEL  A.D. MELACH,Qualifizierungsverbund ,"2,404",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIAL- UND GESUNDHEITSSPRENGEL  DEFEREGGENTAL-KALS,Qualifizierungsverbund ,"2,832",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIAL- UND GESUNDHEITSSPRENGEL MITTLERES OBERINNTAL,Gesundheit/Pflege ,163,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIAL- UND GESUNDHEITSSPRENGEL MITTLERES OBERINNTAL,Qualifizierungsverbund ,405,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIAL- UND GESUNDHEITSSPRENGEL VORDERES ÖTZTAL,Qualifizierungsverbund ,"1,117",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIAL-MEDIZINISCHER VEREIN  TIROL,Qualifizierungsverbund ,767,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIAL-U.  GESUNDHEITSSPRENGEL KIRCHBERG/REITH,Qualifizierungsverbund ,720,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"SOZIAL-U.GESUNDHEITSSPRENGEL KITZBÜHEL, AURACH U. JOCHBERG",Qualifizierungsverbund ,573,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALDIENSTE GÖTZIS GESMBH.,Qualifizierung für Beschäftigte,"2,339",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALDIENSTE GÖTZIS GESMBH.,Qualifizierungsverbund,"2,980",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALDIENSTE WOLFURT GEMEINNÜTZIGE GMBH.,Qualifizierung für Beschäftigte,751,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALDIENSTE WOLFURT GEMEINNÜTZIGE GMBH.,Qualifizierungsverbund,173,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALE ARBEIT GMBH,Qualifizierung für Beschäftigte,"2,057",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALE ARBEIT GMBH,Soziale Arbeit GmbH SAG 2007 ,"652,098",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALE EINRICHTUNG DER  BARMH. SCHWEST. JESUSHEIM,Qualifizierung für Beschäftigte,"1,364",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALE EINRICHTUNG DER  BARMH. SCHWEST. JESUSHEIM,Qualifizierungsverbund,"1,625",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALE INITIATIVE GEMEINNÜTZIGE GMBH,Qualifizierung für Beschäftigte,"15,423",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALE INITIATIVE GMÜND,Lebmit&bunttex 2007 ,"415,410",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALES KOMPETENZZENTRUMRUM GEMEINN.BETRIEBSGMBH,Qualifizierung für Beschäftigte,200,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALES KOMPETENZZENTRUMRUM GEMEINN.BETRIEBSGMBH,Qualifizierungsverbund,501,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALES WOHNHAUS  NEUNKIRCHEN,Qualifizierung für Beschäftigte,"1,913",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALES ZENTRUM ST. JOSEF,Qualifizierungsverbund,"6,868",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALINITIATIVENWOHNWERKSTATT,Qualifizierung für Beschäftigte,"3,033",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALINITIATIVENWOHNWERKSTATT,Wohnwerkstatt Verlängerung ,"469,302",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALSPRENGEL HARD,Qualifizierung für Beschäftigte,"1,785",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALTHERAPEUTIKUM - STEIERMARK HAUS SONNLEITEN,Qualifizierung für Beschäftigte,"1,600",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALTHERAPEUTISCHE LEBENS- UND ARBEITSGEMEINSCHAFT,Qualifizierung für Beschäftigte,"6,800",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALVEREIN B37,Qualifizierung für Beschäftigte,"1,517",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALZENTRUM  MÜNSTER GEMEINN. BETRIEBSGMBH,Qualifizierung für Beschäftigte,"2,563",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALZENTRUM  MÜNSTER GEMEINN. BETRIEBSGMBH,Qualifizierungsverbund,"3,213",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALZENTRUM  VORDERWALD GGMBH,Qualifizierung für Beschäftigte,226,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALZENTRUM ALTACH GEMEINNÜTZIGE GMBH,Qualifizierung für Beschäftigte,132,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALZENTRUM ALTACH GEMEINNÜTZIGE GMBH,Qualifizierungsverbund,699,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALZENTRUM BEZAU MELLAU-REUTHE,Qualifizierungsverbund ,173,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALZENTRUM FRASTANZ,Qualifizierungsverbund ,687,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALZENTRUM LEBENSRAUM VORDERLAND GEMEINNÜTZIGE BETRIEBS GMBH,Qualifizierung für Beschäftigte,"2,129",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALZENTRUM LEBENSRAUM VORDERLAND GEMEINNÜTZIGE BETRIEBS GMBH,Qualifizierungsverbund,140,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALZENTRUM SATTEINS,Qualifizierung für Beschäftigte,173,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALZENTRUM SATTEINS,Qualifizierungsverbund ,395,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SOZIALZENTRUM ST. VINERIUS,Qualifizierungsverbund ,786,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPA HOTEL BRÜNDL - BETRIEBS GMBH,Qualifizierung für Beschäftigte,664,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPA HOTEL BRÜNDL-BETRIEBSGMBH,Qualifizierung für Beschäftigte,"3,430",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPANDEX GESMBH,Qualifizierung für Beschäftigte,465,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPANNER JOSEF,Qualifizierung für Beschäftigte,"1,700",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPANNY HUBERT GMBH & CO KG,Qualifizierung für Beschäftigte,"1,173",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPAR  RALPH KRONDORFER,Qualifizierung für Beschäftigte,"2,587",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPAR  ÖSTERREICHISCHE WARENHANDELS AG,Qualifizierung für Beschäftigte,"3,328",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPAR AG,Qualifizierung für Beschäftigte,"7,569",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPAR EUROPEAN CENTERS,Qualifizierung für Beschäftigte,693,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPAR PRAUCHNER GMBHPRAUCHNER GMBH,Qualifizierung für Beschäftigte,240,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPAR ÖSTERR. WARENHANDELS AG,Qualifizierung für Beschäftigte,730,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPAR ÖSTERR. WARENHANDELS AG  ZWEIGNIEDERLASSUNG GRAZ,Qualifizierung für Beschäftigte,"16,682",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPAR ÖSTERR. WARENHANDELS-AG,Qualifizierung für Beschäftigte,"4,351",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPAR ÖSTERR.WARENHANDELS AG  ZENTRALE DORNBIRN,Qualifizierung für Beschäftigte,393,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPAR ÖSTERREICHISCHE WARENHANDELS AG,Qualifizierung für Beschäftigte,"2,034",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPAR ÖSTERREICHISCHE WARENHANDELS AG,Qualifizierung für Beschäftigte,"8,360",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPAR-ÖSTERR. WARENHANDELS AG  ZWNL WÖRGL,Qualifizierung für Beschäftigte,"1,889",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPARDA-BANK LINZ  REGISTRIERTE GENOSSENSCHAFT M.B.H.,Qualifizierung für Beschäftigte,"11,106",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPARKASSE BREGENZ,Qualifizierung für Beschäftigte,"3,177",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPARKASSE EFERDINGWAIZENKIRCHEN,Qualifizierung für Beschäftigte,648,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPARKASSE FELDKIRCH,Qualifizierung für Beschäftigte,309,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPARKASSE IMST,Qualifizierung für Beschäftigte,217,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPARKASSE IMST,Qualifizierungsverbund,"1,609",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPARKASSE KUFSTEIN  TIROLER SPARKASSE VON 1877,Qualifizierung für Beschäftigte,800,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPARKASSE KUFSTEIN  TIROLER SPARKASSE VON 1877,Qualifizierungsverbund,"3,801",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPARKASSE NEUHOFEN BANK AG,Qualifizierung für Beschäftigte,260,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPARKASSE RATTENBERG,Qualifizierung für Beschäftigte,"3,847",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPARKASSE SCHWAZ,Qualifizierung für Beschäftigte,985,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPARKASSE WALDVIERTEL-MITTE  BANK AG,Qualifizierung für Beschäftigte,"1,475",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPARKASSEN  VERSICHERUNG AG,Qualifizierung für Beschäftigte,380,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPARL NICOLETTE  DR. MED. DENT.,Qualifizierung für Beschäftigte,"2,093",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPATT SUSANNE,Qualifizierung für Beschäftigte,199,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPC DIENSTLEISTUNGEN GMBH.,Qualifizierung für Beschäftigte,"1,287",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPECHTENHAUSER GMBH & COKG,Qualifizierung für Beschäftigte,283,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPEDIMAX TRANSPORT  SERVICE GMBH,Qualifizierungsverbund,"3,048",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPEDITION ANTON WAGNER GMBH,Qualifizierung für Beschäftigte,"2,317",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPEDITION LANG GMBH,Qualifizierung für Beschäftigte,327,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPEDITIONS-PARTNER GMBH,Qualifizierung für Beschäftigte,627,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPEEDMASTER GMBH,Qualifizierung für Beschäftigte,"1,333",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPEEDTECH METALLVERARBEITUNG GMBH,Qualifizierung für Beschäftigte,293,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPENGLEREI ALBRECHT DIETMAR,Qualifizierung für Beschäftigte,675,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPERL & LAFER  WIRTSCHAFTSTREUHAND-  UND  STEUERBERATUNGS GMBH,Qualifizierung für Beschäftigte,"1,120",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPES GMBH & CO KG,Qualifizierung für Beschäftigte,424,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPG INTERNATIONAL GMBH,Qualifizierung für Beschäftigte,239,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPG MANAGEMENT GMBH SMG,Qualifizierung für Beschäftigte,653,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPIEGLTEC GESMBH,Qualifizierungsverbund,"3,990",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPIEL & CO HANDELS-GMBH,Qualifizierung für Beschäftigte,"1,712",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPIRK UND PARTNER,Qualifizierung für Beschäftigte,193,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPITZAR & KREIBICH GESNBR,Qualifizierung für Beschäftigte,"1,250",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPITZBART JOHANN GMBH &CO KG,Qualifizierung für Beschäftigte,266,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
SPORT 2000 CHECK-IN  JOSEF STÖCKL,Qualifizierung für Beschäftigte,"1,080",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
