datum_objave_potrditve,op,naziv,status,vir,posrednisko_telo_razpisovalec_organ_upravljanja,razpisana_potrjena_vrednost,naziv_upravicenca,naziv_operacije,regija,leto_dodelitve_sredstev,visina_dodeljenih_sredstev,visina_izplacanih_sredstev,opomba
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"FOTOLIK TRGOVINA, GRAFIČNE IN FOTOGRAFSKE STORITVE, D.O.O.",INVESTICIJA V PROIZVODNO LINIJO MODULARNE EMBALAŽNE FOLIJE,,2009,200.000 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"GLOBEVNIK, REZILNO ORODJE D.O.O.",POSTROJENJE ZA PROIZVODNJO SPECIALNO DOLGIH SVEDROV,,2009,200.000 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"GRADING KURENT PROIZVODNJA IN INŽENIRING, D.O.O.",LINIJA ZA IZDELAVO TERMOPAN STEKLA,,2009,200.000 €,,Odstop od pogodbe
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"IN.LIFE DRUŽBA ZA INTERNET STORITVE, D.D.",INVESTICIJA V MOBILNO VOIP TELEFONIJO,,2009,200.000 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"INDA INŽENIRING PROIZVODNJA, TRGOVINA, STORITVE D.O.O.",UVEDBA NOVE TEHNOLOŠKE LINIJE ZA PROIZVODNJO MOBILNIH ANTENSKIH STOLPOV,,2009,200.000 €,,Odstop od pogodbe
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"ISOMAT INŽENIRING, PROIZVODNJA, TRGOVINA D.O.O.",OPREMA ZA OBDELAVO IN OBLIKOVANJE KOVINSKIH IZDELKOV,,2009,200.000 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,NEON ART SVETLOBNI IN REKLAMNI NAPISI KREVH D.O.O.,OPREMA ZA PROIZVODNJO IZDELKOV IZ AKRILNEGA STEKLA,,2009,200.000 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,CME ORODJARSTVO D.O.O.,INVESTICIJA V TEHNOLOŠKO OPREMO ZA PRIZVODNJO ORODIJ,,2009,200.000 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,TKG IN PROIZVODNJA VIJAKOV D.O.O.,OPREMA ZA IZDELAVO REGULACIJSKIH ELEMENTOV OKOVJA,,2009,200.000 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,TRENDNET D.O.O. RAČUNALNIŠKI INŽENIRING,IT CENTER ZA ZUNANJE IZVAJANJE OPTIMIZACIJE PROCESOV,,2009,200.000 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,TESNILA GK PROIZVODNJA IN TRŽENJE IZDELKOV IZ GUME D.O.O.,LINIJA ZA PROIZVODNJO OGNJEODPORNIH TESNILNIH MODULOV,,2009,200.000 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"STROJEGRADNJA ŠKORJANEC & CO., INŽENIRING, PROIZVODNJA, TRGOVINA, D.O.O.",INVESTICIJA V TEHNOLOŠKO OPREMO,,2009,200.000 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"V & M  PODJETJE ZA PROIZVODNJO IN TRGOVINO, D.O.O. KOMENDA",INVESTICIJA V NAKUP LASERSKEGA REZALNIKA,,2009,200.000 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"TELETECH TELEKOMUNIKACIJSKE TEHNOLOGIJE, PROIZVODNJA, POSREDNIŠTVO, TRGOVINA IN SVETOVANJE D.O.O.",SISTEM ZA ZAJEM IN ANALIZO MEDIJSKIH VSEBIN,,2009,200.000 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,VETRAL INŽENIRING D.O.O.,"NAKUP OPREME ZA RAZREZ, KALJENJE IN LAMINACIJO STEKLA",,2009,200.000 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"TERMOPLASTI-PLAMA, PROIZVODNJA IZDELKOV IZ PLASTIČNIH MAS D.O.O., PODGRAD",NAKUP PROIZVODNE LINIJE ZA IZDELAVO FLEKSIBILNE EMBALAŽE,,2009,200.000 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"ŠUMER PODJETJE ZA PROIZVODNJO, TRGOVINO IN STORITVE D.O.O.",LINIJA ZA PROIZVODNJO  PRODUKTA SMETKO - INDIVIDUALNI PEPELNIK,,2009,200.000 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"UNITPLAST D.O.O., PROIZVODNJA IN STORITVE",BRIZGALNI STROJ,,2009,199.840 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"EUREL PODJETJE ZA PROIZVODNJO, TRGOVINO IN STORITVE D.O.O.",INVESTICIJSKI NAČRT V MONTAŽNO LINIJO NOVIH ROTACIJSKO ODMIČNIH STIKAL,,2009,199.800 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,EMO - ORODJARNA PROIZVODNA DRUŽBA D.O.O.,OPREMA ZA SERVISIRANJE VELIKIH ORODIJ ZA AVTOMOBILSKO INDUSTRIJO,,2009,199.705 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"VIP VIRANT, IZDELKI TEHNIČNIH PRODUKTOV D.O.O.",LINIJA ZA PROIZVODNJO VISOKOKVALITETNIH FFC KABLOV,,2009,199.414 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"BREZAVŠČEK D.O.O., KAMNOSEŠKA DEJAVNOST",LINIJA ZA PROIZVODNJO NOVIH KAMNOSEŠKIH PROIZVODOV,,2009,199.350 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"OBLAK COMMERCE, PROIZVODNJA, TRGOVINA, STORITVE, D.O.O.",LINIJA ZA PROIZVODNJO PRANIH TLAKOVCEV,,2009,199.308 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,STUBELJ PROIZVODNJA IN INŽENIRING D.O.O.,LINIJA ZA ANTIKOROZIJSKO ZAŠČITO,,2009,199.300 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"VIGRAD TRGOVINA, POSREDOVANJE, PROIZVODNJA D.O.O. CELJE",VZPOSTAVITEV PROIZVODNE LINIJE ZA PODZEMNE HIDRAVLIČNE KONTEJNERJE,,2009,199.249 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"TEHNOS PODJETJE ZA PROIZVODNJO ORODIJ, STROJEV IN PREDELAVO PLASTIČNIH MAS D.O.O. ŽALEC",LINIJA ZA PRAŠNO LAKIRANJE ARTIKLOV VELIKIH DIMENZIJ,,2009,199.224 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,DOST TRGOVINA IN PROIZVODNJA D.O.O.,CNC REZKALNI STROJ IN RAČUNALNIŠKI PAKET,,2009,199.169 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"DIATE PROIZVODNJA, STORITVE IN TRGOVINA D.O.O.",NAKUP NOVE TEHNOLOŠKE LINIJE ZA VRTANJE GEOSOND,,2009,199.000 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"PULKO VENTILI RUŠE PROIZVODNJA, GRADBENIŠTVO, TRGOVINA IN STORITVE D.O.O.",ROTIRAJOČI PRENOSNO-OBDELOVALNI SISTEM,,2009,199.000 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"MINERVA ŽALEC PREDELAVA PLASTIKE IN KOVIN, D.D.",LINIJA ZA ROTACIJSKO LITJE PLASTIČNIH MAS,,2009,198.920 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,MEMO AB D.O.O. PROIZVODNJA IN TRGOVINA,OPREMA ZA PROIZVODNJO LAMINATNIH STOLOV,,2009,198.780 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"VIIG, PROIZVODNO IN TRGOVSKO PODJETJE  DOBRAVA D.O.O.",NAKUP LASERSKEGA REZALNIKA,,2009,198.750 €,,Odstop od pogodbe
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,MIK MEDNARODNO TRGOVSKO IN PROIZVODNO PODJETJE D.O.O.,PROIZVODNA LINIJA ZA IZDELAVO ENERGETSKO VARČNIH OKEN Z NARAVNIM PREZRAČEVANJEM,,2009,198.399 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"OGREVANJE SEDELJŠAK, KOTLI NA BIO MASO IN DROBILNIKI, D.O.O.",NAKUP NOVIH STROJEV ZA PROZVODNJO KOTLOV NA LESNO BIOMASO,,2009,198.352 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"SIMON, PODJETJE ZA STROJNO IN ELEKTRO INŠTALACIJE TER MONTAŽO OGREVALNIH NAPRAV D.O.O.",LINIJA ZA PROIZVODNJO MALOSERIJSKIH KOMPAKTNIH TOPLOTNIH POSTAJ,,2009,198.186 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"ECOBETON PROIZVODNJA, TRGOVINA, STORITVE D.O.O.",NAKUP TEHNOLOŠKE LINIJE ZA IZDELAVO BETONSKIH ROBNIKOV IN ZIDAKOV,,2009,197.570 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"STILLES D.D., INŽENIRING IN NOTRANJA OPREMA SEVNICA",LINIJA ZA KALIBRIRANJE IN PLOSKOVNO LEPLJENJE,,2009,196.960 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,VILKOGRAD D.O.O.,NABAVA OPREME ZA PREBOJE PODZEMNE INFRASTRUKTURE V ZEMLJINI KATEGORIJE V. – VII.,,2009,196.825 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"SICO, PODJETJE ZA USPOSABLJANJE IN ZAPOSLOVANJE INVALIDOV D.O.O.",LINIJA ZA IZDELAVO SPECIALNIH PALET IN TRGOVINSKE OPREME,,2009,196.785 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"WEBER, PROIZVODNJA, TRGOVINA IN GOSTINSTVO, D.O.O.",CNC STRUŽNICA MIYANO ABX 64 TH,,2009,196.594 €,,Odstop od pogodbe
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,BELIMED POMIVALNI SISTEMI D.O.O.,LINIJA S PRIPADAJOČO  PROGRAMSKO OPREMO ZA PROIZVODNJO POMIVALNIH NAPRAV,,2009,195.307 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"PLASTIKA SKAZA, PROIZVODNJA, TRGOVINA, STORITVE, D.O.O.",NAKUP STROJA ZA BRIZGANJE PLASTIČNIH MAS Z ROBOTOM,,2009,194.943 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"K.M.K. BOX, PROIZVODNJA EMBALAŽE IN TRGOVINA, D.O.O.",NABAVA INKJET TISKALNIKA Z PROGRAMSKO OPREMO CALDERA,,2009,194.900 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,WILLY STADLER PROIZVODNJA IN TRGOVINA D.O.O.,NABAVA TEHNOLOŠKE LINIJE ZA OBDELAVO VALJANIH JEKLENIH PROFILOV,,2009,194.270 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"AKRON D.O.O., PODJETJE ZA SVETOVANJE, MARKETING, INŽENIRING, PROIZVODNJO, KOMERCIALNO POSREDOVANJE T",POSTROJENJE SODOBNIH OBDELOVALNIH STROJEV S PROGRAMSKO OPREMO,,2009,193.592 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"BLAJ ANTON ''BLAJ'', S.P.",LINIJA ZA PROIZVODNJO RAZTEZNIH VIJAKOV,,2009,193.405 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"ALPMETAL & CO, PROIZVODNJA IN TRGOVINA, D.O.O., SELCA",LIVARSKA LINIJA Z OPREMO,,2009,193.246 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,WK PROFIL TRGOVINA IN POSREDNIŠTVO D.O.O.,AVTOMATIZIRANA LINIJA ZA IZDELAVO PROFILIRANE PLOČEVINE,,2009,193.175 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"ELPA TRGOVINA, STORITVE IN PROIZVODNJA, D.O.O., VELENJE",LINIJA ZA PROIZVODNJO PROTIHRUPNEGA SISTEMA BREMEX ANNSYS,,2009,193.014 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"METRA INŽENIRING D.O.O. PODJETJE ZA PROIZVODNJO MIKRORAČUNALNIŠKIH MERILNIH SISTEMOV, LJUBLJANA",NAKUP LINIJE ZA SESTAVO INDENTIFIKACIJSKIH ELEMENTOV,,2009,192.500 €,,Odstop od pogodbe
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"ŽMLJ, INŽENIRING IN MARKETING D.O.O. PREBOLD",NAKUP CNC STROJEV ZA OBDELAVO KOVIN,,2009,190.750 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,STOR-TRANS TRANSPORT IN OSTALE STORITVE ČRNOMELJ D.O.O.,LINIJA ZA RAZREZ KOVIN PRIDOBLJENIH IZ SEKUNDARNIH SUROVIN,,2009,188.000 €,,Odstop od pogodbe
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"SUPER 16, PRODUKCIJSKA HIŠA D.O.O.",SNEMALNA OPREMA,,2009,187.836 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"TECHNE, PROJEKTIRANJE IN SVETOVANJE, ALEŠ ZOREC S.P.",NAKUP STROJA ZA LASERSKO SINTRANJE POLIAMIDNIH PRAHOV IN DODATNE OPREME,,2009,187.763 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,CEMENTNI IZDELKI JUHANT D.O.O.,INVESTICIJA V BETONARNO,,2009,186.810 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"ŽLAHTIČ PROIZVODNJA, GRADBENIŠTVO, INŽENIRING IN TRGOVINA D.O.O.",LINIJA ZA PROIZVODNJO VRAT IN POŽARNIH VRAT,,2008,185.753 €,,Odstop od pogodbe
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,COMTRON D.O.O.,NAKUP TISKARSKE LINIJE FOTOPRINT,,2009,184.920 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,KOVINC KLJUČAVNIČARSTVO D.O.O.,OPREMA ZA PREOBLIKOVANJE IN VARJENJE PLOČEVINE,,2009,184.310 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"IMPOL-INOTECHNA PODJETJE ZA PROJEKTIRANJE, IZDELAVO IN MONTAŽO INVESTICIJSKE OPREME D.O.O.",HORIZONTALNI VRTALNO REZKALNI STROJ,,2009,184.000 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"SKLOP, TRGOVINA, PROIZVODNJA, GRADBENIŠTVO IN STORITVE D.O.O.",CNC POSTROJENJE ZA IZDELAVO HARMONIK,,2009,183.000 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"NERI SYSTEM PROIZVODNJA IN TRGOVINA, D.O.O. LJUBLJANA",INVESTICIJA V NAKUP VISOKOTEHNOLOŠKE LINIJE ZA IZDELAVO LESNO-PLASTIČNEGA GRANULATA (polywood oz. WP,,2009,180.227 €,,Odstop od pogodbe
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"PILASTER-I, PODJETJE ZA PROIZVODNJO, STORITVE IN TRGOVINO, D.O.O.",OBDELOVALNI STROJ S PROGRAMSKO OPREMO,,2009,180.000 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,LESIMPEX PROIZVODNJA ŽAGANEGA LESA IN KONČNIH LESENIH IZDELKOV D.O.O.,NABAVA CENTRA ZA OBDELAVO LESA IN RAČ. IN PROGRAMSKA OPREMA,,2009,179.724 €,,
12.9.2008,RR,"Javni razpis za sofinanciranje nakupa nove tehnološke opreme v letu 2009 za mikro, mala in srednje velika podjetja z najmanj 1 in največ 249 zaposlenimi ",JR,Ur.l.RS št. 88/2008,Slovenski podjetniški sklad,,"""SLAP"" STROJNO KLJUČAVNIČARSTVO PETER SLATNAR S.P.",INVESTICIJA V TEHNOLOŠKI TER INFORMACIJSKI PROCES ZA PROIZVODNJO KONEKTORJEV TER SPOJNIH ELEMENTOV,,2009,179.000 €,,Odstop od pogodbe
