BENEFICIARIO,TIPO DE OPERACIÓN,GASTO PUBLICO,
MANUEL ROBERTO ASESORES INMOBILIARIOS SL,Mejorar a empleabilidad de las personas desempleadas,"3.070,10"
MANUEL RODRIGUEZ GROBA SL,Mejorar a empleabilidad de las personas desempleadas,"1.890,00"
MANUEL RODRIGUEZ GUEVARA SL,Mejorar a empleabilidad de las personas desempleadas,"796,82"
MANUEL ROJAS SL,Mejorar a empleabilidad de las personas desempleadas,"222,88"
MANUEL ROMERO DE AVILA RAMIREZ SA,Mejorar a empleabilidad de las personas desempleadas,"1.345,77"
MANUEL RONQUILLO S.L.,Mejorar a empleabilidad de las personas desempleadas,"1.357,57"
"MANUEL RUIBAL PINERO Y PIOTR ANTONI SZNAJDROWICZ, C.B.",Mejorar a empleabilidad de las personas desempleadas,"1.977,83"
MANUEL SABORIDO SA,Mejorar a empleabilidad de las personas desempleadas,"600,00"
MANUEL SANCHEZ AGUILAR SL,Mejorar a empleabilidad de las personas desempleadas,"872,93"
MANUEL SANCHEZ BLAZQUEZ Y CUATRO MAS CB,Mejorar a empleabilidad de las personas desempleadas,"2.260,00"
MANUEL SANCHO DEASIT SL,Mejorar a empleabilidad de las personas desempleadas,"658,72"
MANUEL SEOANE VAZQUEZ SA,Mejorar a empleabilidad de las personas desempleadas,"3.586,67"
"MANUEL SERRANO FUENTES, SL",Mejorar a empleabilidad de las personas desempleadas,"1.345,65"
MANUEL SIERRA DEL MARMOL SL,Mejorar a empleabilidad de las personas desempleadas,"1.009,31"
MANUEL SOLA ABOGADOS S.L.,Mejorar a empleabilidad de las personas desempleadas,"127,48"
"MANUEL SORIA GARCIA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"369,09"
"MANUEL TORREJON, S.L.",Mejorar a empleabilidad de las personas desempleadas,"559,94"
MANUEL VAZQUEZ PEREZ SL,Mejorar a empleabilidad de las personas desempleadas,"1.499,96"
MANUEL VICENTE BELDA CORREDURIA DE SEGUROS SL,Mejorar a empleabilidad de las personas desempleadas,"1.173,39"
"MANUEL VILASECA, SA",Mejorar a empleabilidad de las personas desempleadas,"203,02"
MANUEL Y ANDRES SANCHEZ MARTIN CB,Mejorar a empleabilidad de las personas desempleadas,"560,00",,
MANUEL Y ANTONIO MARI PEREZ CB,Mejorar a empleabilidad de las personas desempleadas,"3.099,90",,
MANUEL Y BENITO DE AUGUSTO SL,Mejorar a empleabilidad de las personas desempleadas,"1.829,77",,
"MANUEL Y FRANCISCO GARCIA, CB",Mejorar a empleabilidad de las personas desempleadas,"721,93",,
MANUEL Y JOSE ANTONIO MENENDEZ CB,Mejorar a empleabilidad de las personas desempleadas,"212,52",,
MANUEL Y JOSE ANTONIO MONTORO CB,Mejorar a empleabilidad de las personas desempleadas,"242,48",,
MANUEL Y JOSE BARRANCO SL,Mejorar a empleabilidad de las personas desempleadas,"1.310,25",,
"MANUEL Y JUAN CARLOS FONTAN, C.B.PONTEVEDRA",Mejorar a empleabilidad de las personas desempleadas,"1.511,27",,
"MANUEL Y VACA, SL",Mejorar a empleabilidad de las personas desempleadas,"1.259,74",,
