BENEFICIARIO,TIPO DE OPERACIÓN,GASTO PUBLICO,
"MERCAMAT, SL",Mejorar la empleabilidad de,"2.299,95"
MERCAMBIOS SL,Mejorar la empleabilidad de,"462,11"
"MERCAMELLOR, SL",Mejorar la empleabilidad de,"166,42"
MERCAN BARCINO S.L.,Mejorar la empleabilidad de,"1.256,94"
MERCANCIAS LINEALES COSMETICS SL,Mejorar la empleabilidad de,"100,00"
MERCANOVA SA,Mejorar la empleabilidad de,"217,77"
MERCANTIL DEL AUTOCAR SA,Mejorar la empleabilidad de,"1.116,65"
MERCANTIL ESPAÑOLA DE REFRIGERACION SL,Mejorar la empleabilidad de,"4.418,90"
MERCANTONA SL,Mejorar la empleabilidad de,"1.454,62"
MERCANUENA SA,Mejorar la empleabilidad de,"305,37"
MERCAOFICINA SL,Mejorar la empleabilidad de,"493,24"
MERCAOLEO SL,Mejorar la empleabilidad de,"788,78"
MERCAPALMA SA MERCADOS CENTRALES DE ABASTECIMIENTO DE P,Mejorar la empleabilidad de,"394,11"
MERCAPEL SL,Mejorar la empleabilidad de,"1.003,31"
"MERCAPESCADO 2004, SL",Mejorar la empleabilidad de,"895,35"
MERCAQUESADA SL,Mejorar la empleabilidad de,"139,27"
MERCAR GEST24 SL,Mejorar la empleabilidad de,"903,04"
MERCA-RIEGO EGIDO SL,Mejorar la empleabilidad de,"1.086,58"
MERCAROJAS SA,Mejorar la empleabilidad de,"882,94"
MERCASER SL,Mejorar la empleabilidad de,"1.000,00"
"MERCAT I VIDRE, SL",Mejorar la empleabilidad de,"693,24"
MERCATEKNOS SL,Mejorar la empleabilidad de,"879,89"
MERCATERRA DE EXPORTACIONES SL,Mejorar la empleabilidad de,"328,16"
MERCATOLDO SL,Mejorar la empleabilidad de,"1.866,58"
"MERCATRADI MEDITERRANEO,S.L.",Mejorar la empleabilidad de,"1.125,49"
MERCATURA 2006 S.L.,Mejorar la empleabilidad de,"2.434,37"
MERCAVENDING PITIUSAS SL (EN CONST),Mejorar la empleabilidad de,"257,50"
MERCAVENECIA TRES SL,Mejorar la empleabilidad de,"35,40"
MERCAVIAJE SDAD COOP,Mejorar la empleabilidad de,"1.496,57"
MERCAVIAJES SL,Mejorar la empleabilidad de,"1.345,77"
"MERCAXIP DISTRIBUCION COMERCIAL GLOBAL, S.L.",Mejorar la empleabilidad de,"566,64"
MERCAZOSA SL,Mejorar la empleabilidad de,"1.596,57"
"MERCE BITRIA BUSQUETA, CORREDURIA DE SEGUROS, SL",Mejorar la empleabilidad de,"679,95"
"MERCE CARRERA INTERIORISME, SL",Mejorar la empleabilidad de,"300,00"
MERCE SOLERNOU SA,Mejorar la empleabilidad de,"462,25"
MERCE V ELECTROMEDICINA SL,Mejorar la empleabilidad de,"2.579,13"
MERCEDAUTO SL,Mejorar la empleabilidad de,"1.900,00"
"MERCEDES BENZ COMERCIAL VALENCIA, S.A.",Mejorar la empleabilidad de,"1.800,00"
"MERCEDES CASANOVAS AGENCIA LITERARIA, SL",Mejorar la empleabilidad de,"3,34"
MERCEDES CIURANA CARSI Y CIA CB,Mejorar la empleabilidad de,"321,72"
MERCEDES EMERGUI SL,Mejorar la empleabilidad de,"217,50"
MERCEDES GENER VINENT LORENZO TORRES GENER Y FRANCISCO,Mejorar la empleabilidad de,"240,08"
MERCEDES GORIS FIGUEIRAS SL,Mejorar la empleabilidad de,"145,18"
MERCEDES GUZMAN SL,Mejorar la empleabilidad de,"413,15"
MERCEDES IBAN GARCIA SL,Mejorar la empleabilidad de,"1.089,91"
MERCEDES MARTIN MIRANDA S.L.,Mejorar la empleabilidad de,"575,00"
MERCEDES MORALES SL,Mejorar la empleabilidad de,"283,32"
"MERCEDES QUINTILLA, S.L.",Mejorar la empleabilidad de,"584,32"
"MERCEDES RIBERA BERNAUS, S.L.",Mejorar la empleabilidad de,"2.186,58"
"MERCEDES RODRIGUEZ BLANCO,PEDRO J.ALVAREZ POSADA,COM.B.",Mejorar la empleabilidad de,"511,20"
"MERCEDES RODRIGUEZ DURAN, SL EN CONSTITUCION",Mejorar la empleabilidad de,"600,00"
MERCEDES Y TAIDA SL,Mejorar la empleabilidad de,"272,45"
MERCEDES ZARZA SL,Mejorar la empleabilidad de,"670,00"
MERCEDITAS SL,Mejorar la empleabilidad de,"949,95"
"MERCEGRAFIC, SL",Mejorar la empleabilidad de,"685,82"
MERCER CONSULTING SL,Mejorar la empleabilidad de,"15.481,72"
"MERCERIA AVUI, SL",Mejorar la empleabilidad de,"5.734,44"
MERCERIA DE MAMA SOC COOP,Mejorar la empleabilidad de,"700,00"
"MERCERIA EL ACERICO,SL",Mejorar la empleabilidad de,"502,50"
"MERCERIA LINDE, COM. B.",Mejorar la empleabilidad de,"354,20"
MERCERIA MAIRA SL,Mejorar la empleabilidad de,"1.052,98"
MERCERIZADOS GUASCH SA,Mejorar la empleabilidad de,"1.946,66"
MERCEVAL SL,Mejorar la empleabilidad de,"911,47"
MERCHY VENTAS SL,Mejorar la empleabilidad de,"880,01"
"MERCHAN TEYSSIERE, SL",Mejorar la empleabilidad de,"509,79"
"MERCHANDALIMENT, SL",Mejorar la empleabilidad de,"355,48"
"MERCHANDISING QUATRE, SL",Mejorar la empleabilidad de,"3.987,24"
MERCHANPLAS SL,Mejorar la empleabilidad de,"1.190,61"
"MERCHANSERVIS CANARIAS, S.L.",Mejorar la empleabilidad de,"31.078,79"
MERCHANSERVIS SA,Mejorar la empleabilidad de,"3.406,46"
"MERCHBANC ENTIDAD GESTORA DE FONDOS DE PENSIONES, SA",Mejorar la empleabilidad de,"239,90"
"MERCHBOLSA AGENCIA DE VALORES, SA",Mejorar la empleabilidad de,"1.573,65"
MERCHE & MAUJE SL,Mejorar la empleabilidad de,"250,25"
"MERCHE MURILLO, S.L.",Mejorar la empleabilidad de,"1.425,00"
"MERCHLINCEO, SL",Mejorar la empleabilidad de,"1.686,58"
"MERCIER MONTAJES,S.L.(S.L.U.)",Mejorar la empleabilidad de,"1.900,00"
"MERCK FARMA Y QUIMICA, SA",Mejorar la empleabilidad de,"316,36"
MERCOMOTRIL SA,Mejorar la empleabilidad de,"3.116,29"
MERCONTROL GALICIA SL,Mejorar la empleabilidad de,"479,33"
MERCOR SA,Mejorar la empleabilidad de,"1.544,14"
MERCOURIER TRANSPORTE URGENTE SL,Mejorar la empleabilidad de,"3.625,50"
"MERCU 93, SL",Mejorar la empleabilidad de,"45,54"
"MERCURIO ASISTANCE, S.L.",Mejorar la empleabilidad de,"1.794,49"
MERCURIO CORREO SL,Mejorar la empleabilidad de,"1.700,00"
MERCURIO TRADING SA,Mejorar la empleabilidad de,"280,90"
MERCURIUS CB,Mejorar la empleabilidad de,"600,03"
"MERCURY BARCELONA, SL",Mejorar la empleabilidad de,"2.696,56"
MERCURY DOS SL,Mejorar la empleabilidad de,"1.700,00"
MERCURY ENTERPRISE SL,Mejorar la empleabilidad de,"362,82"
"MERE Y BARO, S.L.",Mejorar la empleabilidad de,"406,04"
"MERELEC ENERGIES, S.C.P.",Mejorar la empleabilidad de,"500,00"
MERELLO INGENIEROS SL,Mejorar la empleabilidad de,"755,55"
MEREMAQ MECANICAS SL,Mejorar la empleabilidad de,"1.666,67"
MERENDERO AYO SL,Mejorar la empleabilidad de,"1.513,32"
MERENDERO CRISTINA VICTORIA SL,Mejorar la empleabilidad de,"1.220,00"
"MERENDERO EL CORDERO, SL",Mejorar la empleabilidad de,"574,65"
MERENDERO LA JUNQUERA SL,Mejorar la empleabilidad de,"386,55"
MERF 2000 SL,Mejorar la empleabilidad de,"1.345,77"
MERFAORAN SERVICIOS SL,Mejorar la empleabilidad de,"266,68"
"MERFIOZA, SL",Mejorar la empleabilidad de,"157,79"
"MERFRAN RAL, S.L.",Mejorar la empleabilidad de,"1.272,55"
"MERGALAR PROMOTORA,S.L.",Mejorar la empleabilidad de,"774,38"
MERGARA PROYECTOS INMOBILIARIOS SL,Mejorar la empleabilidad de,"4.003,50"
"MERGINSOL, SL",Mejorar la empleabilidad de,"100,00"
MERGIS UTILDECOR SL,Mejorar la empleabilidad de,"900,00"
MERGUI SAN JOSE SL,Mejorar la empleabilidad de,"428,88"
"MERIAL LABORATORIOS, SA",Mejorar la empleabilidad de,"1.876,84"
MERICANA FRUITS SL,Mejorar la empleabilidad de,"632,13"
MERIDAPARTE SL,Mejorar la empleabilidad de,"70,83"
"MERIDIA CAPITAL PARTNERS, S.L.",Mejorar la empleabilidad de,"66,08"
MERIDIAN GLOBAL INTERNACIONAL SL,Mejorar la empleabilidad de,"377,75"
MERIDIAN INFORMATICOS SL,Mejorar la empleabilidad de,"519,42"
MERIDIAN LANZAROTE S.L.,Mejorar la empleabilidad de,"1.200,00"
"MERIDIANA COURIER, SL",Mejorar la empleabilidad de,"1.200,00"
"MERIDIANA FELIPE, S.L.",Mejorar la empleabilidad de,"1.900,00"
MERIDIANO 520 S L,Mejorar la empleabilidad de,"722,46"
MERIDIANO SA CIA ESPAÑOLA DE SEGUROS,Mejorar la empleabilidad de,"22.363,60"
MERIDIANO SERVICIOS Y MANTENIMIENTO S.L.,Mejorar la empleabilidad de,"1.246,52"
"MERIDISUR, S.L.",Mejorar la empleabilidad de,"1.062,45"
"MERIGON,S.L.",Mejorar la empleabilidad de,"1.163,96"
"MERIMAR 2006, S.L.",Mejorar la empleabilidad de,"3.124,84"
"MERIN FAUS, CB",Mejorar la empleabilidad de,"1.900,00"
MERIN MAQUINARIA INDUSTRIAL SL,Mejorar la empleabilidad de,"200,00"
MERINERO SA,Mejorar la empleabilidad de,"1.900,00"
MERINO & GARCIA ASESORAMIENTO Y GESTION SL,Mejorar la empleabilidad de,"104,48"
MERINO ACEDO INSTALACIONES FONTANERIA S.L.,Mejorar la empleabilidad de,"1.853,28"
MERINO ALBALATE CB,Mejorar la empleabilidad de,"222,23"
MERINO CALVO HERMANOS SL,Mejorar la empleabilidad de,"826,27"
"MERINO CASTILLA, SL",Mejorar la empleabilidad de,"1.480,34"
MERINO COMERCIAL SL,Mejorar la empleabilidad de,"1.204,11"
"MERINO MARTIN INDUSTRIAL HOSTELERA,C.B.",Mejorar la empleabilidad de,"518,81"
"MERINO MARTIN Y BENITO DEL VAL, S.L.",Mejorar la empleabilidad de,"1.901,89"
MERINO MONTESINOS SL,Mejorar la empleabilidad de,"239,96"
MERINO SERRA SL,Mejorar la empleabilidad de,"300,00"
MERINO VALDOR SL,Mejorar la empleabilidad de,"66,60"
"MERINO Y SEMPERE,S.L.",Mejorar la empleabilidad de,"104,41"
"MERISA CARGO, S.L.",Mejorar la empleabilidad de,"543,60"
"MERISTATION MAGAZINE, SL",Mejorar la empleabilidad de,"911,11"
MERIT LILIN SPAIN S.L.,Mejorar la empleabilidad de,"569,86"
MERITORIA SL,Mejorar la empleabilidad de,"1.700,00"
"MERITXELL INTERIORS, SL",Mejorar la empleabilidad de,"708,30"
"MERITXELL SOLER-COLL, SL",Mejorar la empleabilidad de,"2.696,57"
"MERJA ELECTRICIDAD, SL",Mejorar la empleabilidad de,"892,95"
MERJO SL,Mejorar la empleabilidad de,"1.177,78"
"MERJOSLEON, SL, EN CONSTITUCION",Mejorar la empleabilidad de,"213,22"
MERJUSA FUERTEVENTURA SL,Mejorar la empleabilidad de,"37,78"
MERKA SINDO SL,Mejorar la empleabilidad de,"930,00"
"MERKABANO PUENTE GENIL,S.L.UNIPERSONAL",Mejorar la empleabilidad de,"1.356,61"
"MERKACRISTAL, SL",Mejorar la empleabilidad de,"6.489,29"
MERKAL CALZADOS SL,Mejorar la empleabilidad de,"109.725,45"
MERKAMUEBLE SA,Mejorar la empleabilidad de,"817,66"
MERKAPRECIO SA,Mejorar la empleabilidad de,"28.391,48"
MERKASI SL,Mejorar la empleabilidad de,"2.687,93"
MERKATU INTERACTIVA S.L.,Mejorar la empleabilidad de,"393,29"
MERKAVILLA FOODS SL,Mejorar la empleabilidad de,"1.266,59"
MERKAWEB SERVICIOS DE INTERNET SL,Mejorar la empleabilidad de,"1.643,29"
MERKE JAZTEN SL,Mejorar la empleabilidad de,"1.388,56"
MERKE MIKA SLL,Mejorar la empleabilidad de,"926,11"
MERKEKILO CB,Mejorar la empleabilidad de,"389,91"
MERLAGES SL,Mejorar la empleabilidad de,"1.900,00"
"MERLAM PUBLICACIONES DISTRITO 30, S.L.U.",Mejorar la empleabilidad de,"244,32"
MERLATRANS SA,Mejorar la empleabilidad de,"4.724,14"
MERLETTI SL,Mejorar la empleabilidad de,"1.116,67"
MERLIN CANTABRIA SLL,Mejorar la empleabilidad de,"995,10"
MERLIN CENTER SL,Mejorar la empleabilidad de,"1.320,00"
MERLIN CONSTRUCCIONES Y CANALIZACIONES SL,Mejorar la empleabilidad de,"3.193,92"
MERLIN CONSULTORES DE INVERSIONES S.A.,Mejorar la empleabilidad de,"669,30"
MERLIN LIENZOS IMPRESOS SL,Mejorar la empleabilidad de,"2.106,71"
MERLO Y TORRENTE SL,Mejorar la empleabilidad de,"1.109,67"
MERLOT DE INVERSIONES Y PROMOCIONES SL,Mejorar la empleabilidad de,"1.003,95"
"MERMAR ESCOLANS AGRUPATS SOC. AGENCIA SEGUROS, S.L.",Mejorar la empleabilidad de,"126,61"
MERMEL GESTION SL,Mejorar la empleabilidad de,"193,24"
"MERNE BRUNES,S.L.",Mejorar la empleabilidad de,"661,07"
MERNOCLA SL,Mejorar la empleabilidad de,"92,24"
MEROBAR AVILA SL,Mejorar la empleabilidad de,"834,21"
MEROBAS 2000 SL.,Mejorar la empleabilidad de,"2.107,82"
"MEROIL, SA",Mejorar la empleabilidad de,"219,98"
"MEROLTEX, SL",Mejorar la empleabilidad de,"1.676,67"
"MEROMI 1919, S.L. -EN FORMACION-",Mejorar la empleabilidad de,"883,01"
"MERON GH INMO, S.L.",Mejorar la empleabilidad de,"222,21"
MERPATRA SL,Mejorar la empleabilidad de,"506,66"
MERPORT URGENTE SL,Mejorar la empleabilidad de,"450,00"
"MERQUINSA MERCADOS QUIMICOS, SL",Mejorar la empleabilidad de,"997,76"
MERRI TELECU SL,Mejorar la empleabilidad de,"731,48"
MERRILL LYNCH ESPAÑOLA AGENCIA DE VALORES SA,Mejorar la empleabilidad de,"1.728,40"
MERRY HAT SL,Mejorar la empleabilidad de,"1.601,45"
"MERSAL PUBLICIDAD, SL",Mejorar la empleabilidad de,"1.081,10"
MERSAN-HERMANOS AYLAGAS SL,Mejorar la empleabilidad de,"1.705,27"
MERSE 2010 SL,Mejorar la empleabilidad de,"923,22"
"MERTON BEACH, SL",Mejorar la empleabilidad de,"1.270,22"
MERTRAMAR CADIZ SL,Mejorar la empleabilidad de,"531,30"
MERUBA SL,Mejorar la empleabilidad de,"3.504,69"
"MERUSA MANTENIMIENTO Y SERVICIOS, SA",Mejorar la empleabilidad de,"1.200,00"
"MERVELL REGALOS, S.L.",Mejorar la empleabilidad de,"1.596,57"
MERVISAT SL,Mejorar la empleabilidad de,"139,94"
"MERXECOM, SL",Mejorar la empleabilidad de,"1.673,42"
"MERXES REGALOS, S.L.",Mejorar la empleabilidad de,"809,89"
MERY S ESCOLETA SL,Mejorar la empleabilidad de,"313,22"
"MERY Y CELIM, SA",Mejorar la empleabilidad de,"1.284,38"
"MERYADER BALEARES,SLU",Mejorar la empleabilidad de,"78,81"
MERYDEIS GRUPPO SL,Mejorar la empleabilidad de,"2.347,37"
MERYMON SDAD CCOP,Mejorar la empleabilidad de,"1.900,00"
MES BLANCA SL,Mejorar la empleabilidad de,"862,97"
MES JARDI SL UNIPERSONAL,Mejorar la empleabilidad de,"169,93"
"MES PROP DE LNESPORT, S.L.",Mejorar la empleabilidad de,"960,02"
"MES Q SERVEIS,S.C.P",Mejorar la empleabilidad de,"120,39"
"MES QUE FUSTA, S.L.",Mejorar la empleabilidad de,"434,42"
MESA CAMPBELL SL UNIPERSONAL,Mejorar la empleabilidad de,"1.500,00"
"MESA DE TEMPORADA,S.L.",Mejorar la empleabilidad de,"311,62"
"MESA LATORRE, MARIA LUISA 001060532W SLNE",Mejorar la empleabilidad de,"2.543,19"
MESA PLANA 21 SL,Mejorar la empleabilidad de,"4,72"
"MESA SEU, S.L.",Mejorar la empleabilidad de,"1.789,91"
"MESA TORVISCO,S.L.",Mejorar la empleabilidad de,"1.673,07"
MESADO MARTIN SL,Mejorar la empleabilidad de,"1.694,02"
MESAFRANCA SL,Mejorar la empleabilidad de,"466,69"
"MESALA VALENCIA SERV. INTEGRALES COMUNIC. INTERNET, S.L",Mejorar la empleabilidad de,"1.306,34"
MESAN 2000 SL,Mejorar la empleabilidad de,"1.704,49"
"MESAPENNACCHIO,S.L.",Mejorar la empleabilidad de,"261,20"
"MESARGA, SL",Mejorar la empleabilidad de,"423,31"
MESAS DUMAR SL,Mejorar la empleabilidad de,"3.245,77"
"MESBO,SL",Mejorar la empleabilidad de,"313,22"
MESBONSA SL,Mejorar la empleabilidad de,"391,07"
MESBUR; SL,Mejorar la empleabilidad de,"1.050,62"
MESCALERO S.L.,Mejorar la empleabilidad de,"3.160,08"
MESEBAGA SL,Mejorar la empleabilidad de,"1.049,90"
MESEGUER Y CANO ASESORES SL,Mejorar la empleabilidad de,"1.800,00"
"MESEGUR, ASESORAMIENTO Y GESTION DE SEGUROS SL",Mejorar la empleabilidad de,"1.274,93"
MESEJA CHIC S.L.,Mejorar la empleabilidad de,"453,27"
MESEL SL,Mejorar la empleabilidad de,"193,24"
MESENOR SDAD. COOP. LTDA.,Mejorar la empleabilidad de,"957,73"
"MESERCO, SL",Mejorar la empleabilidad de,"600,12"
"MESFRESC, SL",Mejorar la empleabilidad de,"979,79"
"MESIBEN,S.L.",Mejorar la empleabilidad de,"885,51"
"MESIDEES DESING,S.L.U.",Mejorar la empleabilidad de,"969,57"
MESIMA BILBAO SA,Mejorar la empleabilidad de,"2.776,49"
"MESIR, SL",Mejorar la empleabilidad de,"1.345,77"
MESIVAN TALLAS SL,Mejorar la empleabilidad de,"71,04"
"MESKNET SERVICIOS DE CUBA Y FONTANERIA,S.L.",Mejorar la empleabilidad de,"133,34"
"MESKVINS,S.L.",Mejorar la empleabilidad de,"654,32"
MESNN DEL DUERO,Mejorar la empleabilidad de,"1.900,00"
MESOCHA SL,Mejorar la empleabilidad de,"141,66"
"MESOESTETIC, SL",Mejorar la empleabilidad de,"318,69"
MESOLPA PALENCIA SL,Mejorar la empleabilidad de,"1.655,37"
"MESON ACCITANO, S.L",Mejorar la empleabilidad de,"459,94"
"MESON AGUSTIN, SL",Mejorar la empleabilidad de,"846,52"
MESON ASADOR LA MORANA SL,Mejorar la empleabilidad de,"426,64"
MESON ASADOR SANCHO SL,Mejorar la empleabilidad de,"727,30"
"MESON AVENIDA PONTEVEA, SL",Mejorar la empleabilidad de,"1.333,20"
MESON AZAHARA S.COOP.ANDALUZA,Mejorar la empleabilidad de,"2.796,57"
MESON BLANCA PALOMA S.L.,Mejorar la empleabilidad de,"256,61"
"MESON CADI, SL",Mejorar la empleabilidad de,"637,44"
"MESON CARRENO JABUGO, S.L.",Mejorar la empleabilidad de,"375,34"
MESON CASA DIEGO,Mejorar la empleabilidad de,"236,06"
MESON CASAR SL,Mejorar la empleabilidad de,"68,47"
MESON CELINA CB,Mejorar la empleabilidad de,"354,15"
MESON CERVECERIA EL ROCIO CB,Mejorar la empleabilidad de,"1.345,77"
MESON DE BORLENA SL,Mejorar la empleabilidad de,"533,36"
"MESON DE DEUS, S.L.",Mejorar la empleabilidad de,"2.264,78"
"MESON DE IRENE, S.L.",Mejorar la empleabilidad de,"2.330,78"
"MESON DE JAIME, S.L.",Mejorar la empleabilidad de,"1.893,24"
MESON DE LA NIEVE SA,Mejorar la empleabilidad de,"174,70"
MESON DE LAGARTERA SL,Mejorar la empleabilidad de,"60,00"
MESON DE ROGELIO SL,Mejorar la empleabilidad de,"2.044,63"
"MESON DEL ABUELO, CB",Mejorar la empleabilidad de,"670,51"
MESON DEL CANTARERO SL,Mejorar la empleabilidad de,"43,29"
MESON DEL CID SL,Mejorar la empleabilidad de,"812,29"
MESON DEL CIELO S.L.,Mejorar la empleabilidad de,"293,11"
MESON DEL JAMON LOS PICOS SA,Mejorar la empleabilidad de,"1.117,78"
"MESON DEL MAR SANTA PONNA, S.L.",Mejorar la empleabilidad de,"889,81"
MESON DEL POZO SL,Mejorar la empleabilidad de,"724,28"
"MESON EL ANFORA,S.L.",Mejorar la empleabilidad de,"2.115,42"
"MESON EL CANDELERO, C.B.",Mejorar la empleabilidad de,"387,16"
"MESON EL CAPACHO,S.L.",Mejorar la empleabilidad de,"2.132,41"
MESON EL CAPRICHO MANCHEGO CB,Mejorar la empleabilidad de,"823,79"
"MESON EL CAPRICHO, SL",Mejorar la empleabilidad de,"1.990,06"
"MESON EL CARRIZAL,SL",Mejorar la empleabilidad de,"823,31"
MESON EL CORRAL SL,Mejorar la empleabilidad de,"1.300,00"
"MESON EL CUBILAR, S.L.",Mejorar la empleabilidad de,"1.336,33"
MESON EL FORNO SL,Mejorar la empleabilidad de,"20,00"
MESON EL FRANCO LA CARIDAD S.L.,Mejorar la empleabilidad de,"1.500,00"
MESON EL GORDO SL,Mejorar la empleabilidad de,"760,02"
MESON EL HIDALGO CANARIO S.L.,Mejorar la empleabilidad de,"352,24"
MESON EL LABRADOR SL,Mejorar la empleabilidad de,"44,40"
MESON EL LOMO SL,Mejorar la empleabilidad de,"536,63"
MESON EL REBECO CB,Mejorar la empleabilidad de,"77,91"
MESON EL RINCON DEL ABUELO SL,Mejorar la empleabilidad de,"848,93"
MESON EL SOL Y HOTEL SANTA TERESA SL,Mejorar la empleabilidad de,"316,37"
MESON EL ZURGUEN SL,Mejorar la empleabilidad de,"1.531,20"
"MESON GRANADA I, SL",Mejorar la empleabilidad de,"1.244,46"
MESON IBARRA SL,Mejorar la empleabilidad de,"1.388,90"
MESON LA BODEGUILLA SL,Mejorar la empleabilidad de,"957,51"
MESON LA CAMPINA SLL,Mejorar la empleabilidad de,"80,24"
MESON LA CENTINELA SL,Mejorar la empleabilidad de,"1.069,96"
MESON LA CUCHARA ARAGONESA SL,Mejorar la empleabilidad de,"347,42"
MESON LA ESPONJA CB,Mejorar la empleabilidad de,"8,85"
MESON LA ESPUELA SL,Mejorar la empleabilidad de,"125,83"
"MESON LA FABRICA, SL",Mejorar la empleabilidad de,"1.266,73"
MESON LA HUERTANA S COOP,Mejorar la empleabilidad de,"118,03"
"MESON LA QUINTERIA, S.L.",Mejorar la empleabilidad de,"727,50"
MESON LA RAMBLA CB,Mejorar la empleabilidad de,"81,67"
"MESON LA TERRAZA, SL",Mejorar la empleabilidad de,"3,33"
"MESON LA TOSTADICA, SL",Mejorar la empleabilidad de,"341,17"
MESON LA TROYA SA,Mejorar la empleabilidad de,"1.546,67"
MESON LAREDO SL,Mejorar la empleabilidad de,"1.439,86"
"MESON LAS FORCAS, SL",Mejorar la empleabilidad de,"1.202,14"
MESON LOS CANTAROS SA,Mejorar la empleabilidad de,"173,16"
"MESON MANGER, CB",Mejorar la empleabilidad de,"1.190,58"
MESON MOLI L ABAD SL,Mejorar la empleabilidad de,"1.869,87"
MESON NAVARRA 107 SL,Mejorar la empleabilidad de,"1.345,77"
MESON NAVARRO SL,Mejorar la empleabilidad de,"4.896,53"
MESON NUEVO DEL JAMON,Mejorar la empleabilidad de,"615,50"
MESON O POTE SL,Mejorar la empleabilidad de,"1.348,30"
"MESON PARRILLADA ARGENTINA, SL",Mejorar la empleabilidad de,"365,89"
"MESON PONIENTE,S.L.",Mejorar la empleabilidad de,"2.675,31"
MESON RESTAURANTE ASTURIAS SL,Mejorar la empleabilidad de,"1.345,77"
"MESON RESTAURANTE ATALAYA-ROSALES II, SL",Mejorar la empleabilidad de,"1.528,83"
"MESON RESTAURANTE LA VELADA, SL",Mejorar la empleabilidad de,"2.118,10"
MESON RESTAURANTE LOS CORITOS SL,Mejorar la empleabilidad de,"236,09"
MESON RESTAURANTE O SPINEIROS SL,Mejorar la empleabilidad de,"775,70"
"MESON RESTAURANTE TAPITAS, S.L.",Mejorar la empleabilidad de,"1.006,59"
MESON RESTAURANTE TERRA NOSA SL,Mejorar la empleabilidad de,"129,84"
MESON RESTAURANTE TORRELLANO SL,Mejorar la empleabilidad de,"1.000,00"
MESON RINCON DE ELCHE SL UNIPERSONAL,Mejorar la empleabilidad de,"1.345,77"
MESON RISCAL CB,Mejorar la empleabilidad de,"564,25"
"MESON ROSENDO, SL",Mejorar la empleabilidad de,"152,26"
MESON RURAL LOS CHAPARROS S.L.,Mejorar la empleabilidad de,"1.309,45"
"MESON SANCHEZ ESCUDERO, S.L.",Mejorar la empleabilidad de,"1.626,93"
"MESON SARIEGO, SL",Mejorar la empleabilidad de,"198,30"
MESON TAPERIA LOS REALES SL,Mejorar la empleabilidad de,"728,28"
"MESON VALLEJERA, SL",Mejorar la empleabilidad de,"690,56"
MESON VARADERO RESTAURANTE S.L.,Mejorar la empleabilidad de,"3.800,00"
MESON VILLA MARCOS SL,Mejorar la empleabilidad de,"122,17"
MESON VILLA SALOBRENA SL,Mejorar la empleabilidad de,"704,44"
MESON VILLADA SL,Mejorar la empleabilidad de,"1.048,28"
MESON Y BLASON SL,Mejorar la empleabilidad de,"388,85"
MESONE SA,Mejorar la empleabilidad de,"3.195,72"
MESONES REUNIDOS SA,Mejorar la empleabilidad de,"370,55"
MESONES Y CAFETERIAS SL,Mejorar la empleabilidad de,"314,32"
"MESON-RESTAURANTE LA ABUELA, SLUNIPERSONAL",Mejorar la empleabilidad de,"244,34"
"MESON-RESTAURANTE LA ESQUINITA,SL",Mejorar la empleabilidad de,"70,83"
"MESON-RESTAURANTE PLAZA DE ESPANA,S.L.",Mejorar la empleabilidad de,"1.262,20"
"MESOPOTAMIA, SL",Mejorar la empleabilidad de,"19,98"
MESPE INTERNATIONAL BUSINESS S.L.,Mejorar la empleabilidad de,"711,15"
"MESQUITRANS ESPANA, SL",Mejorar la empleabilidad de,"3.697,08"
"MESS, EXCAVACIONES Y TRANSPORTES SL UNIPERSONAL",Mejorar la empleabilidad de,"950,00"
MESSCALINO PUNT SL,Mejorar la empleabilidad de,"996,67"
"MESSENGER, COM.B.",Mejorar la empleabilidad de,"618,56"
MESSER IBERICA DE GASES S.A.U.,Mejorar la empleabilidad de,"86,58"
MESSIAEN-MAMBO ESPANA SL,Mejorar la empleabilidad de,"153,47"
MESSINA FOOD SL,Mejorar la empleabilidad de,"1.003,70"
"MESTIERE, SL",Mejorar la empleabilidad de,"2.113,01"
MESTOLAYA SL,Mejorar la empleabilidad de,"547,75"
"MESTRAL SUMINISTROS HOSTELEROS, S.L.",Mejorar la empleabilidad de,"1.408,81"
MESTRE PIEL SA,Mejorar la empleabilidad de,"700,00"
"MESTRE SPORT, C.B.",Mejorar la empleabilidad de,"633,36"
MESTRECELTA S.L.,Mejorar la empleabilidad de,"529,42"
"MESTRELAB RESEARCH,S.L.",Mejorar la empleabilidad de,"2.435,64"
MESTRES SA,Mejorar la empleabilidad de,"2.292,49"
"MESUCA SPAIN,S.L.",Mejorar la empleabilidad de,"514,69"
MESUREX SL,Mejorar la empleabilidad de,"373,04"
MESURSA . NAVAL E INDUSTRIAL.SL,Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del nivel de competencia,"4.200,00"
"MESURSA, NAVAL E INDUSTRIAL, SL",Mejorar la empleabilidad de,"1.024,47"
"MESUTRES INVERSIONS E INICIATIVES, S.L.",Mejorar la empleabilidad de,"70,83"
"MET INTERNATIONAL BROKERS, SL",Mejorar la empleabilidad de,"359,85"
META GESTION TARRACO S.L.,Mejorar la empleabilidad de,"3.476,93"
META IMAGE SL,Mejorar la empleabilidad de,"1.963,24"
META INSTALACIONES SL,Mejorar la empleabilidad de,"1.140,05"
