"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"ALIMENT.CONGELADOS GUERRERO_SL","Mejorar la empleabilidad de las personas desempleadas","3.000,00"
"ALIMENTACION BIZCOCHO DEL SUR","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.875,00"
"ALIMENTACION CASA PALACIOS SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ALIMENTACION HELIODORO SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.500,00"
"ALIMENTACION JURADO, SL","Mejorar la empleabilidad de las personas desempleadas","4.500,00"
"ALIMENTACION MONSTSERRAT JOSE","Mejorar la empleabilidad de las personas desempleadas","3.000,00"
"ALIMENTACION PEYMA SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","15.000,00"
"ALIMENTACION Y BEBIDAS DIAZ CA","Mejorar la empleabilidad de las personas desempleadas","1.500,00"
"ALIMENTACION Y BEBIDAS DIAZ CA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ALIMENTOS ECOLOGICOS AMALTEA S","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.702,08"
"ALINUT SA","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","294,75"
"ALIPENSA, SA","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","2.815,24"
"ALJARAFE MEDIO AMBIENTE SL","Mejorar la empleabilidad de las personas desempleadas","18.000,00"
"ALLOVAR PROMOCION INMOBILIARIA","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"ALMACEN COMERCIAL MARISCAL S.L","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","1.928,55"
"ALMACEN DE CONFITERIA Y PASTEL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ALMACEN DE FERRETERIA DIFEMA,","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ALMACEN DE MARISCOS GONZALEZ S","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.250,00"
"ALMACEN DE MATERIAL ELECTRICO","Mejorar la empleabilidad de las personas desempleadas","3.000,00"
"ALMACEN DE MATERIALES BLAZQUEZ","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.250,00"
"ALMACEN DE PINTURAS LA VILLA B","Mejorar la empleabilidad de las personas desempleadas","3.000,00"
"ALMACEN DISTRIBUIDOR HERMANOS","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ALMACENES ARMENTEROS SA","Mejorar la empleabilidad de las personas desempleadas","9.000,00"
"ALMACENES ARMENTEROS SA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ALMACENES BANDERA MARTINEZ, SL","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"ALMACENES BANDERA MARTINEZ, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ALMACENES DE FERRETERIA SAN RA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
