Beneficiary,Project description,Gasto publico
EL PATIO CENTRO INFANTIL SL,Mejorar la empleabilidad de las personas desempleadas,249.65
EL PATI SANT PERE SACARRERA SL,Mejorar la empleabilidad de las personas desempleadas,300.00
"EL PATI D ALCARRAS, SL",Mejorar la empleabilidad de las personas desempleadas,950.00
EL PATATAZO SL,Mejorar la empleabilidad de las personas desempleadas,101.52
EL PASTORET DE LA SEGARRA SL,Mejorar la empleabilidad de las personas desempleadas,"1,266.73"
"EL PASTOR DE FOMENTO, SL",Mejorar la empleabilidad de las personas desempleadas,56.61
"EL PASTISSER VILAFRANCA, SL",Mejorar la empleabilidad de las personas desempleadas,"1,329.25"
EL PASTISSER INDOMABLE SL,Mejorar la empleabilidad de las personas desempleadas,"2,108.35"
"EL PASTADOR DEL MOLI, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,900.00"
"EL PASO 2000, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,204.11"
EL PASEO DE LOS CASTANOS SL,Mejorar la empleabilidad de las personas desempleadas,186.62
"EL PASEO CENTRO DE DIA DE PASAIA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,853.34"
EL PARRAL DE ALBURILLA 2001 SL,Mejorar la empleabilidad de las personas desempleadas,"1,584.42"
EL PARQUE RONQUILLO SL,Mejorar la empleabilidad de las personas desempleadas,82.60
EL PARQUE DE PEGASO S.L.,Mejorar la empleabilidad de las personas desempleadas,767.30
EL PARQUE DE LOS GAMUSINOS S.L.,Mejorar la empleabilidad de las personas desempleadas,486.31
"EL PARQUE DE COLORES, S.L.",Mejorar la empleabilidad de las personas desempleadas,"3,644.05"
"EL PARQUE CAIMITO, S.L.",Mejorar la empleabilidad de las personas desempleadas,"3,635.63"
EL PARQUE C.B.,Mejorar la empleabilidad de las personas desempleadas,390.24
EL PARAISO DEL TIETAR SL,Mejorar la empleabilidad de las personas desempleadas,"1,009.28"
EL PARAISO DEL SOFA SL,Mejorar la empleabilidad de las personas desempleadas,381.74
EL PARAISO DE LAS TARTAS SL,Mejorar la empleabilidad de las personas desempleadas,"1,860.33"
"EL PARADOR DE FELECHOSA, SL",Mejorar la empleabilidad de las personas desempleadas,163.49
"EL PARADOR DE CANET, S.L.",Mejorar la empleabilidad de las personas desempleadas,677.50
"EL PARADIS DE LES TORRADES, SL",Mejorar la empleabilidad de las personas desempleadas,36.66
"EL PARADERO DE LA ALMUNIA,S.A.",Mejorar la empleabilidad de las personas desempleadas,"1,126.64"
"EL PARABRISAS,TALLERES Y SERVICIOS,S.L.",Mejorar la empleabilidad de las personas desempleadas,848.81
"EL PARABRISAS LUGO,S.L.",Mejorar la empleabilidad de las personas desempleadas,766.60
"EL PAPIOL 2003, SL",Mejorar la empleabilidad de las personas desempleadas,"1,100.00"
EL PAPEO CB,Mejorar la empleabilidad de las personas desempleadas,393.24
EL PANTAR S.A.T. N 1043 CAT,Mejorar la empleabilidad de las personas desempleadas,458.03
EL PANTALLAZO SL,Mejorar la empleabilidad de las personas desempleadas,"3,800.00"
"EL PANARRA, SL",Mejorar la empleabilidad de las personas desempleadas,"1,079.92"
EL PAN DE MIS HIJOS SL,Mejorar la empleabilidad de las personas desempleadas,"1,622.62"
EL PALOMO CB,Mejorar la empleabilidad de las personas desempleadas,"1,494.48"
EL PALMERAL DEL MAR MENOR SL,Mejorar la empleabilidad de las personas desempleadas,"3,738.18"
EL PALLER DE SISCO SL,Mejorar la empleabilidad de las personas desempleadas,512.33
EL PALAU VELL RESTAURANT SL,Mejorar la empleabilidad de las personas desempleadas,46.08
"EL PALADAR JAMONERIA & DELICATESSEN, SL",Mejorar la empleabilidad de las personas desempleadas,186.50
EL PALACIO DEL TE SL,Mejorar la empleabilidad de las personas desempleadas,449.12
EL PALACIO DEL EMBRUJO SL,Mejorar la empleabilidad de las personas desempleadas,603.46
EL PALACIO DE LOS CARAMELOS SA,Mejorar la empleabilidad de las personas desempleadas,"3,029.97"
"EL PALACIO DE LAS LLAVES,S.L.",Mejorar la empleabilidad de las personas desempleadas,"7,374.63"
"EL PALACIO DE LAS GOLOSINAS, SA",Mejorar la empleabilidad de las personas desempleadas,111.07
EL PALACIO D. CB,Mejorar la empleabilidad de las personas desempleadas,146.95
"EL PAJAR DE LUCIA, S.L.",Mejorar la empleabilidad de las personas desempleadas,419.99
EL PAIS DE LOS PITUFOS SL,Mejorar la empleabilidad de las personas desempleadas,"1,093.24"
EL PADEL DE CIBELES SL,Mejorar la empleabilidad de las personas desempleadas,"4,135.56"
EL PABELLON DEL MUEBLE CB,Mejorar la empleabilidad de las personas desempleadas,539.29
"EL PA DE LA LOLA NUM. 8, SL",Mejorar la empleabilidad de las personas desempleadas,"1,106.56"
"EL P 3 EPIVALI,S.L.",Mejorar la empleabilidad de las personas desempleadas,507.46
"EL OTRU MALLU, S.L.",Mejorar la empleabilidad de las personas desempleadas,82.63
EL OTRO LADO PRODUCCIONES SL,Mejorar la empleabilidad de las personas desempleadas,"1,098.98"
EL OSO Y EL MADRONO SL,Mejorar la empleabilidad de las personas desempleadas,675.00
EL ORFANATO S.L.,Mejorar la empleabilidad de las personas desempleadas,122.18
"EL OLIVAR DE TAFALLA, S.L",Mejorar la empleabilidad de las personas desempleadas,93.33
EL OLIVAR DE LA POCERA 2001 SL,Mejorar la empleabilidad de las personas desempleadas,"1,266.73"
EL OJO SENSIBLE SL,Mejorar la empleabilidad de las personas desempleadas,920.71
"EL OJO DEL CARACOL, S.COOP.MAD.",Mejorar la empleabilidad de las personas desempleadas,"2,515.51"
"EL OJO BLINDADO, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,464.65"
"EL OFERTON MALAGUENO, S.L.",Mejorar la empleabilidad de las personas desempleadas,882.25
"EL OCHO, LICENCIAS Y PROMOCIONES SL",Mejorar la empleabilidad de las personas desempleadas,"1,015.22"
EL OBSERVATORIO MUSICAL SL,Mejorar la empleabilidad de las personas desempleadas,"3,041.56"
"EL OBRADOR DEL LAHO, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,355.18"
"EL OBRADOR DEL ABUELO,S.L.U.",Mejorar la empleabilidad de las personas desempleadas,56.61
EL OBRADOR DE PENATREVINCA SL,Mejorar la empleabilidad de las personas desempleadas,297.46
EL OBRADOR DE COCINA SA,Mejorar la empleabilidad de las personas desempleadas,914.52
EL OBRADOR ARTESANO DE CANTABRIA SL,Mejorar la empleabilidad de las personas desempleadas,949.06
EL OBRADOR ALICANTE S.L,Mejorar la empleabilidad de las personas desempleadas,746.06
EL OASIS DEL PARAISO SL,Mejorar la empleabilidad de las personas desempleadas,857.04
EL NUEVO YATE SAL,Mejorar la empleabilidad de las personas desempleadas,287.24
"EL NUEVO NAPOLES, S.L. UNIPERSONAL",Mejorar la empleabilidad de las personas desempleadas,"1,225.55"
EL NUEVO MILENIO ECUADOR SL,Mejorar la empleabilidad de las personas desempleadas,"1,122.57"
"EL NINO LIBRE, SL",Mejorar la empleabilidad de las personas desempleadas,"7,125.03"
EL NINO GLOBAL SL,Mejorar la empleabilidad de las personas desempleadas,152.89
"EL NINO DE LOS JAMONES, S.L.",Mejorar la empleabilidad de las personas desempleadas,566.64
"EL NIDO DEL CUCKOO, S.L.",Mejorar la empleabilidad de las personas desempleadas,280.93
EL NAVEGANTE HOLANDES DE FUENGIROLA 77 SL,Mejorar la empleabilidad de las personas desempleadas,"2,781.52"
"EL NAUTICO, C.B.",Mejorar la empleabilidad de las personas desempleadas,140.00
EL NATH NATURA SL UNIPERSONAL,Mejorar la empleabilidad de las personas desempleadas,"2,129.58"
"EL NARANJO, CORTADOS Y MAS,S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,506.56"
"EL NADAL 2004,S.L. EN CONSTITUCINN",Mejorar la empleabilidad de las personas desempleadas,481.56
EL MUSEL SL,Mejorar la empleabilidad de las personas desempleadas,"3,612.72"
EL MURMULLO SL,Mejorar la empleabilidad de las personas desempleadas,"1,009.28"
"EL MUNDO ES COMUNICACION, S.L.L.",Mejorar la empleabilidad de las personas desempleadas,25.96
"EL MUNDO DEL TAPNN, S.L.",Mejorar la empleabilidad de las personas desempleadas,524.20
"EL MUNDO DEL SOFA 2006, S.L.",Mejorar la empleabilidad de las personas desempleadas,578.45
"EL MUNDO DEL SINGLE, SL",Mejorar la empleabilidad de las personas desempleadas,991.62
"EL MUNDO DEL PELO, S.L.",Mejorar la empleabilidad de las personas desempleadas,776.77
EL MUNDO DEL NINO SL,Mejorar la empleabilidad de las personas desempleadas,"1,333.94"
EL MUNDO DEL CABELLO SL,Mejorar la empleabilidad de las personas desempleadas,853.28
"EL MUELLE DEL PESCADOR, S.L.",Mejorar la empleabilidad de las personas desempleadas,184.50
EL MOTORISTA SL,Mejorar la empleabilidad de las personas desempleadas,"1,167.50"
EL MOSTRADOR DE LAS NUEVAS IDEAS SLL,Mejorar la empleabilidad de las personas desempleadas,777.31
EL MOSSET VALENCIA SL,Mejorar la empleabilidad de las personas desempleadas,951.48
EL MORTERO Y SANTOS S.L.L.,Mejorar la empleabilidad de las personas desempleadas,19.98
"EL MORTER, ESPAI CELEBRACIONS, SL",Mejorar la empleabilidad de las personas desempleadas,203.23
"EL MORQUINETE,S.L.",Mejorar la empleabilidad de las personas desempleadas,"2,305.00"
EL MONTACARGAS SL,Mejorar la empleabilidad de las personas desempleadas,531.30
"EL MONJE, CB",Mejorar la empleabilidad de las personas desempleadas,19.47
EL MONASTERIO DE TALAVERA SLL,Mejorar la empleabilidad de las personas desempleadas,"5,154.97"
"EL MON DE LA PISCINA, SL",Mejorar la empleabilidad de las personas desempleadas,176.65
EL MOLINO TAMA SLL,Mejorar la empleabilidad de las personas desempleadas,304.47
EL MOLINO DEL TORCAL SCA,Mejorar la empleabilidad de las personas desempleadas,"1,325.83"
EL MOLINO DE VIZNAR SL,Mejorar la empleabilidad de las personas desempleadas,955.58
"EL MOLINO DE TORREFRADES, SL",Mejorar la empleabilidad de las personas desempleadas,200.68
"EL MOLINO DE TERQUE, S.L.",Mejorar la empleabilidad de las personas desempleadas,427.59
EL MOLINO DE SILES SL,Mejorar la empleabilidad de las personas desempleadas,84.43
"EL MOLINO DE LA MORETONA, S.L.",Mejorar la empleabilidad de las personas desempleadas,94.43
EL MOLINET DNEN RAMON SL,Mejorar la empleabilidad de las personas desempleadas,"1,133.39"
"EL MOLI D ESPLUGUES, SL",Mejorar la empleabilidad de las personas desempleadas,"1,001.62"
"EL MOJAMERO, SL",Mejorar la empleabilidad de las personas desempleadas,712.99
"EL MOISES HIJOS DE FELIX NAVEIRA,S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,071.89"
EL MODULOR DE ARQUITECTURA Y URBANISMO,Mejorar la empleabilidad de las personas desempleadas,"1,746.62"
EL MOBILIARIO URBANO S.L.,Mejorar la empleabilidad de las personas desempleadas,"1,193.12"
"EL MISTERIO DEL DUENDE, SL",Mejorar la empleabilidad de las personas desempleadas,302.14
"EL MISO, CB",Mejorar la empleabilidad de las personas desempleadas,"2,514.47"
EL MIRALLET SOC COOP C LTDA,Mejorar la empleabilidad de las personas desempleadas,278.43
EL MIRALL DE LA PAU S.L. (EN CONSTITUCINN),Mejorar la empleabilidad de las personas desempleadas,264.41
EL MIRADOR DEL LOMO SL,Mejorar la empleabilidad de las personas desempleadas,219.32
"EL MIRADOR DE SANT SEBASTIA, SL",Mejorar la empleabilidad de las personas desempleadas,"1,698.83"
EL MIRADOR DE L ESTANY SL,Mejorar la empleabilidad de las personas desempleadas,"1,716.55"
EL MIRADOR DE ESTALLENCS SL,Mejorar la empleabilidad de las personas desempleadas,923.25
"EL MIRADOR DE CIJUELA,S.L.",Mejorar la empleabilidad de las personas desempleadas,370.44
EL MIRADOR DE ANGI S.L.,Mejorar la empleabilidad de las personas desempleadas,350.13
"EL MILLOR BLAT, SL",Mejorar la empleabilidad de las personas desempleadas,"2,012.91"
"EL MEU PA, SA",Mejorar la empleabilidad de las personas desempleadas,"1,056.55"
EL MEU MON_COM.B,Mejorar la empleabilidad de las personas desempleadas,"1,930.03"
"EL METRO, CB",Mejorar la empleabilidad de las personas desempleadas,568.92
EL MESTO SA,Mejorar la empleabilidad de las personas desempleadas,704.41
"EL MESON DEL GOLF, S.L.",Mejorar la empleabilidad de las personas desempleadas,120.39
EL MESON DE FUENCARRAL SL,Mejorar la empleabilidad de las personas desempleadas,309.11
EL MERCADITO SL,Mejorar la empleabilidad de las personas desempleadas,"2,108.19"
"EL MERCADER DE VENECIA, SL",Mejorar la empleabilidad de las personas desempleadas,"1,208.38"
"EL MENOS DOS GRADOS, S.L.",Mejorar la empleabilidad de las personas desempleadas,239.84
"EL MENJADOR DE BONAVISTA, SL",Mejorar la empleabilidad de las personas desempleadas,4.72
EL MEJICANO DEL PARQUE SL,Mejorar la empleabilidad de las personas desempleadas,"3,515.07"
"EL MAUTE, SLL",Mejorar la empleabilidad de las personas desempleadas,"1,773.26"
"EL MATEIN DEL PARAGUAS, SL",Mejorar la empleabilidad de las personas desempleadas,"3,740.70"
"EL MARRUBIO ALIMENTACION, SUL",Mejorar la empleabilidad de las personas desempleadas,913.08
"EL MARISQUEO, S.L.",Mejorar la empleabilidad de las personas desempleadas,87.32
EL MARIDO DE LA PELUQUERA SLL,Mejorar la empleabilidad de las personas desempleadas,988.00
"EL MARIDATGE, S.C.C.L.",Mejorar la empleabilidad de las personas desempleadas,796.95
EL MARAVILLOSO MUNDO DE LOS NINOS SL,Mejorar la empleabilidad de las personas desempleadas,"1,766.60"
EL MAQUETAL CANARIO SL,Mejorar la empleabilidad de las personas desempleadas,590.24
EL MANZANU CB,Mejorar la empleabilidad de las personas desempleadas,"1,423.18"
"EL MANANTIAL DEL CHORRO, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,463.43"
"EL MAESTRANTE, CB",Mejorar la empleabilidad de las personas desempleadas,"1,800.00"
"EL MADRENERU, CB",Mejorar la empleabilidad de las personas desempleadas,273.26
EL MACHO MONTES SL,Mejorar la empleabilidad de las personas desempleadas,283.32
"EL LOMO FEROZ, S.L.",Mejorar la empleabilidad de las personas desempleadas,107.70
"EL LOFAL DE LA POBLA, S.L.",Mejorar la empleabilidad de las personas desempleadas,481.62
"EL LLAR DE MURIAS, COM.B.",Mejorar la empleabilidad de las personas desempleadas,108.58
"EL LLAPIS, SL",Mejorar la empleabilidad de las personas desempleadas,"2,663.85"
EL LLAGARON SL,Mejorar la empleabilidad de las personas desempleadas,53.33
"EL LLAGAR DE TITI, SL",Mejorar la empleabilidad de las personas desempleadas,"2,471.77"
"EL LLAGAR DE FAUSTO, S.L.",Mejorar la empleabilidad de las personas desempleadas,77.92
"EL LLAGAR DE CUDILLERO, S.L.",Mejorar la empleabilidad de las personas desempleadas,3.33
EL LIMONAR INTERNATIONAL SCHOOL SL,Mejorar la empleabilidad de las personas desempleadas,"32,591.47"
EL LEGADO RESTAURACION SL,Mejorar la empleabilidad de las personas desempleadas,637.47
"EL LECTOR UNIVERSAL,S.L.",Mejorar la empleabilidad de las personas desempleadas,637.44
ELLECHERO CB,Mejorar la empleabilidad de las personas desempleadas,186.62
EL LAUREL NATURAL SL,Mejorar la empleabilidad de las personas desempleadas,"4,782.97"
EL LAUREL CATERING SL,Mejorar la empleabilidad de las personas desempleadas,"4,612.47"
"EL LARGO DE TUTOR, S.L.",Mejorar la empleabilidad de las personas desempleadas,141.66
"EL LANCHERO HURDANO, S.L.",Mejorar la empleabilidad de las personas desempleadas,"4,729.77"
"EL LAGUERO LUPES, S.L.",Mejorar la empleabilidad de las personas desempleadas,6.68
EL LAGARTO SA,Mejorar la empleabilidad de las personas desempleadas,"2,492.98"
"EL LAGAR DE DON BRANDY, S.L",Mejorar la empleabilidad de las personas desempleadas,566.64
"EL LAGAR DE BACO, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,271.10"
"EL LADRILLO ASESORES INMOBILIARIOS, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,538.31"
EL LADO POSITIVO DE LA VIDA SL,Mejorar la empleabilidad de las personas desempleadas,42.50
EL LABORATORIO SPRINGER & JACOBY SL,Mejorar la empleabilidad de las personas desempleadas,"2,920.45"
EL KILO SAN GREGORIO SL,Mejorar la empleabilidad de las personas desempleadas,155.83
"EL JOTO DE SAN ANTONIO, S.L.",Mejorar la empleabilidad de las personas desempleadas,86.73
EL JARRO DE BARRO SL,Mejorar la empleabilidad de las personas desempleadas,8.86
EL JARON CB,Mejorar la empleabilidad de las personas desempleadas,959.99
"EL JARDINERO LUIS,S.L.",Mejorar la empleabilidad de las personas desempleadas,466.69
"EL JARDIN IDEAL RIBERENO, S.L.",Mejorar la empleabilidad de las personas desempleadas,37.78
"EL JARDIN DEL LARIN, S.L.",Mejorar la empleabilidad de las personas desempleadas,409.40
EL JARDIN DEL DIABLO SL,Mejorar la empleabilidad de las personas desempleadas,"1,244.23"
EL JARDIN DEL ARROYO CB,Mejorar la empleabilidad de las personas desempleadas,46.62
EL JARDIN DE PARAMO S.L.,Mejorar la empleabilidad de las personas desempleadas,441.68
EL JARDIN DE MORAL SL,Mejorar la empleabilidad de las personas desempleadas,66.67
EL JARDIN DE LA ABADIA SL,Mejorar la empleabilidad de las personas desempleadas,"1,260.77"
EL JARDIN DE JUNIO SL,Mejorar la empleabilidad de las personas desempleadas,"1,303.28"
EL JARDIN DE CARLA SLL,Mejorar la empleabilidad de las personas desempleadas,460.40
"EL JARDIN D ASTOLA, S.L.",Mejorar la empleabilidad de las personas desempleadas,110.95
"EL JARDI, C.B.",Mejorar la empleabilidad de las personas desempleadas,"1,150.97"
EL JARDI DNALGUAIRE SL,Mejorar la empleabilidad de las personas desempleadas,199.90
EL JARAL MUNOZ BELTRAN SL,Mejorar la empleabilidad de las personas desempleadas,401.71
"EL JAPONES DEL TRAGALUZ, SL",Mejorar la empleabilidad de las personas desempleadas,"3,299.53"
EL JAMON Y EL CHURRASCO SL,Mejorar la empleabilidad de las personas desempleadas,866.71
EL JAMON DE SERRANO 211 SL,Mejorar la empleabilidad de las personas desempleadas,"1,575.83"
EL JAMOM DE AINOHA SL,Mejorar la empleabilidad de las personas desempleadas,136.63
"EL IOT BLAU, SL",Mejorar la empleabilidad de las personas desempleadas,389.57
EL INVERNADERO MULTICENTRO DE OCIO SL UNIPERSONAL,Mejorar la empleabilidad de las personas desempleadas,708.30
"EL INSTITUTO DE MARKETING DIRECTO, SA",Mejorar la empleabilidad de las personas desempleadas,772.02
"EL INSTALADOR, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,345.77"
"EL INMOBILIARIO DIA A DIA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,403.33"
EL INFIERNILLO DE LAJARES S.L.L.,Mejorar la empleabilidad de las personas desempleadas,"2,117.73"
"EL IDASTRO, SL",Mejorar la empleabilidad de las personas desempleadas,"1,456.61"
EL HORREO MUEBLES DE COCINA SL,Mejorar la empleabilidad de las personas desempleadas,"1,896.57"
EL HORNO YOMAIN SL,Mejorar la empleabilidad de las personas desempleadas,"1,142.65"
"EL HORNO FRANCES, CB",Mejorar la empleabilidad de las personas desempleadas,206.60
EL HORNO DE YELES SL,Mejorar la empleabilidad de las personas desempleadas,481.62
"EL HORNO DE VANESA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,865.86"
EL HORNO DE TORREVIEJA SL,Mejorar la empleabilidad de las personas desempleadas,734.19
EL HORNO DE SARA SL,Mejorar la empleabilidad de las personas desempleadas,389.67
EL HORNO DE SANDRA SL,Mejorar la empleabilidad de las personas desempleadas,53.28
EL HORNO DE MIRAMAR SL,Mejorar la empleabilidad de las personas desempleadas,"2,323.17"
"EL HORNO DE GRETEL, SL",Mejorar la empleabilidad de las personas desempleadas,"1,345.77"
"EL HORNO DE EULALIA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,124.37"
EL HORNO DE CERES SL,Mejorar la empleabilidad de las personas desempleadas,"1,315.00"
EL HORNO DE BURGOS SL,Mejorar la empleabilidad de las personas desempleadas,720.00
EL HORNO DE ANGEL SL,Mejorar la empleabilidad de las personas desempleadas,"1,830.50"
EL HORNO DE ALGALLARIN SL,Mejorar la empleabilidad de las personas desempleadas,708.30
EL HORNO CANARIO SL,Mejorar la empleabilidad de las personas desempleadas,"1,449.58"
"EL HORNO CACERENO, COM.B.",Mejorar la empleabilidad de las personas desempleadas,"1,029.91"
"EL HORNO ASADOR-SIDRERIA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"5,869.81"
"EL HORNILLO DE SAN ROMUALDO, SL",Mejorar la empleabilidad de las personas desempleadas,"5,134.15"
EL HORNERO SA,Mejorar la empleabilidad de las personas desempleadas,49.56
"EL HOGAR GALLEGO CALELLA, SL.",Mejorar la empleabilidad de las personas desempleadas,"2,425.77"
"EL HIPER DEL AZULEJO DEL BAJO ARAGON, S.L.",Mejorar la empleabilidad de las personas desempleadas,22.20
EL HINOJAL SCL,Mejorar la empleabilidad de las personas desempleadas,"2,003.80"
"EL HEJIO, S.L.",Mejorar la empleabilidad de las personas desempleadas,86.58
"EL HAYEDO, JARDINERIA Y PAISAJISMO, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,053.73"
"EL HATILLO, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,155.14"
EL HANGAR DE SOPHIE SL,Mejorar la empleabilidad de las personas desempleadas,"1,225.26"
"EL HALCON 2005,S.L.",Mejorar la empleabilidad de las personas desempleadas,29.97
EL HADA VERDE SL-UNIPERSONAL-,Mejorar la empleabilidad de las personas desempleadas,"1,529.77"
"EL GUSTO DE SERVIRLE, S.L. UNIPERSONAL",Mejorar la empleabilidad de las personas desempleadas,"1,270.19"
"EL GUARNECIDO, S.COOP.DE C-LM",Mejorar la empleabilidad de las personas desempleadas,"6,433.15"
EL GUARDIAN DEL PARAISO SL,Mejorar la empleabilidad de las personas desempleadas,"1,300.00"
"EL GUAMAL, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,418.96"
"EL GRITO COMUNICACION, SL",Mejorar la empleabilidad de las personas desempleadas,"1,000.00"
EL GRILLO DE ORO SL,Mejorar la empleabilidad de las personas desempleadas,763.15
EL GRIFO SA,Mejorar la empleabilidad de las personas desempleadas,748.42
EL GRANERO INTEGRAL SL,Mejorar la empleabilidad de las personas desempleadas,"4,757.37"
"EL GRAN MIERCOLES, SL",Mejorar la empleabilidad de las personas desempleadas,"1,944.53"
"EL GRAN KOALA, S.L.",Mejorar la empleabilidad de las personas desempleadas,4.72
"EL GRAN CALIFA, SL",Mejorar la empleabilidad de las personas desempleadas,986.67
"EL GRAN ARLEQUIN, SL",Mejorar la empleabilidad de las personas desempleadas,127.66
EL GOURMET DEL HENARES SL,Mejorar la empleabilidad de las personas desempleadas,"1,019.94"
EL GOURMET DEL ESPINO S.L.,Mejorar la empleabilidad de las personas desempleadas,926.67
EL GOUCHI LUCEA S.L.,Mejorar la empleabilidad de las personas desempleadas,677.58
EL GOMERU CB,Mejorar la empleabilidad de las personas desempleadas,39.90
"EL GLOTON DA, COM.B.",Mejorar la empleabilidad de las personas desempleadas,118.06
EL GLOBO MUEBLES SL,Mejorar la empleabilidad de las personas desempleadas,375.00
"EL GLOBO LIBROS, SL UNIPERSONAL",Mejorar la empleabilidad de las personas desempleadas,264.39
EL GINJOLER CATERING SL,Mejorar la empleabilidad de las personas desempleadas,"2,217.55"
EL GINJOL EDICIONS SL,Mejorar la empleabilidad de las personas desempleadas,225.05
"EL GINEBRO DE VILOPRIU, SL",Mejorar la empleabilidad de las personas desempleadas,350.00
"EL GIMNAS DE CANET, SL",Mejorar la empleabilidad de las personas desempleadas,774.41
"EL GELAET DE PEPE, S.L",Mejorar la empleabilidad de las personas desempleadas,"2,439.73"
"EL GEGANT DE LLEIDA, S.C.C.L.",Mejorar la empleabilidad de las personas desempleadas,677.59
EL GAZAL EXPLOTACIONES AGRARIAS SA,Mejorar la empleabilidad de las personas desempleadas,308.86
EL GAVILAN PRODUCTOS DE ALIMENTACION SL,Mejorar la empleabilidad de las personas desempleadas,118.03
EL GATO SL,Mejorar la empleabilidad de las personas desempleadas,"2,076.68"
EL GATO EN LA HORNILLA SL,Mejorar la empleabilidad de las personas desempleadas,550.00
"EL GATO DE CHESHIRE, SL",Mejorar la empleabilidad de las personas desempleadas,424.98
EL GARBANZO SL,Mejorar la empleabilidad de las personas desempleadas,"1,688.09"
EL GALLO ROJO SL,Mejorar la empleabilidad de las personas desempleadas,55.50
"EL GALLO NUEVO, SL",Mejorar la empleabilidad de las personas desempleadas,"7,485.43"
EL GALEON DE LOS ABRIGOS SL,Mejorar la empleabilidad de las personas desempleadas,"1,970.09"
"EL GALEON ALCORCON, CB",Mejorar la empleabilidad de las personas desempleadas,520.17
"EL FOYU, SL",Mejorar la empleabilidad de las personas desempleadas,"2,265.21"
EL FOYO CACABELOS SRL,Mejorar la empleabilidad de las personas desempleadas,"1,350.00"
"EL FORO FELIZ, S.L.",Mejorar la empleabilidad de las personas desempleadas,637.47
EL FORNO CB,Mejorar la empleabilidad de las personas desempleadas,832.26
"EL FORNET DELS BESSONS, S.L.",Mejorar la empleabilidad de las personas desempleadas,102.70
EL FORN SL,Mejorar la empleabilidad de las personas desempleadas,66.08
"EL FORN DE LA MIRIAM,S.L.(EMPRESA EN FORMACION)",Mejorar la empleabilidad de las personas desempleadas,292.76
EL FORN DE LA CANTONADA SL,Mejorar la empleabilidad de las personas desempleadas,"1,493.33"
EL FORN DE GIL SL,Mejorar la empleabilidad de las personas desempleadas,950.00
"EL FONTAN CAFE RESTAURANTE, SL",Mejorar la empleabilidad de las personas desempleadas,29.97
EL FONMOLI SL,Mejorar la empleabilidad de las personas desempleadas,"1,031.16"
"EL FOGON REAL, S.L.",Mejorar la empleabilidad de las personas desempleadas,100.02
"EL FOGON DE SANT BOI, SL EN CONSTITUCION",Mejorar la empleabilidad de las personas desempleadas,432.45
EL FOGON DE SAN JUSTO SL,Mejorar la empleabilidad de las personas desempleadas,94.44
"EL FOGON DE RIVAS, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,531.06"
EL FOGON DE MARIANA SL,Mejorar la empleabilidad de las personas desempleadas,"1,188.89"
EL FOGON DE LUIS I SL,Mejorar la empleabilidad de las personas desempleadas,396.57
EL FOGON DE DASTIS SL,Mejorar la empleabilidad de las personas desempleadas,"1,140.66"
EL FOGON DE ARTIGAS S.L.L.,Mejorar la empleabilidad de las personas desempleadas,"1,900.00"
EL FOGON DE ANTONIO S.L.L.,Mejorar la empleabilidad de las personas desempleadas,"2,897.58"
EL FOGON DE ABAD SL,Mejorar la empleabilidad de las personas desempleadas,133.34
EL FOC ALACANT 06 S.L.L.,Mejorar la empleabilidad de las personas desempleadas,93.31
"EL FISQUITO, SL UNIPERSONAL",Mejorar la empleabilidad de las personas desempleadas,"1,976.36"
EL FIGON DE MILAGROS SL,Mejorar la empleabilidad de las personas desempleadas,"1,498.94"
EL FIGON DE ALFARO SL,Mejorar la empleabilidad de las personas desempleadas,"2,531.50"
EL FESTIN DE BABEL S COOP,Mejorar la empleabilidad de las personas desempleadas,540.03
"EL FAROLITO ARGENTINO, S.L.",Mejorar la empleabilidad de las personas desempleadas,753.28
"EL FARO NARANJA AGENCIA DE PUBLICIDAD, SL",Mejorar la empleabilidad de las personas desempleadas,139.27
EL FARO DE ALEJANDRIA SL,Mejorar la empleabilidad de las personas desempleadas,493.14
EL FARO CASAS SL,Mejorar la empleabilidad de las personas desempleadas,"1,293.64"
"EL FARCELL, SL",Mejorar la empleabilidad de las personas desempleadas,113.22
"EL FAR, SERVEI SOCIAL EVANGELIC",Mejorar la empleabilidad de las personas desempleadas,"1,009.28"
