"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO",,
"FERNANDO ONAINDIA ARQUITECTURA Y GESTION SL","Mejorar la empleabilidad delas personas desempleadas","1009,28",,
"FERNANDO PASTELERIA SL","Mejorar la empleabilidad delas personas desempleadas","531,23",,
"FERNANDO PELLICER SL","Mejorar la empleabilidad delas personas desempleadas","1019,98",,
"FERNANDO PERONA, SL","Mejorar la empleabilidad delas personas desempleadas","1146,62",,
"FERNANDO PETRALANDA ERAIKETAK, S.L.","Mejorar la empleabilidad delas personas desempleadas","466,69",,
"FERNANDO REQUENI SL","Mejorar la empleabilidad delas personas desempleadas","849,96",,
"FERNANDO ROBLES S.L.","Mejorar la empleabilidad delas personas desempleadas","849,95",,
"FERNANDO SALGADO S.L.U.","Mejorar la empleabilidad delas personas desempleadas","791,09",,
"FERNANDO SALMERON SL","Mejorar la empleabilidad delas personas desempleadas",1380,,
"FERNANDO SANZ E HIJO SL","Mejorar la empleabilidad delas personas desempleadas","5464,83",,
"FERNANDO SARRIA ESTRUCTURAS,S.L.","Mejorar la empleabilidad delas personas desempleadas","3199,39",,
"FERNANDO SILVA ORTIZ SL","Mejorar la empleabilidad delas personas desempleadas","3277,46",,
"FERNANDO SOTO SL","Mejorar la empleabilidad delas personas desempleadas","1343,29",,
"FERNANDO TRAPOTE ABELEDO Y M.SOL CASADO SANCHEZ CB","Mejorar la empleabilidad delas personas desempleadas","143,41",,
"FERNANDO URIBE BERRIOZABALGOITIA-MARIA CARMEN AGUIRREBE","Mejorar la empleabilidad delas personas desempleadas","49,95",,
"FERNANDO VALERO Y ASOCIADOS SL","Mejorar la empleabilidad delas personas desempleadas","807,45",,
"FERNANDO VAZQUEZ SL","Mejorar la empleabilidad delas personas desempleadas","462,22",,
"FERNANDO VELARDE SL","Mejorar la empleabilidad delas personas desempleadas","212,49",,
"FERNANDO VIGARA Y ASOCIADOS SL","Mejorar la empleabilidad delas personas desempleadas","1027,02",,
"FERNANDO VIVES CORREDORIA D ASSEGURANCES, SL","Mejorar la empleabilidad delas personas desempleadas","1343,29",,
"FERNANDO Y ELENA SL","Mejorar la empleabilidad delas personas desempleadas","2556,86",,
"FERNANDO Y MARIA BRAVO SL","Mejorar la empleabilidad delas personas desempleadas","344,46",,
"FERNANDO Y OLIVER, S.L.","Mejorar la empleabilidad delas personas desempleadas","648,07",,
"FERNANGAS SL","Mejorar la empleabilidad delas personas desempleadas","456,61",,
"FERNANI SEGUROS S.L.","Mejorar la empleabilidad delas personas desempleadas","637,47",,
"FERNANMOR VALLADOS Y CERRAMIENTOS, S.L.","Mejorar la empleabilidad delas personas desempleadas","99,97",,
"FERNATRANS CARGO, S.L.","Mejorar la empleabilidad delas personas desempleadas",1900,,
"FERNET VITTONE DAL 1842,SA UNIPERSONAL","Mejorar la empleabilidad delas personas desempleadas","879,72",,
"FERNIMAR SOLUCIONES, S.L.","Mejorar la empleabilidad delas personas desempleadas","1168,77",,
"FERNYMART SL","Mejorar la empleabilidad delas personas desempleadas","506,69",,
"FERODA SHOES SL","Mejorar la empleabilidad delas personas desempleadas","2459,9",,
"FEROFRUIT ALMUNECAR SL","Mejorar la empleabilidad de las personas desempleadas","708,3",,
"FEROHER","Promociﾗn del espﾒritu empresarial y de la adaptabilidad de las empresas y Refuerzo del nivel de competencia",112,,
"FEROPTICA, SL","Mejorar la empleabilidad de las personas desempleadas","1022,3",,
"FEROS ITALI SL","Mejorar la empleabilidad de las personas desempleadas","495,81",,
"FEROSI OBRAS Y CONSTRUCCIONES, S.L.","Mejorar la empleabilidad de las personas desempleadas","67,53",,
"FERPA ASSESSORS S.L.","Mejorar la empleabilidad de las personas desempleadas","96,57",,
"FERPA-GRAPHIC, SL","Mejorar la empleabilidad de las personas desempleadas","564,37",,
"FERPA-PUNT, SL","Mejorar la empleabilidad de las personas desempleadas","1566,6",,
"FERPAL SERVICIOS AUXILIARES SL UNIPERSONAL","Mejorar la empleabilidad de las personas desempleadas",1900,,
"FERPAN SL","Mejorar la empleabilidad de las personas desempleadas","1247,5",,
"FERPANEL SL","Mejorar la empleabilidad de las personas desempleadas","833,76",,
"FERPE COLOR,S.L.","Mejorar la empleabilidad de las personas desempleadas","129,25",,
"FERPE GUARDO, S.L.","Mejorar la empleabilidad de las personas desempleadas","3,33",,
"FERPEC ASESORAMIENTO SL","Mejorar la empleabilidad de las personas desempleadas","1086,48",,
"FERPECOM SL","Mejorar la empleabilidad de las personas desempleadas","832,2",,
"FERPEI OBRAS Y REFORMAS, S.L.","Mejorar la empleabilidad de las personas desempleadas","131,05",,
"FERPELLO SL","Mejorar la empleabilidad de las personas desempleadas","1650,31",,
"FERPER OBRA CIVIL SLL","Mejorar la empleabilidad de las personas desempleadas",950,,
"FERPER SA","Mejorar la empleabilidad de las personas desempleadas","408,9",,
