"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"SALERM COSMETICA PROFESIONAL, SA","Mejorar la empleabilidad de las personas desempleadas","1.126,67"
"SALERO MEDIA S.L.","Mejorar la empleabilidad de las personas desempleadas","70,83"
"SALES RUBIO ELISEO Y VICENTE CB","Mejorar la empleabilidad de las personas desempleadas","266,68"
"SALESAS TRES CENTRO DE ESTUDIOS SL","Mejorar la empleabilidad de las personas desempleadas","175,62"
"SALESLAND SL","Mejorar la empleabilidad de las personas desempleadas","2.724,56"
"SALEWA IBERICA, SL","Mejorar la empleabilidad de las personas desempleadas","293,32"
"SALF, SL","Mejorar la empleabilidad de las personas desempleadas","1.328,67"
"SALFEC ASESORES SL","Mejorar la empleabilidad de las personas desempleadas","1.345,77"
"SALGADO CONGELADOS SL","Mejorar la empleabilidad de las personas desempleadas","886,67"
"SALGADO ELABORACION SL EN CONST","Mejorar la empleabilidad de las personas desempleadas","89,91"
"SALGAS - PADROSA, C.B.","Mejorar la empleabilidad de las personas desempleadas","1.077,75"
"SALGOT-VILA CAMPUS 2003, SL","Mejorar la empleabilidad de las personas desempleadas","235,06"
"SALGRI, SL","Mejorar la empleabilidad de las personas desempleadas","2.023,21"
"SALGRUP - 97 SL","Mejorar la empleabilidad de las personas desempleadas","805,09"
"SALHER IBERICA SL","Mejorar la empleabilidad de las personas desempleadas","200,00"
"SALHUGUE SL","Mejorar la empleabilidad de las personas desempleadas","2.930,45"
"SALICRU SA","Mejorar la empleabilidad de las personas desempleadas","15.719,62"
"SALIDA 285,S.L.","Mejorar la empleabilidad de las personas desempleadas","2.193,34"
"SALILUX, S.L.","Mejorar la empleabilidad de las personas desempleadas","2.206,67"
"SALIMAR SERVICIO ALIMENTARIO SL","Mejorar la empleabilidad de las personas desempleadas","1.415,86"
"SALINAS CUESTA E HIJOS SL","Mejorar la empleabilidad de las personas desempleadas","96,67"
"SALINAS DE NAVARRA SL","Mejorar la empleabilidad de las personas desempleadas","56,66"
"SALINAS GAS SL","Mejorar la empleabilidad de las personas desempleadas","976,59"
"SALINAS SELECCION Y DISENO SL","Mejorar la empleabilidad de las personas desempleadas","423,31"
"SALINAS Y PEREZ SL","Mejorar la empleabilidad de las personas desempleadas","1.345,77"
"SALINAS Y TORRIJOS","Mejorar la empleabilidad de las personas desempleadas","100,00"
"SALINERA ESPANOLA SA","Mejorar la empleabilidad de las personas desempleadas","1.900,00"
"SALINE-SPA, S.L.","Mejorar la empleabilidad de las personas desempleadas","2.049,31"
"SALINETAS GRILL S.L.","Mejorar la empleabilidad de las personas desempleadas","2.201,60"
"SALINS IBERICA PACFINS, S.L.","Mejorar la empleabilidad de las personas desempleadas","3.215,36"
"SALIR MEDIA, S.L.","Mejorar la empleabilidad de las personas desempleadas","854,68"
"SALIR Y OCIO,S.L.","Mejorar la empleabilidad de las personas desempleadas","521,69"
"SALISA RECORD PAHISA S.L.L.","Mejorar la empleabilidad de las personas desempleadas","1.088,41"
"SALLEN AVIACION SA","Mejorar la empleabilidad de las personas desempleadas","1.876,59"
"SALLENT ASSESORS SL","Mejorar la empleabilidad de las personas desempleadas","2.794,79"
"SALLES I GARCIA SERVEIS IMMOBILIARIS,S.L.","Mejorar la empleabilidad de las personas desempleadas","526,49"
"SALLES I SALLES, S.L.L.","Mejorar la empleabilidad de las personas desempleadas","1.894,12"
"SALLESCO GRUP, S.L.","Mejorar la empleabilidad de las personas desempleadas","426,13"
"SALLIDAL S.L","Mejorar la empleabilidad de las personas desempleadas","373,17"
"SALLISERT SA","Mejorar la empleabilidad de las personas desempleadas","46,62"
"SALLO FYRA SL","Mejorar la empleabilidad de las personas desempleadas","70,83"
"SALLOCA SL","Mejorar la empleabilidad de las personas desempleadas","170,00"
"SALLY O NEILL, DANCE COMPANY PRODUCTIONS SL","Mejorar la empleabilidad de las personas desempleadas","1.345,77"
"SALMA MANTENIMIENTOS INTEGRALES SL","Mejorar la empleabilidad de las personas desempleadas","294,19"
"SALMAN 2003, SL","Mejorar la empleabilidad de las personas desempleadas","3.201,36"
"SALMANFRES, SL","Mejorar la empleabilidad de las personas desempleadas","126,54"
"SALMANTICA ELECTROMUEBLE SL","Mejorar la empleabilidad de las personas desempleadas","205,38"
"SALMANTICA URGENTE SL","Mejorar la empleabilidad de las personas desempleadas","931,09"
"SALMANTINA CARD SL","Mejorar la empleabilidad de las personas desempleadas","519,08"
"SALMANTINA DE ASESORAMIENTO FINANCIERO, S.L.","Mejorar la empleabilidad de las personas desempleadas","1.182,83"
"SALMANTINA DE PIENSOS SA","Mejorar la empleabilidad de las personas desempleadas","195,50"
"SALMAR CARLET SL","Mejorar la empleabilidad de las personas desempleadas","662,67"
"SALMARGRUA,S.L.","Mejorar la empleabilidad de las personas desempleadas","42,48"
"SALMEC INGENIERIA, S.A.","Mejorar la empleabilidad de las personas desempleadas","1.200,00"
"SALMENART SL","Mejorar la empleabilidad de las personas desempleadas","109,89"
"SALMERON & MARTINEZ ASESORES, S.L.","Mejorar la empleabilidad de las personas desempleadas","144,02"
"SALMEVALENT,SL","Mejorar la empleabilidad de las personas desempleadas","767,30"
"SALMONES UNIDAD DENTAL SL","Mejorar la empleabilidad de las personas desempleadas","568,33"
"SALMONSEMON SA","Mejorar la empleabilidad de las personas desempleadas","2.679,85"
"SALMONSUR, S.A.","Mejorar la empleabilidad de las personas desempleadas","1.133,28"
"SALMORIEDA,S.L.","Mejorar la empleabilidad de las personas desempleadas","1.031,76"
"SALNES PIEDRA, S.L.","Mejorar la empleabilidad de las personas desempleadas","793,32"
"SALNES PRESS SL","Mejorar la empleabilidad de las personas desempleadas","470,98"
"SALNES VENDING SL","Mejorar la empleabilidad de las personas desempleadas","1.306,41"
"SALNESAUTO SL","Mejorar la empleabilidad de las personas desempleadas","1.086,58"
"SALNEXCO, EXCAVACIONES Y CONSTRUCCIONES, S.L.","Mejorar la empleabilidad de las personas desempleadas","1.093,24"
"SALO 2000, SL","Mejorar la empleabilidad de las personas desempleadas","3.002,34"
"SALO DE BELLESA DISI, SL","Mejorar la empleabilidad de las personas desempleadas","1.161,54"
"SALO ROIG CARLES 000410430X SLNE","Mejorar la empleabilidad de las personas desempleadas","531,20"
"SALOGUADIX SL","Mejorar la empleabilidad de las personas desempleadas","1.749,95"
"SALOM Y CEREZO, SL","Mejorar la empleabilidad de las personas desempleadas","670,51"
"SALOMCRIS, S.L.","Mejorar la empleabilidad de las personas desempleadas","1.486,87"
"SALOME, S.L.","Mejorar la empleabilidad de las personas desempleadas","1.264,44"
"SALOMO INTERIORS, SL","Mejorar la empleabilidad de las personas desempleadas","697,71"
"SALOMO PRAT SL UNIPERSONAL","Mejorar la empleabilidad de las personas desempleadas","1.764,77"
"SALON 2000, S.L","Mejorar la empleabilidad de las personas desempleadas","1.345,74"
"SALON ALORI, SL","Mejorar la empleabilidad de las personas desempleadas","1.140,00"
