"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"CAPILLA ALVAREZ S.L.","Mejorar la empleabilidad de las personas desempleadas","4.250,00"
"CAPILLA VENTA DE MAQ. AGRICOLA, S.L.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"CARMUDEX S.L.","Mejorar la empleabilidad de las personas desempleadas","10.250,00"
"CARNES Y ELABORADOS EXTREMEÑOS, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CARNICAS DE SELECCION Y ORIGEN 
EXTREMEÑO","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CARNICAS POZAS S.L.","Mejorar la empleabilidad de las personas desempleadas","4.250,00"
"CARNICAS SOTOGRANDE, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CARNICERIA ALFONSINO C.B.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CARPIMOBEL CUESTA,SL","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CARPINTERIA AVIS, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CARPINTERIA JOSMAR, S.L.","Mejorar la empleabilidad de las personas desempleadas","10.000,00"
"CARPINTERIA METALICA JUAN PABLO, S.L.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"CARPINTERIA NIFEL SL","Mejorar la empleabilidad de las personas desempleadas","21.000,00"
"CARPYDEMA NATURALEZA, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CARPYME 2001 S.C.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"CARTONAJES DE ALMARAZ S.L.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"CASA DEL OESTE S.A.","Mejorar la empleabilidad de las personas desempleadas","15.000,00"
"CASA MIJHAELI C.B.","Mejorar la empleabilidad de las personas desempleadas","6.562,50"
"CAYRO DECO C.B.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CEALFA CARPINTERIA METALICA, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CEFISE, S.L.","Mejorar la empleabilidad de las personas desempleadas","25.562,50"
"CELEDONIA Y FRANCISCA LOPEZ CB","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CELITE DE RESTAURACION, S.L.","Mejorar la empleabilidad de las personas desempleadas","15.000,00"
"CEM BADAJOZ 2007,S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CENTRO CORPORAL DANAIDAS,S.L.L.","Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas","20.497,84"
"CENTRO DE EDUCACION ESPECIAL ""NTRA 
SRA DE LA AURORA""(APROSUB","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","392.055,84"
"CENTRO DE REPRESENTACIONES 
ELCTRICAS PACENSE SL","Mejorar la empleabilidad de las personas desempleadas","15.000,00"
"CENTRO DEPORTIVO ATHOS S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CENTRO PARA DESARR. EDUCACION 
EUROPEA, S.L","Mejorar la empleabilidad de las personas desempleadas","13.987,50"
"CENTROWAGEN, S.L","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CEPESA ASESORES S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CERAMICA GONZALEZ FUENTES, S.L.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"CERCAGRO- CERTIFICACION CALIDAD 
AGROALIMENTARIA S.L.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"CERRADA GIRALDO E HIJOS S.L.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"CERRAJERIA CHINATA, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CERRAMIENTOS INDUSTRIALES RODRIGUEZ, 
S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CHANELA VELEZ SL","Mejorar la empleabilidad de las personas desempleadas","56.750,00"
"CHAPA DE BARRO, S.L.L.","Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas","10.528,82"
"CHARCUTAPA, S.L.L.","Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas","10.000,00"
"CHAVARRI MOTOR, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CHUPITO RESTAURACION, S.L.","Mejorar la empleabilidad de las personas desempleadas","4.250,00"
"CIA LOGISTICA MARTIN ALONSO, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CINAROMA08, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CIRCULO MERCANTIL SA","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CITES,S.L.","Mejorar la empleabilidad de las personas desempleadas","15.000,00"
"CIVILED INGENIERIA 2007, S.L.L","Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas","7.839,47"
"CLIMACOCINA,S.L.L.","Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas","40.000,00"
"CLIMATIZACIONES EMERITENSES, S.L","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"CLINICA DENTAL DOCTORA BELKYS S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CLINICA DENTAL GARCIA PAMPIN","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CLINICA DENTAL J.M. GUERRERO, S.L.","Mejorar la empleabilidad de las personas desempleadas","5.187,50"
"CLINICA MEDICA VIRGEN DE LA PIEDAD S.L..","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
